according to,"根据, 按照；取决于；据…所说"
emphatic,"a. 语调强的, 着重的, 强调了的"
empirical,"a. 完全跟据经验的, 经验主义的
"
empress,"n. 皇后, 女皇"
enamel,"n. 珐琅, 瓷釉
vt. 涂以瓷釉, 彩饰"
enchant,"vt. 施魔法, 使入迷"
encircle,"vt. 环绕, 围绕, 包围"
enclosure,"n. 附件, 围墙, 围绕
"
encouragement,"n. 鼓励, 激励, 奖励
"
encyclopedia,n. 百科全书
encyclopaedia,n. 百科全书
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
endow,"vt. 捐赠, 捐助, 赋予
"
energetic,"a. 精力充沛的, 积极的"
engaged,"a. 忙碌的, 使用中的"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
enlargement,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
enormous,"a. 巨大的, 庞大的"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
entrant,"n. 新会员, 新成员, 进入者"
entrepot,"n. 仓库, 贸易中心
"
entrepreneur,"n. 企业家, 主办人
"
envious,"a. 嫉妒的, 羡慕的"
envisage,"vt. 面对, 正视, 想象"
envision,"vt. 想象, 预想"
envoy,"n. 外交使节, 特使
"
enzyme,"n. 酶
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
epoch,"n. 新纪元, 时代, 时期"
epoch-making,"adj. 开新纪元的
"
equality,"n. 平等, 均匀, 相等
"
equation,"n. 相等, 等式, 平衡
"
equity,"n. 公平, 公正
"
equivalence,"n. 同等, 等价, 等值
"
era,"n. 时代, 纪元, 时期"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
erection,"n. 直立, 竖起, 建筑物
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
err,"vi. 犯错, 做错, 犯罪
"
errand,"n. 任务, 差使, 使命"
erroneous,"a. 错误的, 不正确的
"
erupt,"vi. 爆发
vt. 喷出"
eruption,"n. 爆发, 喷出物, 出疹
"
escalator,"n. 电动扶梯, 自动扶梯
"
escapee,"n. 逃亡者, 逃避者
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
Esperanto,n. 世界语
essayist,"n. 随笔作家, 评论家"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
establishment,"n. 确立, 制定, 设施
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
estimation,"n. 判断, 估计, 尊重
"
estuary,"n. 河口, 港湾"
eternal,"a. 永恒的, 永远的, 不灭的"
ether,"n. 醚, 苍天, 以太
"
ethnic,"a. 人种的, 种族的
"
evaluation,"n. 评估, 估价, 求值
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
eventful,"a. 变故多的, 多事的, 重要的"
eventuality,"n. 可能发生的事, 可能性"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
evident,"a. 显然的, 明显的"
evidently,"adv. 明显地, 根据现有证据来看"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
exaggerate,"v. 夸大, 夸张"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceedingly,"adv. 极端地, 极度地, 非常"
exclaim,"v. 大叫, 呼喊, 大声叫"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
excluding,"prep. 把...排除在外, 不包括..., 不计..."
exclusion,"n. 排除, 除外, 逐出
"
execution,"n. 实行, 完成, 执行, 死刑
"
executioner,"n. 刽子手
"
executor,"n. 执行者
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
exhale,"v. 呼气, 发出, 散发"
exhibitor,"n. (展览会的)参加者, 电影院经理, 电影院老板, 电影放映者, 展出者
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
expedition,"n. 远征, 探险队, 迅速"
experienced,"a. 富有经验的, 老练的, 熟练的"
expertise,"n. 专家意见, 专门技术
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
exploration,"n. 探险, 踏勘, 探测
"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
exporter,"n. 出口商, 输出者, 出口公司
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
expressway,n. 高速公路
exquisite,"a. 精致的, 细腻的, 敏锐的"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
extinguisher,"n. 熄灭者, 灭火器, 消灭者
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
extravagance,"n. 奢侈, 浪费, 放肆的言行"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extremist,[经] 偏激份子
eyeball,"n. 眼球
"
eyebrow,"n. 眉毛
"
eyeglass,n. 镜片
eyelash,"n. 睫毛
"
eyeless,a. 盲目的
eyelid,"n. 眼皮, 眼睑
"
eye-opener,"使人瞠目吃惊的事物, 有启发作用的东西, 外表迷人的东西"
eyesight,"n. 视力, 目力"
eyesore,n. 眼中钉
eyewitness,"n. 目击者, 见证人"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
facility,"n. 容易, 灵巧, 设备
"
facsimile,"n. 摹(真)本, 传真
vt. 传真, 临摹
a. 复制的
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
Fahrenheit,"a. 华氏温度计的
n. 华氏温度计"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
fairy,"n. 仙女, 精灵
a. 仙女的"
fairyland,"n. 仙境, 乐园"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
falsehood,"n. 谎言, 虚假(性)
"
falter,"vt. 支吾地说
vi. 支吾, 蹒跚地走
n. 颤抖, 支吾, 踌躇"
fame,"n. 名望, 名声, 传说"
familiarize,"vt. 使熟悉, 使熟知, 使通俗化"
familiarise,vt.<主英>=familiarize
famine,"n. 饥荒, 缺乏, 饥饿"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
fantasy,"n. 幻想, 想象的产物
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
farmhand,n. 农场工人
farmhouse,n. 农舍
farmyard,n. 农家庭院
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
fascism,"n. 法西斯主义, 极端国家主义"
fascist,"n. 法西斯主义者, 法西斯党员"
fashionable,"a. 时髦的, 上流社会的, 流行的"
fastening,"n. 紧固件, 系结物"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
fatalism,n. 宿命论
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
fatten,"vi. 养肥
vt. 使肥胖"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
fearful,"a. 可怕的, 恐怕的, 担心的"
fearless,"a. 大胆的, 勇敢的, 无畏的"
feasible,"a. 能实行的, 可行的, 适宜的
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
federation,"n. 联邦, 联合, 联盟
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
feedback,"n. 反馈, 反应
"
feeder,"n. 饲养者, 供给者, 奶瓶
"
feeler,"n. 触角, 试探者, 试探手段"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
feminine,"a. 女性的, 阴性的, 柔弱的
"
feminism,"n. 女权主义, 男女平等主义
"
feminist,n. 男女平等主义者
ferment,"n. 酵素, 发酵, 动乱
v. (使)发酵, (使)动乱"
fermentation,"n. 发酵
"
fern,"n. 蕨类植物
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
ferry,"n. 渡船, 渡口
"
ferryboat,n. 渡船
fertilize,"vt. 施肥, 使丰饶, 使受精"
fertilise,"vt. 使肥沃, 施肥于, 使多产, 使丰富, 使受精"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fertiliser,[化] 肥料
feudal,"a. 封建制度的, 封地的, 领地的"
feudalism,"n. 封建主义, 封建制度"
fiancé,无
fiancée,无
fibre,"n. 纤维, 构造, 纤维制品
"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
fiery,"a. 炽热的, 热烈的, 暴躁的"
filament,"n. 细丝, 细线, 灯丝, 单纤维
"
filling,"n. 充填物, 填料
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
filthy,"a. 污秽的, 丑恶的"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
finalist,"n. 决赛选手, 决赛队"
financier,"n. 财政家, 金融家
vi. 从事欺骗性金融活动, 欺骗"
fingernail,n. 手指甲
fingerprint,"n. 指纹
vt. 采指纹"
fir,"n. 枞树, 杉木
"
firearm,"n. 火器, 枪炮"
firecracker,"n. 爆竹, 鞭炮
"
fire drill,消防演习
fire engine,"消防车
"
firefighter,n. <美>消防队员
fireman,"n. 救火队员, 消防队员
"
fireplace,n. 壁炉
fireproof,"a. 耐火的, 防火的
vi. 变成有耐火性"
fireside,"n. 炉边, 家庭, 家庭生活
a. 在火炉边的, 非正式的"
firewood,n. 木柴
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
firstborn,"a. 第一胎生的
n. 初生儿, 长男, 长女"
firsthand,"a. 直接的, 直接得来的, 直接采购的
adv. 直接地"
first-rate,"n. 一级战舰；一流人物
adj. 第一等的
adv. 〈口〉非常(好)地
"
fission,"n. 裂开, 分裂, 分体
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
fixed,"a. 固定的, 不变的
"
flagship,n. 旗舰
flagstaff,n. 旗竿
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
flannel,"n. 法兰绒, 法兰绒衣服"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flashlight,"n. 手电筒, 闪光信号灯"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flattery,"n. 谄媚, 阿谀, 巴结"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flea,"n. 跳蚤
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
fleece,"n. 羊毛, 羊毛制的覆盖物
vt. 剪下羊毛, 诈取"
flexibility,"n. 弹性, 适应性
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibly,"adv. 易曲地, 柔软地"
flick,"n. 快速的轻打, 轻打声, 弹开
v. 轻弹, 轻轻拂去, 忽然摇动"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flint,"n. 打火石, 燧石, 极硬的东西
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
flowchart,"n. 流程图, 作业图
"
flowerbed,n. 花坛
flowerpot,"n. 花盆, 花钵"
fluent,"a. 流利的, 流畅的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fluorescent,"n. 荧光
a. 荧光的"
flutist,"n. 横笛吹奏者, 笛手"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
flyover,"n. 立交桥, 天桥, 立交马路"
flypast,"n. 空中分列, 低空编队飞行"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
fodder,"n. 饲料, 草料, 素材, 弹药
vt. 喂"
foe,"n. 仇敌, 反对者, 敌人, 对手"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
foggy,"a. 雾深的, 模糊的"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
foliage,"n. 树叶, 植物"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
foodstuff,"n. 食品, 粮食"
footballer,"n. 足球员, 足球选手"
footnote,"n. 脚注
"
footpath,"n. 步道, 人行道, 小路"
footprint,"n. 足迹
"
footstep,"n. 脚步, 脚步声, 足迹"
footwear,"n. 鞋类, 靴类"
ford,"n. 浅滩, 福特汽车
v. 涉过, 涉水"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
forearm,"n. 前臂
vt. 预先武装, 准备"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forefather,n. 祖先
forefinger,"n. 食指
"
foregoing,"a. 前面的, 先前的, 前述的"
forehead,"n. 额, 前额, 前部
"
foreleg,"n. 前腿, 前脚"
foreman,"n. 领班, 工头, 陪审长
"
forename,n. 名
foresight,"n. 远见, 深谋远虑
"
forestry,"n. 林学, 森林地
"
foreword,"n. 前言, 序"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
formalize,"vt. 使正式, 使整形, 形式化
vi. 拘泥于形式"
formalise,"vt. 使（协议、计划等）成书面文字形式; 使成为正式, 使具有一定形式"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
forthcoming,"a. 即将来临的
n. 来临"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
fortnight,n. 两星期
fortress,"n. 城堡, 要塞
vt. 筑要塞, 以要塞防守"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
fowl,"n. 鸟, 飞禽, 家禽
vi. 打鸟"
foyer,"n. 门厅, 入门大堂"
fraction,"n. 小部分, 破片, 分数
"
fractional,"a. 部分的, 碎片的, 微少的, 断片的, 分数的, 分馏的
"
fragile,"a. 易碎的, 脆的
"
fragment,"n. 碎片, 破片, 片段
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
fragrance,"n. 芬芳, 香味"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
fraternity,"n. 友爱, 互助会, 大学生联谊会"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
freebie,n. 免费的东西；免费赠品（尤指戏院赠券）
freezer,"n. 冰库, 冰箱, 冷冻库"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
frequency,"n. 频率, 频数
"
freshwater,"a. 江河湖泊的, 淡水的"
fretful,"a. 烦燥的, 焦噪的, 起波纹的"
friction,"n. 摩擦, 摩擦治疗, 不和
"
fright,"n. 惊骇, 吃惊
"
frightening,a. 令人恐惧的；引起突然惊恐的
frightful,"a. 可怕的, 惊人的, 丑的, 非常的"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
fro,"adv. 向那边, 向后"
frontier,"n. 边界, 边境
"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
frosting,"n. 霜状白糖, 无光泽面, 装饰玻璃粉
"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
frugal,"a. 节俭的, 朴素的"
fruitless,"a. 不结果的, 不长果实的, 无子的"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustration,"n. 挫折, 顿挫
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
funfair,"n. 游乐园, 游乐场"
fungus,"n. 真菌, 真菌类植物
"
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
furnish,"vt. 供给, 提供, 装设
"
furthermore,"adv. 此外, 而且"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
fusion,"n. 熔合物, 结合, 熔合
"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
futile,"a. 无用的, 琐细的, 不重要的"
gadget,"n. 小配件, 小玩意, 诡计"
gaily,"adv. 华丽地, 欢乐地"
gale,"n. 狂风, 大风, 定期租金
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
gallon,"n. 加仑
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
gallows,"n. 绞架, 绞刑
"
gambler,"n. 赌博者, 赌徒
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
gangster,"n. 流氓, 歹徒
"
gaol,"n. 监禁, 监狱
vt. 监禁"
gaoler,"n. 监狱看守
"
garlic,"n. 大蒜
"
garment,"n. 衣服, 衣装, 外表"
garrison,"n. 守备队, 驻军, 要塞
vt. 守备, 派兵驻守"
gaseous,"a. 气体的, 气态的, 无实质的
"
gash,"n. 深长的伤口, 很深的裂缝
v. (使)负深伤, 划开, 砍入很深"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
gateway,"n. 门, 通路
"
gauze,"n. 薄纱, 纱布, 金属网
"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
gem,"n. 珠宝, 宝石, 珍贵之物
vt. 饰以宝石"
generalization,"n. 一般化, 普遍化, 概括
"
generalisation,"n. 概括, 普遍化, 一般化, 归纳"
generator,"n. 产生器, 发电机, 生产者
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
geographic,"a. 地理(学)的, 地区(性)的"
geographical,"a. 地理学的, 地理的"
geologist,"n. 地质学家, 地质学者"
geology,"n. 地质学, 地质情况"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
geometry,"n. 几何学
"
geopolitics,n. 地缘政治学
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
gerund,n. 动名词
get-together,"聚集, 收集, 积累"
ghetto,n. 犹太人区
ghostly,"a. 幽灵的, 影子似的, 精神的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gifted,a. 有天才的
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
gild,"vt. 镀金, 虚饰, 装饰, 供给钱"
gin,"n. 杜松子酒, 轧棉机, 陷阱
vt. 轧棉, 用陷阱捕"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
Gipsy,vi. 流浪
gist,"n. 要点, 要旨, 依据
"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
glacier,n. 冰川
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
gland,"n. 腺, 密封套
"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glaring,"a. 闪耀的, 炫目的, 瞪视的"
glasshouse,"n. 温室, 玻璃工场, 禁闭房"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glider,"n. 滑翔员, 滑翔机"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
glorious,a. 光荣的
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
glossy,"a. 平滑的, 有光泽的"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
gong,"n. 铜锣, 皿形钟
vt. 鸣锣召唤"
good-hearted,a. 好心肠的
good-humoured,"a. 心情好的, 脾气好的, 心情愉快的"
good-looking,"貌美的,漂亮的"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
gorgeous,"a. 华丽的, 灿烂的"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
gosh,"interj. 唉, 天啊, 天哪"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
Gothic,"n. 哥特风格
a. 哥特式的, 野蛮的"
gourmet,n. 美食家
governess,n. 女家庭教师
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
grammatical,"a. 语法的, 合乎语法的
"
gramophone,n. 留声机
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
grandstand,"n. 正面看台, 观众"
granite,"n. 花岗岩
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
grapevine,"n. 葡萄藤, 葡萄树, 秘密情报网"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
graphics,"n. 制图法, 制图学, 图解算法, 图形显示
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
grasshopper,"n. 蚱蜢, 蝗虫"
grassland,"n. 牧草地, 草原"
grass roots,"乡村地区, 乡村民众, 基层, 基础"
graveyard,n. 墓地
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
greed,"n. 贪欲, 贪婪"
greenery,"n. 绿叶, 绿树, 装饰用的绿树枝或叶"
greengrocer,"n. 蔬菜水果商, 菜贩"
grenade,n. 手榴弹
greyhound,n. 快速船
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
grimace,"n. 鬼脸, 怪相
vi. 扮鬼脸, 作怪相"
grime,"n. 尘垢, 煤尘, 污点
vt. 使污秽, 使...弄脏"
grin,"n. 露齿笑
v. 露齿而笑"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
grinder,"n. 推磨的人, 研磨者
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
grope,"v. 摸索
n. 摸索"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
groundwork,"n. 地基, 基础, 根据"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
grown-up,"成年的,适于成年人的"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
grunt,"vi. 作呼噜声
vt. 咕哝
n. 呼噜声, 咕哝"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guerrilla,n. 游击队
guillotine,"n. 断头台, 截断机, 切除器
vt. 用断头台斩首, 用截断机切"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
gullible,"a. 易受骗的
"
gulp,"vt. 吞, 大口大口地吸气, 吸收, 抑制
vi. 吞咽
n. 吞咽
"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
gunpowder,"n. 火药
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
gymnasium,"n. 健身房, 体育馆
"
gymnastic,"a. 体操的, 体育的"
gymnastics,"n. 体操, 体育
"
gynecology,"n. 妇科医学
"
gynaecology,n. 妇科学
habitable,"a. 适于居住的, 可居住的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
habitation,"n. 居住, 住所"
