primarily,"adv. 主要地, 首先地"
heir,"n. 继承人, 嗣子, 后嗣
"
dolphin,n. 海豚
circulate,"v. (使)流通, (使)循环, (使)传播"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
slogan,"n. 呐喊声, 标语, 口号"
sensation,"n. 感觉, 轰动
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
exaggerate,"v. 夸大, 夸张"
impart,"vt. 给予, 传授, 告知"
ethnic,"a. 人种的, 种族的
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
tentative,"n. 试验
a. 试验性的, 暂时的"
arrange,"v. 安排, 排列, 达成协议
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
frantic,"a. 狂乱的, 疯狂的"
apartment,"n. 房间, 公寓"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
divert,"vt. 转移, 使欢娱
vi. 转移"
dwell,"vi. 居住, 居住(于), 存在(于)"
eagle,"n. 鹰, 鹰状标饰"
artillery,"n. 火炮, 炮兵, 炮术
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
pretext,"n. 借口, 托词
v. 以...为借口"
courage,"n. 勇气, 胆量"
imaginary,"a. 想像的, 虚构的, 假想的"
allocate,"vt. 分派, 分配
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
compulsory,"a. 被强制的, 强迫的, 义务的
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
flask,"n. 细颈瓶, 烧瓶, 小水瓶
"
cucumber,"n. 黄瓜
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
ingredient,"n. 成分, 因素
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
detection,"n. 发现, 察觉, 探测
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
assassination,"n. 暗杀
"
testify,"v. 证明, 作证, 声明, 表明"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
insight,"n. 察看, 洞察力, 见识
"
concept,"n. 观念, 概念
"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
instrument,"n. 工具, 手段, 仪器
"
fantasy,"n. 幻想, 想象的产物
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
acquaintance,"n. 认识, 相识者"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
elementary,"a. 初步的, 基本的
"
mingle,v. (使)混合
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
scenery,"n. 风景, 景色, 舞台布景"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
theme,"n. 主题, 话题, 题目"
therefore,"adv. 因此, 所以"
thereafter,"adv. 其后, 从那时以后"
famine,"n. 饥荒, 缺乏, 饥饿"
mistress,"n. 主妇, 女主人, 情妇"
promising,"a. 有希望的, 前途有望的
"
parasite,"n. 寄生生物, 寄生虫, 食客
"
militant,a. 好战的
arc,"n. 弧, 弧形, 弓形, 弧光
"
limitation,"n. 限制, 缺陷, 限额
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
optimism,"n. 乐观主义, 乐观, 乐天
"
inaugurate,"vt. 开始, 举行...就职典礼"
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
diverse,"a. 不同的, 变化多的"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
drought,"n. 干旱, 缺乏"
thorn,"n. 刺, 棘, 荆棘"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
outbreak,"n. 爆发, 暴动
"
thigh,"n. 大腿, 股
"
prevail,"vi. 获胜, 流行, 盛行
"
terror,"n. 恐怖, 可怕的人
"
threshold,"n. 门槛, 入口, 开端, 阈
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
threat,"n. 恐吓, 恶兆, 威胁
"
dedicate,"vt. 献出, 贡献"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
entertainment,"n. 娱乐, 款待, 娱乐表演"
invisible,"a. 看不见的, 无形的
"
throne,"n. 王座, 君主"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
meadow,"n. 草地, 牧场"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
apology,"n. 道歉, 辩护
"
slum,"n. 贫民窟
vi. 访问贫民区"
knit,"v. 编织, 结合"
beforehand,adv. 预先
evident,"a. 显然的, 明显的"
aspect,"n. 外观, 方面, 面貌, 方向
"
timely,"a. 及时的, 适时的
adv. 及时地"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
generate,"vt. 产生, 发生, 导致
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
magistrate,"n. 长官, 法官, 推事
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
burial,"n. 埋葬, 葬礼
"
tolerate,"vt. 宽容, 容许, 有耐力"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
oxygen,"n. 氧
"
simultaneous,"a. 同时的, 同时发生的
"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
cavity,"n. 洞, 空穴, 腔
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
trademark,"n. 商标
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
comedy,"n. 喜剧, 有趣的事情"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
transaction,"n. 交易, 办理, 学报, 和解协议
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
commonwealth,n. 共和国；联邦；国民整体
Easter,n. 复活节
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
transcend,"vt. 超越, 胜过"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
memorize,"vt. 记住, 熟记, 背熟"
carve,"v. 雕刻, 切开"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
install,"vt. 安装, 安置, 使就职
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
catastrophe,"n. 大灾难, 大祸
"
astrology,"n. 占星术, 占星学"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
metallic,"a. 金属的, 含金属的, 产生金属的
"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
inhabitant,"n. 居民, 居住者
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
dental,"a. 牙齿的
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
incentive,"n. 动机
a. 激励的"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
aviation,"n. 航空, 航空学, 飞行术
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
rely,"vi. 信赖, 依赖, 信任"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
salvation,"n. 拯救, 救助, 救世"
portray,"vt. 描绘, 描写, 描绘...的肖像"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
sergeant,"n. 警察小队长, 军士"
treaty,"n. 条约, 谈判
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
coalition,"n. 结合体, 结合, 联合
"
resent,"vt. 愤恨, 憎恶, 怨恨"
liner,"n. 班机, 划线者, 定期船, 衬里
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
afflict,"vt. 使苦恼, 折磨"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
tremendous,"a. 巨大的, 非常的, 可怕的"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
recession,"n. 后退, 凹处, 衰退, 归还
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
tribe,"n. 宗族, 部落, 一群人
"
defiance,"n. 蔑视, 挑战
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
inherent,"a. 固有的, 与生俱来的
"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
speculate,"vi. 深思, 推测, 投机
"
clearance,"n. 清除, 间隙
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
necessitate,"vt. 迫使, 使成为必需, 需要"
breakthrough,"n. 突破
"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
disturb,"vt. 扰乱, 妨碍, 使不安
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
kidney,"n. 肾, 个性
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
cite,"vt. 引用, 引证, 表彰
"
atlas,"n. 地图集, 图表集
"
mechanic,"n. 机械工, 技工
a. 手工的"
exemplify,"vt. 例证, 例示
"
minibus,"n. 中客车, 小型公共汽车"
multitude,"n. 多数, 群众"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
existence,"n. 存在, 生存
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
enclosure,"n. 附件, 围墙, 围绕
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
oak,"n. 橡树, 橡木
a. 橡木制的"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
derive,"vt. 得自
vi. 起源"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
intrinsic,"a. 本质的, 原有的, 真正的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
disastrous,"a. 损失惨重的, 悲伤的"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
intuition,"n. 直觉, 直觉的知识"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
homogeneous,"a. 同种的, 同质的, 齐性的
"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
infect,"vt. 传染, 感染
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ridiculous,"a. 荒谬的, 可笑的"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
complexion,"n. 肤色, 情况, 局面
"
forthcoming,"a. 即将来临的
n. 来临"
deprive,"vt. 剥夺, 使丧失
"
confer,"vt. 授予, 带来
vi. 协商"
naive,"a. 天真的, 纯真的, 幼稚的"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
accordance,"n. 一致, 和谐"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
ultraviolet,"a. 紫外线的
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
porch,"n. 门廊, 走廊"
rational,"a. 理性的, 合理的
n. 有理数"
luggage,"n. 行李, 皮箱"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
underestimate,"n. 低估
vt. 低估, 看轻"
garbage,"n. 垃圾, 废物
"
unanimous,"a. 意见一致的, 无异议的"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
undergo,"vt. 遭受, 经历, 忍受
"
underlying,"a. 在下面的
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
diplomat,"n. 外交官, 有外交手腕的人
"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
degrade,"v. (使)降级, (使)退化"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
bonus,"n. 奖金, 红利
"
unemployment,"n. 失业, 失业人数
"
convenience,"n. 方便, 便利的事物, 方便的时候"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
unify,"v. 统一, 使成一体"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
aesthetic,"a. 美学的, 审美的, 有美感的"
quota,"n. 配额, 限额
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
update,"vt. 更新, 使现代化
n. 更新
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
universe,"n. 宇宙, 星系, (思想等)范围"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
obstacle,"n. 障碍, 妨害物, 阻碍"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
equality,"n. 平等, 均匀, 相等
"
multiply,"v. 繁殖, 乘, 增加
"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
canvas,"n. 帆布, 画布, 油画
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
bibliography,"n. 参考书目
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
champagne,"n. 香槟酒, 香槟酒色
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
perfection,"n. 完美, 完成, 极端
"
adjoin,"v. 邻接, 毗连"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
exert,"vt. 发挥, 运用, 施以影响
"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
equip,"vt. 装备, 配备
"
utilize,vt. 利用
deport,"vt. 举止, 驱逐出境
"
quartz,"n. 石英
"
versus,"prep. 对...
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
owl,"n. 猫头鹰
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
ferry,"n. 渡船, 渡口
"
distract,"vt. 转移, 分心, 使发狂"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
council,"n. 会议, 委员会
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
contrive,"v. 发明, 设计, 图谋"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
bronze,"n. 青铜, 铜像
a. 青铜色的"
