irrational,"n. 无理数
a. 无理性的, 不合理的"
gigantic,"a. 巨人般的, 巨大的"
omission,"n. 省略, 遗漏, 疏忽
"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
aspersion,"n. 诽谤, 中伤, 洒水
"
like-minded, 有同样想法的; 志趣相投的
facilitate,"vt. 使容易, 促进, 帮助
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
supplementary,"a. 补足的, 补充的, 追加的
"
ad hoc,"特别地
"
detritus,"n. 碎石
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
bookish,"a. 好读书的, 书呆子的"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
centerpiece,n. 中心装饰品；放在餐桌中央的摆饰
impalpable,"a. 不可触知的, 不能感知的, 难以理解的
"
intangible,"a. 难以明了的, 无形的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
dynamism,"n. 物力论, 力本说
"
vitality,"n. 活力, 生命力
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
ensue,"vi. 跟着发生, 继起
vt. 追求"
discrepancy,"n. 不符合, 差异, 不相符之处
"
unadorned,"a. 无装饰的, 未装饰的, 不加渲染的, 朴素的"
quackery,"n. 骗人的治疗, 招摇撞骗, 骗子的行为
"
peculiarity,"n. 特质, 特性, 怪癖"
peculiarly,"adv. 特别, 尤其, 奇怪地"
gossamer,"n. 小蜘蛛网, 蛛丝, 薄纱
a. 薄弱的, 轻飘飘的"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
melodramatic,"a. 传奇剧风格的, 戏剧似的, 夸张的"
provenance,"n. 起源, 出处"
origin,"n. 起源, 起因, 出身, 开端
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
old-fashioned, 古典鸡尾酒
egregious,"a. 异乎寻常的, 过分的, 惊人的"
consensus,"n. 合意, 一致, 同感
"
disinclination,"n. 不愿, 不感兴趣, 厌恶"
dilatory,"a. 拖拉的
"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
emulation,"n. 效法, 竞争
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
interminable,"a. 无限的, 冗长的"
extenuate,"vt. 减轻, 为...找借口
"
mitigate,"vt. 温和, 缓和, 减轻
"
ameliorate,"v. 改善, 改良, 改进"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
diminish,"v. (使)减少, (使)变小"
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
utopia,"n. 乌托邦, 理想国"
desertion,"n. 丢掉, 遗弃, 逃亡
"
glean,"v. 拾落穗, 收集"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
marked,"a. 有记号的, 显著的, 醒目的
"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
hitch,"n. 猛拉, 急推, 蹒跚, 故障
vt. 猛拉, 系住
vi. 蹒跚, 被钩住"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
pseudoscience,"n. 假科学, 伪科学"
camaraderie,n. 友情；同志之爱
solidarity,"n. 团结, 团结一致, 共同一致
"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
eminent,"a. 显赫的, 杰出的, 有名的"
eminence,"n. 显赫, 名家, 高处
"
maelstrom,"n. 大漩涡, 极度混乱"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dismissal,"n. 免职, 解雇
"
dismissive,a. 轻视的
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
encyclopedic,"a. 如百科辞典的, 百科全书式的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
artistry,n. 艺术性
enigma,"n. 谜, 费解的事物"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
perplexing,"a. 令人费解的, 令人困惑的"
confounding,n. 混杂；混淆
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimal,"a. 最小的, 极微的, 最小限度的
"
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
detriment,"n. 损害, 损害物
"
detrimental,a. 有害的
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
concede,"vt. 承认, 退让
vi. 让步"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
sift,"vt. 筛, 过滤, 撒, 详查
vi. 筛, 被筛下, 精选"
self-styled,"a. 自称的, 自任的"
fraught,"a. 含有...的, 伴着...的, 充满...的"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
controversial,"a. 争论的, 论争的, 被议论的"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
rule out,"na. 排除
"
laypeople,"n. 外行, 非专业人员, 未担任神职的一般信徒"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
lucidity,"n. 明朗, 清澈, 透明
"
dubious,"a. 可疑的, 不确定的"
essentially,"adv. 本质上, 本来"
hard-nosed,"顽固的,理性实际的"
prophylactic,"a. 预防性的
n. 预防药, 预防法, 避孕用品"
foreordain,"vt. 注定, 预定命运"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
cynicism,n. 犬儒主义
insouciance,n. 无忧无虑
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
droll,"a. 好笑的, 滑稽的, 逗趣的"
peccadillo,"n. 轻罪, 小过, 小瑕疵"
unmediated,"a. 无中介的,未经调停的"
illusion,"n. 幻影, 错觉, 幻想
"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
"
illusionary,"a. (=illusional)错觉的, 幻影的"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
deep-seated, [医]深在的
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
ascribe,"vt. 归因于, 归咎于
"
attributable,a. 可归于...的
ambivalent,"a. 矛盾的, 模棱两可的
"
ambivalence,"n. 矛盾情绪
"
savior,"n. 救助者, 救世主, 救星"
mundane,"a. 现世的, 世俗的, 宇宙的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
uninspired,"a. 未受灵感启迪的, 无灵感的, 缺乏创见的"
prosaic,"a. 散文的, 散文体的, 平凡的"
sacrosanct,a. 极神圣的
dazzling,"a. 眼花缭乱的, 耀眼的"
recast,"vt. 重铸, 重作, 改造
n. 重铸, 改换角色"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
temptation,"n. 诱惑, 诱惑物
"
tempting,"a. 诱惑人的, 吸引人的"
tantamount,"a. 同等的, 相等的, 相当于...的
"
synonymous,"a. 同义词的, 同义的"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
hyperbole,n. 夸张法
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
hyperbolic,"a. 双曲线的, 夸张法的
"
verisimilitude,"n. 好像真实, 似真, 逼真
"
realism,"n. 写实主义, 现实, 实在论
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initially,"adv. 最初, 开头"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
acquainted,a. 知晓的；有知识的；熟识的
acquaintance,"n. 认识, 相识者"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
caterwaul,"n. 猫叫春声, 象猫叫春的声音
vi. 叫春, (象猫一样)号叫"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
enormity,"n. 暴行, 极恶, 巨大
"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
at first glance," 一看就, 初看, 乍看起来"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
refute,"vt. 反驳, 驳斥；驳倒"
irrefutable,"a. 不能反驳的, 不能驳倒的
"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
diametrically,"adv. 完全地, 直径方面, 正好相反地, 截然地"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
confinement,"n. 限制, 被禁闭, 分娩
"
peripatetic,"a. 徒步的, 漫游的
n. 走来走去的人, 游历"
itinerant,"a. 巡回的
n. 巡回者"
perforce,"adv. 必然地, 只得"
nomenclature,"n. 命名法, 专门语, 术语
"
abound,"vi. 大量存在, 富于, 充满"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
nation-state, 单一民族国家
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
somnolent,"a. 想睡的, 催眠的
"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
avert,"vt. 转开, 避免, 防止"
stave off,"避开, 挡开, 延迟"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
feign,"vt. 假装, 装作
vi. 作假"
feigned,"a. 假的, 做作的, 捏造的
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
dilution,"n. 冲淡, 淡度, 稀度, 稀释物, 冲淡物, 稀释
"
acquiesce,"vi. 默许, 默然同意"
acquiescence,"n. 默许, 默认
"
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受
vt. 登记入册"
panacea,"n. 万能药, 灵丹妙药
"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
impede,"vt. 妨碍, 阻碍, 阻止"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
anthropomorphic,"a. 被赋于人形的
"
sonorous,"n. 宏亮的, 响亮的, 作响的
"
decided,"a. 确定的, 坚决的"
nepotistic,a. 裙带关系的；重用亲戚的；任人唯亲的
nepotism,"n. 偏袒亲属, 起用亲戚"
cronyism,n. 任人唯亲
cantankerous,"a. 专爱唱反调的, 爱吵架的"
animadversion,"n. 批评, 责备"
empirical,"a. 完全跟据经验的, 经验主义的
"
conjectural,"a. 推测的, 好推测的"
speculative,"a. 思索性的, 投机的, 推测的
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
empiricism,"n. 经验主义, 庸医的医术, 经验论
"
interdependence,n. 互相依赖
interrelationship,n. 相互关系
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provisional,"a. 暂时的, 暂定的, 临时的
"
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
responsive,"a. 回答的, 应答的, 易感应的"
degrade,"v. (使)降级, (使)退化"
degradation,"n. 降格, 堕落, 退化
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
resurgence,"n. 再起, 复活, 再现"
exuberance,"n. 茂盛, 茂盛的生长物, 丰富"
evenhanded,"a. 公平的, 公平无私的"
impartial,"a. 公平的, 不偏不倚的
"
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitation,"n. 开发, 开采, 剥削
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
austere,"a. 严峻的, 禁欲的, 简朴的"
solemn,"a. 严肃的, 郑重的, 庄严的"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
austerity,"n. 朴素, 苦行, 严格, 严峻"
lionize,"vt. 将...以名人待之, 游览...的名胜
vi. 结交名流"
stipulate,"v. 规定, 保证"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
hidebound,"a. 思想偏狭顽固的, 死板的, 量小的
"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
pick up,"v. 拾起；探出；重新开始
"
curtail,"vt. 缩减, 剥夺, 简略
"
retrench,"vt. 紧缩, 减少, 删除
vi. 削减费用"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
dispersal,"n. 散布, 传播, 分散"
foresee,"vt. 预见, 预知"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
prefigure,"vt. 预示, 预见, 预想"
foretell,"vt. 预言, 预告, 预示"
predict,"v. 预知, 预言, 预报"
foreseeable,"a. 可预知的, 能预测的
"
predictable,a. 可预言的
even-tempered,a. 性情平和的
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
make the grade,"成功, 爬上陡坡"
impugn,"vt. 责难, 抨击, 攻击
"
decipher,"vt. 译解, 解释
n. 密电译文"
foment,"vt. 热敷, 煽动"
lengthy,"a. 冗长的, 漫长的"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
euphemism,"n. 委婉说法, 委婉语"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
overarching,"a. 首要的
v. 在…上方成拱形( overarch的现在分词 )"
imminent,"a. 即将来临的, 逼近的"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
preordain,"vt. 注定, 预先决定"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
cook sth. up,"v. 伪造
"
middle ground,"n. 妥协, 中间立场; 水道边浅滩"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
healthy,"a. 健康的, 有益健康的, 卫生的
"
inflated,"a. 膨胀的, 充了气的, 夸张的, 通货膨胀的"
malodorous,a. 有恶臭的
noisome,"a. 有害的, 恶臭的, 有毒的, 可厌的, 令人不快的"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
fabricate,"vt. 制造, 建造, 装配, 伪造"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
harrowing,"a. 痛心的, 悲惨的
"
representation,"n. 表示法, 表现, 陈述, 代表
"
misrepresent,"vt. 不如实地叙述(或说明), 不称职地代表"
fragile,"a. 易碎的, 脆的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
fragility,"n. 脆弱, 虚弱
"
collegial,"a. 学校的, 大学的, 大学生的, 社团的"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hierarchical,"[计] 分级的, 分层的, 层次的"
stratified,a. 分层的；形成阶层的；分为不同等级的
feasible,"a. 能实行的, 可行的, 适宜的
"
dominate,"v. 支配, 占优势"
dominant,"a. 占优势的, 支配的
"
make sth. up,"na. 弥补；起草；定；签订
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
toxin,"n. 毒素
"
truncate,"vt. 切去头端, 缩短, 截棱, 使成平面
a. 切去了头的, 缩短了的"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
differentiate,"v. 区别, 区分"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
flawless,"a. 无瑕疵的, 无缺点的
"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
snub,"n. 冷落, 怠慢, 斥责, 制止
a. 制动用的, 短而扁的
vt. 冷落, 怠慢, 制止, 使...停住, 掐灭"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
conflate,vt. 合并；异文合并
flummox,"vt. 使狼狈, 使失措, 使混乱, 挫败
n. 失败"
confound,"vt. 使混淆, 使狼狈, 挫败"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
sketchy,"a. 概略的, 草草完成的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
nester,n. 穴居的兽；筑巢的鸟；放牧地自耕农；试验筛组的单位筛
denounce,"vt. 告发, 抨击, 谴责
"
lambaste,"vt. 痛打, 严责"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
permeable,"a. 有渗透性的, 能透过的
"
avid,"a. 渴望的, 急切的, 劲头十足的"
avidity,"n. 热望, 急切, 利欲心
"
architect,"n. 建筑师, 设计者, 缔造者"
dejected,"a. 沮丧的, 灰心的"
invective,"n. 恶言漫骂, 臭骂
a. 漫骂的, 非难的, 恶言的"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
restorative,"a. 恢复健康的, 滋补的
n. 兴奋药, 补药"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
instigate,"vt. 教唆, 怂恿, 煽动
"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
censure,"n. 责难
vt. 非难, 指责"
reprehend,"vt. 申斥, 谴责, 非难"
censorious,"a. 爱批判的, 挑剔的"
encomium,"n. 赞辞, 称赞, 赞美"
tribute,"n. 贡物, 礼物, 颂辞"
unbridled,"a. 无缰辔的, 不受控制的, 无拘束的"
remuneration,"n. 报酬
"
falsity,"n. 虚伪, 错误, 不忠实, 谎言
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
portrayal,"n. 描绘, 描写, 画像, 肖像
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
divination,"n. 占卜, 卜卦, 预测"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
proximity,"n. 接近, 亲近"
rosy,"a. 蔷薇色的, 玫瑰红色的"
sophistication,"n. 诡辩, 老于世故, 复杂(性)
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
immortality,"n. 不朽, 不灭的声望"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
extraneous,"a. 外来的, 非必要的, 无关的
"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
implication,"n. 牵连, 含义, 暗示
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
concede,"vt. 承认, 退让
vi. 让步"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
privileged,"a. 有特权的, 有特别恩典的
"
empathy,"n. 移情作用, 共鸣
"
commentary,"n. 注释, 评论, 说明
"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
occupant,"n. 占有者, 居住者, 占用者"
preempt,"vt. 先买, 先取
vi. 先发制人地叫牌"
disposition,"n. 性情, 处置, 处理, 布置
"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
literacy,"n. 读写能力, 识字, 精通文学"
ethics,"n. 道德规范
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
ethos,n. 气质；民族精神；社会思潮
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
ingenuous,"a. 坦白的, 正直的, 天真的"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
insincere,"a. 不诚实的, 无诚意的, 伪善的"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
intransigent,"a. 非妥协性的
n. 不妥协的人"
incubator,"n. 孵卵器, 细菌培养器, 早产儿保育器
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
lose out,"(比赛)输掉, 失败"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
facile,"a. 容易的, 灵巧的, 温和的"
incursion,"n. 侵入, 侵略, 奇袭"
deteriorate,v. (使)恶化
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
viable,"a. 能养活的, 能生长发育的
"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
inviolable,"a. 不可亵渎的, 不可侵犯的, 神圣的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
divert,"vt. 转移, 使欢娱
vi. 转移"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
diverting,"a. 有趣的, 娱乐的"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
irritating,"a. 刺激的, 使愤怒的, 气人的"
annoying,"a. 恼人的, 讨厌的"
irritation,"n. 刺激, 烦恼, 刺激物
"
supple,"a. 柔软的, 逢迎的, 顺从的
vt. 使柔软, 使顺从"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
adaptable,"a. 能适应的, 适合的, 可修改的"
explicit,"a. 详述的, 清楚的, 直言的"
interrelationship,n. 相互关系
bighearted,"a. 宽大的, 慷慨的"
vernacular,"n. 本地话, 方言
a. 地方的, 用本地语写成的"
suffice,"vi. 足够, 有能力
vt. 满足"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
fabled,"a. 寓言(或传说、神话)中的, 虚构的"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
benign,"a. 善良的, 良性的
"
obedience,"n. 服从, 顺从, 忠实
"
affluence,"n. 富裕, 丰富, 流注
"
opulence,"n. 富裕, 丰富, 大量"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
dense,"a. 密集的, 浓厚的"
fantasy,"n. 幻想, 想象的产物
"
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
hortatory,a. 激励的
methodical,"a. 有方法的, 有系统的"
thorough,"a. 十分的, 彻底的"
exiguous,"a. 稀少的, 细微的, 细小的"
exiguity,"n. 稀少, 微小"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
dedication,"n. 奉献, 献身, 献辞
"
dedicated,"a. 专注的, 献身的"
a priori,"由因及果的, 演绎的, 先验的
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
dichotomous,"a. 二分的, 叉状分枝的
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
