barren,"a. 不育的, 贫瘠的
n. 荒地"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
restrain,"vt. 抑制, 阻止, 束缚
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
altar,"n. 圣坛, 祭坛"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bugle,"n. 喇叭, 号角
v. 吹号"
charcoal,"n. 木炭
"
crisis,"n. 危机, 危险期, 紧要关头
"
deputy,n. 副手，代理人
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
premier,"n. 总理, 首相
a. 首位的, 最初的"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
salvation,"n. 拯救, 救助, 救世"
standstill,"n. 停止, 停顿
"
trample,"n. 践踏(声), 蹂躏
v. 践踏, 无视"
yoke,"n. 轭, 牛轭, 束缚
vt. 给...上轭, 连接, 结合, 使匹配
vi. 结合, 匹配
"
adorn,"vt. 装饰, 使生色"
baggage,"n. 行李
"
bunch,"n. 串, 束
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
frontier,"n. 边界, 边境
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
acquire,"vt. 获得, 学到
"
benevolent,"a. 善意的, 慈善的"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
courtesy,"n. 礼貌, 谦恭, 好意
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
internal,"a. 内在的, 国内的
"
irresponsible,a. 不负责任的；不可靠的
miserable,a. 悲惨的；痛苦的；卑鄙的
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
tentative,"n. 试验
a. 试验性的, 暂时的"
appetite,"n. 食欲, 欲望, 爱好
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
distract,"vt. 转移, 分心, 使发狂"
mutual,"a. 相互的, 共有的
"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
chauffeur,n. 司机
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
nasty,"a. 污秽的, 下流的, 险恶的"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
speck,"n. 斑点, 有斑点的东西, 污点, 缺点, 微粒, 肥肉
vt. 使有斑点"
strife,"n. 争吵, 竞争, 冲突"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
cite,"vt. 引用, 引证, 表彰
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
loiter,"v. 闲荡, 虚度, 徘徊"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
specs,"n. 眼镜, 规格, 说明书"
threshold,"n. 门槛, 入口, 开端, 阈
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
traitor,"n. 叛逆者, 叛国者
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
denial,"n. 否认
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
gale,"n. 狂风, 大风, 定期租金
"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
underworld,"n. 下层社会, 地狱, 下流社会"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
employee,"n. 职员, 员工, 受雇人员
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
legislate,"vi. 制定法律
vt. 用立法规定"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
sensation,"n. 感觉, 轰动
"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
all-out,竭尽全力
aptitude,"n. 资质, 才能, 自然倾向
"
axis,"n. 轴
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
cargo,"n. 货物
"
clergy,"n. 牧师, 僧侣, 神职人员"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
grin,"n. 露齿笑
v. 露齿而笑"
headquarters,"n. 总部, 司令部, 总部人员
"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
thigh,"n. 大腿, 股
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
banish,"vt. 驱逐, 消除
"
barrier,"n. 障碍, 栅栏
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
hinder,"a. 后面的
v. 阻碍, 打扰"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
tempest,"n. 暴风雨, 骚动
vt. 使受大风暴影响, 使骚动, 使激动"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
amenable,"a. 服从的, 会接纳的, 有义务的
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
detach,"vt. 使分离, 分遣
"
exaggerate,"v. 夸大, 夸张"
inadequate,"a. 不充分的, 不适当的
"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
mansion,"n. 大厦, 宅邸"
meek,"a. 温顺的, 逆来顺受的"
zeal,"n. 热心, 热衷, 热诚"
aggression,"n. 侵犯, 侵略
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
architect,"n. 建筑师, 设计者, 缔造者"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
dominate,"v. 支配, 占优势"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
publicity,"n. 名声, 宣传, 公开场合
"
rely,"vi. 信赖, 依赖, 信任"
retract,"v. 缩回, 收回, 取消, 撤消"
unify,"v. 统一, 使成一体"
broil,"vi. 烤, 争吵, 激动
vt. 烤
n. 烤, 灼热, 争吵"
desolate,a. 荒凉的
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
nourish,"vt. 滋养, 使健壮, 怀有"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
anew,"adv. 重新, 再"
banquet,n. 宴会
crouch,"n. 蹲伏, 蜷缩
vi. 蹲下, 蜷着, 缩着
vt. 低头"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
indignant,"a. 愤怒的, 愤慨的"
meadow,"n. 草地, 牧场"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
withstand,"vt. 抵住, 顶住, 经得起"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
exclude,"vt. 除外, 排除, 排斥
"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
plural,"n. 复数
a. 复数的, 两个以上的"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
savory,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
classify,"vt. 分类, 归类, 分等
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
destine,"vt. 注定, 预定"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
hoarse,"a. 沙哑的, 嘶哑的
"
inaugurate,"vt. 开始, 举行...就职典礼"
psychology,"n. 心理学, 心理状态
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
vengeance,"n. 复仇, 报仇
"
aisle,"n. 走廊, 侧廊, 过道
"
booth,"n. 亭, 摊棚
"
bulletin,"n. 公告, 布告, 公报
"
corpse,"n. 尸体
"
extracurricular,"a. 课外的, 业余的"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
astonish,vt. 使惊讶
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
candidate,"n. 候选人, 投考者
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
strive,"vi. 努力, 奋斗, 斗争"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
amiable,"a. 亲切的, 和蔼可亲的
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
feeble,"a. 微弱的, 衰弱的, 无效的
"
identical,"a. 同一的, 恒等的, 完全相同的
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
unfair,"a. 不公平的, 不正直的, 不正当的
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
veracity,"n. 说话老实, 老实, 诚实"
applause,"n. 鼓掌, 喝彩, 赞许"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
defiance,"n. 蔑视, 挑战
"
demonstrate,"vt. 示范, 证明
vi. 示威"
eloquence,"n. 口才, 雄辩术, 雄辩
"
exclusive,"a. 排外的, 独占的, 唯一的
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
reluctant,"a. 不情愿的, 勉强的
"
risky,a. 危险的
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
typify,"vt. 代表, 象征, 为...之典型"
adapt,"vt. 使适应, 改编
vi. 适应"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
era,"n. 时代, 纪元, 时期"
gulp,"vt. 吞, 大口大口地吸气, 吸收, 抑制
vi. 吞咽
n. 吞咽
"
proprietor,"n. 所有者
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
superstition,"n. 迷信
"
tract,"n. 大片土地, 地带, 小册子
"
wail,"n. 恸哭, 哀号, 嚎啕, 呼啸(声)
vi. 恸哭, 呼啸, 悲叹, 哀号, 嚎啕"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
