actual,"a. 真实的, 实际的, 现行的
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
dividend,"n. 被除数, 股利
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
provided,"conj. 倘若, 以...为条件"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
viewpoint,n. 观点
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
vegetation,"n. 植物
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investigate,"v. 调查, 审查"
investment,"n. 投资
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
avoid,"vt. 避免, 防止, 撤消
"
victory,"n. 胜利, 战胜, 克服"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
conviction,"n. 定罪, 信服, 坚信
"
convince,"vt. 说服, 使相信
"
province,"n. 省, 地方, 职权, 领域
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
vocabulary,"n. 词汇(量), 词汇表
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
evoke,"vt. 唤起, 引起, 召(魂)
"
provoke,"vt. 激怒, 惹起, 诱导
"
waterfall,n. 瀑布
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
well-known, 众所周知的; 出名的
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
wealthy,"a. 富有的, 丰裕的, 充分的"
commonwealth,n. 共和国；联邦；国民整体
dwell,"vi. 居住, 居住(于), 存在(于)"
dwelling,"n. 住处
"
towel,"n. 手巾, 毛巾
v. 擦干身子"
aeroplane,"n. 飞机
"
aerospace,"n. 航天空间, 航天技术"
aerate,"vt. 使暴露于空气中, 使充满气体
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aeriform,"a. 空气状的, 气态的, 无实质的
"
aeromechanics,"n. 航空力学
"
aerology,"n. 高空气象学
"
aerosphere,"n. 大气圈
"
antinuclear,a. 反对使用核武器的
antimatter,"n. 反物质
"
antiwar,"a. 反战的
"
ancestor,"n. 祖先, 祖宗"
antenna,"n. 天线, 触须, 触角
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
antipathy,"n. 厌恶, 反感
"
antithesis,"n. 对偶, 对照, 对立面"
antibacterial,"a. 抗菌的
n. 抗菌剂"
antibody,"n. 抗体
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automation,"n. 自动化, 自动操作
"
autonomy,"n. 自治, 自治权
"
autocracy,"n. 独裁统治, 独裁统治的国家
"
befriend,"vt. 待人如友, 扶助"
belittle,"vt. 轻视, 贬低"
begin,"v. 开始
"
behalf,"n. 利益, 方面"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behavior,"n. 行为, 举止
"
behind,"adv. 在后地
prep. 在...背后"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
belong,"vi. 属于, 合适"
along,"adv. 平行地, 向前
prep. 沿着"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
longitude,"n. 经度, 经线
"
beloved,"a. 心爱的
n. 心爱的人"
below,"prep. 在下面
adv. 在下面"
beside,prep. 在旁边
besides,"prep. 除...之外
adv. 而且, 此外"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
between,prep. 在...之间
beverage,"n. 饮料
"
beware,"v. 小心, 谨防"
bewilder,"vt. 使迷惑, 使不知所措"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
beguile,vt. 诱骗
belie,"vt. 掩饰, 与...不符, 使失望"
bequeath,"vt. 遗赠, 遗留
"
besiege,"vt. 围攻, 包围"
befool,"vt. 愚弄, 欺骗"
befall,v. 降临(于)
bilingual,a. 双语的
bicycle,n. 自行车
dilemma,"n. 困境, (进退两难的)窘境"
diligent,"a. 勤勉的, 用功的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
ambiguous,"a. 不明确的, 模棱两可的
"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
biweekly,"n. 双周刊
a. 两周一次的, 每周二次的
adv. 每两周一次地, 每周二次地"
bilingual,a. 双语的
biennial,"n. 两年生植物, 两年一次的事
a. 两年生的, 两年一次的"
biannual,"a. 一年两次的
"
amphicar,n. 水陆两用车
dioxide,"n. 二氧化物
"
biochemistry,"n. 生物化学
"
chemistry,"n. 化学, 化学过程
"
biosphere,"n. 生物圈
"
biography,n. 传记
biology,"n. 生物学
"
biocide,n. 杀虫剂
by-product, 副产品，副产物
byway,"n. 旁道, 偏僻小路"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
byroad,"n. 小路, 侧道"
bygone,"n. 过去的事, 往事
a. 过去的"
bywork,n. 业余工作
centigrade,"a. 百分度的, 摄氏的
"
centimetre,"n. 厘米, 公分"
century,"n. 世纪, 百年"
coauthor,"n. 合著者, 共同执笔者"
coexist,vi. 共存
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
cohesive,"a. 黏合在一起的
"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
collaborate,"vi. 合作, 勾结
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collate,"vt. 校对, 校勘
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
colleague,"n. 同事, 同僚"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
collocation,"n. 排列, 搭配, 布置"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
combination,"n. 组合, 合并, 联合
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
commemorate,vt. 纪念
common,"a. 通常的, 共同的, 通俗的, 公共的
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
commonwealth,n. 共和国；联邦；国民整体
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compassion,"n. 同情, 怜悯"
compatriot,"n. 同国人
a. 同国的, 同胞的"
concentric,"a. 同中心的, 同轴的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
confederation,"n. 同盟, 联盟, 组织联盟"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
console,"vt. 安慰, 藉慰
n. 控制台
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
cooperation,"n. 合作, 协力, 配合
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
correspond,"vi. 符合, 通信, 相当
"
correspondence,"n. 相符, 通信, 信件
"
correspondent,"n. 通讯记者, 通信者
"
corresponding,"a. 相当的, 一致的, 通信的
"
corridor,"n. 走廊, 回廊, 人口密集地带"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
contradiction,"n. 反驳, 矛盾
"
contranatural,a. 违背自然的
counteract,"vt. 抵消, 阻碍, 中和
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradiction,"n. 反驳, 矛盾
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
contraband,"n. 违禁品, 走私
a. 禁运的, 非法买卖的"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
cross-country,越野赛，横越全国的
crossbar,"n. 闩, 横木, 球门的横木"
crossover,"n. 转到另一方, 天桥, 交叉
"
crossroad,"n. 交叉路, 岔道, 十字路口"
crosswalk,n. 行人穿越道
crossway,"n. 横路, 交叉路, 十字路, 十字路口, 交叉路口, 紧要关头"
crossword,"n. 纵横填字游戏, 纵横填字字谜
"
destruction,"n. 破坏, 毁灭
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
depict,"vt. 描述, 描写"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
define,"vt. 定义, 规定, 使明确
"
definite,"a. 明确的, 一定的
"
definition,"n. 定义, 精确度, 清晰度
"
desalt,vt. 除去盐分
deforest,"vt. 滥伐森林, 砍掉...上的树林"
detrain,v. (使)下火车
decelerate,v. (使)减速
defame,"vt. 诽谤, 中伤, 破坏名誉
"
delimit,"vt. 定界限, 划界
"
disadvantage,"n. 缺点, 不利, 坏处"
disagree,"vi. 不一致, 不适宜
"
dishonest,"a. 不诚实的
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disappear,"vi. 消失, 不见"
discourage,"vt. 使气馁, 阻碍"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
distract,"vt. 转移, 分心, 使发狂"
discriminate,"v. 区别, 差别待遇"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discuss,"vt. 讨论, 论述
"
disproof,"n. 反证, 反驳
"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
dispel,"vt. 驱散, 驱逐"
dispassionate,"a. 冷静的, 不带感情的"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
distend,"v. (使)膨胀, (使)扩张"
disburse,"vt. 支付, 支出, 分配
"
embody,"vt. 具体表达, 使具体化
"
empower,"vt. 授予权力, 允许, 使能够
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
empathy,"n. 移情作用, 共鸣
"
embattle,"vt. 列阵, 布阵, 整军备战, 严阵以待"
embitter,"vt. 使受苦, 使(更)恶化, 使怨恨, 加苦味于"
embellish,"vt. 修饰, 装饰, 润色"
emboss,"vt. 浮雕, 加以浮饰, 装饰
"
enact,"vt. 制定法律, 扮演, 颁布
"
encage,"vt. 关在笼中, 禁闭, 把...关起来"
enchain,"vt. 束缚, 以铁链绑住"
enchant,"vt. 施魔法, 使入迷"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
encourage,"vt. 鼓励, 支持, 激励
"
endanger,"vt. 危及
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
exclude,"vt. 除外, 排除, 排斥
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
ex-minister,[网络] 前部长；前任部长；我把
ex-wife,n. 前妻
extracurricular,"a. 课外的, 业余的"
extracurriculum,"a. 课程以外的, 业余的"
extraordinary,"a. 非常的, 特别的, 非凡的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
exhale,"v. 呼气, 发出, 散发"
exhume,"vt. 掘出, 发掘"
ex-president,n. 前总统
extrasolar,a. [天](存在于或来自于)太阳系以外的
extraneous,"a. 外来的, 非必要的, 无关的
"
extrovert,"n. 外向性格的人
"
extrapolate,"v. 推断, 外推"
forearm,"n. 前臂
vt. 预先武装, 准备"
forewarn,vt. 预先警告
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forehead,"n. 额, 前额, 前部
"
foresee,"vt. 预见, 预知"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
forebode,"v. 预示, 预兆, 预感"
forefather,n. 祖先
foreshadow,"vt. 成为前兆, 预示"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illusion,"n. 幻影, 错觉, 幻想
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
indoor,"a. 户内的, 室内的"
irrespective,"a. 不顾的, 无关的, 没关系的"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
illogical,"a. 不合逻辑的, 无缘由的
"
illimitable,"a. 无限的, 无边际的"
impolite,"a. 无礼的, 粗鲁的"
impartial,"a. 公平的, 不偏不倚的
"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
immutable,"a. 不可变的, 不变的, 不能变的"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
impel,"vt. 推动, 激励, 驱使, 迫使"
imperil,"vt. 使处于危险, 危害"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
impersonate,"vt. 模仿, 扮演, 体现, 使人格化
"
inglorious,"a. 不名誉的, 可耻的, 不出名的"
incapable,"a. 无能力的, 不能的
"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
injustice,"n. 不公平, 非正义的行为
"
inconstant,"a. 易变的, 不定的, 反复无常的
"
innocuous,"a. 无害的, 无伤大雅的
"
inimitable,"a. 无法仿效的, 独特的, 无比的"
insubordinate,"a. 不顺从的, 地位不低的"
inborn,a. 天生的；先天的
incentive,"n. 动机
a. 激励的"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irrelative,a. 无关系的
irresolute,"a. 无决断的, 优柔寡断的, 踌躇不定的"
irreproachable,"a. 不可非难的, 无缺点的, 无过失的"
irrefutable,"a. 不能反驳的, 不能驳倒的
"
irresistible,"a. 不可抵抗的, 不能压制的
"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
infrared,"a. 红外线的
n. 红外线"
infrastructure,"n. 基础结构, 基础设施
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
intercourse,"n. 交往, 交流
"
interface,"n. 分界面, 接触面, 界面
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
intervene,"vi. 插入, 调停, 干涉
"
interchangeable,"a. 可互换的
"
interlude,"n. 幕间, 幕间时间, 插曲, 穿插, 过场
"
interrelate,v. (使)相互关联
intraparty,a. 政党内的
intercollegiate,"a. 大学间的, 校际的"
intrapersonal,"a. 个人头脑中的,内心的"
international,"a. 国际的
n. 国别设定
"
kilo,"n. 千
"
kilometer,"n. 千米, 公里
"
macroeconomics,"n. 整体经济学, 宏观经济学
"
macrostructure,"n. 宏观结构
"
macroworld,[网络] 宏观世界；微距的世界；天体物理学的大宇宙
macroscale,"n. 大规模, 宏观尺度"
macroclimate,n. 大气候
microelectronics,"n. 微电子学
"
microscope,"n. 显微镜
"
microworld,微观世界
microskirt,n. (比超短裙更短的)超超短裙
microwave,"n. 微波
"
microbe,"n. 微生物, 细菌
"
microbiology,"n. 微生物学
"
microfilm,"n. 缩影胶卷
v. 缩微拍摄
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
malnutrition,"n. 营养失调, 营养不良
"
malediction,"n. 咒, 坏话"
malefaction,"n. 罪行, 罪恶
"
malodor,n. 恶臭
malevolent,"a. 有恶意的, 坏心肠的"
midday,"n. 正午, 中午
a. 正午的"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministry,"n. 部, 内阁, 服务
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
diminish,"v. (使)减少, (使)变小"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
minify,"vt. 使变小, 使缩小, 使降低
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
mistress,"n. 主妇, 女主人, 情妇"
misspell,vt. 拼错
misdoing,"n. 做坏事, 犯罪"
misrule,"vt. 施暴政
n. 暴政"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
mishap,"n. 不幸之事, 灾祸, 恶运"
monoplane,"n. 单翼机
"
monotone,"a. 单调的
n. 单调"
monotonous,"a. 单调的, 无变化的"
monarch,"n. 帝王, 统治者, 元首
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monogamy,"n. 一夫一妻制
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
multipurpose,"[计] 多用途的, 通用的, 多功能的"
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multiply,"v. 繁殖, 乘, 增加
"
multitude,"n. 多数, 群众"
multilingual,a. 多语言的
multidirectional,a. 多方面的； 多向的
multiform,"a. 各种形式的, 多样的, 多种的
"
multicultural,a. 融合或具有多种文化的；多种文化的
multimedia,"n. 多媒体
"
nonresident,"a. 不住在工作所在地的, 走读的
n. 不住在工作所在地的人, 走读生"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
nonexistent,a. 不存在的
nonsmoking,"adj. (人)不吸烟的; (商店等公共场所)严禁吸烟的 [亦作 non-smoking, no-smoking]"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
nonconformist,"n. 不相信英国国教的人, 不符合通常准则的人, 不落俗套的人
a. 违反准则的, 不落俗套的, 违反规范的"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
outdoor,"a. 户外的, 屋外的, 露天的"
outbreak,"n. 爆发, 暴动
"
outcome,"n. 结果, 出口"
outdoor,"a. 户外的, 屋外的, 露天的"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
outlet,"n. 出口, 发泄方法, 市场
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
outlook,"n. 观点, 景色, 前途, 了望
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outdo,"vt. 超越, 胜过, 战胜"
outnumber,"vt. 数目超过, 比...多"
outsize,"a. 特大的
n. 特大号"
outwear,"vt. 穿坏, 用旧, 耗尽(力气等)"
outwit,"vt. 瞒骗, 以智取胜"
outbid,vt. 出高于...的价钱
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
outskirts,"n. 近郊, 市郊"
outflow,"n. 流出, 流出物
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
outmoded,"a. 过时的, 废弃的
"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
overcoat,n. 外套大衣
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
overhear,"vt. 无意中听到, 偷听"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overwhelming,"a. 压倒性的, 无法抵抗的"
overstudy,"n. 过度用功
v. (使)用功过度"
overwork,"n. 过度操劳的工作, 额外工作
v. (使)工作过度, 使过分劳累"
overact,"v. 夸张表演, 行动过火"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
overproduction,"n. 生产过剩
"
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
overbridge,"n. 天桥, 旱桥"
polycentric,"a. 多中心的
"
polysyllabic,a. 多音节的
polyandry,"n. 一妻多夫, 多雄蕊式
"
