define,"vt. 定义, 规定, 使明确
"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
predominance,"n. 主导地位, 优势"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
prevail,"vi. 获胜, 流行, 盛行
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
prevalent,"a. 普遍的, 流行的"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
rarely,"adv. 很少地, 罕有地"
barely,adv. 几乎不
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
somehow,adv. 不知何故
tiny,"a. 很少的, 微小的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slightly,"adv. 些微地, 苗条地"
similarity,"n. 类似, 类似处
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
likewise,"adv. 同样地, 也"
resemble,"vt. 相似, 类似"
identical,"a. 同一的, 恒等的, 完全相同的
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
seemingly,"adv. 看来似乎, 表面上看来"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
inability,"n. 无能, 无力"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intellect,"n. 智力, 出众的才华, 知识分子
"
intellectualism,"n. 智力活动, 唯理智论"
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
capacity,"n. 容量, 能力, 才能, 资格
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
qualification,"n. 资格, 条件, 限制
"
qualified,"a. 有资格的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
genius,"n. 天才, 天赋, 精神, 神魔
"
talented,"a. 天资高的, 有才能的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
liveliness,"n. 活泼, 快活, 热闹"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
skepticism,"n. 怀疑论
"
questionable,"a. 可疑的
"
ambiguous,"a. 不明确的, 模棱两可的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
vague,"a. 含糊的, 不清楚的, 茫然的"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modesty,"n. 谦逊, 质朴, 羞怯"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
prosperity,"n. 繁荣, 茂盛, 成功
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
routinely,"adv. 日常, 乏味, 常规, 例行"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
regularity,"n. 规则性, 匀整, 正规, 经常
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
dramatic,"a. 戏剧性的, 生动的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
dispute,"n. 争论
v. 争论"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
error,"n. 错误, 过失, 失误, 误差
"
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
misguided,a. 被误导的
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
exclusion,"n. 排除, 除外, 逐出
"
deprive,"vt. 剥夺, 使丧失
"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
abolish,"vt. 废止, 革除, 消灭
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
hospitality,"n. 款待, 亲切, 殷勤"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
aspect,"n. 外观, 方面, 面貌, 方向
"
element,"n. 元件, 元素, 要素
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
item,"n. 项目, 条款, 一则, 项
"
fragment,"n. 碎片, 破片, 片段
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
disproportionately,"adv. 不匀称, 不相称"
fraction,"n. 小部分, 破片, 分数
"
ratio,"n. 比, 比率
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
ingredient,"n. 成分, 因素
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
accomplishment,"n. 成就, 完成"
accomplish,"vt. 完成, 达到, 实现, 使完美"
elite,"n. 精华, 精锐, 中坚分子"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
celebrity,"n. 名声, 名人"
breakthrough,"n. 突破
"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
bizarre,a. 奇异的
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
artificial,"a. 人造的, 假的, 非原地产的
"
so-called,adj. 所谓的
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equality,"n. 平等, 均匀, 相等
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
comparable,"a. 可比较的, 比得上的"
evenly,"adv. 平衡地, 平坦地, 平等地"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibility,"n. 弹性, 适应性
"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptable,"a. 能适应的, 适合的, 可修改的"
adjustment,"n. 调整, 调节, 校正
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
faith,"n. 信心, 信任, 忠实, 保证
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
devoted,"a. 投入的, 深爱的"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
inadequate,"a. 不充分的, 不适当的
"
adequate,"a. 适当的, 足够的
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
dearth,"n. 缺乏, 粮食不足, 饥馑"
fragile,"a. 易碎的, 脆的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
sufficient,"a. 充分的, 足够的
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
abundant,"a. 丰富的, 充分的, 大量的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
abound,"vi. 大量存在, 富于, 充满"
accumulation,"n. 积聚, 累积, 积聚物
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
augment,"v. 增加, 增长
"
symbol,"n. 符号, 象征, 代号, 信条
"
symbolic,"a. 象征的, 符号的
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
encode,"vt. 把(电文、情报等)译成密码
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
embody,"vt. 具体表达, 使具体化
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
destiny,"n. 命运, 定数"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
cruel,"a. 残酷的, 令人极痛苦的
"
evident,"a. 显然的, 明显的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
markedly,"adv. 显著地, 醒目地, 明显地"
excessive,"a. 过度的, 过多的, 极端的
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
lengthy,"a. 冗长的, 漫长的"
surpass,"vt. 超越, 凌驾, 胜过"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
redundancy,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
"
superfluous,"a. 多余的, 过剩的"
credible,"a. 可信的, 可靠的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
incredible,a. 难以置信的
credibility,"n. 可信用, 确实性, 可靠
"
reliable,"a. 可靠的, 可信赖的
"
reliability,"n. 信度, 可靠性
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
dependency,"n. 属国, 保护地, 从属物
"
authentic,"a. 可靠的, 可信的, 真正的
"
frankly,adv. 坦白地
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
ethic,"n. 道德规范, 伦理"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
dignity,"n. 尊严, 高贵
"
thrift,"n. 节约, 茂盛, 海石竹"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
imaginative,"a. 想像的, 虚构的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
virtually,adv. 事实上
illusion,"n. 幻影, 错觉, 幻想
"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
slowdown,"n. 降低速度, 减速"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
readily,"adv. 迅速地, 轻易地, 乐意地"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
effortless,"a. 容易的, 不费力气的"
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
nasty,"a. 污秽的, 下流的, 险恶的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
distasteful,"a. 味道差的, 使人不愉快的, 讨厌的"
distaste,"n. 讨厌, 嫌恶"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensify,"vt. 加强
vi. 强化"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
excellent,"a. 优良的, 杰出的, 出色的"
desirable,"a. 令人想望的, 可取的"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
elegant,"a. 优雅的, 端庄的, 高雅的"
unsurpassed,"a. 未被超越的, 非常卓越的"
extraordinary,"a. 非常的, 特别的, 非凡的
"
dazzlingly,adv. 耀眼地；灿烂地
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
clarity,"n. 清楚, 明晰
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
explicit,"a. 详述的, 清楚的, 直言的"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
harmony,"n. 协调, 和睦, 调和
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
comply,"vi. 顺从, 依从
"
coordination,"n. 同等, 协调
"
consensus,"n. 合意, 一致, 同感
"
compliance,"n. 遵从, 顺从, 屈从
"
correspond,"vi. 符合, 通信, 相当
"
correspondence,"n. 相符, 通信, 信件
"
unity,"n. 一致, 联合, 单一(性), 个体
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
conformity,"n. 遵照, 适合, 一致, 相似
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
monarchy,"n. 君主政体, 君主国, 君主政治
"
monarch,"n. 帝王, 统治者, 元首
"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
nobility,"n. 贵族, 高尚, 贵族阶级"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
pointless,"a. 不尖的, 钝的, 不得要领的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
groundless,"a. 无根据的, 无理由的
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
bury,"vt. 埋葬, 埋藏"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
toxic,"a. 有毒的, 中毒的
"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
shortcoming,"n. 缺点, 短处"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
failing,"n. 失败, 缺点
prep. 如果没有...
a. 失败的"
drawback,"n. 缺点, 退税
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
insightful,"a. 有深刻见解的, 富有洞察力的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
enlightened,"a. 有知识的, 进步的, 文明的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
sophisticated,"a. 复杂的, 久经世故的
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
status,"n. 状态, 情形, 地位, 要人身份
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
variety,"n. 多样, 种类, 变种, 杂耍
"
species,"n. 种, 类, 外形
"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
category,"n. 种类, 类项
"
genre,"n. 类型, 流派"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
policy,"n. 政策, 方针, 策略, 保险单
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
election,"n. 选举, 当选, 选择权
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
healthcare,"n. 医疗保健；卫生保健；健康护理, 健康服务"
policymaker,n. 政策制定者；决策人
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
taxpayer,"n. 纳税人
"
expense,"n. 费用, 代价, 开支, 损失
"
investment,"n. 投资
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
funding,[经] 债务转期
debt,"n. 债务, 罪过
"
tuition,"n. 学费, 讲授"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
financial,"a. 财政的, 金融的
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
economic,"a. 经济上的, 实用的, 节省的
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
inflation,"n. 胀大, 夸张, 通货膨胀
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
shareholder,"n. 股东
"
stakeholder,"n. 赌金保管者
"
asset,"n. 资产, 有益的东西"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
democracy,"n. 民主政治, 民主主义
"
democratic,"a. 民主的
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
principle,"n. 原则, 原理, 主义
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
ceremony,"n. 典礼, 仪式, 礼节
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
doctrine,"n. 教条, 学说
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formation,"n. 形成, 构造, 编队
"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justified,"a. 有道理的, 合乎情理的
"
justification,"n. 辩护, 证明正当, 释罪
"
constitution,"n. 构成, 宪法, 体格
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
legislation,"n. 立法, 法律
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
