abdomen,"n. 腹部
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
soot,"n. 煤烟, 炭黑色
vt. 熏以煤烟"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
belabor,"vt. 痛打
"
circumference,"n. 圆周, 周缘, 胸围
"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
honk,"n. 雁鸣, 汽车的喇叭声
vi. 雁鸣叫, 按汽车喇叭
vt. 揿(喇叭)"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
brag,"n. 吹牛
v. 吹牛"
cleanse,"vt. 使清洁, 净化, 使纯净
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
foxhole,n. 散兵坑
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
notation,"n. 记号, 符号表示法, 注释
"
ransom,"n. 赎金, 赎身, 赎回
vt. 赎, 赎身, 赎回, 勒索赎金"
sop,"n. 面包片, 湿透的东西, 一滩(液体), 小贿赂, 懦夫
vt. 浸湿, 吸水, 贿赂
vi. 渗透, 湿透"
tingle,"vi. 激动, 感到刺痛, 抖动
vt. 使感刺痛
n. 刺痛, 震颤, 耳鸣"
armament,"n. 军备, 军队, 武器
"
brunch,n. 早午餐
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
envision,"vt. 想象, 预想"
gangster,"n. 流氓, 歹徒
"
illegible,"a. 难辨认的, 字迹模糊的"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
pavilion,"n. 楼阁, 亭子, 大帐篷, 观众席
vt. 置...于亭中, 搭帐篷, 笼罩"
shroud,"n. 尸衣, 寿衣, 覆盖物, (船的)横桅索
vt. 包以尸衣, 遮蔽, 隐藏, 覆盖"
spurt,"n. 喷射, 冲刺
vt. 喷射
vi. 喷出, 迸发, 冲刺"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
ballad,n. 歌谣
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
consul,"n. 领事, 执政官
"
enshrine,"vt. 入庙祀奉, 铭记"
gobble,"n. 火鸡叫声
vt. 狼吞虎咽
vi. 贪食, 咯咯叫"
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
mow,"n. 草堆, 皱眉, 怪脸
vt. 割草
vi. 割草, 做怪脸"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
strangle,"vt. 勒死, 扼死, 压制, 使窒息, 抑制
vi. 被扼死, 被绞死, 窒息而死"
walnut,"n. 胡桃
"
beaver,"n. 海狸(毛皮)
"
cavalry,n. 骑兵
creak,"n. 辗轧声, 嘎吱嘎吱声
vi. 作辗轧声, 发出辗轧声"
fir,"n. 枞树, 杉木
"
hangar,"n. 棚厂, 飞机库"
kernel,"n. 核心, 中心, 精髓, 内核
"
measles,"n. 麻疹, 风疹, 家畜囊尾蚴病, 米珠
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
sleet,"n. 雨夹雪
vi. 下雨夹雪"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
chariot,n. 二轮战车
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
kit,"n. 装备, 工具箱, 成套工具
"
morsel,"n. 一口, 少量, 小片"
prototype,"n. 原型
"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
weir,"n. 堰, 鱼梁
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
adapt,"vt. 使适应, 改编
vi. 适应"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
averse,"a. 不愿意的, 反对的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
affectation,"n. 假装, 做作, 矫情
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
allusion,"n. 提及, 暗指"
illusion,"n. 幻影, 错觉, 幻想
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annul,"vt. 废除, 宣告无效, 取消
"
appraise,"vt. 评价, 估价
"
apprise,vt. 通知
argument,"n. 争论, 论证, 论据, 自变量
"
augment,"v. 增加, 增长
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
insure,"vt. 保险, 确保
vi. 投保"
bandage,"n. 绷带
"
bondage,"n. 奴役, 束缚
"
carton,"n. 硬纸盒, 纸板箱
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
censor,"n. 检查员
vt. 检查, 审查, 删改"
censure,"n. 责难
vt. 非难, 指责"
collision,"n. 碰撞, 冲突, 抵触
"
collusion,"n. 共谋, 勾结
"
confidant,"n. 心腹朋友, 知己"
confident,"a. 有信心的, 有把握的"
consul,"n. 领事, 执政官
"
council,"n. 会议, 委员会
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
diary,"n. 日记
"
decease,"n. 死亡
vi. 死亡"
disease,"n. 疾病, 弊病
"
decent,"a. 有分寸的, 得体的, 大方的"
descent,"n. 降落, 家系, 侵袭, 血统
"
dissent,"n. 异议
vi. 持异议, 不同意"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
dessert,n. 餐后甜点
disassemble,"vt. 解开, 拆开"
dissemble,"v. 掩饰, 假装不知道"
draught,"n. 气流, 草稿, 汇票, 通风, 拉, 牵引
vt. 起草, 征兵, 选派"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
drought,"n. 干旱, 缺乏"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
illegible,"a. 难辨认的, 字迹模糊的"
eminent,"a. 显赫的, 杰出的, 有名的"
imminent,"a. 即将来临的, 逼近的"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
exult,"vi. 非常高兴, 欢欣"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuous,"a. 坦白的, 正直的, 天真的"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
materiel,"n. 物料, 军品"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morale,"n. 士气, 道德"
ordinance,"n. 法令, 条例, 圣餐礼
"
ordnance,"n. 大炮, 军械, 武器"
parish,"n. 教区, 堂区
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
perpetuate,"vt. 使永存, 使不朽, 保持"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
personalty,"n. 动产
"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
portable,"a. 可携带的, 可搬运的, 可移动的
"
potable,"a. 适于饮用的
n. 饮料"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
reality,"n. 实在, 事实, 实体, 逼真
"
realty,"n. 不动产, 房地产
"
statue,"vt. 以雕像装饰
n. 雕像"
stature,"n. 身材, 身高, 高度
"
vacation,"n. 假期, 休假
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
alumna,"n. 女毕业生, 女校友"
alumnus,"n. 男毕业生, 男校友"
alumni,"pl. 男毕业生, 男校友"
amoral,"a. 不属于道德范畴的, 无从区分是非的"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
unmoral,"a. 不属于道德范畴的, 无道德观念的
"
avocation,"n. 副业, 嗜好
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
biannual,"a. 一年两次的
"
biennial,"n. 两年生植物, 两年一次的事
a. 两年生的, 两年一次的"
chord,"n. 弦, 和音
"
cord,"n. 绳索, 束缚
"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
clinch,"n. 钉牢
v. 敲弯, 用臂钳住"
climate,"n. 气候, 社会趋势, 气候区
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
connotation,"n. 含蓄, 内涵"
denotation,"n. 指示, 表示, 符号"
contemptible,"a. 卑鄙的, 可轻蔑的, 不足挂齿的"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
credible,"a. 可信的, 可靠的
"
credulous,"a. 轻信的, 易受骗的"
disinterested,"a. 无私欲的, 廉洁的, 公平的"
uninterested,"a. 不感兴趣的, 无利害关系的"
disorganized,a. 无组织的；紊乱的
unorganized,"a. 未组织起来的, 没有组织的, 没编成的
"
divers,"a. 各种不同的
pron. 若干个, 好几个"
diverse,"a. 不同的, 变化多的"
dual,"a. 双重的, 双的
n. 双数"
duel,"n. 决斗, 斗争
vi. 决斗"
egoist,"n. 自我主义者, 利己主义者"
egotist,n. 自我中心主义者
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
immerge,"vi. 浸入, 隐没, 埋头"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
immigrant,"n. 移民
a. 移入的, 移民的"
farther,"a. 更远的, 进一步的
adv. 更远的, 此外, far的比较级"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
hanged,hang的过去式和过去分词
hung,hang的过去式和过去分词
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humane,"a. 有人情的, 人道的, 仁慈的"
imaginary,"a. 想像的, 虚构的, 假想的"
imaginative,"a. 想像的, 虚构的"
incomparable,"a. 无比的, 不能比较的"
uncomparable,a. 无法比较的
incredible,a. 难以置信的
incredulous,"a. 怀疑的, 不轻信的"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
mourn,"v. 哀悼, 忧伤, 服丧"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
respectably,"adv. 高尚地, 可观地, 相当地"
respectfully,adv. 尊敬地
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
registrar,"n. 记录者, 登记者, 登记官员
"
sailer,n. 帆船
sailor,"n. 水手, 船员, 海员
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
transcript,"n. 抄本, 副本, 成绩单
"
transcription,"n. 抄写, 抄本
"
altar,"n. 圣坛, 祭坛"
alter,v. 改变
ascent,"n. 上升, 提高, 攀登, 上坡路"
assent,"n. 赞成
vi. 同意"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
canvas,"n. 帆布, 画布, 油画
"
canvass,"n. 细查, 讨论, 游说
vt. 彻底检查, 向...拉票或拉生意, 讨论
vi. 游说"
cession,"n. 割让, 转让
"
session,"n. 期间, 开庭期, 会议, 学期
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
feint,"n. 伪装, 假装, 假托, 佯攻
vi. 装作, 假装, 佯攻
a. 假的, 虚饰的"
intension,"n. 强度, 内涵"
intention,"n. 意图, 目的, 含义
"
pray,"v. 祈祷, 恳求, 请"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
principle,"n. 原则, 原理, 主义
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
stationery,"n. 文具, 信纸
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
committee,"n. 委员会
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
instinct,"n. 本能, 直觉
a. 充满着的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
used,"a. 使用过的, 二手的, 习惯的"
