Abacavir,"n. 【药】阿巴卡韦
"
individualize,"vt. 使个体化, 使有个人特色, 使具有个性, 使适应个别需要"
indolent,"a. 懒惰的, 无痛的
"
indomethacin,n. 消炎痛
indoor,"a. 户内的, 室内的"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
inducer,"n. 引诱者, 诱导物
"
inducible,a. 可导致的；可诱导的
induction,"n. 归纳法, 感应, 就职, 入门
"
induration,"n. 硬化, 无情, 顽固
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
indwelling,a. 内在的
ineffective,"a. 无效的
"
inefficacy,"n. 无效果, 无疗效
"
inefficiency,"n. 无效率, 无能
"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
inevitable,"a. 不可避免的, 必然的
"
inevitably,adv. 不可避免地
inexhaustible,"a. 用不完的, 无穷尽的, 不知疲倦的"
inexpensive,"a. 便宜的, 不贵重的"
infancy,"n. 幼年, 初期, 幼儿期
"
infantile,"a. 婴儿的, 幼稚的, 初期的
"
infantilism,"n. 幼稚型, 幼稚症
"
infarct,"n. 梗塞
"
infarction,"n. 血块的构成
"
infect,"vt. 传染, 感染
"
infection,"n. 传染, 影响, 传染病
"
infectious,"a. 有传染性的, 易传染的
"
infective,"a. 有传染性的, 易传染的
"
infectivity,"n. 传染性, 易传染
"
infectomics,无
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
infertility,"n. 不肥沃, 不毛
"
infestation,"n. 骚扰, 大批出没, 横行
"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
infiltration,"n. 渗入, 渗透, 渗透物
"
infiltrative,"a. 渗透性的, 造成渗透的"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
inflatable,"a. 膨胀的, 得意的, 通货膨胀的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influenza,"n. 流行性感冒
"
influx,"n. 流入, 河口, 汇集
"
informality,n. 非正式
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
information superhighway,信息高速公路.
informative,"a. 提供消息的, 见闻广博的"
infraclavicular,[医] 锁骨下的
infrared,"a. 红外线的
n. 红外线"
infrastructure,"n. 基础结构, 基础设施
"
infrequent,"a. 稀少的, 珍贵的, 罕见的"
infrequently,"adv. 很少发生, 不常发生, 罕见, 稀罕, 偶有, 不寻常"
infusion,"n. 注入, 泡制, 注入物
"
ingest,"vt. 摄取, 咽下, 吸取"
ingestion,"n. 摄取
"
ingredient,"n. 成分, 因素
"
inguinal,"a. 腹股沟的
"
inhabit,"vt. 居住于, 占据, 栖息"
inhabitant,"n. 居民, 居住者
"
inhalant,"n. 吸入剂, 吸入器
a. 吸入用的"
inhalation,"n. 吸入
"
inhale,"vt. 吸入
vi. 吸气"
inhaler,"n. 吸入者, 吸入器, 空气过滤器
"
inherent,"a. 固有的, 与生俱来的
"
inherently,"adv. 内在地, 生来地, 固有地
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritable,"a. 可继承的, 有继承权的, 可遗传的
"
inheritance,"n. 遗传, 遗产
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
inhibition,"n. 禁止, 抑制, 压抑
"
inhibitor,"n. 禁止者, 抑制人, 抑制物, 抑制因素, 抑制剂, 阻化剂
"
inhibitory,"a. 禁止的, 抑制的
"
inimicable,"a. 有害的, 不利的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiation,"n. 开始, 指引, 入会
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
initiator,"n. 创始者, 首倡者, 引爆药
"
inject,"vt. 注射, 注入, 使入轨
"
injection,"n. 注射, 注射剂
"
injudicious,"a. 欠思考的, 不聪明的
"
injudiciously,adv. injudicious的变形
injure,"vt. 伤害, 损害, 使受冤屈
"
injurious,"a. 有害的, 不公正的
"
injury,"n. 伤害, 侮辱
"
innate,"a. 先天的, 天生的
"
innervate,"vt. 使受神经支配, 使神经分布于"
innervation,"n. 神经分布, 神经支配, 运动感觉
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innocuous,"a. 无害的, 无伤大雅的
"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
inoculate,"vt. 接种, 嫁接
"
inoculation,"n. 灌输, 接种
"
inoperable,"a. 不能动手术的
"
inorganic,"a. 无机的, 无生物的, 非自然形成的
"
inotropic,"a. [医]影响肌肉收缩力的,变力的"
inpatient,n. 住院病人
inquest,"n. 审讯, 讯问, 验尸
"
inquire,"v. 询问, 问明, 查究"
inquiry,"n. 质询, 探索, 调查, 询盘
"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
insect,"n. 昆虫, 卑鄙的人
"
insecticide,"n. 杀虫剂
"
insemination,"n. 播种, 受胎, 授精
"
insensible,"a. 不知的, 昏迷的, 无知觉的, 冷淡的
"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
insertion,"n. 插入, 刊载, 插入物
"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
insidiously,"adv. 阴险, 狡诈, (疾病)不知不觉之间加剧, 伺机陷害, 毒而诱人, 隐袭, 隐匿"
insight,"n. 察看, 洞察力, 见识
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
insist,"v. 坚持, 坚决主张, 强调"
in situ,"在原来位置
"
insoluble,"a. 不能溶解的, 不能解决的
"
insomnia,"n. 失眠症
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspection,"n. 检验, 检查, 视察
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspissate,"vt. 使浓缩, 使变浓
a. 浓厚的, 强烈的"
instability,"n. 不安定, 不稳定
"
install,"vt. 安装, 安置, 使就职
"
installation,"n. 安装, 装置, 就职
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantly,"adv. 立即地, 即刻地"
instill,"vt. 滴注, 慢慢地灌输"
instinct,"n. 本能, 直觉
a. 充满着的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
instruction,"n. 指令, 教导, 命令
"
instructive,"a. 有益的, 增进知识的"
instrument,"n. 工具, 手段, 仪器
"
instrumentation,"n. 乐器法, 仪器制造学, 仪表化
"
insufficiency,"n. 不充分, 不足, 不适当
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
insufflation,"n. 吹入, 吹入法
"
insula,"[医] 岛, 脑岛"
insulate,"vt. 使绝缘, 隔离
"
insulation,"n. 绝缘；隔离, 孤立"
insulin,"n. 胰岛素
"
insulinoma,n. 胰岛瘤
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
insurance,"n. 保险, 保险业, 保险费
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
intake,"n. 入口, 吸入, 吸入量
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrase,n. [生化]整合酶
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
integrin, 整联蛋白
integrity,"n. 正直, 廉正, 完整
"
integument,"n. 覆盖物
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,"n. 智力, 情报, 信息
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
intemperate,"a. 不节制的, 不温和的, 饮酒过度的"
intended,"a. 有意的, 故意的
n. 未婚夫(妻)"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensify,"vt. 加强
vi. 强化"
intensity,"n. 强烈, 紧张, 强度
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
intention,"n. 意图, 目的, 含义
"
intentional,"a. 故意的, 与目的有关的
"
intentionally,"adv. 故意地, 有意地"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
intercellular,"a. 在细胞间的
"
interchange,"n. 立体交叉道, 互换
vt. 交换, 互换
vi. 交替发生"
interchangeable,"a. 可互换的
"
interchangeably,"adv. 可交换地, 可交替地, 可互换地"
interchromosomal,染色体间的
intercommunication,"n. 相互联系, 互通, 双方通信, 内部通信联络, 多方通信
"
intercostal,"a. 脉间的
"
intercourse,"n. 交往, 交流
"
intercurrent,"a. 介入的, 并发的, 间发的
"
interdependence,n. 互相依赖
interdependent,"a. 相互依赖的, 相互依存的"
interdigitate,"vi. (两手的手指)交错对插
"
interface,"n. 分界面, 接触面, 界面
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interference,"n. 冲突, 干涉
"
interferon,"n. 干扰素
"
intergenic,基因间的
interindividual,a. 个人与个人之间的
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
interleukin,[化] 白介素
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
intermittent,"a. 间歇的, 断断续续的
"
internal,"a. 内在的, 国内的
"
internalization,"n. 成为主观, 内在化"
internalize,vt. 使内在化
interne,"n. 实习医师
"
interneuron,(=internuncial neuron)中间神经元
internist,"n. 内科医师
"
interoceptor,"n. 内感受器
"
interoperability,"[计] 互用性, 互操作性"
interphase,"n. 分裂期间, 中间相
"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interpretable,"a. 可说明的, 可翻译的"
interpretation,"n. 解释, 演出, 翻译
"
interrelation,n. 相互关系
interrogation,"n. 审问, 疑问句, 问号
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
interscapular,a. [解]肩胛间的
intersex,"n. 阴阳人, 兼具两性特征者
"
interspace,"n. 空间, 中间, 空隙
vt. 使留空隙, 占据...之间"
interspecific,a. 种间的
intersperse,"vt. 散布, 点缀"
interstitial,"a. 空隙的, 裂缝的, 有空隙的
"
interstitium,[医] 小间隙
interval,"n. 间隔, 距离, 间歇, 间隙
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
interventional, [医]介入的； 干涉的
intervertebral,"a. 椎骨间的, 脊椎骨间的
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
intervillous,[医] 绒毛间的
intestinal,"a. 肠的, 肠内的
"
intestine,"a. 内部的, 国内的
n. 肠"
intima,n. [解]内膜
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimately,"adv. 亲切地, 亲密地, 个人性地"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
intonation,"n. 朗诵, 语调, 唱
"
intoxicate,"vt. 使陶醉, 使喝醉"
intoxication,"n. 使醉, 沉醉状态
"
intraabdominal, [医]腹内的
intraalveolar,无
intraaortic,无
intraarterial,[网络] 动脉内的
intraarticular, [医]关节内的，节间的
intrabronchial,[医] 支气管内的
intracardiac,a. 心脏内的
intracellular,"a. 胞内的, 细胞内的
"
intracerebral,a. 大脑内的
intracordally,无
intracranial,"a. 颅内的
"
intractability,"n. 难驾驭, 难操作"
intractable,"a. 不听话的, 倔强的, 棘手的
"
intracytoplasmic,[医] 胞质内的
intradermal,"皮内的, 皮层内的"
intraepithelial,a. 上皮内的
intragenic,a. [生]基因内的
intrahepatic,肝内的
intraject,无
intralipid,英脱利匹特(30%)
intraluminal,"a. 管腔内的
"
intramural,"a. 校内的, 内部的
"
intramuscular,"a. 肌内的
"
intramusculary,肌肉内
intranasal,[医] 鼻内的
intranuclear,[生]细胞核内的
intraocular,a. 眼内的
intraoperative,"外科手术进行时发生(或遇到,采取)的"
intrapericardial,[医] 心包内的
intraperitoneal,"a. 腹膜内的
"
intrapleural,[医] 胸膜内的
intrastromal,[医] 基质内的
intrathecal,[医] 鞘内的
intrathoracic,"a. [解]胸内的, 胸廓内的"
intrauterine,a. 子宫内的
intravascular,"a. 血管内的
"
intravenous,"a. 静脉内的
"
intravenously,"adv. 静脉内地, 静脉注射地"
intraventricular,a. [解]心室内的
intravesical,[医] 膀胱内的
intravital,"a. [生]活体的, 发生于活体内的, 作用于活体的"
intricacy,"n. 纷乱, 复杂, 错综"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intriguing,"a. 吸引人的, 有趣的"
intrinsic,"a. 本质的, 原有的, 真正的
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
introductory,"a. 介绍的, 引导的, 开端的"
intron,[化] 内含子
introspection,"n. 内省, 反省
"
intubate,"vt. 把管子插进
"
intubation,"n. 插管, 插管法
"
intussusception,"n. 摄取, 吸收
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invalidate,"vt. 使无效
"
invalidism,"n. 病弱, 伤残"
invaluable,"a. 无价的, 价值无法衡量的"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
invariant,"a. 无变化的, 不变的
n. 不变量"
invasion,"n. 侵犯, 侵入, 侵害
"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
inversely,"adv. 相反地
"
inversion,"n. 倒转, 倒置, 倒装
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
invertebrate,"a. 无脊椎的, 无骨气的
n. 无脊椎动物, 无骨气的人"
inverted,"a. 倒转的, 反向的"
investigate,"v. 调查, 审查"
investigation,"n. 调查, 审查
"
investment,"n. 投资
"
invisible,"a. 看不见的, 无形的
"
in vitro,"在试管内, 在体外
"
in vivo,"在活体内
"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
involute,"a. 纷乱的, 复杂的, 内卷的
n. 渐开线
vi. 内卷, 恢复原状, 消失"
involution,"n. 卷绕, 内卷, 回旋
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
iodide,"n. 碘化物
"
iodine,"n. 碘, 碘酒
"
iodization,
iodohippurate,碘马尿酸钠
ion,"n. 离子
"
ionic,"a. 离子的, 爱奥尼亚的, 爱奥尼亚韵律的, 爱奥尼亚式的
n. 爱奥尼亚方言"
ionizable,a. 可电离的
ionization,"n. 离子化, 电离
"
ionize,"vt. 使离子化
vi. 电离"
ionizing,"v. （使）电离, （使）成离子( ionize的现在分词 )"
ionophore,n. [生化]离子载体
iontophoresis,"n. [医]离子电渗疗法, 电离子透入疗法"
ipratropium, [医]异丙托铵（支气管扩张药）
ipsilateral,[医] 同侧的
IQ,"abbr. (=Intelligence Quotient)【心】智商
n. 智商（全写为 intelligence quotient)
"
iridectomy,n. [医]虹膜切除术
iridocyclitis,n. [医]虹膜睫状体炎
iris,"n. 虹膜, 鸢尾属植物, 虹, 虹彩
"
iritis,"n. 虹膜炎
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
irradiate,"vt. 照耀, 启发, 使灿烂, 放射
vi. 发光, 变灿烂"
irradiation,"n. 发光, 光线, 照射
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
irregularity,"n. 不规则, 例外, 违反规则的行为
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
irreparable,"a. 不能修补的, 不能挽回的
"
irresistible,"a. 不可抵抗的, 不能压制的
"
irrespective,"a. 不顾的, 无关的, 没关系的"
irresponsibility,"n. 无责任, 不承担责任的行为
"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irrigation,"n. 灌溉, 冲洗
"
irritability,"n. 易怒, 刺激物, 兴奋性
"
irritable,"a. 易怒的, 急躁的
"
irritant,"a. 刺激的, 刺激性的
n. 刺激物, 刺激剂"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
irritation,"n. 刺激, 烦恼, 刺激物
"
irritative,"a. 刺激性的, 刺激的
"
ischemia,"n. 局部出血, 局部贫血
"
ischemic,"a. 局部出血的, 局部贫血的
"
ischialgia,[医] 坐骨神经痛
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
islet,"n. 小岛
"
isoagglutinin,"n. [生]同种凝集素, 同族凝集素"
isoantibody,"n. [生]同种抗体,同族抗体"
isochromosome,n. [生](细胞)等臂染色体
isoelectric,"a. 等电位的, 零电位差的"
isoenzyme,"n. 同功酶, 同工酶
"
isoferritin,异铁蛋白
isoform,[医] 对碘氧基苯甲醚
isogeneic,"a. [生]同基因的,同系的"
isograft,"n. [生]同系移植物,同基因移植物"
isointensity,等强度
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
isolation,"n. 隔绝, 孤立, 隔离
"
isoleucine,n. [生化]异亮氨酸
isomer,"n. 异构体
"
isomerase,n. [生化]异构酶
isometric,"a. 立方的, 等体积的, 等容积的, 等比例的, 等径的, 等距离的, 等角的
"
isoniazid,
isoprenaline,n. [药]异丙(去甲)肾上腺素
isopropanol,n. [有化] 异丙醇
isoproterenol,n. [药]异丙(去甲)肾上腺素
isotonic,"a. 等渗的, 等张的, 等压的
"
isotope,"n. 同位素
"
isotopic,"a. 同位素的
"
isotype,n. 同位型
isovist,[网络] 伊索显；造影剂伊索显；伊显索
isozyme,"n. [生化]同工酶 , 同功酶"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
isthmus,"n. 地峡, 峡部
"
itch,"n. 痒, 渴望, 疥疮
vi. 发痒, 渴望"
itching,"a. 渴望的, 痒的
"
itchy,"a. 渴望的, 痒的, 生疥疮的"
item,"n. 项目, 条款, 一则, 项
"
iteration,"n. 重复, 反复说的话
"
iterative,"a. 反复的, 絮叨的
n. 反复体"
ixodiasis,[医] 蜱病
jaundice,"n. 黄疸, 偏见, 乖僻
vt. 使患黄疸, 使怀偏见"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
jejunal,[医] 空肠的
jejunoileostomy,n. 空回肠吻合术；空肠回肠吻合术
jejunum,n. 空肠
jeopardize,"vt. 危害, 使受危困, 使陷危地"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
jointly,"adv. 共同地, 连带地"
journal,"n. 日记, 杂志, 日报
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
judgement,"n. 审判, 判决, 判断
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
jugular,"a. 咽喉的, 颈部的, 颈静脉的
n. 颈静脉"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
junction,"n. 连接, 会合处, 交叉点
"
junctional,"a. 连接, 接合, 接合点, 枢纽站, 汇合处, 联轨点, 交接处, 交叉点, 中继线, 接头
"
juncture,"n. 接合, 连接, 接缝"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
justifiable,"a. 可辩解的, 可证明的, 有理的
"
justification,"n. 辩护, 证明正当, 释罪
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
juxtacortical,"adj. 近皮质的
"
juxtaglomerular,a. [生理]近肾小球的
kala-azar, 黑热病
kalium,"n. 钾
"
kaliuresis,尿钾排洩
kallikrein,"n. [生化][药]激肽释放酶, 血管舒缓素"
Kallmann, [人名] 卡尔曼
kanamycin,"n. 卡那霉素
"
kaolin,"n. 瓷土, 高岭土
"
karyogamy,n. [生物] 同性配子之互相融合
karyokinesis,"n. 有丝分裂, 核分裂
"
karyolysis,"n. 核溶解
"
karyon,"n. [生物] 细胞核, 核"
karyopyknosis,[医] 核固缩
karyorrhexis,[医] 核破裂
karyotype,n. [生物] 染色体组型
keloid,"n. 瘢痕疙瘩, 瘢痕瘤
"
Kelvin,
keratin,"n. 角蛋白
"
keratinase,角蛋白酶
keratinization,n. [医] 角质化
keratinocyte,n. [生化]角化细胞
keratitis,"n. 角膜炎
"
keratoderma,n. [医] 角皮病
keratoma,n. [医] (=keratosis)角化病
keratomalacia,[医] 角膜软化
keratosis,n. 角化病
kernicterus,n. [医] 核黄疽
ketoacidosis,酮酸中毒
ketoconazole,[化] 酮康唑
ketone,"n. 酮
"
ketonemia,n. [医] 酮血症
ketonuria,n. [医] 酮尿
ketosis,"n. 酮症
"
keystone,"n. 拱顶石, 楔石, 重点"
kidney,"n. 肾, 个性
"
killer,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
"
kilobase,n. 千碱基对（核酸链长度单位）
kilocalorie,"n. 大卡
"
kilovoltage,千伏电压
kinase,"n. 激酶, 致活酶
"
kinesthesia,"n. 肌肉运动知觉
"
kinetic,"a. 运动的, 运动引起的, 动力学的, 活动的
"
kinetism,(肌肉)运动能力
kinetochore,"n. [生]动粒, 着丝粒, 着丝点"
kingdom,"n. 王国, 领域
"
kinin,激肽
kininase,n. [生化]激肽酶
kininogen,n. [生化]激肽原
kinking,n. 扭结；缠线
kit,"n. 装备, 工具箱, 成套工具
"
klebsiella,[医] 克雷白氏杆菌属
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
knit,"v. 编织, 结合"
knockout,"n. (拳击)击倒对方, 被击倒, 击倒, (非正式)令人倾慕的人/物, 轰动的事物
a. 击倒的, 引人注目的, 轰动的, 使昏迷的"
knowledgeable,"a. 聪明的, 有知识的"
kochia,"n. 地肤
"
koilocyte,[网络] 挖空细胞；凹空细胞；凹空的角化细胞
kwashiorkor,"n. 夸休可尔症, 恶性营养不良"
kyphoscoliosis,"n. 侧凸
"
kyphosis,"n. 驼背
"
kyphotic,"[医] 脊柱后凸的, 驼背的"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
labetalol,[化] 拉贝洛尔; 柳胺心定
labile,"a. 不安定的, 易发生变化的
"
lability,"[医] 不稳定性, 易变性"
laboratory,"n. 实验室, 研究室, 化工厂
"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
lacerate,"vt. 划破, 割破, 使痛心, 撕碎
a. 撕碎的, 受折磨的"
laceration,"n. 划破, 割破, 裂伤撕碎
"
Lachnospira,毛螺菌属
lacrimal,"a. 泪的, 流泪的, 啜泣的, 泪腺的
n. 泪壶, 泪腺"
lacrimation,n. 流泪
lactase,"n. 乳糖酶
"
lactate,"vi. 分泌乳汁, 授乳
n. 乳酸盐"
lactation,"n. 分泌乳汁, 授乳, 哺乳
"
lacteal,"a. 乳的, 乳状的, 输入乳糜的
n. 乳糜管"
lactic,"a. 乳的, 乳汁的, 由乳汁取得的
"
lactobacillus,"n. 乳酸杆菌
"
lactose,"n. 乳糖
"
lacuna,"n. 空白, 空隙, 阙文
"
lacunar,"n. 花格平顶, 花格平顶的凹板
a. 有花格平顶的"
Lagovirus,兔病毒
lamina,"n. 薄板, 薄片, 薄层, 叶片
"
laminectomy,n. [医] 椎板切除术
languor,"n. 怠惰, 疲倦, 无气力
"
lanolin,"n. 羊毛脂
"
laparoscopy,[医] 腹腔镜检查
laparotomy,"n. 剖腹手术
"
largely,"adv. 大量地, 很多地, 大半地"
larva,"n. 幼虫
"
larval,"a. 幼虫的, 幼虫状态的
"
laryngalgia,喉痛
laryngeal,"a. 喉头的, 喉头治疗用的
n. 喉部, 喉音"
laryngectomy,[医] 喉切除术
laryngitis,"n. 喉炎
"
laryngoscope,"n. 喉镜
"
laryngoscopic,"a. 喉镜的, 喉镜检查的"
laryngoscopy,[医] 喉镜检查
laryngostomy,[医] 喉造口术
laryngotomy,"n. 喉开刀术
"
larynx,"n. 喉头
"
laser,"n. 激光
"
latency,"n. 潜伏, 潜在
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
lattice,"n. 格子, 组合格子, 格子状东西
vt. 制做格子, 使成格子状
"
laurocapram,[网络] 月桂氮酮；月桂氮卓酮；月桂氮桌酮
lavage,"[医] 灌洗, 洗出法"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leakage,"n. 漏, 漏出物, 泄漏
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
lecithine,[建] 卵磷脂
lectin,"n. [医]外源凝集素,植物(种子)血凝素"
Lecythophora,油瓶霉属
leflunomide, [医]来氟米特<消炎镇痛药>
Legionella, [医]〔复legionellae〕军团杆菌
legionellosis,[网络] 军团病；军团病是军团杆菌；军团菌感染
legionnaires' disease,军团病(一种严重的肺部传染病)
legislation,"n. 立法, 法律
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
