counteract,"vt. 抵消, 阻碍, 中和
"
orbital,"a. 轨道的, 眼眶的
"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
recreational,"a. 消遣的, 娱乐的"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
sceptical,"a. 怀疑论的, 怀疑的"
suicidal,"a. 自杀的, 自杀性的, 自我毁灭的
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
traditional,"a. 传统的, 惯例的
"
tribal,"a. 部落的, 宗族的"
unilateral,"a. 单方面的, 单边的, 片面的
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
arousal,"n. 奋发, 激励"
appraisal,"n. 评价, 估价
"
refusal,"n. 拒绝, 推却, 优先决定权
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
hospitality,"n. 款待, 亲切, 殷勤"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
vitality,"n. 活力, 生命力
"
nationality,"n. 国籍, 国家, 民族性
"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
American,"n. 美国人
a. 美国的, 美洲的"
artisan,"n. 工匠, 技工
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
historian,"n. 历史学家, 记事者"
mountain,"n. 山, 山脉, 大堆"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
villain,"n. 坏人, 恶棍
"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
mundane,"a. 现世的, 世俗的, 宇宙的"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
assistance,"n. 协助, 援助
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
abundance,"n. 丰富, 充足, 大量
"
assurance,"n. 保证, 把握, 信心, 保险
"
attendance,"n. 出席, 出席的人数, 照料
"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
disturbance,"n. 扰乱, 不安, 忧虑
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
guidance,"n. 指导, 领导
"
inheritance,"n. 遗传, 遗产
"
insurance,"n. 保险, 保险业, 保险费
"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
vigilance,"n. 警戒, 警觉, 失眠症
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
accordance,"n. 一致, 和谐"
accountancy,"n. 会计工作, 会计学
"
ambulance,"n. 救护车
"
ascendancy,"n. 优势, 支配地位"
dormancy,"n. 不活动性, 休眠, 蛰伏
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
utterance,"n. 发声, 言辞, 表达, 说话的方式, 死
"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
vengeance,"n. 复仇, 报仇
"
applicant,"n. 申请者
"
consultant,"n. 顾问, 征询意见者
"
contaminant,"n. 污染物, 沾染物
"
pollutant,"n. 污染物质
"
regent,"n. 摄政者, 摄政王
a. 摄政的"
accountant,"n. 会计人员, 会计师
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
defendant,"n. 被告
"
detergent,"n. 清洁剂
"
informant,"n. 提供消息者, 密告者, 被调查者
"
parent,"n. 父母, 父母亲, 根源
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
propellant,"n. 推进剂, 发射火药, 推进者
"
reagent,"n. 试剂, 反应物
"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
dominant,"a. 占优势的, 支配的
"
dormant,"a. 睡眠状态的, 静止的
"
efficient,"a. 有效率的, 能干的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
triumphant,"a. 得胜的, 得意洋洋的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
confident,"a. 有信心的, 有把握的"
decent,"a. 有分寸的, 得体的, 大方的"
eminent,"a. 显赫的, 杰出的, 有名的"
errant,"a. 周游的, 离开正道的, 不定的"
excellent,"a. 优良的, 杰出的, 出色的"
fluent,"a. 流利的, 流畅的"
indolent,"a. 懒惰的, 无痛的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
intelligent,"a. 聪明的, 智能的, 了解的"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
prevalent,"a. 普遍的, 流行的"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
retardant,"n. 抑止剂
"
sentient,"a. 有感觉力的, 意识到的
n. 有知觉的人"
urgent,"a. 紧急的, 急迫的, 催逼的
"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
verdant,"a. 翠绿的, 青翠的, 无经验的, 不老练的"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
rectangular,"a. 成直角的
"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
linear,"a. 线的, 直线的, 线状的
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
seminar,"n. 研究班, 专题讨论会
"
altar,"n. 圣坛, 祭坛"
commentary,"n. 注释, 评论, 说明
"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
salary,"n. 薪水
vt. 给...加薪"
secretary,"n. 秘书, 书记, 大臣
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
documentary,"n. 记录片
a. 文件的"
glossary,"n. 专业词典, 术语集, 词表
"
luminary,"n. 发光体, 杰出人物"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
aviary,"n. 大型鸟舍, 鸟类饲养场"
boundary,"n. 边界, 分界线
"
granary,"n. 谷仓, 谷物仓, 主要来源, 主要贮藏所"
library,"n. 图书馆, 藏书, 库
"
elementary,"a. 初步的, 基本的
"
supplementary,"a. 补足的, 补充的, 追加的
"
complementary,"a. 补充的, 补足的
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
dietary,"a. 饮食的
n. 规定食物"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
linguistic,"a. 语言的, 语言学的
"
holistic,
humanistic,"a. 人本主义的, 人道主义的
"
individualistic,"a. 个人主义的, 独特的"
materialistic,"a. 唯物论的, 唯物主义的"
naturalistic,"a. 自然的, 自然主义的"
simplistic,a. 过分简单化的
unrealistic,"a. 不切实际的, 幻想的"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
deteriorate,v. (使)恶化
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
facilitate,"vt. 使容易, 促进, 帮助
"
calculate,"v. 计算, 预测, 计划, 打算"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
cooperate,"vi. 合作, 协力, 配合
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
insulate,"vt. 使绝缘, 隔离
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
mutate,"vi. 变化, 产生变异, 变化元音
vt. 使变异"
accumulate,"v. 积聚, 堆积"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
celebrate,"v. 庆祝, 祝贺, 举行"
commiserate,"v. 怜悯, 同情"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
cultivate,"vt. 培养, 耕作"
decorate,v. 装饰
differentiate,"v. 区别, 区分"
operate,"v. 操作, 运转, 动手术, 活动"
tolerate,"vt. 宽容, 容许, 有耐力"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
elucidate,"vt. 阐明, 说明"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
incapacitate,"vt. 使无能力, 使无行为能力
"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
inculcate,"vt. 反复灌输, 谆谆教诲"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
nominate,"vt. 提名, 任命, 命名
"
orientate,"v. 向东, 朝向"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
pollinate,vt. 对...授粉
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
sophisticate,"n. 久经世故的人, 精于...之道的人
vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂
vi. 诡辩"
somnambulate,vi. 梦游
stagnate,"v. (使)淤塞, (使)停滞, (使)变萧条"
stipulate,"v. 规定, 保证"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
annotate,"v. 作注解, 注释
"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
"
accurate,"a. 正确的, 精确的
"
adequate,"a. 适当的, 足够的
"
appropriate,"a. 适当的
"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
vertebrate,"n. 脊椎动物
a. 有椎骨的, 有脊椎的"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
candidate,"n. 候选人, 投考者
"
doctorate,n. 博士头衔
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
definition,"n. 定义, 精确度, 清晰度
"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
addition,"n. 加法, 增加的人(或物)
"
anticipation,"n. 预期, 预料
"
assimilation,"n. 同化, 同化作用, 吸收
"
administration,"n. 行政, 管理, 政府机关
"
aviation,"n. 航空, 航空学, 飞行术
"
civilization,"n. 文明, 教化
"
cognition,"n. 认识, 认识力, 认识的结果
"
collaboration,"n. 合作, 勾结
"
combination,"n. 组合, 合并, 联合
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
destination,"n. 目的地, 目标, 目的
"
foundation,"n. 基础, 根据, 建立
"
fabrication,"n. 制造, 建造, 虚构的谎言
"
immigration,"n. 移民, 移居
"
insulation,"n. 绝缘；隔离, 孤立"
irrigation,"n. 灌溉, 冲洗
"
migration,"n. 移民, 移往, 移动
"
moderation,"n. 缓和, 适度, 温和
"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
presentation,"n. 赠与, 描述, 介绍
"
reputation,"n. 名誉, 名声, 声望
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
sensation,"n. 感觉, 轰动
"
temptation,"n. 诱惑, 诱惑物
"
accreditation,"n. 委派, 信托, 鉴定合格
"
adoration,"n. 崇拜, 爱慕"
adaptation,"n. 适应, 改编, 改编本
"
aeration,"n. 通风
"
affirmation,"n. 肯定, 断言, 证实
"
aggravation,"n. 恶化, 加重, 恼怒
"
alienation,"n. 疏远, 离间, 转让
"
audition,"n. 听, 听力, 试听
"
consolation,"n. 安慰, 令人安慰的事物
"
contamination,"n. 污染, 污物
"
conversation,"n. 会话, 说话, 交谈
"
cultivation,"n. 教化, 培养, 耕作
"
demolition,"n. 破坏, 毁坏, 撤销
"
denomination,"n. 名称, 教派, 面额
"
dictation,"n. 听写, 口述, 命令"
dissemination,"n. 散播, 传播, 普及
"
documentation,"n. (总称)文件
"
domination,"n. 支配, 控制, 管辖"
donation,"n. 捐赠物, 捐款, 捐赠
"
elaboration,"n. 苦心经营, 精巧
"
elicitation,"n. 引出, 诱出, 抽出"
exploitation,"n. 开发, 开采, 剥削
"
federation,"n. 联邦, 联合, 联盟
"
fluctuation,"n. 变动, 波动, 动摇
"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
industrialization,"n. 工业化, 产业化
"
integration,"n. 综合, 与环境协调的行为, 集成
"
isolation,"n. 隔绝, 孤立, 隔离
"
limitation,"n. 限制, 缺陷, 限额
"
meditation,"n. 沉思, 冥想"
modification,"n. 修正, 修饰, 修改
"
motivation,"n. 动机, 刺激, 推动
"
participation,"n. 参与, 分享
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
precognition,"n. 先知, 预知, 预审
"
preparation,"n. 准备, 预备, 预习
"
radiation,"n. 辐射
"
rendition,"n. 译文, 施舍, 表演
"
requisition,"n. 正式请求, 申请, 需要, 征用, 通知单, 申请书, 引渡要求
vt. 征用, 要求"
sterilization,"n. 使成不毛, 无用状态, 杀菌, 绝育
"
urbanization,"n. 都市化
"
variation,"n. 变更, 变化, 变种, 变奏
"
verification,"n. 证实, 查证, 证明属实
"
vibration,"n. 振动, 颤动
"
violation,"n. 违反, 违背, 妨碍
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
cumulative,"a. 累积的
"
exploitative,"a. 开发的, 剥削的, (糟蹋地)利用的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
lucrative,"a. 有利益的, 获利的, 合算的"
meditative,"a. 默想的, 耽于默想的, 冥想的"
preventative,"a. 预防的, 防止的
n. 预防法, 预防措施, 预防物, 预防药"
vegetative,"a. 植物的, 蔬菜的, 生长的, 无性繁殖的, 植物似的, 生活呆板单调的, 生长性的
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
dormitory,n. 宿舍
laboratory,"n. 实验室, 研究室, 化工厂
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lavatory,"n. 洗脸盆, 厕所"
machinery,"n. 机器, 机械装置, 机构
"
forestry,"n. 林学, 森林地
"
poultry,n. 家禽
directory,"n. 目录, 工商名录, 指南
"
scenery,"n. 风景, 景色, 舞台布景"
compulsory,"a. 被强制的, 强迫的, 义务的
"
peremptory,"a. 断然的, 俨然的, 强制的, 不容置疑的, 急迫的
"
satisfactory,"a. 满意的, 赎罪的
"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
mandatory,"a. 命令的, 托管的
"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
blurry,"a. 模糊的, 不清楚的, 污脏的"
prolonged,"a. 延续的, 长时间的"
crowded,"a. 拥挤的, 塞满的"
congested,"a. 拥挤的, 堵塞的
"
doomed,a. 注定的；命定的
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
isolated,"a. 孤立的, 孤零零的
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
biased,"a. 有偏见的
"
contrived,"a. 人造的, 勉强的, 不自然的"
pulverized,a. 粉状的；成粉末的
vested,"a. 穿衣服的, 既得的, 既定的
"
begrimed,"a. 污秽的
v. 积垢, 弄脏( begrime的过去式和过去分词 )"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
refugee,"n. 难民, 流亡者
"
auctioneer,"n. 拍卖商
vt. 拍卖"
personnel,"n. 人员, 人事部门, 人事科(处)
"
vessel,"n. 船, 容器, 脉管
"
molecule,"n. 分子, 些微
"
banquet,n. 宴会
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
booklet,n. 小册子
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
chapel,"n. 小教堂, 礼拜式"
droplet,"n. 小滴
"
gravel,"n. 砂砾, 碎石
"
leaflet,"n. 小叶, 传单
"
morsel,"n. 一口, 少量, 小片"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
turret,"n. 塔楼, 角楼, 攻城用仰冲车
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
efficiency,"n. 效率, 效能, 功效
"
consequence,"n. 结果, 重要性
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
essence,"n. 实质, 本质, 香精
"
existence,"n. 存在, 生存
"
preference,"n. 偏爱, 优先, 喜爱物
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
deficiency,"n. 缺乏, 不足
"
adolescence,"n. 青春期
"
complacency,"n. 满足, 自鸣得意, 自满"
delinquency,"n. 行为不良, 失职
"
independence,"n. 独立, 自立, 自主
"
inference,"n. 推论
"
innocence,"n. 无罪, 无知, 天真无邪
"
magnificence,"n. 富丽堂皇, 华丽, 宏大"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
resilience,"n. 弹回, 有弹力, 恢复力
"
nursery,"n. 托儿所, 苗圃, 温床
"
effrontery,n. 厚颜无耻
cookery,"n. 烹调法, 烹调术"
crockery,"n. 陶器, 瓦器
"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
terrific,"a. 非常好的, 极端的, 可怕的"
beatific,"a. 至福的, 赐福的, 极乐的"
pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
awful,"a. 可怕的, 庄严的, 虔敬的"
disrespectful,"a. 失礼的, 无礼的, 不尊敬的"
dreadful,a. 可怕的
fruitful,"a. 结果实的, 多实的, 产量多的"
meaningful,a. 意味深长的
mindful,"a. 深切注意的, 留神的, 留心的"
powerful,"a. 有力的, 有权力的, 强大的
"
slothful,"a. 怠惰的, 懒惰的"
likelihood,"n. 可能, 可能性"
livelihood,"n. 生计, 营生, 生活"
falsehood,"n. 谎言, 虚假(性)
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
crucial,"a. 决定性的, 重要的, 严厉的
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
artificial,"a. 人造的, 假的, 非原地产的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
mutual,"a. 相互的, 共有的
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
factual,"a. 事实的, 实际的
"
impartial,"a. 公平的, 不偏不倚的
"
managerial,"a. 管理的
"
sequential,"a. 继续的, 后果的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
alluvial,"a. 冲积的
"
actual,"a. 真实的, 实际的, 现行的
"
celestial,"a. 天的, 天国的, 天空的
"
centennial,"n. 百年纪念
a. 一百年的"
colonial,"a. 殖民的, 殖民地的
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
entrepreneurial,"a. 创业的, 具有企业精神的; 企业性质的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
instinctual,a. 本能的
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
racial,"a. 人种的, 种族的
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
torrential,"a. 奔流的, 急流的, 猛烈的"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
dramatic,"a. 戏剧性的, 生动的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
electronic,"a. 电子的
"
empirical,"a. 完全跟据经验的, 经验主义的
"
atmospheric,"a. 大气的
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
biological,"a. 生物学的
"
climatic,a. 气候的
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
geographical,"a. 地理学的, 地理的"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
semantic,"a. 语义的
"
systematic,"a. 有系统的, 分类上的, 体系的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
toxic,"a. 有毒的, 中毒的
"
tropospheric,[气]对流层的
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
allergic,"a. 对...过敏的, 极反感的
"
altruistic,"a. 利他的, 无私心的"
gigantic,"a. 巨人般的, 巨大的"
timid,"a. 胆小的, 羞怯的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
arid,"a. 干燥的, 不毛的"
atomic,"a. 原子的, 原子能的
"
barbaric,"a. 野蛮的, 粗野的"
botanical,"a. 植物学的
n. 植物性药材"
catastrophic,"a. 悲惨的, 灾难的"
chromatic,"a. 彩色的, 色品的, 易染色的
"
clinical,"a. 临床的, 门诊部的
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
dogmatic,"a. 教条的, 武断的"
drastic,"a. 激烈的
"
egocentric,"a. 自我中心的, 利己主义的
n. 利己主义者"
ethnic,"a. 人种的, 种族的
"
geological,"a. 地质学的, 地质的"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
idiomatic,"a. 符合语言习惯的, 惯用的, 有许多习语的"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
metaphorical,"a. 隐喻性的, 比喻性的"
philosophical,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
psychiatric,"a. 精神病学的, 医精神病的
"
