rocker,"n. 摇的人, 摇杆
"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
demon,n. 魔鬼
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
prosecution,"n. 执行, 经营, 起诉"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
bear the brunt of,首当其冲
carry the brunt of,无
take the brunt of,无
publicize,vt. 宣传
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
forgery,"n. 伪造, 伪造罪, 伪造物
"
prosecutor,"n. 实行者, 告发者, 公诉人
"
attorney,"n. 代理人, 律师
"
crap,"n. 废物, 废话
vi. 掷骰子"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
be in the hole,[网络] 处于困境
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
accuse sb. of sth.,"un. 控告
"
accuse sb. of doing sth.,无
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
restitution,"n. 归还, 偿还, 赔偿
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
reinstatement,"[经] 恢复, 补足(保险), 恢复原状"
go public,[法] 摊牌
counselor,"n. 顾问, 参事, 法律顾问"
piggy bank,n. 扑满
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
horrendous,"a. 可怕的, 骇人的, 不得了的"
breakdown,"n. 崩溃, 故障
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
turn in,"v. 向里弯曲
"
locker,"n. 抽屉, 小柜, 上锁人
"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
add up,合计
incomprehensible,"a. 不能理解的, 费解的, 无限的"
brooch,"n. 胸针, 领针"
inscription,"n. 题字, 碑铭
"
foresee,"vt. 预见, 预知"
kerb,"n. 街头的边石
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
consideration,"n. 考虑, 原因
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
necklace,n. 项链
have a passion for,对...有强烈的爱好
have a liking for,喜欢
in particular,特别
tiff,"n. 一口淡酒, 小争吵, 小口角, 淡酒
vi. 小争吵, 生气"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
inquest,"n. 审讯, 讯问, 验尸
"
maid,"n. 少女, 未婚女子, 女仆"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distinguishable,"a. 区别得出的, 辩认得出的, 可辨别的"
drab,"a. 土褐色的, 单调的"
attaché,无
attaché case,无
genius,"n. 天才, 天赋, 精神, 神魔
"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
trustworthy,"a. 可信赖的
"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
make an effort,作出努力
fall to,"着手干, 开始进食"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
no doubt,无疑地
incongruous,"a. 不协调的, 不一致的, 不合适的"
profession,"n. 职业, 表白, 声明
"
in mourning,戴孝
intrude,"vi. 闯入, 侵入
vt. 强加于"
threshold,"n. 门槛, 入口, 开端, 阈
"
for sb.'s sake,无
for sth.'s sake,无
for the sake of sb.,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for the sake of sth.,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
unexpected,"a. 料想不到的, 突然的, 意外的
"
novelist,n. 小说家
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
at random,"胡乱地, 随便地
"
Parliament,"n. 国会, 议会
"
constituency,"n. 选民, 顾客, 读者
"
applause,"n. 鼓掌, 喝彩, 赞许"
terrific,"a. 非常好的, 极端的, 可怕的"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
fill in,"na. 填充；填写；同“fill”
"
scrappy,"a. 杂凑的, 不连贯的, 爱打架的, 坚决的"
fragment,"n. 碎片, 破片, 片段
"
Prime Minister,"总理, 首相
"
speculate,"vi. 深思, 推测, 投机
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
pluck up courage,"na. 鼓起勇气
"
pluck up one's courage,鼓起勇气
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
committee,"n. 委员会
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
parlour-maid,"na. (负责开门,侍候餐桌的)客厅女仆
"
presumably,"adv. 推测上, 大概"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
air one's view,无
whoever,"pron. 任何人, 无论谁"
paradise,"n. 天堂, 乐园, 伊甸园"
distinctly,"adv. 显然地, 明显地, 清楚地"
distinct,"a. 清楚的, 显著的, 不同的"
stubby,"a. 又短又秃的(铅笔), 粗而短的(身材), 浓密短硬的(毛发)"
tweed,"n. (粗)花呢, 花呢服装"
see through,"na. 看穿；看透；识破；办好某事
"
disagreeable,"a. 令人不快的, 厌恶的, 不合意的"
scratch out,"划掉, 勾去"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
impertinence,"n. 不切题, 鲁莽, 无礼, 不恰当
"
candour,"n. 坦率, 正直, 公正, 爽直, 白色, 光明"
char,"n. 家庭杂务, 炭
vi. 打杂, 烧焦"
guinea,n. 几内亚
engagement,"n. 诺言, 约会, 婚约, 交战
"
mansion,"n. 大厦, 宅邸"
wait up,(为...而)等候着不睡
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
hastily,"adv. 匆忙地, 急速地, 急躁地"
hasty,"a. 匆匆的, 轻率的, 性怠的"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
agitated,"a. (表现出)不安/焦虑的, (被)激烈辩论的, (被)热烈讨论的, 颤抖的
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
scoundrel,"n. 恶棍
a. 卑鄙的"
mistress,"n. 主妇, 女主人, 情妇"
implore,"vt. 恳求, 哀求"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
mantelpiece,"n. 壁炉台, 壁炉架"
rejoin,"vt. 使再结合, 再加入, 回答
vi. 重新聚合, 回答, 第二次答辩"
lover,"n. 爱人, 爱好者"
end in,以...为结果
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
destined,"a. 预定的, 注定的, 命定的"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
infertility,"n. 不肥沃, 不毛
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
stupefy,"vt. 使麻醉, 使失去知觉, 使惊呆
"
accuracy,"n. 精确, 正确
"
emeritus,"a. 名誉退休的, 退休后保留头衔的"
psychiatry,"n. 精神病学, 精神病治疗
"
masculinity,"n. 男子气, 刚毅, 大丈夫气概
"
obese,"a. 肥胖的
"
mutual,"a. 相互的, 共有的
"
concoction,"n. 调制, 调合, 调合物
"
recurrence,"n. 再现, 再发生, 反复, 循环
"
entrapment,"n. 诱捕, 使陷入罗网, 使陷入圈套, 使入陷阱, 使陷入困难, 诱使...妥协
"
splinter,"n. 碎片, 尖片, 分裂出来的小派别, 微小的东西
v. 使分裂, (使)破裂"
capacity,"n. 容量, 能力, 才能, 资格
"
run counter to,"违反, 背道而驰"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
bring on,"na. “bring forward”的变体
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
bliss,"n. 福佑, 天赐的福
"
dune,n. 沙丘
euphoric,"a. 欣快症的, 欣快的
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
stranded,"a. 处于困境的, 进退两难的"
flexibility,"n. 弹性, 适应性
"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
pull away,"脱身, 离开"
extramarital,"a. 婚外的
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
infidelity,"n. 不信神, 无信仰, 背信"
symbolic,"a. 象征的, 符号的
"
complaint,"n. 诉苦, 抱怨, 控诉
"
unraveler,n. 解开者; 清理者; 解脱者
proverbial,"a. 谚语的, 谚语式的, 闻名的"
permissiveness,n. 许可
dreadful,a. 可怕的
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
cathedral,n. 大教堂
wondrous,a. 令人惊奇的
