a bit,一点儿；有一点儿
object to,"反对,不赞成"
occupy oneself with,忙于…;专注于…
occupy oneself in,"从事于…,忙于…,专心于…"
occur to,…发生在; 被想起〔到〕
odds and ends,零星东西
of a kind,"同一类的, 蹩脚的"
of no account,不重要的
of one's own accord,自愿地
of no avail,"无用,无效,徒劳无益"
to no avail,完全无用
off balance,"un. 偿清债务；趔趄
"
off duty,下班的
off the cuff,"即兴地, 非正式地"
off the track,"出轨, 离题, 出错
"
omit doing,无
omit to do,[网络] 经常用法
on impulse,一时冲动
on impulse of ...,无
on the impulse,无
on the impulse of ...,[网络] 凭冲动
on average, 平均起来
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
on a dime,在很小的范围内;立刻
on a large scale,大规模地
on a small scale,小规模地[的]
on account of,由于
on account,"na. 先付
"
on and off,"断断续续, 有时"
on any account,无论如何
on behalf of,"代表...
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on campus,在校内
on condition that,"若是…, 以…为条件"
on cue,就在这个时候
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on every account,无论如何
on all accounts,无论如何
on file,"存档
"
on fire,"起火, 非常激动"
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on impulse,一时冲动
on loan,"出借,借出,供出借"
on no account,决不
on occasion,有时
on one's behalf,"为…的利益,代表"
on one's honor, 以名誉担保
on one's own account,"为自身利益, 靠自己
"
on one's own behalf,无
on paper,"以书面形式, 在名义上"
on purpose,"故意
"
on record,"记录在案, 在历史记录中
"
on sale,"廉售的, 拍卖的"
on schedule,"按时
"
on second thoughts,经再次考虑，重新考虑后；经再次考虑，重新考虑后；经过重新考虑之后，再仔细考虑以后
on short notice,一俟通知(马上就...)
on strike,在罢工
on the alert,"警惕着, 防备着
"
on the basis of,以...为基础
on the contrary,"正相反
"
on the edge of,"濒于, 几乎, 在边缘"
on the fast track,[口语]平步青云，飞黄腾达；迅速发展的(常指有所创新)
on the fence,"抱观望态度, 保持中立"
on the foundation of,无
on the ground of,"根据…, 以…为理由"
on the ground that,conj. 基于
on the grounds that,conj. 由于（根据）
on the horizon,在地平线上
on the hour,准点地
on the instant,"立即, 马上"
on the outskirts,无
on the quiet,"秘密地
"
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the scale of ... to,无
on the shelf,"被搁置的, 束之高阁, 被废弃的, 推迟执行, 被辞退的, 无结婚希望, 死了的"
on the side,"作为兼职, 另外"
on the sly,诡秘地
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the spur of the moment, 凭一时冲动; 日不移晷
on the threshold of,"在…的开头,在…快要开始的时候,在…的前夕"
on the verge of,"接近于, 濒临于"
on the whole,"大体上, 基本上"
on thin ice,如履薄冰
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
on oath,"发誓, 在誓言的约束下
"
under oath,"宣誓,发誓,凭誓言"
once for all,"只此一次, 一劳永逸地, 彻底地"
once and for all,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次"
once in a while,偶尔
only if,只要...就
open up,"na. (打)开；割开；开发(资源)；揭示
"
or else,否则
or so,"大约, 或许, ...左右"
or something,或是什么的
orient ... to,使适应
orient ... toward,无
originate from,发源于
other than,"不同于, 除了"
ought to,应该
out of breath,上气不接下气
out of control,"不受控制, 失去控制
"
out of danger,脱离危险
out of date,"过时的, 废弃的
"
out of hand,"无法控制, 脱手, 告终, 立即"
out of joint,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的"
out of accord with,与...不一致
out of order,"次序颠倒, 不整齐
"
out of place,"不在合适位置, 不合适"
out of practice,"荒疏的, 久不练习的"
out of scale,不合规定比例
out of sight,"在看不见的地方, 极度"
out of step,"步调不一致
"
out of stock,"已脱销
"
out of style,"过时,不时兴,不时髦"
out of temper,(对某人)生气
out of the blue,突然
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
out of touch," 不联系, 不接触"
out of tune,"走调
"
out of work,"失业, 机器有毛病
"
out of curiosity, 出于好奇心
out from curiosity,无
overflow with,充满着
owe ... to,"v. 由于；把…归功于
"
owing to,"由于..., 因为..."
own up,坦白
pack in,"na. 停止
"
pack off,"na. “pack away”的变体
"
pack up,"打包, 整理, 收工, 结束"
package deal,"一揽子交易
"
pair off,na. 使分成
pair ... with,与...成对
palm off,[网络] 甩掉；用欺骗手段把…卖掉；用欺骗手段出售货物
parcel out,"na. 分派
"
part and parcel of,"不可缺少的一部分,…的重要部分,…的组成部分"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
participate in,"参加, 参与, 分享"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass over,"忽略, 省略, 不加考虑, 转交"
patch up,"na. 拼凑；结束；制止；匆忙处理
"
pave the way for,为...铺平道路
pay attention to,注意
pay back,"na. 偿还；报答；向…报复；付还
"
pay compliments to sb.,无
pay deal,无
pay down,"当场支付, 用现金支付
"
pay for,付...款
pay in cash,[经] 付现钱
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"全部付清, 按时付款, (在勒索下)出钱
"
peel off,"飞机离队俯冲目标, 飞机离队降落"
peer at,凝视
peer pressure,[网络] 同侪压力；同伴压力；同辈压力
peg away at,"集中力量于,埋头做,孜孜从事"
penalty for, 罚金; 对…的处罚
persist for,无
persist in,"坚持, 固执于"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pick to pieces,"na. 拆开；扯碎；〈比喻〉刻薄批评
"
pull to pieces,"na. 扯碎；批评得一文不值
"
pile into,"挤入, 进入"
pile up,"堆积, 积累, 搁浅, 撞毁"
pitch in,"投入, 动手干, 作出贡献"
place an emphasis on,无
put an emphasis on,无
lay an emphasis on,无
play a role in,在...起作用
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
"
play havoc with,"对...遭成严重破坏, 扰乱..."
play second fiddle to,当...的副手
plead against,"反驳,劝人不要…"
plead for,为...辩护
plough through,"驶过,穿过,乘风破浪"
plug in,"v. 插入；插插头；插上
"
plunge into,"投入, 跳入"
plunge sth. into,"投入, 跳入"
point of view,"观点
"
point out,"na. 指出
"
poke fun at,取笑
poke one's nose into,探听
polish off,"na. “polish away”的变体
"
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pop up,突然站起(或跳起)
portion out,"un. 分配:
"
pose a threat to,成为...的威胁
pour down," 流下, （雨）倾盆而下; 向下倾注; 倾泻而下; 奔泻"
pour ... into,[化] 注入
pour out,"v. 倾吐；诉说
"
praise for,[网络] 称赞；因…表扬某人；因某事称赞某人
preferable to,"adj. 优于；胜过
"
preference for, 偏爱…
prepare for,[网络] 准备；为…作准备；为…做准备
preside at,招待
preside over,"负责, 主持"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
presume on,〈正〉不正当地利用〔滥用〕; 指望
prevail on,"说服, 诱使"
prevail upon,"说服,劝说好"
prevail over,胜过
prevent ... from doing,无
previous to,"在...前, 在...先, 在...以前"
prey on,"捕食, 掠夺"
prick up one's ears,竖起耳朵听
prior to,"在前, 居先
"
probe into,"探究, 探索"
proficiency in,[网络] 熟练；精通；熟练精通
profit by,从…中得到好处.得益于…
profit from,得益于
prohibit sb. from doing,[网络] 禁止某人做某事；禁止做
prone to, 倾于…
prop up,"na. (把…)撑住；给…撑腰
"
propose to do,[网络] 打算；打算做某事；建议做
propose to doing,无
protect against, 保护，保卫
provide for,"v. 为…作准备
"
provide sb. with,"v. 供给；供应
"
public figure,n. 社会名人; 人士
pull ... apart,"na. 扯断(索子等)；劝开(吵闹)
"
pull away,"脱身, 离开"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull on,"na. 穿上(衣服)
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull over,"靠岸, 开到路边"
pull through,"(使)渡过难关, (使)恢复健康"
pull together,齐心协力
pull up,"v. 拔起；使…停下
"
push aside,"v. 推开
"
push away, 继续推; 推开
push into,"推进,推动(做某事)"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put over,"na. “put across”的变体；(船)渡过去；延期
"
put an end to,"结束, 终止"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put ... down to,[网络] 归因于；说…因而起；归因为
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in for,申请
put ... in order,整理，整顿
put in,"v. 探进；放进；输入；纳入
"
put ... into effect,"使生效, 执行...
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put right,"使恢复正常, 纠正错误"
put sb. through,"na. 经受；测试；试验；使…通过
"
put ... to death,"杀死
"
put ... to use,"使用, 利用"
put up with,"忍受, 容忍
"
put up,"adj. 预先商定的
"
put ... into operation,"使生效
"
bring ... into operation,[化] 投入运转
put a premium on,"奖励, 鼓励, 重视"
place a premium on,"诱发,鼓励"
puzzle out,"na. 解决(难题等)
"
puzzle over, 苦苦思考
qualify for,有资格
quantify the risks of,无
quest for,"追求, 探索"
queue for,无
quite a few,相当多的
quite a little,"许多, 很多, 相当多, 不少"
quite a number of,相当多的
rail at,"责骂,挑剔,抱怨"
rail against,"责骂,挑剔,抱怨"
raise eyebrows,[网络] 皱眉；吃惊；使吃惊
range between, 范围在…与…之间不等
range from ... to,"从...到...(不等), 范围从...到..."
range over,"包括,涉及;在…徘徊"
rap out,"突然说出,厉声喝道"
rare bird,"n. 稀有的人或物, 珍品; 珍禽"
rather than,与其...不如...
rattle off,adv. 急促背诵地
rattle on,v. 喋喋不休地说; 开连珠炮
reach a compromise over,无
reach a settlement,[网络] 达成和解
reach an agreement,达成协议
react against,反抗
react on,起作用于
react upon,无
react to,作出反应
read through,"把...从头看到尾
"
reckon ... as,"〈非正〉被认作…, 被看作…"
reckon ... to be,无
reckon on,"指望, 依赖"
reckon with,"和...算帐, 认真对付"
reconcile to,"v. 甘心,接受"
recover from,"恢复知觉, 恢复"
reel off,"na. 从纺车上把线拉出；(用茧)缫(丝)；滔滔不绝地讲
"
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
reflect on,"深思, 反省, 导致, 招致非议"
refrain from,"忍住, 节制, 戒除"
regard ... as,把...认作
view ... as,"把...看作..., 认为...是..."
regardless of,"不注意, 不关心"
register for,"登记参加,报名参加"
register with,"向…登记,给…留下印象"
reign over,[网络] 统治；盛行；有权就会管辖
rein in,"na. 勒住(马)；控制
"
relate to,"na. 有关联；与…有关；理解
"
relate with,把…同…联系起来 connect sth in thought or meaning
relevant to, [医]adj.有关的
relieve sb. of,"v. 解除
"
reluctant to do,无
rely on,"依赖, 依靠"
rely upon, 信赖，依赖
remark on,"评论, 议论"
remark upon,"v. 评论；批评
"
remedy for,[网络] 补救；对…治疗法；药物
remind sb. of sth.,"v. 提醒
"
renege on,[网络] 食言；违背；违约
reply to,回答
require of,对…的要求
reside in,存在
resistance to, 抵抗
resistant to, [医]adj.有抵抗力的，耐药的
resolve into,[网络] 使分解为；归结为；还原成
resolve on,"决心…,决定…"
resort to,"诉诸于, 采取
"
respond to,"答复,响应,对…作出反应"
response to, 对…的反应
rest on,"被搁在, 停留在, 信赖"
rest upon, 依赖于，取决于，依靠
restrain sb. from doing,无
restrict ... to,"把…限制〔控制, 保持〕在…"
result from,"由...产生
"
result in,"导致
"
return to,回复到...
revolt against,"厌恶, 反感"
revolve around," 旋转, 绕转; 环绕"
rid sb. of sth.,"除去, 摆脱"
rifle through,[网络] 搜寻；迅速搜查
ripe for,"时机成熟, 准备就绪"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
rob ... of,"v. 抢走
"
root ... in,来源于
rope in,"na. 诱入圈套
"
round the clock,连续一整天
rub out,"na. 擦掉；〈美俚〉杀死
"
rule out,"na. 排除
"
run a fever,发烧
run across,"偶遇, 跑着穿过"
run away with,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
"
run counter to,"违反, 背道而驰"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run dry,[化] 在干燥的情况下操作
run for,竞选
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run low,"减少
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run out,"na. 耗尽；用光；过有效期；失效
"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run parallel to,"与…平行,和…同时"
run parallel with,与…平行
run riot,"跟错踪迹, 胡闹, 肆无忌惮, 茂盛"
run short,"不足, 快用完, 渐缺
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
run to,"跑向, 达到, 发展到, 趋向"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run the risk of,"冒...的危险, 冒...的风险"
take the risk of,冒…的危险
rush into,仓促行动
rush off, 仓促跑掉
rush through,"匆忙做完,草草完成;掠过"
sacrifice for,[网络] 牺牲；为…而牺牲；献出
sacrifice to,"向…祭献; 为…牺牲〔奉献〕…, 舍弃…以得到…"
saturate ... with,使饱和
save for,存钱作…之用
save on,"节省,节约"
scale back,vt. 按比例缩减，相应缩减
scale down,按比例减少；按比例缩小
scare sb. stiff,无
scout around for,到处寻找
scout about for,到处搜索
scramble for,"争夺, 勉强拼凑"
scrape by, 靠…勉强度日
scrape through,勉强通过
scrape together,"积蓄,凑集,勉强凑足"
scrape up,"积攒, 拼凑到"
scream for,强烈要求
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
search for,搜查
see that,"注意,必须做到,保证"
see to it that,务必做到; 保证
see about,"查询, 留意于, 料理"
see eye to eye," 完全一致, 有相同的看法"
see sb. off,"na. 送行；送别；告别；赶走
"
see out,"na. “see through”的变体
"
see through,"na. 看穿；看透；识破；办好某事
"
see to,"负责, 注意"
see with half an eye,一望而知
seek out,"搜出, 挑出"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
sell off,"na. (打折扣)销完；卖清(存货)
"
sell out,"卖完, 出卖, 背叛
"
sell up,"卖完, 为还债而变卖"
send away,"发送, 打发走, 解雇"
send for,na. 派人去叫
send in,"na. 拿出；提出；递(名片)；送
"
send out,"na. “send forth”的变体
"
senior to,"adj. 年长于
"
sense of responsibility, 责任感
serve as,"被用作..., 充当..., 起...的作用"
serve sb. right,"na. 给(某人)该得的待遇
"
set a good example,"做模范,树立榜样"
set about,"开始, 散布
"
set apart,"使分离, 留出"
set aside,"na. 搁置；拨出；驳回
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
set down,"na. 记入；登记；定；设
"
set fire to,点燃
set foot in,进入
set forth,"na. 公开；发行；公布；陈述
"
set free,"释放
"
set in,"na. 固定；停当；涨潮；进来
"
set off,"na. 分；分割；划开；区划
"
set one's heart on,"决心要…, 决心做…"
set out,"n. 开始；出发；动身；准备
"
set the pace,"领先, 起领头作用"
set up,"na. 建立；创立；发起；开办
"
set ... in motion,"na. 使动；开动
"
put ... in motion,"na. 使动；开动
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
settle for,满足于
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle into, 有头绪，上正轨
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"付清, 了结"
sew up,"na. 缝拢；缝合；把…缝入；缝进
"
shade into,v. 渐渐变为
shake down,"na. (将果实从树上)摇下来；摇下去；摇平(米谷等)
"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
shake one's belief,无
shed light on,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
shove off,"开船, 离开"
show off,"炫耀, 卖弄, 使显眼"
show sb. out,"na. 送出(客人)
"
show sb. in,"na. 领进(客等)
"
show respect for,[网络] 对…表示尊重；尊敬；尊敬某人
show up,"na. 显眼；揭发；嘲笑；露面
"
shrink away from,无
shrink back from,[网络] 退缩；畏缩
shrug off,na. (耸肩)表示轻蔑
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut in,"na. 监禁；围住；遮住；迫近
"
shut off,"na. 阻断；使隔开
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
shut up,"关闭, 监禁, 住口, 保藏"
side by side,"并排, 并肩"
side with,"同意, 站在...的一边"
sign in,"签到, 签收
"
sign on,"签约雇用, 开始广播"
sign up for, 注册，选课；报名参加
single out, 挑选; 抉
sink in,"完全被弄懂, 渗入, 透入"
sit back,"不采取行动, 向后靠着坐"
sit for,"参加,应;代表…担任议员"
sit in,"代人暂时照料, 参加静坐罢工"
sit out,"na. “sit through”的变体
"
sit through,"坐着捱到结束, 耐着性子看完"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,"估计, 合格"
sketch out,"v. 拟订出
"
slacken off, 松懈下来; 变迟缓; 松驰; 减弱
sleep through,睡过头
slim down,[网络] 消瘦；减肥；瘦身
slip into,匆忙穿上
slip out,"熘出,悄悄地离开"
slip up,"疏忽
"
slot in,[网络] 吸入式进碟；槽插式；穿带
slot in,[网络] 吸入式进碟；槽插式；穿带
slow down,(使)慢下来
smooth down,"弄平, 变平静"
smooth over,"na. “smooth away”的变体
"
snap at,"抓, 咬, 厉声说"
snap out of,"un. 怒气冲冲；震飞
"
snap up,"na. 咬住；突然插嘴
"
snatch up, 夺取
sneak out,偷偷地走出
sneak away, 溜号
sniff out,"na. 闻出；〈非正式〉发现
"
so as to,"使得, 以致"
so far,迄今为止
so ... as to,"使得, 以致"
soak up,"v. 吸取
"
sober up,清醒起来
something of,"在某种意义上, 在某种程度上"
sort out,"na. 清理
"
sort through,"v. 寻遍
"
sound out,"v. 试探；打听
"
spark off," 导致, 为…的直接原因"
speak for,"代表...讲话, 要求得到, 订购"
speak highly of,赞扬
speak out,"大胆地说, 大声地说"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speak well of,说...好话
specialize in,专门研究...
speculate about,思考关于…
speculate on,"考虑, 推测"
speed up,"加速
"
spell out,"na. 详细说明；【印】正式拼写
"
spill out," 溢出, 洒出"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit at,"向...吐唾沫, 对...表示藐视, 对...表示憎恶, 对...表示侮辱"
spit on,向...吐唾沫
spit out,"na. 同“spit”
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
sponge off," （用海绵）拭去, 除去; 依赖…生活"
sponge on,依赖
spread out," 伸展, 延长; 分散; 铺设; 衍"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
spring up,出现
sprout out,无
sprout up,[网络] 出现
spy on,"侦查, 暗中监视"
stab in the back,[网络] 背后插刀；背后捅刀子；背后中伤
stake on,"stake on
把(钱等)押在…上，用…打赌：
I would stake all my money on the chess with you.
我可以用我所有的钱跟你赌这盘棋。
冒…的风险去做(某事)；以…担保：
If you had taken my advice,you wouldn't have made such a bad mistake. I can stake my life on that.
如果你听了我的劝告，你就不会犯下这样的大错了，事情绝对是这样。"
stand back,退后
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand down,"离开证人席, 退出, 顺潮航行
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand out,"突出, 坚持抵抗"
stand up for,"支持
"
stand up to,"经得起..., 勇敢地面对, 抵抗"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stare at,"凝视, 盯住"
start from scratch,"从起跑线开始, 从头开始"
start off,"na. 动身
"
start on,开始
start out,"出发, 动身"
start up,"突然站起, 突然出现, 发动, 开动"
start with,从...开始
status quo,n. 现状
stay away from,不在，外出；走开；不接近，不打扰；避开
stay off,vt. 不要上（路）; 远离（某地）
stay out,呆在户外
stay put,"装牢, 留在原处不动"
stay up,不睡觉
steam up,"促进, 使发怒, 使有蒸汽"
steer clear of,"避开, 绕开"
stem from,"起源于,出自,出身于…"
step by step,逐步地
step in,"走进, 干涉, 作短时间的非正式访问"
step into,[计] 跟踪
step out,"以步测量
"
step up,"v. 加紧；走上前；登上；增加
"
stick around,逗留
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,粘住
stick with, 继续做; 跟着…; 插满
stir up,"v. 转播；重播；搅拌；煽动
"
stop off,"中途停留
"
stop over,[经] 中途停留
store up,"na. 贮藏；记住
"
straight away, 立即; 马上
straight off," 立即, 马上; 痛痛快快"
straight out,"坦率地,明白地;彻底地"
straight up,"真的,确实"
stream into,无
strike terror into,使恐怖
string out,"na. (使)节目拖长；行列长达
"
string up,"na. 挂起
"
strive for,"奋斗, 争取"
struggle for,为…而斗争
struggle with,"向…作斗争,同…搏斗"
stuff ... with sth.,把…塞满
stumble on,"无意中发现,偶然找到"
stumble upon,偶然发现
stumble across,偶然发现
submit ... to,"un. 使某人忍受某事:
"
submit to,"un. 使某人忍受某事:
"
subordinate to,使居次要地位；使从属，使隶属于
subscribe to,"预订, 同意, 订阅"
substitute for,"代替…,替换…,取代…"
succeed in,在...方面成功
sue for,控告
suffer from,"忍受, 遭受
"
suffice to say,"可以说
只用说"
suffice it to say that,只要说…就够了，不用多说
sufficient for,[网络] 足够的；满足；足以
sum up,"na. 〈口〉概括；总结
"
summon up,"振作, 鼓起"
superior to, [医]adj.优于，胜于
superiority in,无
swear at,"诅咒, 与...不协调"
swear by,"对...发誓, 信赖"
swear sb. in,"na. 使宣誓就职
"
sweep in,"刮入, 冲入; 昂然走进; 轻而易举地当选"
switch on,"v. 打开；接通；参见
"
switch off,"切断
"
sympathize with,"同意, 怜悯"
take a breath, 深深地吸一口气
take a chance,冒险
take a fancy to,喜欢
take a gamble,冒险从事(某事)
take a page from,无
take a stand,採取某种立场
take a tough line,采取断然措施，采取强硬政策
take a turn for the worse,恶化
take aback," 使吃惊, 使惊呆"
take account of,考虑
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take care of,"照顾
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take control of,"控制,掌管"
take cover,"隐蔽, 躲藏"
take delight in,乐于
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"见效, 生效
"
take exception to,"反对
"
take in stride,un. 发扬光大；大步前进；一步能轻易跳过
take in one's stride,轻而易举地做某事
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take sb. into one's confidence,向…吐露心事; 以…为心腹
take it easy,"从容, 不紧张"
take its toll,"造成损失,造成伤亡"
take notes,作笔记
take notice of, 注意到; 在意; 睬; 理睬
take occasion to do,"抓住…的好时机,乘机…"
take off the gloves,强硬起来
take off the gloves to sb.,无
take office,就职
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take ... on oneself,承担
take ... upon oneself,"na. 负担；毅然
"
take one's breath away,[网络] 令人咋舌；大为惊讶；目瞪口呆
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"尽力, 耐心"
take place,"na. 发生；举行
"
take pride in,以...为傲
take priority over,无
take risks,"冒险,担风险"
take chances,"冒险, 投机"
take root,"生根, 扎根"
take shape,"成形, 形成, 具体化"
take steps,[经] 采取措施
take sth. into consideration,"v. 顾及
"
take the blame,承担过错
take the lead,"为首, 带头"
take the place of,"代替
"
take the plunge,冒险尝试
take to heart, 以。。。为重
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"轮流, 依次"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
take your time,[网络] 慢慢来；别急，慢慢来；别着急
take ... as,"把...看作是..., 把...当作是..."
take ... for,"认为, 以为
"
take ... for granted, 信以为然
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take one's cue from,从...处得到暗示
follow one's cue from,无
take a nap,"小睡,打盹,午睡"
get a nap,无
have a nap,"打盹,小睡片刻"
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
take interest in,对…发生兴趣
take an interest in,对...感兴趣
take no interest in,对…不[不太]感兴趣
have interest in,有兴趣
have an interest in,对…有兴趣
have no interest in,对…不[不太]感兴趣
feel interest in,无
feel an interest in,无
feel no interest in,对…不[不太]感兴趣
take ... to heart, 以。。。为重
lay ... to heart,牢记
talk back,"顶嘴, 反驳"
talk sb. into doing,无
talk sense,"说话有道理
"
tangle with,"v. 吵架, 争论"
tear down,"na. 拆毁；扯下；猛冲
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a lie,说谎话
tell sth. apart,分辨
tell sb. apart,分辨
tend to,"注意, 趋向"
tend to do, 倾向于做某事
tender for,"投标
"
testify to,"证明,证实"
thanks to,由于
that is,(作插入语)那就是
i.e.,"suf. [构成名词] 表示：小,小而可爱：beautie; 属于...类型的人(或物), 有...性质的人(或物)：bookie; 与...有关的人(或物)：townie"
the bulk of,"大半,大多数,大部分"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
the writing is on the wall,[网络] 不祥之兆；不祥预兆；结果已经可以预知
there and then,"当时当地, 当场就"
think about,"考虑, 回想"
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think poorly of,"低估, 评价低"
think of ... as,把...看作
think over,"v. 仔细考虑
"
think through,"na. 仔细考虑；全面考虑
"
thirst for,"渴望, 热望"
throw light on,"照亮,阐明,使理解,启迪"
throw light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
throw a light on,无
throw a light upon,vt. 阐明(有助于说明)
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
thumb through,翻查
tick away, 使（分秒）在滴答声中溜走
tick by,[网络] 勾选
tidy up,整理
tie up,"na. 绑；系；包扎；(船只)系泊
"
time and again,反复地
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
tire out,"na. 使疲倦到极度
"
to a certain degree,"到达某种程度, 在某种程度上"
to a certain extent,在某种程度上
to all intents,无
to all intents and purposes,实际上
to and fro,来回
to be frank,"坦率地说,老实说"
to begin with,首先
to start with,"作为开始, 首先"
to date,迄今为止
to excess,过度
to one's heart's content,尽兴地
to one's relief,无
to some extent,在某种程度上
to start with,"作为开始, 首先"
to the best of one's ability,尽自己最大努力
to the contrary,相反地
to the letter,"严格按照字句, 不择不扣地"
to the point,"中肯, 扼要"
together with,"和, 加之"
tone up,增强
top out, 举行建筑物落成典礼; 达到最高点
top tier,[网络] 当之无愧的一流商学院；顶级；顶尖的
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
