intellect,"n. 智力, 出众的才华, 知识分子
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
enhance,"vt. 提高, 加强, 增加"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
re-evaluate,"v. 重新考虑；再评价；再评估
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
unsustainable,"a. 无法支撑的, 不能忍受的, 不可证实的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
birth,"n. 出生, 起源
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
delicious,a. 美味的
enjoy,"vt. 享受, 喜欢, 欣赏
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
homogeneous,"a. 同种的, 同质的, 齐性的
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
nucleus,"n. 核心, 核子, 原子核, 起点
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
universe,"n. 宇宙, 星系, (思想等)范围"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
financial,"a. 财政的, 金融的
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
incur,"vt. 招致, 蒙受, 遭遇
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
unjust,"a. 不公平的
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
chaos,"n. 大混乱, 混沌
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
gratify,vt. 使满足
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
biology,"n. 生物学
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
degree,"n. 程度, 度数, 学位, 度
"
enforce,"vt. 强迫, 执行, 坚持
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
income,"n. 收入, 收益, 流入
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
redefine,"vt. 重新定义
"
thorough,"a. 十分的, 彻底的"
unprecedented,"a. 空前的
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
admission,"n. 准许进入, 入场费, 录用, 承认
"
biomass,"n. 生物量
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
lifestyle,n. 生活方式
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
semen,"n. 精液, 精子
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
biomedical,a. 生物医学
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
hither,"a. 这边的, 在这边的
adv. 向这边, 向此处"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
blog,n. 博客；部落格；网络日志
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
demographics,n. 人口统计资料
enrich,"vt. 使富足, 使肥沃"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
indictment,"n. 起诉, 控告, 起诉状
"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
regal,"a. 帝王的, 适于帝王的"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
withstand,"vt. 抵住, 顶住, 经得起"
affair,"n. 事件, 事务, 恋爱事件"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
demonstrate,"vt. 示范, 证明
vi. 示威"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
horrify,"vt. 使恐惧, 使震惊"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
lineage,"n. 血统, 直系
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
overfish,vt. 对(鱼)进行过度捕捞
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
sermon,"n. 说教, 启示, 布道"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
denote,"vt. 指示, 表示"
ensure,"vt. 确定, 保证, 担保, 保护
"
indignant,"a. 愤怒的, 愤慨的"
linguist,n. 语言学家
miniskirt,n. 超短裙
overfund,[网络] 对…提供充足资金；过度融资
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
timescale," 时间表[尺度], 时标, 时间量程"
unnecessary,a. 不必要的
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
dentist,"n. 牙科医生
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
fireplace,n. 壁炉
hostage,"n. 人质, 抵押品
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
permission,"n. 许可, 允许
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
tiny,"a. 很少的, 微小的"
unrealistic,"a. 不切实际的, 幻想的"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
afford,"vt. 买得起, 足以, 给予"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
deny,"v. 否认, 拒绝"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
likewise,"adv. 同样地, 也"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
unknowable,"a. 不能知道的, 不可知的"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
enormous,"a. 巨大的, 庞大的"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
horizon,"n. 地平线, 眼界, (天)视地平"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
blaspheme,v. 亵渎
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
democratic,"a. 民主的
"
enrage,"vt. 激怒, 使暴怒"
fine-grained, [医]细粒的
graveyard,n. 墓地
hormone,"n. 荷尔蒙
"
indicate,"vt. 显示, 象征, 指示, 指出
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
overdressed,v. （使）穿得太讲究( overdress的过去式和过去分词 )
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
invent,"vt. 发明, 创作, 虚构
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
sonar,"n. 声纳
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
distaste,"n. 讨厌, 嫌恶"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
soothing,"a. 抚慰的, 使人宽心的
"
arc,"n. 弧, 弧形, 弓形, 弧光
"
commend,"vt. 嘉奖, 委托给, 推荐"
distinct,"a. 清楚的, 显著的, 不同的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
architect,"n. 建筑师, 设计者, 缔造者"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
distribute,"vt. 分配, 散布, 分发
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
futurologist,n. 未来学家
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
disturb,"vt. 扰乱, 妨碍, 使不安
"
extent,"n. 范围, 程度, 区域
"
investigate,"v. 调查, 审查"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
argument,"n. 争论, 论证, 论据, 自变量
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
diverse,"a. 不同的, 变化多的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
sociology,"n. 社会学
"
two-paycheck,adj. 有双份收入的；双职工的
appoint,"vt. 任命, 指定, 下令
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
dispute,"n. 争论
v. 争论"
explain,"v. 解释, 说明"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
explicit,"a. 详述的, 清楚的, 直言的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
playgoing,n. 看戏
revenue,"n. 收入, 岁入, 税收, 税务局
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
intuition,"n. 直觉, 直觉的知识"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
approval,"n. 赞成, 批准
"
dissatisfaction,"n. 不满, 不平"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
distant,"a. 远的, 疏远的
"
explore,"v. 探险, 探测, 探究"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
poverty,"n. 贫穷, 贫困, 缺乏
"
ripe,"a. 成熟的, 熟练的, 成年的
"
speculate,"vi. 深思, 推测, 投机
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
compel,"vt. 强迫, 迫使"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
compensate,"v. 偿还, 补偿, 付报酬"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
population,"n. 人口, 人口数
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
compete,"vi. 竞争, 对抗"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
rival,"n. 对手, 竞争者
a. 竞争的"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
complain,"v. 抱怨, 抗议, 控诉"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
aspect,"n. 外观, 方面, 面貌, 方向
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
aspire,"vi. 渴望, 立志于"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
drama,"n. 戏剧, 戏剧艺术"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
comply,"vi. 顺从, 依从
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
assert,"vt. 主张, 坚称, 断言
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
drawn,"a. 拔出的
draw的过去分词"
commodity,"n. 农产品, 商品, 有用的物品
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
poet,n. 诗人
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
domain,"n. 领域, 领土, 产业, 范围
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
pointless,"a. 不尖的, 钝的, 不得要领的"
ridge,"n. 脊, 山脊, 山脉
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
community,"n. 社区, 公众, 共有, 共同体
"
domestic,"a. 家庭的, 国内的, 驯养的
"
irresponsibility,"n. 无责任, 不承担责任的行为
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
arrival,"n. 到达, 抵达, 到达者
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
dominate,"v. 支配, 占优势"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
righteous,"a. 公正的, 正义的, 正直的
"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
arrogant,"a. 自大的, 傲慢的"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
item,"n. 项目, 条款, 一则, 项
"
policy,"n. 政策, 方针, 策略, 保险单
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
