alter,v. 改变
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
artificial,"a. 人造的, 假的, 非原地产的
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
electronic,"a. 电子的
"
literary,"a. 文学的, 文艺的, 精通文学的
"
logical,"a. 合乎逻辑的, 合理的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
technological,"a. 技术的
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
beloved,"a. 心爱的
n. 心爱的人"
curious,"a. 好奇的, 求知的, 古怪的"
determined,"a. 坚决的, 已下决心的"
emotional,"a. 情绪的, 情感的
"
favorable,"a. 有利的, 赞许的, 良好的"
fearful,"a. 可怕的, 恐怕的, 担心的"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
impressive,"a. 给人深刻印象的, 威严的"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
joyful,"a. 欢喜的, 高兴的, 令人高兴的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
nasty,"a. 污秽的, 下流的, 险恶的"
satisfied,a. 感到满意的
shocked,a. 震撼的；震惊的
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
aged,"a. 老的, 陈的, 有...岁的
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
dried,a. 弄干了的
dumb,"a. 哑的, 不说话的, 无声音的
"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
fallen,"a. 堕落的, 落下来的, 陷落的
fall的过去分词"
flying,"a. 飞的, 飘扬的, 飞速的
n. 飞行, 飞花"
fried,a. 油炸的
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
injured,"a. 受伤的, 受损害的, 被触怒的
"
invisible,"a. 看不见的, 无形的
"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
sticky,"a. 粘的, 有粘性的, 顽固的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
lifelong,"a. 终身的, 毕生的"
occasional,"a. 偶然的, 临时的
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
repeated,"a. 重复的, 再三的
"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
thousandth,"a. 第一千的, 千分之一的"
thousandth,"a. 第一千的, 千分之一的"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
amusing,"a. 有趣的, 引人发笑的"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
capable,"a. 有能力的, 能的, 能干的"
chosen,choose的过去分词
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
convinced,"a. 确信的, 深信的"
cutting,"n. 切断, 切下, 路堑
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
engaged,"a. 忙碌的, 使用中的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
finishing,"a. 最后的, 终点的
"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
harmful,"a. 有害的, 伤害的"
hidden,"a. 隐藏的
hide的过去分词
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
inevitable,"a. 不可避免的, 必然的
"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
"
knowing,"a. 博学的, 聪颖的, 精明的"
lifeless,"a. 无生命的, 无趣味的, 死气沉沉的"
lively,"a. 活泼的, 鲜明的, 生动的"
lying,"n. 说谎
a. 横躺的, 说谎的"
magical,"a. 魔术的, 有魔力的, 不可思议的"
miserable,a. 悲惨的；痛苦的；卑鄙的
mixed,"a. 混合的, 形形色色的, 弄糊涂的
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
telling,"a. 有效的, 显著的, 显露内心活动的"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
united,"a. 联合的, 团结的, 一致的, 和睦的
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
corporate,"a. 社团的, 合伙的, 公司的
"
cultural,"a. 文化的, 教养的, 修养的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
postal,"a. 邮政的, 邮局的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
retired,"a. 隐退的, 退休的, 退役的
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
oily,"a. 油的, 油滑的, 油嘴的
"
ripe,"a. 成熟的, 熟练的, 成年的
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
tropical,"a. 热带的, 热情的
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
acceptable,"a. 可接受的, 合意的, 可忍受的"
accurate,"a. 正确的, 精确的
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appropriate,"a. 适当的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
definite,"a. 明确的, 一定的
"
detailed,"a. 详细的, 复杂的
"
distinct,"a. 清楚的, 显著的, 不同的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
enormous,"a. 巨大的, 庞大的"
evident,"a. 显然的, 明显的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
healing,"a. 治愈的, 恢复健康的
"
immense,"a. 极广大的, 无边的, 非常好的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
precise,"a. 精确的, 严谨的, 明确的
"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
thorough,"a. 十分的, 彻底的"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
unclear,"a. 不易了解的, 不清楚的, 含混的"
unnecessary,a. 不必要的
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
upward,"a. 向上的
adv. 以上"
formerly,"adv. 从前, 以前"
frequently,"adv. 频繁, 经常地"
newly,"adv. 重新, 最近"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
sooner,"n. (美)(非正式)抢先占有土地者, 抢先而获得不正当利益的人"
freely,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地
"
poorly,"adv. 贫穷地, 不充分地, 贫乏地
a. 身体不舒服的"
strictly,"adv. 严格地, 确实地"
thickly,adv. 厚地；浓地
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
warmly,"adv. 亲切地, 温暖地, 热心地"
automatically,"adv. 自动地, 机械地"
chiefly,adv. 主要地
essentially,"adv. 本质上, 本来"
honestly,"adv. 真诚地, 公正地"
merrily,"adv. 愉快地, 高兴地"
namely,"adv. 即, 就是, 换句话说"
necessarily,"adv. 必然地, 必须地, 必要地"
normally,"adv. 正规地, 合规则, 正常地"
openly,"adv. 公开地, 坦率地, 直率地, 公然地"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
publicly,"adv. 公然地, 以公众名义"
purely,"adv. 纯粹地, 清白地, 贞洁地"
readily,"adv. 迅速地, 轻易地, 乐意地"
strangely,"adv. 奇妙地, 奇怪地, 不可思议地"
undoubtedly,"adv. 无疑, 必定, 确实地"
unfortunately,"adv. 恐怕, 不幸的是"
accustom,vt. 使习惯于
restriction,"n. 限制, 限定, 约束
"
incredible,a. 难以置信的
devotion,"n. 热爱, 投入"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
cease,"n. 停止
v. 停止, 终了"
breathing,"n. 呼吸, 瞬间, 微风
a. 呼吸的, 逼真的"
civilize,"vt. 使开化, 使文明
vi. 变文明"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
constitute,"vt. 构成, 组成, 任命
"
prefecture,"n. 地方长官的职位(或辖区), 县
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
Christianity,"n. 基督教, 基督教精神"
under the influence of ...,在...的影响之下
unusually,"adv. 不寻常地, 异乎寻常地, (非正式)非常"
massive,"a. 大而重的, 宽大的, 宏伟的
"
darken,"vt. 弄暗, 使模糊
vi. 暗下来, 颜色变深"
a flock of ...,一群
derive,"vt. 得自
vi. 起源"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
pastime,"n. 消遣, 娱乐, 游戏"
cube,"n. 立方体, 立方
"
dissolve,"v. 溶解, 解散"
without a trace,无影无踪
dominate,"v. 支配, 占优势"
drip,"n. 水滴
v. (使)滴下"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
comedian,n. 喜剧演员
dwell,"vi. 居住, 居住(于), 存在(于)"
stylish,"a. 现代风格的, 流行的, 潇洒的"
situated,"a. 位于...的, 坐落在...的, 处于某种境地的
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
boyhood,n. 少年时代
ensure,"vt. 确定, 保证, 担保, 保护
"
genuine,"a. 真正的, 真实的, 诚恳的
"
equality,"n. 平等, 均匀, 相等
"
erase,"vt. 抹去, 擦掉
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
risky,a. 危险的
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
mentally,"adv. 心理上, 精神上, 智力上
"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
currently,"adv. 现在, 当前, 一般, 普通
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
inhabit,"vt. 居住于, 占据, 栖息"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
woodland,"n. 林区, 林地"
terrific,"a. 非常好的, 极端的, 可怕的"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
refugee,"n. 难民, 流亡者
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
oversleep,v. (使)睡过头
consequently,adv. 所以
commonly,"adv. 一般, 普通, 通常"
civilization,"n. 文明, 教化
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
myth,"n. 神话, 虚构的事, 虚构的人"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
chaos,"n. 大混乱, 混沌
"
confusion,"n. 混乱, 混淆, 无秩序
"
prevail,"vi. 获胜, 流行, 盛行
"
hurricane,"n. 飓风, 暴风, 暴风雨"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
throne,"n. 王座, 君主"
heir,"n. 继承人, 嗣子, 后嗣
"
continue to do, 继续做某事
effectively,"adv. 有效地, 有力地, 实际上"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
aspirin,"n. 阿斯匹林
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
toothache,"n. 牙痛
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
be in recess,无
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
steadily,"adv. 稳定地, 无变化地, 有规则地"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
provoking,"a. 令人生气的, 使人愤怒的, 难熬的"
evidently,"adv. 明显地, 根据现有证据来看"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
consumption,"n. 消费, 消费量, 痨病
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
summertime,"n. 全盛时期, 夏季"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
reach out, （使）伸出
psychologist,"n. 心理学家
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
psychology,"n. 心理学, 心理状态
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
be up to ...,"胜任,达到,由…负责"
acquaint,"vt. 使认识, 介绍"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
candidate,"n. 候选人, 投考者
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
condemn,"vt. 判刑, 责备, 谴责
"
colonist,"n. 殖民地居民, 移民"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
consent,"n. 同意, 许可
vi. 同意, 赞同"
divorce,"n. 离婚
vt. 与...离婚"
dispute,"n. 争论
v. 争论"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
presentation,"n. 赠与, 描述, 介绍
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
plainly,"adv. 清楚地, 明白地, 简单地, 朴素地, 直率地, 坦白地"
convey,"vt. 传达, 运输, 转让
"
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
rudely,"adv. 无礼地, 粗鲁地, 粗陋地"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
critic,"n. 批评家, 鉴定家"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
colleague,"n. 同事, 同僚"
distinctly,"adv. 显然地, 明显地, 清楚地"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
the rest of,"其余的,剩下的"
exaggerate,"v. 夸大, 夸张"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
jealously,"adv. 嫉妒, 羡慕, 留心, 戒备"
inquire,"v. 询问, 问明, 查究"
charming,"a. 迷人的, 有吸引力的"
relationship with ...,无
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
unaware,"a. 未认识到的, 不知道的
"
frustration,"n. 挫折, 顿挫
"
unwilling,"a. 不愿意的, 勉强的
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
independently,"adv. 独立地, 自立地"
be unwilling to do,无
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
noted,"a. 著名的, 显著的, 扬名的"
guitarist,n. 吉他弹奏者
noticeable,"a. 显而易见的, 显著的, 值得注意的"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
react,"vi. 起反应, 起作用, 反攻
"
emotionally,adv. 在情绪上
refusal,"n. 拒绝, 推却, 优先决定权
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
dearly,"adv. 深深地, 昂贵地"
I can tell that ...,无
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
hastily,"adv. 匆忙地, 急速地, 急躁地"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
exclaim,"v. 大叫, 呼喊, 大声叫"
sporting,"a. 喜好运动的, 运动用的, 冒险性的"
legend,"n. 传说, 传奇文学, 图例
"
patiently,adv. 耐心地；有毅力地
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
teach ... to do,无
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
contempt,"n. 轻视, 轻蔑
"
interviewer,"n. 会见者, 面谈者, 进行面试者"
keep doing,[网络] 继续做；坚持做某事；一直做某事
keep on doing,继续做某事；继续做
pony,"n. 矮种马
v. 借助逐字直译文翻译
a. 小型的, 每日摘要的"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
eagerly,"adv. 渴望, 热衷于, 热切"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
rush out of ...,奔出
instantly,"adv. 立即地, 即刻地"
grin,"n. 露齿笑
v. 露齿而笑"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
painfully,"adv. 痛苦地, 苦恼地, 费力地"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
reluctant,"a. 不情愿的, 勉强的
"
seemingly,"adv. 看来似乎, 表面上看来"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
be serious about doing,无
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
beat cream,无
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
agony,"n. 极大的痛苦, 挣扎
"
obedience,"n. 服从, 顺从, 忠实
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
rosy,"a. 蔷薇色的, 玫瑰红色的"
tenderly,adv. 温和地；体贴地；柔和地
by way of ...,"经由, 作为, 为了
"
unemployment,"n. 失业, 失业人数
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
technically,"adv. 技术上, 学术上, 专门地"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
motorbike,"n. 机动脚踏两用车, 摩托车"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
sneeze,"n. 喷嚏
vi. 打喷嚏"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
initially,"adv. 最初, 开头"
flu,"n. 流感, 流行性感冒"
homesick,"a. 思家的, 思乡病的"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
used to do, 过去常常做某事
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
doorstep,n. 门阶
forehead,"n. 额, 前额, 前部
"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
cautious,"a. 谨慎的, 小心的"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
icy,"a. 冰的, 冰冷的, 冷淡的, 滑溜的"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
armed,"a. 有扶手的, 武装的, 有防卫器官的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
separately,adv. 
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
unfair,"a. 不公平的, 不正直的, 不正当的
"
abolish,"vt. 废止, 革除, 消灭
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
annoy,"vt. 使恼怒, 骚扰"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
experienced,"a. 富有经验的, 老练的, 熟练的"
skilled,"a. 熟练的
"
a team of ...,"一队,一组…"
ideally,"adv. 完美地, 理想地"
assign,"vt. 分配, 指派, 赋值
"
immensely,"adv. 无限地, 广大地, 庞大地"
imaginative,"a. 想像的, 虚构的"
astonish,vt. 使惊讶
elementary,"a. 初步的, 基本的
"
attain,"vt. 达到, 获得
vi. 达到"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
strategy,"n. 战略, 策略
"
carve,"v. 雕刻, 切开"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
Halloween,n. 万圣节前夕（10月31日夜）
jack-o'-lantern,n. (杰克)南瓜灯
