antenna,"n. 天线, 触须, 触角
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
proposal,"n. 提议, 计划, 求婚
"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
American,"n. 美国人
a. 美国的, 美洲的"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
electrician,"n. 电学家, 电气技师, 电工
"
librarian,"n. 图书馆员, 图书管理员
"
musician,"n. 音乐家, 乐师, 作曲家"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
physician,"n. 医师, 内科医师, 解除痛苦者
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
statistician,"n. 统计员, 统计学家
"
acquaintance,"n. 认识, 相识者"
adherence,"n. 依附, 固执, 坚持
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
circumstance,"n. 环境, 状况, 事件"
coherence,"n. 黏合(性), 连贯性, 一致性
"
coincidence,"n. 巧合, 同时发生
"
compliance,"n. 遵从, 顺从, 屈从
"
conscience,"n. 良心
"
consequence,"n. 结果, 重要性
"
difference,"n. 不同, 差异
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
emergence,"n. 出现, 浮现, 发生"
endurance,"n. 忍耐, 忍耐力, 耐性
"
essence,"n. 实质, 本质, 香精
"
evidence,"n. 根据, 证据, 迹象
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
governance,"n. 统治, 统辖, 管理
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
independence,"n. 独立, 自立, 自主
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
inference,"n. 推论
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
insurance,"n. 保险, 保险业, 保险费
"
interference,"n. 冲突, 干涉
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
predominance,"n. 主导地位, 优势"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
science,"n. 科学, 学科, 学问, 自然科学
"
significance,"n. 重要性, 意义, 意味
"
surveillance,"n. 监视, 监督
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
applicant,"n. 申请者
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
continent,"n. 大陆, 洲
a. 自制的"
defendant,"n. 被告
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
immigrant,"n. 移民
a. 移入的, 移民的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
inhabitant,"n. 居民, 居住者
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
percent,"n. 百分比, 百分数, 部分
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
freedom,"n. 自由, 坦率, 特权
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
employee,"n. 职员, 员工, 受雇人员
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
bribery,"n. 贿赂行为, 行贿, 受贿
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
discovery,"n. 发现, 被发现的事物
"
grocery,"n. 食品杂货店, 食品杂货业"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
pottery,"n. 陶器, 陶器厂
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
surgery,"n. 外科, 手术, 手术室, 换球术"
princess,"n. 公主, 王妃, 女巨头"
handful,"n. 少数, 一把, 棘手事"
adulthood,"n. 成年
"
physics,"n. 物理学, 物理过程, 物理现象
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
robotics,"[计] 机器人学, 自动机工程学"
statistics,"n. 统计学, 统计资料
"
advertising,"n. 广告业, 广告
a. 广告的
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
ending,"n. 终止, 终了, 收场
"
entertaining,"a. 使人愉快的, 有趣的"
feelings,"n. 感情, 情绪, 心情, 情感"
funding,[经] 债务转期
gambling,n. 赌博
meeting,"n. 会议, 会面
"
overlapping,
rearing,n. 饲养；抚养；养育
recording,"a. 记录的, 记录用的
n. 录音"
surrounding,"n. 环境
a. 周围的"
warning,"n. 警告, 预告, 预兆, 通知
"
wholesaling,n. 批发
criticism,"n. 批评, 评论, 非难
"
diffusionism, 弥漫说
favoritism,"n. 偏爱, 偏袒"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
intellectualism,"n. 智力活动, 唯理智论"
journalism,"n. 新闻业, 报章杂志
"
optimism,"n. 乐观主义, 乐观, 乐天
"
organism,"n. 生物, 有机体, 社会组织
"
particularism,"n. 完全忠于一种理论, 特殊神宠论"
professionalism,"n. 职业特性, 专业技巧, 职业行为, 职业作风, (褒)专业人员的特质, 职业化
"
skepticism,"n. 怀疑论
"
absolutist,"n. 专制主义者, 专制政体者, 绝对主义者"
activist,n. 激进主义分子
anthropologist,n. 人类学家
archaeologist,n. 考古学家
diffusionist,"n. 传流论者,(文化)传播论者"
economist,"n. 经济学者, 经济家
"
environmentalist,n. 环保人士
generalist,"n. 多面手, 通才"
idealist,"n. 理想主义者, 唯心主义者
a. 唯心论的, 理想主义的"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
linguist,n. 语言学家
scientist,"n. 科学家
"
sociologist,"n. 社会学家
"
pamphlet,"n. 小册子, 活页文选"
anthropology,"n. 人类学
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
psychology,"n. 心理学, 心理状态
"
sociology,"n. 社会学
"
technology,"n. 技术, 工业技术, 术语
"
accomplishment,"n. 成就, 完成"
achievement,"n. 完成, 成就, 功业"
advertisement,"n. 广告, 启事, 广告宣传
"
agreement,"n. 同意, 合约, 协议
"
appointment,"n. 约会, 委任的职位, 委派
"
argument,"n. 争论, 论证, 论据, 自变量
"
assessment,"n. 评估, 估定, 评定的款额
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
embodiment,"n. 具体化, 化身"
employment,"n. 雇用, 职业, 工作
"
enforcement,"n. 执行, 强制
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
enrollment,"n. 登记, 注册, 入伍
"
entitlement,"n. 权利
"
environment,"n. 环境, 外界, 围绕
"
equipment,"n. 装备, 设备, 才能
"
establishment,"n. 确立, 制定, 设施
"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
government,"n. 政府, 内阁
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
imprisonment,"n. 监禁, 下狱, 坐牢
"
improvement,"n. 进步, 改善, 利用
"
investment,"n. 投资
"
judgement,"n. 审判, 判决, 判断
"
management,"n. 经营, 支配, 管理
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
punishment,"n. 处罚, 刑罚, 惩罚
"
replacement,"n. 归还, 更换, 代替者
"
requirement,"n. 需求, 必要条件, 要求
"
resentment,"n. 怨恨, 愤恨"
retirement,"n. 退休, 隐居, 撤退
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
treatment,"n. 治疗, 待遇, 处理
"
ability,"n. 能力, 才干
"
activity,"n. 活动, 行动, 活跃, 活力
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
availability,"n. 有效性, 可利用性, 可利用的人
"
awareness,"n. 意识, 认识
"
capability,"n. 能力, 性能, 约束力
"
capacity,"n. 容量, 能力, 才能, 资格
"
casualness,n. 偶然
cautiousness,n. 谨慎；小心
celebrity,"n. 名声, 名人"
clarity,"n. 清楚, 明晰
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
consciousness,"n. 意识, 知觉, 自觉
"
creativity,"n. 创造力, 创造性"
credibility,"n. 可信用, 确实性, 可靠
"
density,"n. 密度
"
dignity,"n. 尊严, 高贵
"
disability,"n. 无力, 无能, 残疾
"
diversity,"n. 差异, 多样性
"
eagerness,n. 热心
equality,"n. 平等, 均匀, 相等
"
equity,"n. 公平, 公正
"
fairness,"n. 晴朗, 光明正大, 美丽
"
feasibility,"n. 可行性, 可能性
"
flexibility,"n. 弹性, 适应性
"
forgiveness,"n. 宽恕, 宽仁之心"
hostility,"n. 敌意, 敌对, 反对"
humanity,"n. 人性, 人类, 博爱"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
innovativeness, 创新性
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
integrity,"n. 正直, 廉正, 完整
"
majority,"n. 多数, 大半
"
necessity,"n. 需要, 必需品, 必然
"
peculiarity,"n. 特质, 特性, 怪癖"
perpetuity,"n. 永久, 不朽, 终身职位, 终身任期, 永久使用权
"
priority,"n. 优先权, 优先
"
productivity,"n. 生产力
"
prosperity,"n. 繁荣, 茂盛, 成功
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
richness,"n. 富裕, 丰富, 肥沃"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
seriousness,"n. 严肃, 认真, 严重性"
similarity,"n. 类似, 类似处
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
sustainability,"n. 持续性, 能维持性, 永续性"
unfairness,"[法] 不公平, 不公正, 不正当"
unity,"n. 一致, 联合, 单一(性), 个体
"
universality,"n. 普遍性, 一般性, 广泛性
"
validity,"n. 有效性, 正确性
"
virtuosity,"n. 精湛技巧, 对古董等的爱好"
citizenship,"n. 国籍, 市民权, 市民的身份
"
kinship,"n. 亲属关系
"
leadership,"n. 领导能力, 领导阶层"
relationship,"n. 关系, 关联
"
achiever,n. 获得成功的人
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
buyer,"n. 买主, 买方
"
commissioner,"n. 委员, 理事, 行政长官
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
consumer,"n. 消费者
"
customer,"n. 消费者
"
designer,"n. 设计者, 谋划者, 制图者
"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
educator,n. 教育家
employer,"n. 雇主, 老板
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
investor,"n. 投资者
"
lawyer,"n. 律师
"
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
legislator,"n. 立法者, 立法官, 立法委员
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
observer,"n. 观察者, 遵守者, 观察员
"
owner,"n. 拥有者, 物主, 所有人
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
passenger,"n. 乘客, 旅客
"
performer,"n. 表演者, 执行者, 完成者
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
policymaker,n. 政策制定者；决策人
producer,"n. 生产者, 制作者, 制作人
"
professor,n. 教授
reporter,"n. 记者, 报告者
"
researcher,n. 研究人员
retailer,"n. 零售商人, 传播的人
"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
stakeholder,"n. 赌金保管者
"
stranger,"n. 陌生人, 门外汉
"
subscriber,"n. 签署者, 捐献者, 订户
"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
user,"n. 使用者
"
worker,"n. 工人, 劳动者
"
both,"a. 两者的
adv. 两者都
pron. 两者"
dearth,"n. 缺乏, 粮食不足, 饥馑"
faith,"n. 信心, 信任, 忠实, 保证
"
length,"n. 长度, 长, 期间, 一段
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
absorption,"n. 吸收, 专心, 全神贯注
"
acceleration,"n. 加速, 促进, 加速度
"
accumulation,"n. 积聚, 累积, 积聚物
"
accusation,"n. 控告, 指控, 指责
"
acquisition,"n. 获得, 获得物
"
addiction,"n. 入迷, 瘾
"
addition,"n. 加法, 增加的人(或物)
"
administration,"n. 行政, 管理, 政府机关
"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
adoption,"n. 采用, 采纳, 收养
"
affirmation,"n. 肯定, 断言, 证实
"
allegation,"n. 断言, 主张, 申辩
"
allocation,"n. 配置, 分配, 拨给
"
alteration,"n. 变更, 改动
"
ambition,"n. 野心, 志向"
application,"n. 应用, 申请, 志愿书, 应用程序
"
appreciation,"n. 感激, 赏识, 鉴别
"
aspiration,"n. 热望, 志向, 渴望
"
assertion,"n. 断言, 主张
"
assimilation,"n. 同化, 同化作用, 吸收
"
association,"n. 协会
"
assumption,"n. 假定, 自负, 担任, 假装
"
authorization,"n. 授权, 许可
"
automation,"n. 自动化, 自动操作
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
celebration,"n. 庆祝, 庆典"
characterization,"n. 特性描述, 人物之塑造
"
circulation,"n. 流通, 循环, 发行量
"
civilization,"n. 文明, 教化
"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
combination,"n. 组合, 合并, 联合
"
communication,"n. 交流, 交通, 通讯
"
compensation,"n. 补偿, 赔偿金, 工资
"
competition,"n. 竞争, 竞赛
"
composition,"n. 作文, 创作, 组成
"
concentration,"n. 集中, 专心
"
connection,"n. 连接, 关系, 前后关系
"
conservation,"n. 保护, 保存
"
consideration,"n. 考虑, 原因
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
construction,"n. 建筑, 构造, 建筑物
"
consumption,"n. 消费, 消费量, 痨病
"
contribution,"n. 捐助, 捐助之物, 贡献
"
convention,"n. 大会, 协定, 惯例, 约定
"
cooperation,"n. 合作, 协力, 配合
"
corporation,"n. 公司, 合作, 法人团体
"
corruption,"n. 腐败, 堕落, 贪污
"
creation,"n. 创造, 创作物, 发明
"
definition,"n. 定义, 精确度, 清晰度
"
discrimination,"n. 差别, 岐视, 辨别力
"
disposition,"n. 性情, 处置, 处理, 布置
"
distinction,n. 区别
distribution,"n. 分配
"
duplication,"n. 副本, 复制
"
edition,"n. 版本, 版, 翻版"
education,"n. 教育, 训练, 教育学
"
election,"n. 选举, 当选, 选择权
"
elevation,"n. 海拔, 提高, 仰角
"
evaluation,"n. 评估, 估价, 求值
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
explanation,"n. 解释, 说明, 辩解, 表明
"
exploration,"n. 探险, 踏勘, 探测
"
extinction,"n. 消失, 消灭, 废止
"
fraction,"n. 小部分, 破片, 分数
"
frustration,"n. 挫折, 顿挫
"
generation,"n. 一代, 一世, 产生
"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
humiliation,"n. 耻辱, 丢脸, 谦卑"
imagination,"n. 想像, 听觉, 想像力
"
immigration,"n. 移民, 移居
"
implementation,"n. 安装启用, 实行, 履行
"
implication,"n. 牵连, 含义, 暗示
"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
innovation,"n. 改革, 创新
"
inspection,"n. 检验, 检查, 视察
"
institution,"n. 机构, 惯例, 制度
"
instruction,"n. 指令, 教导, 命令
"
intention,"n. 意图, 目的, 含义
"
interaction,"n. 交互作用, 交感
"
interpretation,"n. 解释, 演出, 翻译
"
introduction,"n. 介绍, 传入, 采用, 初步"
justification,"n. 辩护, 证明正当, 释罪
"
legislation,"n. 立法, 法律
"
manipulation,"n. 操作, 处理
"
misinterpretation,[计] 错误判断
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motivation,"n. 动机, 刺激, 推动
"
nutrition,"n. 营养, 营养学
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
observation,"n. 观察, 注意, 观测, 观察力
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
option,"n. 选择权, 挑选, 选项
"
organization,"n. 组织, 结构, 团体, 体制
"
participation,"n. 参与, 分享
"
population,"n. 人口, 人口数
"
prediction,"n. 预言, 预报
"
prevention,"n. 阻止, 妨碍, 预防
"
production,"n. 制造, 生产, 产物
"
prosecution,"n. 执行, 经营, 起诉"
qualification,"n. 资格, 条件, 限制
"
reaction,"n. 反应, 反作用, 反动
"
reduction,"n. 减少, 缩影, 变化
"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
reputation,"n. 名誉, 名声, 声望
"
restriction,"n. 限制, 限定, 约束
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
solution,"n. 解决, 解答, 溶液
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
suggestion,"n. 提议, 意见
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transportation,"n. 运输, 输送, 交通车辆
"
tuition,"n. 学费, 讲授"
variation,"n. 变更, 变化, 变种, 变奏
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
liberty,"n. 自由, 特权, 许可, 冒失
"
loyalty,"n. 忠贞, 忠诚, 忠实
"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
poverty,"n. 贫穷, 贫困, 缺乏
"
property,"n. 财产, 所有权, 性质, 属性
"
society,n. 社会；社交界；交往；社团
variety,"n. 多样, 种类, 变种, 杂耍
"
architecture,"n. 建筑学, 建筑式样
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
creature,"n. 人, 动物, 创造物, 生物"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
departure,"n. 离开, 出发, 违背, 偏离
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
infrastructure,"n. 基础结构, 基础设施
"
legislature,"n. 立法机关, 议会, 立法院
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
literature,"n. 文学, 文艺, 著作
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
procedure,"n. 程序, 过程, 手续
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
category,"n. 种类, 类项
"
ceremony,"n. 典礼, 仪式, 礼节
"
colony,"n. 殖民地, 移民队
"
controversy,"n. 论争, 辩论, 论战, 争论
"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
modesty,"n. 谦逊, 质朴, 羞怯"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
strategy,"n. 战略, 策略
"
subsidy,"n. 补助金, 津贴
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
therapy,"n. 治疗
"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
unity,"n. 一致, 联合, 单一(性), 个体
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
acceptable,"a. 可接受的, 合意的, 可忍受的"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
adaptable,"a. 能适应的, 适合的, 可修改的"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
affordable,[计] 普及型
available,"a. 可利用的, 可获得的, 有效的
"
capable,"a. 有能力的, 能的, 能干的"
considerable,"a. 相当的, 可观的, 重要的"
desirable,"a. 令人想望的, 可取的"
durable,"a. 持久的, 耐用的"
foreseeable,"a. 可预知的, 能预测的
"
identifiable,"a. 可辨认的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
inevitable,"a. 不可避免的, 必然的
"
knowledgeable,"a. 聪明的, 有知识的"
reasonable,"a. 合理的, 明理的, 适当的
"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
reliable,"a. 可靠的, 可信赖的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
unaffordable,"a. 买不起的, 负担不起的"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
unreliable,"a. 不可靠的
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
additional,"a. 附加的, 另外的, 额外的
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
artificial,"a. 人造的, 假的, 非原地产的
"
behavioral,a. 行为的
beneficial,"a. 有益的, 受益的
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
colonial,"a. 殖民的, 殖民地的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
conditional,"a. 有条件的, 有前提的
"
congressional,"a. 会议的, 议会的, 国会的
"
controversial,"a. 争论的, 论争的, 被议论的"
crucial,"a. 决定性的, 重要的, 严厉的
"
cultural,"a. 文化的, 教养的, 修养的
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
dimensional,"a. ...维的
"
doctoral,a. 博士的
educational,"a. 教育的, 教育性的"
emotional,"a. 情绪的, 情感的
"
environmental,"a. 周围的, 环境的
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
factual,"a. 事实的, 实际的
"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
federal,"a. 联邦的, 联合的, 同盟的
"
financial,"a. 财政的, 金融的
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
governmental,"a. 政治的, 统治上的, 政府的
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
illegal,"a. 违法的, 不合规定的
"
impartial,"a. 公平的, 不偏不倚的
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
influential,"a. 有影响的, 有势力的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
institutional,"a. 制度的, 公共机构的, 学会的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
internal,"a. 内在的, 国内的
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
legal,"a. 法律的, 法定的, 合法的
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
medieval,"a. 中古的, 中世纪的"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
minimal,"a. 最小的, 极微的, 最小限度的
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
mutual,"a. 相互的, 共有的
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
optional,"a. 可选择的, 随意的
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
postal,"a. 邮政的, 邮局的
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
professional,"n. 专业人才
a. 专业的, 职业的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
rural,"a. 乡下的, 田园的, 乡村风味的
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
traditional,"a. 传统的, 惯例的
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
unilateral,"a. 单方面的, 单边的, 片面的
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
