enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
last but not least,最后但并不是最不重要的(一点)
programming,"n. 节目的计划, 编制程序
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
modem,"n. 调制解调器
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
PC, [医][=phlogistic corticoid]炎性皮质激素类
printer,"n. 印刷工, 打印机
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
importance,"n. 重要, 重要性, 重要地位, 自大
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
nephew,"n. 侄子, 外甥"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
gas,"n. 气体, 汽油, 瓦斯
"
dinosaur,n. 恐龙
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
ceiling,"n. 天花板
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
terror,"n. 恐怖, 可怕的人
"
upwards,"adv. 以上, 向上"
sunlight,"n. 日光
"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
mankind,"n. 人类, 男性"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
beast,"n. 畜生, 动物, 野兽, 兽性"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
pretend,"v. 假装, 伪称, 自命, 自称"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
washroom,n. 盥洗室
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
beg,"v. 乞求, 乞讨, 请求"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
truly,"adv. 真实地, 不假"
forgive,"vt. 原谅, 宽恕, 免除
"
sincerely,adv. 真诚地
childhood,"n. 孩童时期
"
superb,"a. 极度的, 华丽的, 极好的"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
manner,"n. 样子, 礼貌, 风格
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
cruel,"a. 残酷的, 令人极痛苦的
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
awkward,"a. 笨拙的, 棘手的"
apologize,"vi. 道歉, 辩解"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
athletic,a. 运动的
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
gifted,a. 有天才的
disagreement,"n. 不合, 争论, 不一致
"
before long,不久以后
mailbox,"n. 邮筒, 邮箱
"
algebra,n. 代数学
arithmetic,"n. 算术, 算术知识
"
Easter,n. 复活节
amusement,"n. 兴味, 娱乐, 消遣
"
circus,"n. 马戏团, 马戏, 竞技场"
online,[计] 联机
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
hopeless,"a. 无希望的, 绝望的, 不可救药的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
get through,"做完, 通过, 度过"
acquaintance,"n. 认识, 相识者"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
apartment,"n. 房间, 公寓"
topic,"n. 主题, 论题, 话题"
attitude,"n. 态度, 看法, 姿势
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
be based on,"以…为基础,以…为根据"
cautious,"a. 谨慎的, 小心的"
eager,"a. 热心的, 渴望的, 热望的"
worldwide,a. 全世界的
adolescent,"a. 青春期的, 青少年的
n. 青少年"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
regardless,"a. 不管, 不注意, 不顾"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
end up,"竖着, 结束, 死"
waiting room,"候车室, 等候室
"
rely,"vi. 信赖, 依赖, 信任"
trolleybus,n. 无轨电车
revision,"n. 校订, 修正, 修订本, 修订版
"
thanks to,由于
committed,"a. 献身于某种事业的
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
apology,"n. 道歉, 辩护
"
economy,"n. 经济, 理财, 节约
"
spokeswoman,"n. 女发言人, 女代言人"
consultant,"n. 顾问, 征询意见者
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
open the floor,无
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
billion,"num. 十亿, 十亿个"
duty,"n. 责任, 关税, 职务, 尊敬
"
cut back on,削减
production,"n. 制造, 生产, 产物
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
businessman,"n. 商人, 实业家, 工商业家"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
belief,"n. 信念, 相信, 信仰"
environmental,"a. 周围的, 环境的
"
operate,"v. 操作, 运转, 动手术, 活动"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
quantity,"n. 量, 数量, 总量
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
seafood,"n. 海味, 海鲜, 鱼类"
willing,"a. 乐意的, 自愿的, 甘愿的"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
goods,"n. 货物
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
use up,"na. 用完；耗尽
"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
madam,"n. 女士, 夫人"
arrival,"n. 到达, 抵达, 到达者
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
illegally,"[法] 非法地, 不合法地, 违法地"
customs,"n. 海关, 关卡, 关税
"
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
tortoise,"n. 龟, 行动迟缓的人"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
economic,"a. 经济上的, 实用的, 节省的
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
desertification,"n. （土壤）荒漠化, 沙漠化"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
bush,"n. 矮树丛
"
decrease,"n. 减少, 减少量
v. 减少"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
administration,"n. 行政, 管理, 政府机关
"
satellite,"n. 人造卫星
"
pick out,"na. 挑选；掘出；闻出；领会
"
typhoon,n. 台风
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
illegal,"a. 违法的, 不合规定的
"
under way,"进行中, 在行进"
conservation,"n. 保护, 保存
"
dolphin,n. 海豚
in regard to,"关于
"
with regard to,关于
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
climate,"n. 气候, 社会趋势, 气候区
"
low-carbon, 低碳的
carbon,"n. 碳, 副本, 复写纸
"
dioxide,"n. 二氧化物
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
petrol,"n. 汽油
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
electrical,"a. 电的, 有关电的
"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
oxygen,"n. 氧
"
decade,"n. 十年, 十"
do one's part,尽自己的职责
clone,"n. 无性系
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
on the one hand ... on the other hand ..., 一方面…，另一方面…
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
toy with,"玩弄, 不很认真地考虑"
real-life,[计] 现实社会
monster,"n. 怪物, 恶人, 巨物
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
cell,"n. 单元, 细胞, 电池
"
mammal,"n. 哺乳动物
"
Scottish,"a. 苏格兰的, 苏格兰人的"
intention,"n. 意图, 目的, 含义
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
saleswoman,"n. 女售货员, 女店员"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
legal,"a. 法律的, 法定的, 合法的
"
push ahead with,"推动, 推进"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
physician,"n. 医师, 内科医师, 解除痛苦者
"
goat,"n. 山羊, 替罪羊, 色鬼"
consequence,"n. 结果, 重要性
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
for sale,"待售
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
concept,"n. 观念, 概念
"
crime,"n. 犯罪, 罪行, 罪恶
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
profession,"n. 职业, 表白, 声明
"
radiation,"n. 辐射
"
breakthrough,"n. 突破
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
judgement,"n. 审判, 判决, 判断
"
be burnt out,"被烧毁的
精疲力竭的"
get burnt out,无
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
follow in one's footsteps,照…的样子干，走…的道路
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
majority,"n. 多数, 大半
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
consideration,"n. 考虑, 原因
"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
tasty,"a. 好吃的, 可口的"
nutrition,"n. 营养, 营养学
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
reliable,"a. 可靠的, 可信赖的
"
accurate,"a. 正确的, 精确的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
actual,"a. 真实的, 实际的, 现行的
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
agriculture,"n. 农业
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
point of view,"观点
"
catastrophe,"n. 大灾难, 大祸
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
acre,n. 英亩
rainforest,[生态]雨林
income,"n. 收入, 收益, 流入
"
genetics,"n. 遗传学
"
frighten,"vt. 使惊吓
vi. 惊恐"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
DNA,[网络] 神射之殇
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
permission,"n. 许可, 允许
"
comedy,"n. 喜剧, 有趣的事情"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
crosstalk,"[计] 串扰, 串音, 串话"
stand up for,"支持
"
stand-up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
comedian,n. 喜剧演员
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
previous,"a. 早先的, 前面的, 过急的
"
variety,"n. 多样, 种类, 变种, 杂耍
"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
visual,"a. 视觉的
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
make fun of,取笑
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
performer,"n. 表演者, 执行者, 完成者
"
academy,"n. 学院, 院校, 学会"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
little-known, 不为人知的; 名不见经传
come up with,"赶上, 提出"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
silent film,"默片,无声片"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
amuse,"vt. 消遣, 娱乐, 使发笑"
saying,"n. 叙述, 话, 说, 言论"
cigar,n. 雪茄
bathtub,n. 浴缸
pass away,"去世, 停止, 离去, 消逝"
mourn,"v. 哀悼, 忧伤, 服丧"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
yoga,n. 瑜珈
muscle,"n. 肌肉, 臂力
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
deep-breathing,adj. 深呼吸的
positive,"a. 肯定的, 积极的, 有把握的
"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
foolishness,n. 愚蠢；可笑
foreigner,"n. 外国人, 外地人
"
instruct,"vt. 教, 教育, 命令, 通知
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
attain,"vt. 达到, 获得
vi. 达到"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
invisible,"a. 看不见的, 无形的
"
bench,"n. 长椅子
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
make room for,让机会/地位给...
textbook,n. 教科书
cosy,"a. 温暖舒适的
n. 保暖套"
invitation,"n. 邀请, 请柬, 引诱
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
crowded,"a. 拥挤的, 塞满的"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
armchair,n. 扶手椅
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
official-looking,[网络] 貌似官方的
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
empty-handed,徒手，空手
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
hold out,"na. 伸出；提出；维持；制止
"
toilet paper,"卫生纸, 草纸"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
suffering,"n. 苦难, 受苦"
gymnast,n. 体操运动员
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
in good spirits," 精神好, 高兴, 兴致好"
appreciation,"n. 感激, 赏识, 鉴别
"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
accomplish,"vt. 完成, 达到, 实现, 使完美"
thankful,"a. 感谢的, 感激的, 欣慰的"
adapt,"vt. 使适应, 改编
vi. 适应"
broadcasting,"n. 广播
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
unbearable,"a. 无法忍受的, 承受不住的"
go after,"追逐, 追求"
alcohol,"n. 酒精, 酒
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
depth,"n. 深度, 深处, 深奥
"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
ski,"n. 滑雪橇
vi. 滑雪"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
instructor,"n. 教员, 讲师
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
downhill,"a. 下坡的
adv. 下坡, 向下"
procedure,"n. 程序, 过程, 手续
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
head for,"出发, 动身, 前往"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
talent,"n. 天才, 才能, 有才干的人, 天资"
allocate,"vt. 分派, 分配
"
adequate,"a. 适当的, 足够的
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
at that point, 就在那时
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
hardship,"n. 艰难, 辛苦, 苦难
"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
predict,"v. 预知, 预言, 预报"
workday,"n. 工作日, (一天的)工作时数
"
part-time,n. 兼任，部分时间
handy,"a. 便利的, 敏捷的, 容易取得的
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
motivation,"n. 动机, 刺激, 推动
"
Thailand,n. 泰国
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
the Middle East,"n. 中东（包括亚洲西南部和非洲东北部）
"
Arab,[地名] 阿拉伯 ( 苏丹 )
the Netherlands,n. 荷兰
Netherlands,n. 荷兰
Brunei,n. 文莱
end-of-term, 期末
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
Korea,"n. 朝鲜, 韩国"
rooster,"n. 公鸡, 栖息的鸟
"
ensure,"vt. 确定, 保证, 担保, 保护
"
congratulate,"vt. 祝贺, 庆贺"
reception,"n. 接待, 接受, 招待会
"
bridegroom,n. 新郎
bride,n. 新娘
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
prohibit,"vt. 禁止, 阻止
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
accustomed,"a. 惯常的, 习惯了的"
Brit,"n. 小海生动物, 小鲱鱼"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
bonfire,"n. 大篝火, 营火"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
celebration,"n. 庆祝, 庆典"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
mustard,"n. 芥末, 芥菜, 强烈的兴趣
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
expectation,"n. 期待, 指望, 展望
"
emperor,"n. 皇帝, 君主"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
show somebody around, 带领…参观
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
religion,"n. 宗教, 信仰
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
greeting,"n. 祝贺, 问候"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
business card,n. 名片
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
Inuit,a. 因纽特人的
Nunavut,n. 努勒维特（位于加拿大）
sled,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
deer,n. 鹿
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
bravery,n. 勇敢
