foolishly,"adv. 愚笨地, 无聊地"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
daring,a. 大胆的
networking,"[计] 连网, 建网"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
in advance,"预先
"
techie,"n. 技师, 技术员"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
currency,"n. 货币, 通货, 流通, 通用
"
output,"n. 输出, 产品, 产量
"
machinery,"n. 机器, 机械装置, 机构
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
garment,"n. 衣服, 衣装, 外表"
booming,"a. 急速发展的
"
ironing,n. 熨烫
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
barrier,"n. 障碍, 栅栏
"
coincidence,"n. 巧合, 同时发生
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
advertising,"n. 广告业, 广告
a. 广告的
"
statistic,"n. 统计量
a. 统计的, 统计学的"
capacity,"n. 容量, 能力, 才能, 资格
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
arrange,"v. 安排, 排列, 达成协议
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
hyperinflation,n. 恶性通货膨胀
nontradable,[网络] 不可交易的
nonprofit,"a. 非赢利的, 无利可图的
"
liberate,"vt. 解放, 释放, 使自由
"
middleman,"n. 中间人
"
precapitalist,资本主义以前的
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
evoke,"vt. 唤起, 引起, 召(魂)
"
strive,"vi. 努力, 奋斗, 斗争"
dean,"n. 院长, 主持牧师
"
intelligence,"n. 智力, 情报, 信息
"
promote,"vt. 促进, 晋升, 创办, 推销
"
counterpoint,"n. 对位法, 旋律配合, 复调"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
one-time, 一倍；一下
council,"n. 会议, 委员会
"
persuasion,"n. 说服, 信念, 派别, 说服力"
analyze,"vt. 分析, 细察, 分解
"
previous,"a. 早先的, 前面的, 过急的
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
theorist,"n. 理论家, 理论工作者"
diplomacy,"n. 外交, 外交手腕, 交际手段
"
leadership,"n. 领导能力, 领导阶层"
preferable,"a. 更可取的, 更好的, 更合意的"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
historical,"a. 历史的, 史实的, 历史上的
"
outdated,"a. 旧式的, 落伍的, 过时的"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
synthesis,"n. 综合, 组织, 综合体
"
combination,"n. 组合, 合并, 联合
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
emphasis,"n. 强调, 加强, 重点, 强语气"
democracy,"n. 民主政治, 民主主义
"
traditional,"a. 传统的, 惯例的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
dominant,"a. 占优势的, 支配的
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
transformational,[计] 变换的
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
anecdote,"n. 轶事, 奇闻"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
corporate,"a. 社团的, 合伙的, 公司的
"
apparently,"adv. 表面上, 清楚地, 显然地"
summarize,"v. 概述, 总结"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
morality,"n. 道德, 教训, 品行
"
alas,interj. 唉
depict,"vt. 描述, 描写"
nail the jelly to the wall,无
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
circumstance,"n. 环境, 状况, 事件"
vice versa,"反之亦然
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
theme,"n. 主题, 话题, 题目"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
ultimately,"adv. 最后, 最终
"
debt,"n. 债务, 罪过
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
deny,"v. 否认, 拒绝"
uncompetitive,a. 无竞争力的
devaluation,"n. 降低价值, 贬值
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
stuck,stick的过去式和过去分词
harmonisation,"n. 和谐, 协调, 相称
 "
harmonise,"vi.vt. 以和声歌唱/演奏, (使)协调, (使)一致, (使)相称, (使)调和"
disintegration,"n. 瓦解
"
dominant,"a. 占优势的, 支配的
"
competitiveness,[经] 竞争
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
suspension,"n. 悬挂, 暂停, 中止
"
quasi-automatic,[网络] 准自动
threat,"n. 恐吓, 恶兆, 威胁
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
ministerial,"a. 部长的, 内阁的, 执政的
"
council,"n. 会议, 委员会
"
co-ordination,[建] 配位
liberalism,n. 自由主义
inner,"a. 内部的, 内心的
n. 内部"
insist,"v. 坚持, 坚决主张, 强调"
majority,"n. 多数, 大半
"
rigour,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确"
interference,"n. 冲突, 干涉
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
monetary,"a. 货币的, 金钱的
"
redistribution,"n. 重新分配, 再分发
"
via,"prep. 经由, 经过, 通过
"
fiscal,"a. 财政的, 国库的
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
competition,"n. 竞争, 竞赛
"
intervene,"vi. 插入, 调停, 干涉
"
Eurobond, [财]欧洲债券
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
blunt,"a. 钝的, 坦率的, 麻痹的"
globalization,"[计] 全球化, 普及到世界范围"
capitalism,"n. 资本主义
"
remarkably,"adv. 显著地, 引人注目地, 非常地"
internal,"a. 内在的, 国内的
"
comparable,"a. 可比较的, 比得上的"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
benign,"a. 善良的, 良性的
"
lingua franca,"n. 混合语, 任何混合国际商业用的语言"
emotional,"a. 情绪的, 情感的
"
parachute,"n. 降落伞
vi. 跳伞"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
corporate,"a. 社团的, 合伙的, 公司的
"
spin off,"na. 母公司收回子公司全部股本使之脱离的做法；有用的副产品
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
strategy,"n. 战略, 策略
"
era,"n. 时代, 纪元, 时期"
oriented,"a. 导向的
"
coincidence,"n. 巧合, 同时发生
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
vocabulary,"n. 词汇(量), 词汇表
"
explicitly,adv. 明确地；明白地
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
intend,"vt. 计划, 打算, 意思是
"
allegiance,"n. 忠贞, 效忠"
terminology,"n. 术语, 术语学
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
importation,"n. 进口, 输入品
"
historically,adv. 历史上地；从历史观点上说
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
amid,"prep. 在其间, 在其中
"
buzzword,n. 流行词
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
unplug,"vt. 拔开...的塞子, 拔去...的插头, 除掉...的障碍物"
life-hack,[网络] 生活秘诀；小帮手；生活黑客
boundary,"n. 边界, 分界线
"
bandwidth,"n. 频带宽度, 通带宽度
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
willingly,"adv. 自动地, 欣然地"
linguist,n. 语言学家
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
define,"vt. 定义, 规定, 使明确
"
processor,"n. 信息处理机, 加工者, 处理者
"
secretarial,"a. 秘书的, 书记的"
vanish,"vi. 消失, 不见, 成为零"
memo,"n. 备忘录
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
employee,"n. 职员, 员工, 受雇人员
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
wholesaler,"n. 批发商
"
typist,n. 打字员
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
decrease,"n. 减少, 减少量
v. 减少"
replace,"vt. 代替, 替换, 放回, 归还
"
end up,"竖着, 结束, 死"
unemployment,"n. 失业, 失业人数
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
telecom,telecommunication 电信
retrain,"vt. 重新训练, 再训练"
communication,"n. 交流, 交通, 通讯
"
technician,"n. 技师
"
tollbooth,n. 收费亭
collector,"n. 收集家, 收取款项的人
"
shake up,"na. 摇匀；摇动；抖匀(枕头等)；震动
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
air-traffic controller,空中交通指挥员
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
bachelor's degree,学士学位
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
available,"a. 可利用的, 可获得的, 有效的
"
clerical,"n. 牧师
a. 文书的, 事务上的, 抄写员的, 牧师的"
keep up with,"跟上
"
so-called,adj. 所谓的
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
currently,"adv. 现在, 当前, 一般, 普通
"
credibility,"n. 可信用, 确实性, 可靠
"
at risk of,无
bureau,"n. 局, 办公处
"
occupational,"a. 职业的, 军事占领的
"
outlook,"n. 观点, 景色, 前途, 了望
"
online,[计] 联机
federal,"a. 联邦的, 联合的, 同盟的
"
statistic,"n. 统计量
a. 统计的, 统计学的"
handbook,"n. 手册
"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
electronic,"a. 电子的
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
prediction,"n. 预言, 预报
"
fruition,"n. 成就, 实现, 结果实"
means,"n. 方法, 手段, 工具, 财产, 收入
"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
only to,"不料竟会…,没想到会…"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
cashless,"a. 无现款的,无现金的,无钱的"
around the corner,"在拐角处, 在附近, 即将来临"
decade,"n. 十年, 十"
predict,"v. 预知, 预言, 预报"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
efficient,"a. 有效率的, 能干的"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
disappearance,"n. 看不见, 失踪, 消失"
card reader,[计] 读卡机; 卡片阅读机
telecommunications,"n. 电信, 通讯, 电信学
"
network,"n. 网络, 广播网, 网状物
"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
consumer,"n. 消费者
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
in the meantime,"同时;当其时,在其间"
eliminate,"vt. 除去, 排除, 剔除, 消除"
base on,"v. 根据
"
set up,"na. 建立；创立；发起；开办
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
be unwilling to,[网络] 不愿意；不愿意做某事
cash,"n. 现金
vt. 兑现"
issuer,"n. 发行者
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
immediate,"a. 立即的, 直接的, 接近的
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
unauthorized,"a. 未经许可的
"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
database,"n. 数据库
"
occurrence,"n. 发生, 事件, 出现
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
marketer,"n. 赶集者, 市场商人
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
privacy,"n. 隐私, 隐居, 秘密
"
media,"n. 媒体
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
alter,v. 改变
dishonest,"a. 不诚实的
"
employer,"n. 雇主, 老板
"
thereby,adv. 因此
be obsessed with,被…困扰
intrinsically,[计] 本质的
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
connection,"n. 连接, 关系, 前后关系
"
despair,"n. 绝望, 失望
vi. 绝望"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
singular,"n. 单数
a. 异常的, 单一的"
unavoidable,"a. 不可避免的, 不得已的, 不能作废的
"
encode,"vt. 把(电文、情报等)译成密码
"
gender-neutral,性别中立
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
version,"n. 一种描述, 版本, 译文
"
constancy,"n. 坚定不移, 持久不变"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
nursery,"n. 托儿所, 苗圃, 温床
"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
intimation,"n. 暗示, 提示, 通知
"
symbolise,"vt. 象征, 代表, 作为...的象征
vt.vi. 用符号表示, 使用符号"
femininity,"n. 妇女特质, 温柔, 柔弱性
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
strategy,"n. 战略, 策略
"
come into one's own,"得到自己该得的东西, 盛行起来
"
inherently,"adv. 内在地, 生来地, 固有地
"
dominant,"a. 占优势的, 支配的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
profoundly,"adv. 深深地, 深切地"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
consumerism,n. 保护消费者利益运动
popularise,"vt.vi. 使通俗化, 使受欢迎, 使大众化, 使普及, 宣传, 推广"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
publication,"n. 出版物, 出版, 公布
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
sure-fire, [电影]特警屠龙
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
gender,"n. 性
vt. 产生"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
category,"n. 种类, 类项
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
diploma,"n. 文凭, 毕业证书
"
validity,"n. 有效性, 正确性
"
meaningless,a. 无意义的
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
eventually,"adv. 最后, 终于"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
fortunate,"a. 幸运的, 幸福的"
literacy,"n. 读写能力, 识字, 精通文学"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
dropout,"n. 退学学生, 中途退学
"
equivalency,"n. 均等, 同类, 同义, 等量, 等值, 等价, 相当, 相等"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
charmer,"n. 巫士, 可爱的人"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
get by,"通过, 混过"
trump,"n. 王牌, 法宝, 喇叭
vt. 打出王牌赢, 胜过
vi. 出王牌, 吹喇叭"
world-class, 世界级
talent,"n. 天才, 才能, 有才干的人, 天资"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
embarrassment,"n. 困难, 阻碍, 困窘
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
semester,n. 学期
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
intelligence,"n. 智力, 情报, 信息
"
dumb,"a. 哑的, 不说话的, 无声音的
"
frequently,"adv. 频繁, 经常地"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
dishonest,"a. 不诚实的
"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
priority,"n. 优先权, 优先
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
hang on to,紧紧握住
generally,"adv. 通常, 逐渐地, 普遍地"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
maturity,"n. 成熟, 完备, 到期
"
woo,"vt. 追求, 向...求爱, 恳求
vi. 求爱, 央求"
strive,"vi. 努力, 奋斗, 斗争"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
competitive,"a. 竞争的
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
managing director,n. 总经理; 常务董事
organization,"n. 组织, 结构, 团体, 体制
"
a sea change,[网络] 巨变；海底没有鱼；彻底的变革
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
nonprofit,"a. 非赢利的, 无利可图的
"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
management,"n. 经营, 支配, 管理
"
psychology,"n. 心理学, 心理状态
"
undisclosed,"a. 未泄露的, 保持秘密的, 不露真名的, 身分不明的
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
creation,"n. 创造, 创作物, 发明
"
architecture,"n. 建筑学, 建筑式样
"
come up with,"赶上, 提出"
banner,"n. 旗帜
a. 显著的, 特别好的"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
consultant,"n. 顾问, 征询意见者
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
alter,v. 改变
mostly,"adv. 大概, 大部分, 主要
"
institution,"n. 机构, 惯例, 制度
"
internal,"a. 内在的, 国内的
"
connection,"n. 连接, 关系, 前后关系
"
growth,"n. 生长, 栽培, 增长
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
in addition to,"另外, 加之, 除…之外还"
spokeswoman,"n. 女发言人, 女代言人"
promote,"vt. 促进, 晋升, 创办, 推销
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
application,"n. 应用, 申请, 志愿书, 应用程序
"
recession,"n. 后退, 凹处, 衰退, 归还
"
