cent,"n. 分
"
assumption,"n. 假定, 自负, 担任, 假装
"
reassume,"vt. 再采取, 再接受, 再假定"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
sumptuous,"a. 奢侈的, 华丽的"
ascent,"n. 上升, 提高, 攀登, 上坡路"
ascendant,"n. 支配地位, 优势, 运星
a. 上升的, 占优势的"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
descent,"n. 降落, 家系, 侵袭, 血统
"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
transcend,"vt. 超越, 胜过"
condescend,"vi. 谦逊, 屈就, 堕落"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
casualty,"n. 意外事故, 伤亡, 受害者
"
coincide,"vi. 一致, 符合
"
deciduous,"a. 每年落叶的, 非永久性的
"
error,"n. 错误, 过失, 失误, 误差
"
erroneous,"a. 错误的, 不正确的
"
inerrancy,n. 无差错
err,"vi. 犯错, 做错, 犯罪
"
errant,"a. 周游的, 离开正道的, 不定的"
null,"a. 无效力的, 无效的, 无价值的
n. 零, 空, 零位
"
annul,"vt. 废除, 宣告无效, 取消
"
nullify,"vt. 使无效, 废弃, 取消
"
nullification,"n. 无效, 废弃, 取消
"
decent,"a. 有分寸的, 得体的, 大方的"
decency,"n. 得体, 礼貌, 正派
"
decorous,"a. 有礼貌的, 高雅的, 端正的"
decorously,"adv. 有礼貌地, 高雅地"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
volition,"n. 行使意志, 意志力, 决定"
volitive,"a. 意志的, 表示愿望的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
complacent,"a. 满足的, 自满的, 得意的"
complacence,"n. 满足, 自鸣得意, 自满"
complacency,"n. 满足, 自鸣得意, 自满"
complaisant,"a. 谦恭的, 殷勤的, 顺从的"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
implacable,"a. 不能安抚的, 难和解的, 不变的"
confident,"a. 有信心的, 有把握的"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
fiduciary,"a. 基于信用的, 信托的, 受信托的
n. 被信托者, 受托人"
confide,"vt. 吐露, 委托
vi. 信赖"
confidant,"n. 心腹朋友, 知己"
infidel,"a. 不信神的, 无信仰的, 异端的
n. 无信仰者, 异教徒, 异端"
agony,"n. 极大的痛苦, 挣扎
"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
antagonist,"n. 敌手, 对手
"
diagnose,v. 诊断
diagnosis,"n. 诊断
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
prognosis,"n. 预测, 预后
"
prognostic,"a. 预兆的, 预后的
n. 先兆, 预测"
agnostic,n. 不可知论者
parliament,"n. 国会, 议会
"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
parley,"n. 会谈, 谈判
vi. 会谈, 谈判
vt. 讲"
parlance,"n. 说法, 说话的方式方法, 用语
"
dominate,"v. 支配, 占优势"
dominant,"a. 占优势的, 支配的
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
domineer,"vi. 跋扈, 作威作福
vt. 盛气凌人"
dominion,"n. 领土, 主权, 统治
"
domination,"n. 支配, 控制, 管辖"
democracy,"n. 民主政治, 民主主义
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
demography,"n. 人口统计学
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
pandemic,"a. 大流行的, 普遍的, 全世界的
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
delinquency,"n. 行为不良, 失职
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
ellipse,"n. 椭圆, 椭圆形
"
refugee,"n. 难民, 流亡者
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
subterfuge,"n. 遁辞, 借口, 托辞
"
lucifugous,"a. 畏光的, 怕光的"
institution,"n. 机构, 惯例, 制度
"
constitution,"n. 构成, 宪法, 体格
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
superstition,"n. 迷信
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
constitute,"vt. 构成, 组成, 任命
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
restitution,"n. 归还, 偿还, 赔偿
"
superstitious,"a. 迷信的
"
description,"n. 描述, 说明, 种类
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
describe,"vt. 描述, 描绘, 画"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
prescription,"n. 处方, 命令, 指定
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
ascribe,"vt. 归因于, 归咎于
"
subscriber,"n. 签署者, 捐献者, 订户
"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
delusion,"n. 迷惑, 欺瞒, 错觉
"
illusion,"n. 幻影, 错觉, 幻想
"
ludic,"a. 顽皮的, 开玩笑的"
allude,"vi. 暗指, 提及"
delude,"vt. 迷惑, 蛊惑"
elude,"vt. 逃避, 规避, 把...难倒"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
interlude,"n. 幕间, 幕间时间, 插曲, 穿插, 过场
"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
verisimilar,"a. 好像真实的
"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amiable,"a. 亲切的, 和蔼可亲的
"
amour,"n. 偷情, 性爱
"
amicable,"a. 友善的, 友好的
"
enamored,"a. 倾心于...的, 被迷住的, 迷恋的"
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automobile,"n. 汽车
"
autism,"n. 孤独症
"
autopilot,[化] 自动驾驶仪
autonomy,"n. 自治, 自治权
"
autocrat,n. 独裁者
patron,"n. 赞助人, 顾客, 保护人
"
patriot,"n. 爱国者, 爱国主义者"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
paternity,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处
"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
repatriate,"vt. 把...遣返
vi. 回国
n. 被遣返回国者"
arrogance,"n. 傲慢态度, 自大"
abrogate,"vt. 废除, 取消
"
arrogant,"a. 自大的, 傲慢的"
derogate,"v. 贬损, 毁损"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
arrogate,"vt. 没来由地把...归属于, 僭取
"
aspect,"n. 外观, 方面, 面貌, 方向
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
expect,"vt. 预期, 盼望, 期待"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
expectation,"n. 期待, 指望, 展望
"
inspection,"n. 检验, 检查, 视察
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
speculate,"vi. 深思, 推测, 投机
"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
despise,vt. 轻视
spectator,"n. 观众, 目击者, 旁观者"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
circumspect,"a. 细心的, 慎重的"
prospective,"a. 预期的, 将来的
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
conspicuous,"a. 显著的, 显眼的, 出众的"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
aware,"a. 知道的, 有觉悟的"
unaware,"a. 未认识到的, 不知道的
"
awareness,"n. 意识, 认识
"
beware,"v. 小心, 谨防"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
miracle,"n. 奇迹, 奇事"
miraculous,"a. 奇迹的, 不可思议的"
mirth,"n. 欢笑, 欢乐, 愉快"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visual,"a. 视觉的
"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
revision,"n. 校订, 修正, 修订本, 修订版
"
dividend,"n. 被除数, 股利
"
supervise,"v. 监督, 管理, 指导"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
envisage,"vt. 面对, 正视, 想象"
previse,"vt. 预知, 预先警告"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
curtail,"vt. 缩减, 剥夺, 简略
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
curtailment,"n. 缩减, 缩短
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrity,"n. 正直, 廉正, 完整
"
disintegrate,"vt. (使)分解, (使)碎裂
"
disintegration,"n. 瓦解
"
basis,"n. 基础, 主要成分
"
basement,"n. 地下室, 墙脚
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
debase,"vt. 贬低, 降低"
baseborn,"a. 出身微贱的, 私生的"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
principle,"n. 原则, 原理, 主义
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
priority,"n. 优先权, 优先
"
procedure,"n. 程序, 过程, 手续
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
success,"n. 成功, 成就, 胜利"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
ancestor,"n. 祖先, 祖宗"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
recession,"n. 后退, 凹处, 衰退, 归还
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
unprecedented,"a. 空前的
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
cede,"vt. 割让
"
intercede,"vi. 说情, 调解
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
exist,"vi. 存在, 生存, 发生"
persist,"vi. 坚持, 固执, 持续, 坚称
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
consist,"vi. 组成, 存在于, 一致"
insist,"v. 坚持, 坚决主张, 强调"
existence,"n. 存在, 生存
"
irresistible,"a. 不可抵抗的, 不能压制的
"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
desist,"vi. 停止, 控制, 断念"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
circumstance,"n. 环境, 状况, 事件"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
distant,"a. 远的, 疏远的
"
status,"n. 状态, 情形, 地位, 要人身份
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
obstacle,"n. 障碍, 妨害物, 阻碍"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
withstand,"vt. 抵住, 顶住, 经得起"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
stationery,"n. 文具, 信纸
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
apostasy,"n. 叛教, 变节, 脱党
"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
substantiate,"vt. 使实体化, 证实
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
eventful,"a. 变故多的, 多事的, 重要的"
eventual,"a. 最后的, 终于的"
invent,"vt. 发明, 创作, 虚构
"
avenue,"n. 大街, 途径, 林荫路"
convenience,"n. 方便, 便利的事物, 方便的时候"
prevent,"v. 预防, 防止, 阻止, 妨碍"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
convention,"n. 大会, 协定, 惯例, 约定
"
intervene,"vi. 插入, 调停, 干涉
"
advent,"n. 来到, 来临"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
deceive,"v. 欺骗, 行骗"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
capacity,"n. 容量, 能力, 才能, 资格
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
conception,"n. 观念, 概念
"
conceive,"vt. 构思, 认为
vi. 怀孕"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
captious,"a. 吹毛求疵的, 挑剔的"
inception,"n. 起初, 获得学位"
conference,"n. 会议
"
ferry,"n. 渡船, 渡口
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
differ,"vi. 不一致, 不同
"
prefer,"vt. 宁可, 较喜欢, 提出
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
infer,"vt. 推论出, 推断
vi. 作推论"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
confer,"vt. 授予, 带来
vi. 协商"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
inferential,"a. 推理的, 可以推论的, 推理上的
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
conferment,"n. 给予, 授予
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
registration,"n. 登记, 挂号, 注册
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
congest,"vt. 使充满, 使拥塞, 使充血
vi. 充塞, 充血, 拥挤"
indigestion,"n. 消化不良
"
digestion,"n. 消化力, 领悟
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
deport,"vt. 举止, 驱逐出境
"
portage,"n. 陆上运输, 搬运
v. 转到陆上运输"
attain,"vt. 达到, 获得
vi. 达到"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
container,"n. 容器, 集装箱
"
continuous,"a. 连续的, 继续的, 连续不断的
"
detain,"vt. 扣留, 扣押, 耽搁
"
discontent,n. 不满
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
attainable,"a. 可到达的, 可得到的"
tenable,"a. 可守的, 站得住(脚)的, 合理的, 成立的"
attainment,n. 达到
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
delegate,"n. 代表
vt. 委派...为代表"
legality,"n. 合法, 正当
"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
legislate,"vi. 制定法律
vt. 用立法规定"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
enormous,"a. 巨大的, 庞大的"
enormity,"n. 暴行, 极恶, 巨大
"
transnormal,"a. 超常规的, 异常的
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
society,n. 社会；社交界；交往；社团
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
socialism,"n. 社会主义, 社会主义运动"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
consociate,"v. (使)结合, (使)联盟"
dissociate,"v. 把...分开, 分离, 游离, 分裂"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
construction,"n. 建筑, 构造, 建筑物
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
destruction,"n. 破坏, 毁灭
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
instructor,"n. 教员, 讲师
"
reconstruct,"vt. 重建, 改造
"
destructible,a. 可破坏的
ban,"n. 禁令
vt. 禁止, 取缔"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
banish,"vt. 驱逐, 消除
"
banal,"a. 平凡的, 陈腐的"
banister,"n. 栏杆的支柱, 楼梯的扶栏"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
remand,"n. 遣回, 还押
vt. 遣回, 还押候审"
liberation,"n. 释放, 解放
"
liberty,"n. 自由, 特权, 许可, 冒失
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberate,"vt. 解放, 释放, 使自由
"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
defense,"n. 防卫, 防卫物
"
defend,"vt. 防护, 辩护, 防卫
"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offender,"n. 罪犯, 无礼的人, 得罪人的人"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
defenseless,a. 无防备的
fend,"vt. 击退, 保护, 供养"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
elevator,"n. 电梯, 升降机
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
elevate,"vt. 举起, 提拔, 鼓舞"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
alleviate,"vt. 减轻, 使缓和"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
depend,"vi. 靠, 视...而定, 信赖"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
dependable,"a. 可信任的, 可靠的, 可信赖的"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
suspension,"n. 悬挂, 暂停, 中止
"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
inject,"vt. 注射, 注入, 使入轨
"
eject,"vt. 逐放, 放逐, 喷射
"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
deject,"vt. 使沮丧, 使灰心"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
restrain,"vt. 抑制, 阻止, 束缚
"
restrict,"vt. 限制, 限定, 约束
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
constrain,"vt. 强迫, 限制, 关押"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
restriction,"n. 限制, 限定, 约束
"
constringe,"vt. 压缩, 使收缩, 使收敛"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
define,"vt. 定义, 规定, 使明确
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
definitive,"n. 限定词
a. 限定的, 决定性的"
