enable,"vt. 使能够
"
regrettably,"adv. 抱歉地, 遗憾地,可悲地"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
disintegrate,"vt. (使)分解, (使)碎裂
"
disintegration,"n. 瓦解
"
integrity,"n. 正直, 廉正, 完整
"
gravity,"n. 地心引力, 重力
"
aggravate,"vt. 使恶化, 使更严重, 加重"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gambling,n. 赌博
gambler,"n. 赌博者, 赌徒
"
grammar,"n. 语法学, 入门书
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guaranteed,"a. 有保证的, ；有人担保的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
guilt,"n. 罪行, 内疚
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
habitation,"n. 居住, 住所"
inhabitant,"n. 居民, 居住者
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitancy,"n. 踌躇, 犹豫"
hesitant,"a. 迟疑的, 踌躇的, 犹豫不定的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
coherence,"n. 黏合(性), 连贯性, 一致性
"
atmosphere,"n. 大气, 空气, 气氛
"
atmospheric,"a. 大气的
"
heir,"n. 继承人, 嗣子, 后嗣
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inherited,a. 遗传的；继承权的；通过继承得到的
inheritor,"n. 继承人, 后继者
"
inherent,"a. 固有的, 与生俱来的
"
inherently,"adv. 内在地, 生来地, 固有地
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exhibition,"n. 表现, 展览会, 展览品
"
prohibit,"vt. 禁止, 阻止
"
prohibition,"n. 禁令, 禁止"
hinder,"a. 后面的
v. 阻碍, 打扰"
hint,"n. 暗示, 提示
v. 暗示, 示意"
hospitable,"a. 好客的, 招待周到的"
hospitality,"n. 款待, 亲切, 殷勤"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humanist,"n. 人道主义者, 人文学者"
humane,"a. 有人情的, 人道的, 仁慈的"
humanity,"n. 人性, 人类, 博爱"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
humbly,"adv. 谦逊地, 卑贱地, 低声下气地"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humiliation,"n. 耻辱, 丢脸, 谦卑"
humiliating,"a. 丢脸的, 耻辱的, 羞愧的"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
hijack,"vt. 抢劫, 劫持, 敲诈
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
historian,"n. 历史学家, 记事者"
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
"
honest,"a. 诚实的, 坦直的, 可靠的"
honesty,"n. 诚实, 公正, 正直"
honestly,"adv. 真诚地, 公正地"
dishonest,"a. 不诚实的
"
dishonesty,"n. 不诚实
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honorably,adv. 值得尊敬地；体面地
dishonor,"n. 不名誉
vt. 玷辱, 使蒙羞"
hormone,"n. 荷尔蒙
"
huge,"a. 极大的, 巨大的, 无限的"
hugely,"adv. 巨大地, 非常地"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subjective,"a. 主观的, 个人的
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objectiveness,"n. 客观, 客观性"
objectivity,"n. 客观, 客观现实, 客观性
"
inject,"vt. 注射, 注入, 使入轨
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
judgment,"n. 裁判, 宣告, 判决书
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
juror,"n. 陪审员, 审查委员
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
prejudiced,a. 怀偏见的
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biased,"a. 有偏见的
"
unbiased,"a. 没有偏见的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
readjust,"vt. 重新调整, 再调整
"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justification,"n. 辩护, 证明正当, 释罪
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imagination,"n. 想像, 听觉, 想像力
"
imaginable,"a. 可想像的, 可能的"
unimaginable,"a. 不能想象的, 不可思议的"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
income,"n. 收入, 收益, 流入
"
outcome,"n. 结果, 出口"
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgence,"n. 沉溺, 放纵, 嗜好
"
indulgent,"a. 纵容的, 任性的, 宽容的"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infancy,"n. 幼年, 初期, 幼儿期
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
misinterpret,vt. 曲解
interpretation,"n. 解释, 演出, 翻译
"
misinterpretation,[计] 错误判断
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
intimately,"adv. 亲切地, 亲密地, 个人性地"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investment,"n. 投资
"
investor,"n. 投资者
"
investigate,"v. 调查, 审查"
investigation,"n. 调查, 审查
"
investigator,"n. 调查者, 审查者
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
journal,"n. 日记, 杂志, 日报
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
laboratory,"n. 实验室, 研究室, 化工厂
"
collaborate,"vi. 合作, 勾结
"
collaboration,"n. 合作, 勾结
"
collaborative,"a. 合作的, 协作的"
collaboratively,adv. 合作地；协作地
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
election,"n. 选举, 当选, 选择权
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
elected,"vt. 选举, 推选"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
elite,"n. 精华, 精锐, 中坚分子"
elitism,n. 精英主义
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
selective,"a. 选择的, 选择性的
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
collectively,"adv. 集合, 聚合性, 共同, 集体主义, 集团, 集体"
collector,"n. 收集家, 收取款项的人
"
intellect,"n. 智力, 出众的才华, 知识分子
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
elegant,"a. 优雅的, 端庄的, 高雅的"
elegance,"n. 高雅, 典雅, 优雅"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
lecturer,"n. 演讲者, 讲师
"
dialect,"n. 方言, 同源语"
allege,"vt. 宣称, 主张, 提出, 断言
"
allegation,"n. 断言, 主张, 申辩
"
legal,"a. 法律的, 法定的, 合法的
"
legally,"adv. 法律上, 合法地
"
illegal,"a. 违法的, 不合规定的
"
illegally,"[法] 非法地, 不合法地, 违法地"
legislate,"vi. 制定法律
vt. 用立法规定"
legislation,"n. 立法, 法律
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legislature,"n. 立法机关, 议会, 立法院
"
legislator,"n. 立法者, 立法官, 立法委员
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
privileged,"a. 有特权的, 有特别恩典的
"
deprive,"vt. 剥夺, 使丧失
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
uplift,"n. 抬起, 道德的向上, 精神的高涨
vt. 提高, 抬起
vi. 上升"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
relevance,n. 中肯；关联；相关性
alleviate,"vt. 减轻, 使缓和"
alleviation,"n. 减轻, 缓和, 镇痛物
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
liberate,"vt. 解放, 释放, 使自由
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberty,"n. 自由, 特权, 许可, 冒失
"
liberalize,"vt. 宽大, 使自由主义化
vi. 自由主义化"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberation,"n. 熟虑, 熟思, 审议
"
deliberately,adv. 故意地
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slightly,"adv. 些微地, 苗条地"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
delighted,"a. 高兴的, 快乐的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlightening,"a. 有启发作用的, 使人领悟的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
highlighting,"[计] 突出性, 醒目性, 高明亮部分, 图象最亮处"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
literacy,"n. 读写能力, 识字, 精通文学"
literature,"n. 文学, 文艺, 著作
"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
locally,"adv. 地方性地, 局部性地, 在当地"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
allocation,"n. 配置, 分配, 拨给
"
allocate,"vt. 分派, 分配
"
replace,"vt. 代替, 替换, 放回, 归还
"
replaceable,"a. 可替换的, 可代替的, 可放在原处的
"
replacement,"n. 归还, 更换, 代替者
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
logical,"a. 合乎逻辑的, 合理的
"
logically,"adv. 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有逻辑, 有逻辑头脑, 合理, 明智"
slogan,"n. 呐喊声, 标语, 口号"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
apology,"n. 道歉, 辩护
"
apologize,"vi. 道歉, 辩解"
analogy,"n. 相似, 类似
"
analogous,"a. 类似的, 相似的
"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
analytical,"a. 分析的, 善于分析的, 解析的
"
analytically,[机] 分析上
biology,"n. 生物学
"
biological,"a. 生物学的
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
ideological,"a. 意识形态的, 空想的
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
idealized, 理想化的
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
idealist,"n. 理想主义者, 唯心主义者
a. 唯心论的, 理想主义的"
ideally,"adv. 完美地, 理想地"
psychology,"n. 心理学, 心理状态
"
psychologist,"n. 心理学家
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologically,"adv. 心理上, 从心理学角度"
sociology,"n. 社会学
"
sociologist,"n. 社会学家
"
illusion,"n. 幻影, 错觉, 幻想
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manipulation,"n. 操作, 处理
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manufacturer,"n. 制造业者, 厂商
"
manufacturing,"n. 制造业
a. 制造业的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifesto,"n. 宣言, 声明"
manner,"n. 样子, 礼貌, 风格
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
landmark,"n. 陆标, 划时代的事, 地界标
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remarkably,"adv. 显著地, 引人注目地, 非常地"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
media,"n. 媒体
"
immediate,"a. 立即的, 直接的, 接近的
"
immediately,"adv. 直接地, 立刻, 立即"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
moderately,"adv. 适当地, 适度地, 中庸地"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modesty,"n. 谦逊, 质朴, 羞怯"
modestly,adv. 适当地；谨慎地
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
remodel,"vt. 改造, 改型, 改变"
amateur,"n. 业余爱好者, 外行, 爱好者
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
commodity,"n. 农产品, 商品, 有用的物品
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
modernize,"vi. 现代化
vt. 使现代化"
modernization,n. 现代化
modernism,"n. 现代作风, 现代主义, 现代思想"
postmodern,a. 后现代的
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
member,"n. 成员, 会员
"
memorize,"vt. 记住, 熟记, 背熟"
memorization,"n. 凭记忆, 暗记"
commemorate,vt. 纪念
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentally,"adv. 心理上, 精神上, 智力上
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
mentioned,v. 提到( mention的过去式和过去分词 ); 说起; 提名表扬; 传令嘉奖
unmentioned,"a. 未提及的,未说起的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commend,"vt. 嘉奖, 委托给, 推荐"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
remind,"vt. 提醒, 使想起"
reminder,"n. 提醒的人, 暗示
"
mood,"n. 心情, 气氛, 生气, 基调
"
commerce,"n. 商业, 商务, 贸易
"
e-commerce, [计]电子商务
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commercially,adv. 商业上；通商上
commercialize,"vt. 使商业化, 使商品化, 使能营利, 在...发展商业
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
merciful,"a. 仁慈的, 慈悲的"
unmerciful,"a. 不慈悲的, 无情的, 残忍的"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
meritocracy,n. 精英领导阶级
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
immigration,"n. 移民, 移居
"
immigrate,"vt. 使移居入境
vi. 移入"
immigrant,"n. 移民
a. 移入的, 移民的"
emigrate,"v. (使)移居, (使)移民"
emigration,"n. 移民, 移居外国(或外地)
"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
migrate,"vi. 移动, 移往, 随季节而移居
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
militant,a. 好战的
militantly," 激进地, 好斗地"
minimum,"a. 最小的, 最低的
n. 最小值
"
diminish,"v. (使)减少, (使)变小"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
eminent,"a. 显赫的, 杰出的, 有名的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministerial,"a. 部长的, 内阁的, 执政的
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
missing,"a. 不见的, 缺少的
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
admission,"n. 准许进入, 入场费, 录用, 承认
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
permission,"n. 许可, 允许
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
permissible,"a. 可允许的, 可容许程度的
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commissioner,"n. 委员, 理事, 行政长官
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transmissible,"a. 能递送的, 可传递的, 可传达的
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
monotonous,"a. 单调的, 无变化的"
monopoly,"n. 垄断, 专卖权, 独占事业
"
harmony,"n. 协调, 和睦, 调和
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
harmonization,"n. 调和化, 融洽, 一致"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
unity,"n. 一致, 联合, 单一(性), 个体
"
union,"n. 联盟, 联合, 结合, 工会
"
unique,"a. 独一无二的, 独特的, 稀罕的"
uniqueness,[计] 唯一性
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
uniformity,"n. 无差异, 同样, 划一, 一致
"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
"
bilingual,a. 双语的
linguist,n. 语言学家
linguistic,"a. 语言的, 语言学的
"
linguistical,"[计] 语言的, 语言学的"
linguistically,adv. 语言学方面
multilingual,a. 多语言的
ambiguous,"a. 不明确的, 模棱两可的
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
tribe,"n. 宗族, 部落, 一群人
"
tribute,"n. 贡物, 礼物, 颂辞"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
contributory,"n. 贡献者, 捐助者
a. 贡献的, 捐助的"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
redistribution,"n. 重新分配, 再分发
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motivation,"n. 动机, 刺激, 推动
"
motivated,"a. 有动机的, 目的明确的"
demotivate,v. 使失去动力
promote,"vt. 促进, 晋升, 创办, 推销
"
promotion,"n. 晋级, 创建, 增进
"
promotor,"n. （常与of连用）发起人；倡导者, 赞助人"
emotion,"n. 情绪, 激动, 强烈的情感
"
emotional,"a. 情绪的, 情感的
"
emotionally,adv. 在情绪上
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
automate,"vt.vi. (使)自动化
"
automation,"n. 自动化, 自动操作
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automatically,"adv. 自动地, 机械地"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
mutual,"a. 相互的, 共有的
"
mutually,"adv. 互相地, 互助"
massive,"a. 大而重的, 宽大的, 宏伟的
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maturity,"n. 成熟, 完备, 到期
"
sophisticated,"a. 复杂的, 久经世故的
"
