ambiguity,"n. 不明确, 含糊
"
infinity,"n. 无限大, 无限
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
quid,"n. 一镑金币, 一镑, 咀嚼物"
relativity,"n. 有关系, 相关性, 相对性
"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
concealment,"n. 隐匿, 隐蔽, 躲藏
"
facade,"n. 建筑物的正面, 外观, 表面"
facet,"n. (多面体的)面, 方面, 琢面
"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
midland,"n. 中部地方, 内地"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
notch,"n. 刻痕, 等级, 峡谷
vt. 刻凹痕, 用刻痕计算, 赢得"
proximity,"n. 接近, 亲近"
quarry,"n. 采石场, 方形石, 猎物, 被追求物, 来源
vt. 挖出, 努力挖掘
vi. 费力地找"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
shroud,"n. 尸衣, 寿衣, 覆盖物, (船的)横桅索
vt. 包以尸衣, 遮蔽, 隐藏, 覆盖"
terminus,"n. 终点, 界标, 终点站
"
underside,"n. 下面, 下侧, 底面"
upside,"n. 上侧, 上段, 上部
"
vista,"n. 远景, 展望, 回想"
adherent,"n. 信徒, 追随者
a. 附着的, 发生联系的"
airman,"n. 飞行员, 空军士兵"
antagonist,"n. 敌手, 对手
"
bloke,"n. 小子, 家伙"
caddie,"n. 球童
vi. 当球童"
courier,"n. 送快信的人, 伴游服务员
"
custodian,"n. 管理人, 保管人, 监护人
"
headteacher,n. 中小学的校长
mentor,"n. 指导者, 良师益友"
midwife,"n. 助产士, 接生婆
"
newsagent,n. 报刊经销商
outcast,"a. 被逐出的, 被遗弃的, 无家可归的
n. 被驱逐的人, 流浪者"
pygmy,"n. 矮人, 侏儒
a. 矮小的"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
seniority,"n. 长辈, 老资格
"
suitor,"n. 起诉者, 请愿者, 求婚者
"
wretch,"n. 可怜的人, 卑鄙的人, 家伙"
accelerator,"n. 加速剂, 加速器, 油门
"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
chisel,"n. 凿子
v. 凿, 刻, 雕凿, 欺骗"
churn,"n. 搅乳器
v. 搅拌, 搅动"
clothespin,n. 晒衣绳上夹衣服之夹子
crank,"a. 不稳的, 脾气暴燥的, 易怒的
n. 曲柄, 奇想
vt. 装曲柄
vi. 转动曲柄"
crib,"n. 婴儿小床, 食槽, 蓄栏
vi. 抄袭
vt. 拘禁, 关入栅栏"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
detector,"n. 发现者, 检验器, 检波器
"
diesel,"n. 内燃机, 柴油机, 柴油"
dropping,"n. 点滴, 滴下, 落下
"
flint,"n. 打火石, 燧石, 极硬的东西
"
flooring,"n. 地板, 地板材料, 铺地板"
frill,"n. (衣饰上的)皱边, 皱边纸饰
vi. 起边皱
vt. 折成皱边"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
helm,"n. 舵, 驾驶盘, 枢机, 头盔
vt. 给...掌舵, 指挥, 给...戴头盔"
mainframe,"n. 主机
"
mortar,"n. 臼, 研钵, 灰泥
vt. 用灰泥涂抹, 用灰泥结合"
neutron,"n. 中子
"
plaything,"n. 玩具, 被玩弄的人, 玩物"
rubble,"n. 粗石, 碎砖, 粗石堆"
semicircle,n. 半圆形
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
slate,"n. 板岩, 页岩, 提名名单, 人选, 记录, 石板
a. 石板色的
vt. 铺石板, 责骂, 痛打"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
stub,"n. 断肢, 烟蒂, 树桩, 残余, 存根
vt. 连根拔除, 踩熄
"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
transistor,"n. 晶体管
"
trimming,"n. 整理, 修剪, 装饰, 点缀物, 装饰物, 修剪下来的东西, 诈骗, 击败, 殴打
"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
divisional,"a. 部门的, 部分的, 分开的
"
dual,"a. 双重的, 双的
n. 双数"
elevated,a. 提高的
foremost,"a. 最初的, 最重要的
adv. 在最前"
immovable,"a. 固定的, 不动的, 不改变的
"
interdependent,"a. 相互依赖的, 相互依存的"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
relational,"a. 有关系的, 有联系的, 亲属的, 有亲属关系的
"
reliant,"a. 依赖的, 信赖的"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
symmetrical,"a. 对称的, 匀称的
"
cognitive,"a. 认知的, 认识的"
colloquial,"a. 会话的, 口语的, 口语体的"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
empirical,"a. 完全跟据经验的, 经验主义的
"
existential,a. 有关存在的
figurative,"a. 比喻的, 象征的, 修饰丰富的"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
investigative,"a. 审查的, 调查的, 好研究的
"
methodical,"a. 有方法的, 有系统的"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
molecular,"a. 分子的, 由分子组成的
"
monumental,"a. 纪念碑的, 做为纪念的, 不朽的"
mystic,"a. 神秘的, 奥秘的
n. 神秘主义者"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
occult,"a. 神秘的, 不可思议的, 超自然的
v. 掩蔽, 隐藏
n. 神秘之事, 神秘学"
proverbial,"a. 谚语的, 谚语式的, 闻名的"
reactive,"a. 反动的, 反应的
"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
injurious,"a. 有害的, 不公正的
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
neurotic,"n. 神经症患者
a. 神经质的, 神经症的"
psychiatric,"a. 精神病学的, 医精神病的
"
retarded,a. 智力上迟钝的
toothless,"a. 无齿的
"
appalling,"a. 骇人的, 令人震惊的"
audible,"a. 听得见的
"
awakening,"n. 唤醒, 觉醒, 被唤起
a. 觉醒中的"
blinding,"a. 使人眩目的, 使人失去判断力的
n. 碎石子"
creepy,"a. 爬行的, 令人毛骨悚然的"
eerie,"a. 怪诞的, 可怕的, 奇异的, 令人迷惑不解的"
expectant,"n. 预期者, 期待者, 候选人
a. 预期的, 期待的"
fraught,"a. 含有...的, 伴着...的, 充满...的"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
intriguing,"a. 吸引人的, 有趣的"
lamentable,"a. 可悲的, 哀伤的, 可怜的"
objectionable,"a. 会引起反对的, 令人讨厌的"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
"
possessed,"a. 中邪魔的, 被妖魔缠住的"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
unspoken,unspeak的过去分词
wistful,"a. 渴望的, 想望的"
arduous,"a. 费力的, 努力的, 险峻的"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
bumpy,"a. 颠簸的, 崎岖不平的"
cellular,"a. 细胞的
"
ceremonious,"a. 讲究仪式的, 隆重的"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
creditable,"a. 可称誉的, 声誉好的, 可信的"
crossed,"a. 十字的, 划掉的, 交叉的
"
deserving,"a. 该受的, 有功的, 值得...的
n. 功过, 赏罚"
disorderly,"a. 无秩序的, 乱的, 骚乱的
"
dormant,"a. 睡眠状态的, 静止的
"
floppy,"a. 叭嗒叭嗒响的, 松软的"
gallant,"a. 英勇的, 壮丽的, 华丽的"
ghostly,"a. 幽灵的, 影子似的, 精神的"
homely,"a. 家常的, 平凡的, 朴实无华的"
inconspicuous,"a. 不显眼的, 不引人注意的"
indistinct,"a. 不清楚的, 朦胧的, 难以清楚辨认的"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
laughable,"a. 可笑的, 有趣的"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
matching,"a. 相同的, 协调的
"
monotone,"a. 单调的
n. 单调"
ornate,"a. 装饰的, 华丽的"
phony,"n. 假货, 假冒者, 赝品
a. 伪造的, 假的, 不可信的, 华而不实的"
powdery,"a. 粉的, 粉状的"
seamless,"a. 无缝的, 无缝合线的
"
shaggy,"a. 毛发蓬乱的, 粗浓的, 草木丛生的"
simplistic,a. 过分简单化的
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
unambiguous,"a. 不含糊的, 明确的
"
opportune,"a. 恰好的, 时机适宜的, 适当的"
predictive,"a. 预言性的, 成为前兆的"
presumable,"a. 可推测的, 可能有的, 似真的
"
primal,"a. 主要的, 最初的, 原始的"
repetitive,"a. 重复的, 反复性的"
presumable,"a. 可推测的, 可能有的, 似真的
"
primal,"a. 主要的, 最初的, 原始的"
repetitive,"a. 重复的, 反复性的"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
unbeaten,"a. 未曾挨打的, 未搅打的, 未走过的, 未被击败的"
unforeseen,a. 未预料的
unparalleled,"a. 无比的, 无双的, 空前的"
accommodating,"a. 与人方便的, 肯通融的"
assured,"a. 确定的, 自信的
"
benevolent,"a. 善意的, 慈善的"
bland,"a. 温和的, 乏味的, 冷漠的
"
boyish,"a. 男孩的, 像男孩的"
calculating,"a. 计算的, (贬)专为自己打算的, 深谋远虑的
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
devout,"a. 虔诚的, 虔敬的, 诚恳的"
egotistic,"a. 自我本位的, 自负的"
flattering,"a. 谄媚的, 讨人欢喜的"
genial,"a. 和蔼的, 亲切的, 友善的
"
heartless,"a. 无情的, 无勇气的"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
invincible,"a. 不能征服的, 无敌的"
neglectful,"a. 不小心的, 疏忽的"
politic,"a. 精明的, 明智的, 策略的"
quarrelsome,"a. 喜欢吵架的, 好争论的"
receptive,"a. 能接纳的
"
relentless,"a. 无情的, 冷酷的, 残酷的"
secretive,"a. 秘密的, 偷偷摸摸的, 分泌的, 促进分泌的"
sheepish,"a. 懦弱的, 羞怯的"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
uncompromising,"a. 不让步的, 不妥协的, 坚定的
"
uncontrolled,"a. 不受抑制的, 不受控制的, 自由的"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
communal,"a. 公有的, 公社的
"
hierarchical,"[计] 分级的, 分层的, 层次的"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
lawmaking,n. 立法
managerial,"a. 管理的
"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
provisional,"a. 暂时的, 暂定的, 临时的
"
regulatory,"a. 受控制的, 统制的, 调整的
"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
secretarial,"a. 秘书的, 书记的"
sparing,"a. 节约的, 节制的, 吝啬的, 爱惜的, 吝惜的, 节省的, 贫乏的, 少量的"
tactical,"a. 战术的, 用兵上的, 策略的"
unauthorized,"a. 未经许可的
"
unprofitable,"a. 无利益的, 不赚钱的, 不上算的
"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
warlike,"a. 准备战斗的, 好战的, 尚武的, 勇于作战的, 军事的
"
flowering,"a. 开花的
n. 开花, 饰以花"
freshwater,"a. 江河湖泊的, 淡水的"
overgrown,"a. 发育过度的, 生长过大的, 不合身的, 植被蔓生的
overgrow的过去分词"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
untouched,"a. 未触摸过的, 未改变的, 未受影响的"
wooded,a. 树木繁茂的
zoological,a. 动物学的
complementary,"a. 补充的, 补足的
"
complimentary,"a. 问候的, 称赞的, 夸奖的"
cumulative,"a. 累积的
"
facile,"a. 容易的, 灵巧的, 温和的"
fateful,"a. 宿命的, 重大的, 决定性的"
feasible,"a. 能实行的, 可行的, 适宜的
"
imminent,"a. 即将来临的, 逼近的"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
manageable,"a. 易办的, 易管理的, 易控制的"
minimal,"a. 最小的, 极微的, 最小限度的
"
momentous,"a. 重大的, 重要的"
mundane,"a. 现世的, 世俗的, 宇宙的"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
pertinent,"a. 相关的, 中肯的, 切题的
"
practicable,"a. 可实行的, 可做的, 可用的"
praiseworthy,"a. 值得称赞的, 令人钦佩的, 可钦佩的"
superfluous,"a. 多余的, 过剩的"
unorthodox,"a. 非正统的, 异教的"
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
usable,"a. 可用的, 方便使用的, 能用的"
wee,"a. 很小的, 微小的
n. 一点点"
weighty,"a. 重的, 有份量的, 沉重的, 重大的, 严肃的
"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
counterclockwise,"a. 反时针方向的
adv. 反时针方向"
afresh,adv. 重新
expressly,"adv. 明白地, 清楚地, 特意地"
gingerly,"adv. 小心翼翼地, 慎重地
a. 慎重的, 谨慎的"
minutely,"adv. 详细地, 精密地"
sorely,"adv. 疼痛地, 强烈地, 非常"
aye,"n. 赞成票, 投赞成票者
adv. 永远
interj. (表决时说)赞成"
theoretically,"adv. 理论上, 理论地"
gee,"n. 马, 家伙
interj. 向右, 前进, 哎呀(惊讶时所发声音)
v. (使)向右转"
thee,pron. 你
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
accrue,"vi. 自然增加, 产生
"
financier,"n. 财政家, 金融家
vi. 从事欺骗性金融活动, 欺骗"
plaza,"n. 广场, 市场, 购物区"
invest in ...,"投资于, 买进"
accomplice,"n. 共犯, 同谋
"
acquit,"vt. 无罪释放, 表现, 使履行
"
aria,"n. 独唱特写镜头, 咏叹调"
alleviate,"vt. 减轻, 使缓和"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
annul,"vt. 废除, 宣告无效, 取消
"
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
cardiovascular,"a. 心血管的
"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
booze,"vi. 豪饮
n. 酒, 酒宴"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
coalesce,"vi. 合并, 联合, 合生
"
conglomerate,"a. 聚成球形的, 砾岩性的
n. 集成物, 混合体, 砾岩
v. (使)凝聚成团"
sliver,"n. 裂片, 薄片, 梳毛
vt. 切成长片
vi. 剖开, 分裂"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
crackle,"n. 劈啪响, 裂纹
vi. (使)发劈啪声"
hepatitis,"n. 肝炎
"
debilitate,vt. 使衰弱
obese,"a. 肥胖的
"
patriarch,"n. 创办人, 家长, 元老, 教长, (天主教)教皇
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
predicament,"n. 处境, 穷境, 困局"
boardroom,"n. 会议室, 证券交换场所"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
uproar,"n. 骚动, 喧嚣"
stockpile,"n. 储蓄, 积蓄, 库存
vt. 储蓄, 贮存"
deplete,"vt. 耗尽, 使衰竭
"
deport,"vt. 举止, 驱逐出境
"
illicit,"a. 不法的, 不正当的, 禁止的
"
ghetto,n. 犹太人区
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
treason,"n. 叛逆, 不忠, 叛国罪
"
deportation,"n. 驱逐出境, 放逐
"
czar,n. 沙皇
enactment,"n. 制定, 条例, 法规, 法令, 颁布, 规定
"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
cartel,"n. 卡特尔, 企业联合, 俘虏交换条约, 决斗挑战书
"
disband,"vt. 解散, 遣散
vi. 被解散"
devaluation,"n. 降低价值, 贬值
"
trooper,"n. 骑兵, 骑警, 伞兵"
drench,"vt. 使湿透, 使充满
n. 滂沱大雨, 弄湿"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
apostle,"n. 基督十二使徒之一, 早期基督教传士"
emanate,"vi. 散发, 发出, 发源"
aura,"n. 气氛, 气味
"
embroil,"vt. 使卷入, 牵连"
libel,"n. 以文字损害名誉, 诽谤罪, 侮辱
v. 诽谤, 中伤, 损害名誉"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
arcane,"a. 神秘的, 晦涩难解的"
tenet,"n. 信条, 教义, 宗旨, 原则"
allusion,"n. 提及, 暗指"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
animosity,"n. 仇恨, 憎恶, 敌意"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
asylum,"n. 庇护, 收容所
"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
loss of life,
forgo,"vt. 摒绝, 放弃"
diaper,"n. 尿布
"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
gild,"vt. 镀金, 虚饰, 装饰, 供给钱"
portal,"n. 入口, 大门
a. 肝门的"
onslaught,"n. 突击, 猛击, 猛攻"
catapult,"n. 弹射器, 弹弓, 弩炮
vt. 发射"
gouge,"n. 圆凿, 用圆凿凿成的槽, 挖, 掘
vt. 用圆凿削, 挖出, 欺骗"
rampart,"n. 垒, 壁垒, 防御土墙
vt. 用壁垒围绕, 防卫, 守卫"
acquittal,"n. 履行, 无罪开释
"
hearten,"vt. 使振作, 激励
vi. 振作"
cutback,"n. 情节倒叙, 减少, 短截植物
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
backlash,"n. 后冲, 强烈反对
"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
be suspected of ...,"被怀疑患有..., 被怀疑(做)..."
ghastly,"a. 可怕的, 惨白的, 极坏的
adv. 可怖地, 惨白地"
conflagration,"n. 大火灾, 大火, 冲突
"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
the dead and injured,无
languish,"vi. 憔悴, 凋萎, 苦思"
dearth,"n. 缺乏, 粮食不足, 饥馑"
pilgrimage,"n. 朝圣, 漫游, 人生的一段经历
vi. 朝拜, 朝圣, 漫游"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
the Holy Land,[网络] 圣地；宗教圣地；完全圣地
mitigate,"vt. 温和, 缓和, 减轻
"
antipathy,"n. 厌恶, 反感
"
lineage,"n. 血统, 直系
"
turnout,"n. 聚集的人群, 出席者, 产量
"
outstrip,"vt. 追过, 胜过, 凌驾"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
ordinance,"n. 法令, 条例, 圣餐礼
"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
apocalypse,"n. 启示, 天启"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
in those days,"那时, 当时"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
quadruple,"a. 四倍的, 四重的, 四部分组成的
n. 四倍
vt. 使成四倍
vi. 成为四倍"
quash,"vt. 撤销, 平息, 镇压
"
flagrant,"a. 极端明显的, 不能容忍的, 恶名昭著的
"
bogus,"a. 假的, 伪造的
"
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
reverberate,"vi. 回响, 反响, 被反射
vt. 使反响, 使回响, 反射
a. 回响的, 反射的"
hub,"n. 毂, 木片, 中心
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
rivet,"n. 铆钉
vt. 用铆钉固定, 敲进去, 注目, 吸引住"
edifice,"n. 大厦, 大建筑物"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
sag,"vi. 下垂, 倾斜, 萎靡, 萧条, 变得乏味
vt. 使下垂
n. 下垂, 倾斜, 萧条
"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
duct,"n. 管, 输送管
vt. 通过管道输送"
meltdown,"[经] 销毁(货币等), 变卖(财产)"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
moribund,"a. 垂死的
n. 垂死的人"
retribution,"n. 报应, 惩罚, 报酬
"
smite,"vt. 重击, 打, 击败, 毁灭, 侵袭, 打动
vi. 重击, 打
n. 重击, 打"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
specter,"n. 幽灵, 妖怪, 凶兆"
garrison,"n. 守备队, 驻军, 要塞
vt. 守备, 派兵驻守"
foray,"vi. 侵略, 劫掠, 袭击
n. 侵掠, 侵略, 攻击"
subvert,"vt. 推翻, 颠覆, 毁灭
"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
supplant,"vt. 排挤掉, 代替"
antiquated,"a. 陈旧的, 过时的, 年老的"
ethos,n. 气质；民族精神；社会思潮
Confucian,"a. 孔子的, 儒家学说的, 儒家的, 孔夫子的, 孔丘的
n. 孔子的门徒, 儒家"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
deft,"a. 敏捷熟练的, 灵巧的"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
acumen,"n. 敏锐, 聪明"
stately,"a. 庄严的, 宏伟的"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
comptroller,"n. 审计官
"
crony,"n. 密友, 亲密伙伴, 好朋友"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
cleric,"a. 牧师的, 教士的"
bask,"vi. 晒太阳, 感到舒适"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
beguile,vt. 诱骗
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
foreman,"n. 领班, 工头, 陪审长
"
blurt,"vt. 冲口说出, 脱口说出"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
defection,"n. 背叛, 缺乏, 毛病
"
chasten,vt. 惩罚；磨炼；抑制
chide,"v. 斥责, 责骂"
upbringing,n. 教养
corroborate,"vt. 巩固, 确证
"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
espionage,"n. 间谍活动
"
combo,n. 小型爵士乐团
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
deride,"vt. 嘲弄, 嘲笑"
overture,"n. 主动表示, 事件的开端, 序言, 提议, 提案, 初步交涉
vt. 提议, 为...奏前奏曲"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
disparage,"vt. 蔑视, 贬损
"
cooper,"n. 制桶工人
v. 制桶"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
extol,"vt. 颂扬, 称赞, 吹捧"
precinct,"n. 区域, 管理区, 管辖区域
"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
caste,"n. 印度的种姓制度, (排他的)社会团体"
choreographer,n. 舞蹈指导
grouse,"n. 松鸡, 牢骚
vi. 埋怨"
wayward,"a. 任性的, 难以捉摸的, 不稳定的, 刚愎的
"
scathing,"a. 伤害的, 损伤的, 严厉的"
surcharge,"n. 装载过多, 超载, 追加罚款, 附加税
vt. 使装载过多, 追加罚款, 收附加税"
grunt,"vi. 作呼噜声
vt. 咕哝
n. 呼噜声, 咕哝"
insinuate,"vt. 巴结, 暗示, 使滋长
vi. 旁敲侧击"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
instill,"vt. 滴注, 慢慢地灌输"
austerity,"n. 朴素, 苦行, 严格, 严峻"
civility,"n. 礼貌, 礼仪"
laud,"n. 赞美, 称赞
vt. 赞美, 称赞"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
