a,"第一个字母 A; 一个; 第一的
art. "
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
rose,"n. 玫瑰, 蔷薇, 玫瑰色
a. 玫瑰色的, 玫瑰花的
vt. 使成玫瑰色
rise的过去式"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
Russia,"n. 俄国, 俄罗斯
"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
sad,"a. 忧愁的, 悲哀的"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
salad,n. 色拉
salesgirl,n. 女店员
salesman,"n. 售货员, 推销员
"
saleswoman,"n. 女售货员, 女店员"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
Saturday,n. 星期六
sausage,"n. 香肠, 腊肠"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
science,"n. 科学, 学科, 学问, 自然科学
"
scientist,"n. 科学家
"
sea,"n. 海, 海洋, 海浪, 大量
"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
September,n. 九月
seven,"num. 七, 七个"
seventeen,"num. 十七, 十七个"
seventh,"num. 第七, 七分之一"
seventy,"num. 七十, 七十个"
shall,aux. 将
sharpener,"n. 研磨者, 卷笔刀, 研磨工具"
she,pron. 她
sheep,"n. 羊, 胆小者"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
shirt,"n. 衬衫, 内衣, 汗衫"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
shortcoming,"n. 缺点, 短处"
shorts,"n. 短裤, (美)男人的短衬裤
"
should,"aux. 应该, 将要"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
singer,n. 歌手
sir,"n. 先生, 阁下"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
six,"num. 六, 六个"
sixteen,"num. 十六, 十六个"
sixth,"num. 第六, 六分之一"
sixty,"num. 六十, 六十个"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
ski,"n. 滑雪橇
vi. 滑雪"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
sleepy,"a. 困乏的, 欲睡的"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
slowly,"adv. 慢慢地, 迟缓地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
someone,"pron. 有人, 某人"
something,"pron. 某事, 某物"
sometimes,"adv. 有时, 时常, 往往"
son,"n. 儿子, 女婿, 子孙
"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
soon,"adv. 不久, 早, 快, 宁可"
sorry,"a. 难过的, 悲哀的, 遗憾的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
stair,"n. 梯级, 楼梯, 阶梯"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
stomach ache,n. 胃痛；肚子痛
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
street,"n. 街道, 马路, 街区
a. 街道的"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
student,"n. 学生, 研究者, 学者"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
subway,"n. 地铁, 地道
vi. 乘地铁"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
sunshine,"n. 阳光, 光明, 晴天"
supermarket,"n. 超级市场
"
supper,n. 晚餐
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
Sydney,n. 悉尼（澳大利亚港市）
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
tea,"n. 茶, 茶叶
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
teacher,"n. 教师, 老师, 导师"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
telephone,"n. 电话, 电话机
v. 打电话"
television,"n. 电视
"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
ten,"num. 十, 十个"
tennis,n. 网球
tenth,"num. 第十, 十分之一"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
textbook,n. 教科书
than,"conj. 比, 除...外
prep. 比"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
the,art. 那
their,pron. 他们的
them,"pron. 他们, 她们, 它们"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
there,adv. 在那里
these,pron. 这些
they,"pron. 他们, 它们"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
third,"num. 第三, 三分之一
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
thirteen,"num. 十三, 十三个"
thirty,"num. 三十, 三十个"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
those,pron. 那些
though,"adv. 然而, 可是
conj. 虽然, 纵然"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
Thursday,n. 星期四
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
tiger,"n. 老虎, 虎, 凶暴的人"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
tired,"a. 疲累的, 疲乏的, 厌倦的"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
to,"prep. 到, 向, 趋于
adv. 向前"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
together,"adv. 一起, 共同, 彼此"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
tomato,"n. 番茄, 西红柿"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
too,"adv. 也, 非常, 太"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
toothache,"n. 牙痛
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
town,"n. 城镇, 市, 镇
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
trousers,"pl. 裤子, 长裤"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
Tuesday,n. 星期二
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
turning,"n. 旋转, 转弯处, 车削工作
"
TV,"n. 电视；电视机
abbr. (=television)
"
twelfth,"num. 第十二, 十二分之一"
twelve,"num. 十二, 十二个"
twentieth,"num. 第二十, 二十分之一"
twenty,"num. 二十, 二十个"
twice,"adv. 两次, 两倍"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
two,"num. 二, 二个"
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
UN,abbr. 联合国
uncle,"n. 叔父, 伯父, 姨丈"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
university,n. 大学
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
us,"pron. 我们
"
USA,"abbr. 美国；美利坚合众国（the United States of America）
n. (Usa)人名；(日)宇佐(名)；(所)尤萨"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
useful,"a. 有用的, 有益的
"
usually,"adv. 通常, 大抵"
vacation,"n. 假期, 休假
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
video,"n. 影像, 电视
a. 图像的, 电视的"
village,"n. 村庄
a. 乡村的, 村庄的"
violin,n. 小提琴
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
visitor,"n. 参观者, 游客, 访客
"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
volleyball,n. 排球
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
waiter,n. 侍者
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
wallet,"n. 皮夹
"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
we,pron. 我们
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
Wednesday,n. 星期三
week,"n. 星期, 周"
weekend,"n. 周末, 周末休假"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
wheat,n. 小麦
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
where,"adv. 在哪里
pron. 哪里
n. 地点"
which,"pron. 哪一个, 那一个"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
who,pron. 谁
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
whom,pron. 谁
whose,pron. 谁的
why,"adv. 为什么
n. 原因, 理由"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
wife,"n. 妻子, 太太, 夫人
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
winner,"n. 胜利者, 优胜者
"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
with,"prep. 和...在一起, 以, 由于"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
