evict,"vt. 逐出, 赶出, 驱逐
"
litigant,"a. 诉讼的
n. 诉讼当事人, 诉讼关系人"
bailiff,"n. 法警, 郡副司法长官, 乡长
"
remiss,"a. 怠慢的, 不小心的, 没精打采的, 疏忽的"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
litigious,"a. 好诉讼的, 好争论的
"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
bipartisan,a. 两党连立的
assassin,"n. 暗杀者, 刺客
"
assassinate,"vt. 暗杀, 行刺
"
rapine,"n. 抢夺, 掠夺
"
licit,"a. 合法的, 正当的
"
equitable,"a. 公平的, 公正的
"
mutilate,"vt. 切断, 使残废, 使不完整
"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
assailant,"n. 攻击者
"
perjure,"vt. 使发伪誓, 使作伪证, 使破坏誓言
"
demagoguery,"n. 煽动, 煽动行为, 散布谣言"
vendor,"n. 小贩, 卖主, 自动售货机
"
reprieve,"n. 缓刑, 缓刑令, 暂缓
vt. 暂时解救, 缓期执行"
legislation,"n. 立法, 法律
"
codify,"vt. 编成法典
"
indenture,"n. 契约, 契据, 凹痕
vt. 以契约束缚"
forensic,"a. 辩论的, 法院的, 关于法庭的
n. 辩论练习"
contraband,"n. 违禁品, 走私
a. 禁运的, 非法买卖的"
indict,"vt. 起诉, 控告, 指控
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
endorsement,"n. 支持, 认可, 背书
"
ordinance,"n. 法令, 条例, 圣餐礼
"
impeach,"vt. 控告, 怀疑, 检举, 弹劾
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
illicit,"a. 不法的, 不正当的, 禁止的
"
lawsuit,"n. 诉讼
"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
ordain,"vt. 注定, 规定, 任命
vi. 颁布命令"
pact,"n. 契约, 协定, 条约
"
duplicitous,a. 奸诈的；双重的；搞两面派的
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
pacifist,"n. 和平主义者, 反战论者, 不抵抗主义者"
affidavit,"n. 宣誓书, 书面陈述
"
alimony,"n. 瞻养费, 生活费
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
amnesty,"n. 大赦, 赦免"
annul,"vt. 废除, 宣告无效, 取消
"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
dossier,"n. 档案, 卷宗
"
duress,"n. 强迫, 监禁
"
edict,"n. 布告, 法令
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
denizen,"n. 居民, 外籍居民, 外来语
vt. 给...居住权, 移植"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
litigation,"n. 诉讼, 起诉
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
exoneration,"n. 免罪, 免除
"
subpoena,"n. 传票
vt. 传审, 传唤"
excruciate,"vt. 施酷刑, 拷问, 使苦恼, 折磨"
formality,"n. 礼节, 拘谨, 正式手续
"
arbitrator,"n. 仲裁人, 公断者
"
suffragist,"n. 参政权扩大论者, 妇女参政权论者"
decapitate,"vt. 斩首, 杀头, 开除
"
exhortation,"n. 劝告, 训词, 讲道词"
masochist,"n. 被虐待狂, 受虐待者
"
bronchitis,"n. 支气管炎
"
asexual,"a. 无性的, 无性生殖的
"
abrade,"vt. 擦伤, 磨损, 磨
"
cyclical,"a. 周期的, 轮转的, 循环的, 轮列的, 轮卷的, 环状的, 环的, 组诗的, 始末的
"
abdomen,"n. 腹部
"
twinge,"n. 一阵一阵痛, 刺痛, 剧痛
vt. 使一阵一阵痛, 使刺痛"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
cholera,"n. 霍乱
"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
paroxysm,"n. 发作, 突发
"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
senile,"a. 高龄的, 衰老的, 老年期的
"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
pallid,"a. 苍白的, 暗淡的, 无生气的"
upshot,"n. 结果, 结局, (论证的)要点"
efficacious,"a. 有效的, 灵验的"
fumigate,"vt. 熏制
"
effectual,"a. 有效果的, 会应验的, 有法律效力的"
unctuous,"a. 油的, 油质的, 油腻的, 虚情假意的
"
ailment,"n. 病痛, 疾病
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
cartilage,"n. 软骨
"
nugatory,"a. 无价值的, 无用的, 无效的, 琐碎的"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
abdominal,"a. 腹部的, 有腹鳍的
"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
sanguineous,"a. 血的, 血红色的, 多血质的
"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
practitioner,"n. 从业者, 开业者
"
censorship,"n. 检查制度
"
pediatrics,"n. 小儿科
"
antidote,"n. 解毒剂, 解毒药
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
torpid,"a. 麻痹的, 迟缓的, 迟钝的, 蛰伏的
"
panacea,"n. 万能药, 灵丹妙药
"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
languor,"n. 怠惰, 疲倦, 无气力
"
recrudescent,"a. 复发的
"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
wiry,"a. 金属线制的, 瘦长结实的
"
sebaceous,"a. 脂肪的, 脂肪质的, 分泌脂肪的
"
blockbuster,n. 巨型炸弹
artifact,"n. 人工制品
"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
incubus,"n. 梦淫妖, 梦魇, 沉重的负担
"
spasmodic,"a. 痉挛的, 痉挛性的, 由痉挛引起的, 抽搐的, 间歇的, 突发性的, 一阵阵的
"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
"
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
accredit,"vt. 信托, 确认, 归结于, 委派
"
emaciated,"a. 瘦弱的, 衰弱的"
corpse,"n. 尸体
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
desiccant,"n. 干燥剂
"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
turgid,"a. 肿的, 浮夸的
"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
abrasion,"n. 磨擦, 磨损, 磨损处
"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
acne,"n. 痤疮, 粉刺
"
infirmary,"n. 医院, 养老院
"
aqueous,"a. 水的, 似水的, 水成的
"
inefficacious,"a. 无效果的
"
verisimilar,"a. 好像真实的
"
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
antenatal,"a. 出生前的
"
moribund,"a. 垂死的
n. 垂死的人"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
"
pharmacy,"n. 药房, 配药学, 制药业
"
coagulant,"n. 凝结剂
"
wizen,"vt.vi. (使)枯萎, (使)雕谢"
airy,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的"
mordacious,"a. 辛辣的, 锐利的, 咬人的
"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
hemorrhage,"n. 出血
"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
ineffectual,"a. 无效的, 无益的"
quietus,"n. 解脱, 生命的终止, 偿清
"
aggravation,"n. 恶化, 加重, 恼怒
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
torpor,"n. 麻木, 无感觉, 迟钝
"
disinfect,"vt. 消毒
"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
subliminal,"a. 下意识的, 潜在意识的
"
circumnavigate,vt. 环绕航行
bronchus,"n. 支气管
"
plethora,"n. 过多, 过剩, 多血症
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
implausible,"a. 难以置信的, 不象真实的"
aqueduct,"n. 水管, 沟渠, 导管
"
venous,"a. 静脉的, 在静脉中的, 有脉的
"
petrify,"vt. (非正式)使惊呆, 使吓得要死, 使发呆
vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化"
stupor,"n. 无感觉, 人事不省, 麻木
"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
antitoxin,"n. 抗毒素
"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
hypodermic,"a. 皮下的, 真皮的
n. 皮下注射, 皮下注射器"
dehydration,"n. 脱水
"
apothecary,"n. 药剂师, 药房
"
myopia,"n. 近视
"
malaise,"n. 不舒服
"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
relent,"vi. 变宽厚, 变温和, 动怜悯之心"
pestilence,"n. 瘟疫, 散布毒害的事物, 罪恶
"
cipher,"n. 零, 暗号, 密码, 无用的东西, 阿拉伯数字
v. 计算, 做算术"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
excavate,"v. 挖空, 挖出, 凿通"
stanch,"vt. 使止血, 止住, 止血
a. 坚固的, 防水的, 忠实的"
remission,"n. 宽恕, 豁免, 免罪, 缓和, 减轻
"
efficacy,"n. 功效, 效力
"
somnolent,"a. 想睡的, 催眠的
"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
lassitude,"n. 疲倦, 疲乏, 无精神
"
latency,"n. 潜伏, 潜在
"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
haggard,"n. 野鹰
a. 憔悴的, 形容枯槁的, 野性的"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
analyst,"n. 分析者, 精神分析学家
"
sedative,"a. 使安静的, 使镇静的
n. 镇静剂"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
denude,"vt. 使裸露, 剥下, 剥夺
"
torrid,"a. 晒热的, 酷热的, 炎热的"
hereditary,"a. 世袭的, 遗传的
"
inordinate,"a. 过度的, 紊乱的, 过分的"
abeyance,"n. 中止, 暂搁, 停止, 归属待定
"
emollient,"a. 使柔软的
n. 软化剂, 润肤剂"
vertigo,"n. 眩晕, 迷惘
"
visceral,"a. 内脏的
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
stodgy,"a. 易吃饱的, 塞满的, 平凡的, 庸俗的, 步履艰难的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
recipe,"n. 食谱, 处方, 秘诀
"
polygraph,"n. 多种波动记录仪, 复写器, 多产作家, 测谎器
"
intern,"n. 实习生, 被拘留者
vi. 作实习医师(教师、实习生)
vt. 拘留, 扣留"
crux,"n. 十字架形, 关键, 难题
"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
remedial,"a. 治疗的, 补救的, 矫正的
"
microcosm,"n. 小宇宙, 小世界, 人类"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
wan,"a. 苍白的, 无血色的, 病态的, 暗淡的
v. (使)变苍白
"
schizophrenia,"n. 精神分裂症
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
catharsis,"n. 陶冶, 净化, 导泻
"
irremediable,"a. 不能治疗的, 不能改正的, 不能挽回的"
undernourished,a. 营养不足的
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
exuberance,"n. 茂盛, 茂盛的生长物, 丰富"
malaria,"n. 疟疾, 瘴气
"
piquant,"a. 辛辣的, 开胃的, 刺激的, 活泼的, 调皮的, 淘气的, 可爱的"
malady,"n. 病, 疾病, 弊病
"
myopic,a. [眼科]近视的；目光短浅的
occlusion,"n. 闭塞, 咬合, 包藏
"
sprain,"vt. 挫伤, 扭筋, 错筋
n. 扭伤, 扭筋"
maim,"vt. 使残废, 使不能工作, 使伤残
"
tactile,"a. 触觉的, 有触觉的
"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
dosage,"n. 剂量, 用量, 配药
"
abortive,"a. 流产的, 堕胎的, 失败的
"
prognosis,"n. 预测, 预后
"
acuity,"n. 尖锐, (疾病的)剧烈, 敏锐
"
atrophy,"n. 萎缩, 萎缩症
"
balm,"n. 镇痛软膏, 香膏
"
aseptic,"n. 防腐剂
a. 无菌的"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
traumatic,"a. 外伤的, 创伤的
"
tract,"n. 大片土地, 地带, 小册子
"
throes,"n. 阵痛, 临死的苦痛, 垂死的挣扎, 剧痛, 痛苦, 苦闷, 苦难, 艰苦的奋斗"
tensile,"a. 可拉长的, 可伸长的, 张力的, 拉力的
"
swelter,"vi. 闷热, 被暑气所苦, 汗流浃背
vt. 使闷热, 使热得出汗
n. 闷热"
catapult,"n. 弹射器, 弹弓, 弩炮
vt. 发射"
decipher,"vt. 译解, 解释
n. 密电译文"
delirium,"n. 精神错乱, 说谵语状态, 狂热
"
demented,"a. 发狂的, 精神错乱的
"
demoniac,"a. 着魔的, 恶魔的
n. 着魔的人"
cortisone,"n. 可的松
"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
acrophobia,"n. 恐高症
"
insalubrious,"a. 对身体有害的, 不健康的, 不卫生的
"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
matrix,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵
"
misdemeanor,"n. 行为不检, 品行不良, 轻罪, 不端行为"
astronomical,"a. 天文学的, 庞大的"
atavism,"n. 隔代遗传, 返祖现象
"
empiric,"n. 经验主义者, 江湖医生
"
monochromatic,"a. 单色的, 单频的
"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
hydrophobia,"n. 恐水病, 狂犬病
"
metallurgical,"a. 冶金的, 冶金学的
"
satellite,"n. 人造卫星
"
aneurysm,"n. 动脉瘤
"
schism,"n. 分裂, 分立, 分裂教会罪
"
suture,"n. 缝合, 缝合处, 缝合线
vt. 缝合"
hypochondriac,"n. 疑病症患者, 忧郁症患者
"
asthmatic,"a. 气喘的, 患气喘症, 治气喘有效的
"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
calorific,"a. 生热的, 产热的, (热)卡的
"
phobia,"n. 恐怖病, 恐惧症, 惧怕, 憎恶
"
opiate,"n. 鸦片制剂, 镇静剂
a. 含鸦片的, 催眠的
vt. 使麻醉, 使缓和"
impenitent,"a. 不知悔改的, 顽固的
n. 不知悔改的人, 顽固的人"
pugnacious,a. 好斗的
hypocrisy,"n. 伪善
"
sycophant,"n. 奉承者, 谄媚者, 追随者
a. 拍马的, 奉承的"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
inexorable,"a. 无情的, 冷酷的"
intrepid,"a. 无畏的, 勇猛的"
penurious,"a. 赤贫的, 缺乏的, 吝啬的"
priggish,"a. 一本正经的, 死板的, 自负的"
guileless,"a. 不狡猾的, 诚实的"
hypocrite,"n. 伪君子, 伪善者"
irascible,"a. 易怒的, 暴躁的"
composed,"a. 镇静的, 沉着的"
peevish,"a. 易怒的, 暴躁的, 带怒气的, 撒娇的"
obstinate,"a. 倔强的, 顽固的, 不让步的"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
callosity,"n. 硬皮, 老茧皮, 无情
"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
unaffected,"a. 不矫揉造作的, 自然的, 未受影响的, 未被感动的
"
tractable,"a. 驯服的, 易于管教的
"
effeminate,"a. 柔弱的, 女人气的"
dexterity,"n. 灵巧, 机敏"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
unruly,"a. 难控制的, 无法无天的, 任性的"
reticent,"a. 无言的, 沉默的, 不情愿的
"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
morose,"a. 郁闷的, 孤僻的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
prudential,"a. 审慎的, 精明的, 起咨询作用的"
kleptomaniac,"n. 有窃盗癖的人
"
insatiable,"a. 不知足的, 贪求无厌的
"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
hypercritical,"a. 批评苛刻的, 吹毛求疵的"
probity,"n. 诚实, 正直"
levity,"n. 轻率, 轻浮, 不稳定"
dilatory,"a. 拖拉的
"
effrontery,n. 厚颜无耻
veracity,"n. 说话老实, 老实, 诚实"
agile,"a. 敏捷的, 灵活的, 机敏的"
niggardly,"a. 小气的, 吝啬的, 很少量的, 有限的
adv. 吝啬地"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
timorous,"a. 胆怯的, 胆小的, 羞怯的"
valorous,"a. 勇敢的, 勇武的, 刚勇的"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
pusillanimous,"a. 无勇气的, 胆怯的, 优柔寡断的"
narcissism,"n. 自我陶醉, 自恋
"
fatuous,"a. 发呆的, 愚笨的"
insipid,"a. 乏味的, 清淡的, 难吃的
"
vainglorious,"a. 自以为了不起的, 自负的, 虚荣心强的"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
obstreperous,"a. 吵闹的, 喧嚣的, 骚乱的, 不守秩序的"
prolix,"a. 冗长的, 说话罗唆的"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
frivolity,"n. 轻薄, 轻率, 不足取的事"
prudish,"a. 拘守礼仪的, 过分规矩的, 表面正经的"
stolid,"a. 缺乏热情的, 神经麻木的"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
intriguing,"a. 吸引人的, 有趣的"
lewd,"a. 淫荡的
"
duplicity,"n. 口是心非, 不诚实, 表里不一
"
despotic,"a. 专制的, 专横的, 暴虐的
"
fainthearted,"a. 懦弱的, 无精神的, 胆小的"
narcissistic,"a. 自我陶醉的, 自恋的
"
skittish,"a. 易惊的, 轻佻的, 三心二意的, 不可靠的, 羞怯的, 活泼的, 爱蹦跳的, 活跃的"
munificent,"a. 丰厚的, 慷慨的"
fallible,"a. 易错的, 可能犯错的"
stagy,"a. 戏剧的, 戏一般的, 夸大的, 做作的"
stoic,"a. 斯多葛派的, 禁欲主义的, 不以苦乐为意的, 坚忍的, 淡泊的
n. 斯多葛派学者, 画廊派的人, 禁欲主义者, 不介意苦乐的人, 高度自制的人"
puerile,"a. 孩子气的, 天真的, 未成熟的
"
hardihood,"n. 胆大无敌, 刚毅, 厚颜, 强壮"
genial,"a. 和蔼的, 亲切的, 友善的
"
gullible,"a. 易受骗的
"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
profligate,"a. 放荡的, 不检点的, 浪费的
n. 放荡者, 享乐者"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
communicative,"a. 健谈的, 爱说话的, 交际的"
slothful,"a. 怠惰的, 懒惰的"
staid,"a. 认真的, 沉着的, 固定的"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
factious,"a. 好搞派系的, 好结党营私的"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
villainous,"a. 坏人似的, 恶棍的, 罪恶的, 极坏的
"
stultify,"vt. 使显得愚笨, 使变无效"
munificence,"n. 丰厚, 慷慨给与"
perfidious,"a. 不忠贞的, 背信的, 有异心的"
precocious,"a. 早熟的, 像大人的
"
pretension,"n. 自负, 骄傲, 主张"
pertinacity,"n. 执拗, 顽固, 顽强, (疾病的)难治"
disdainful,"a. 轻蔑的, 倨傲的"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
snide,"n. 赝品, 假珠宝
a. 伪造的, 不诚实的, 卑鄙的, 险恶的"
courteous,"a. 彬彬有礼, 谦恭的"
surly,"a. 不和蔼的, 无礼的, 板面孔的, 阴沉的, 粗暴的, 乖戾的"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
headstrong,"a. 顽固的, 刚愎的, 任性的"
optimist,"n. 乐观者, 乐观主义者"
diffidence,"n. 无自信, 畏缩, 羞怯"
insolence,"n. 傲慢, 无耻, 傲慢态度
"
introspective,"a. 内省的
"
overweening,"a. 骄傲的, 自负的, 过于自信的, 过分的"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
obstinacy,"n. 倔强, 顽固, 固执行为, (疼痛等)难治"
hubris,"n. 傲慢, 狂妄野心"
impetuosity,"n. 狂暴, 猛烈, 性急, 冲力"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
precipitous,"a. 陡峭的, 轻率的"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
bigotry,"n. 盲从, 偏见, 偏执的行为(或态度)"
spry,"a. 精神好的, 活泼的, 敏捷的"
bilious,"a. 患胆(或肝)病的, 胆汁质的, 坏脾气的
"
bovine,a. 牛的；似牛的；迟钝的
waggish,"a. 爱开玩笑的, 诙谐的"
touchy,"a. 易怒的, 难以取悦的, 过于敏感的"
raspy,"a. 刺耳的, 粗糙的, 易怒的"
testy,"a. 易怒的, 暴躁的"
dispassionate,"a. 冷静的, 不带感情的"
dissolute,"a. 放荡的, 风流的"
circumspection,"n. 细心, 慎重"
scurvy,"a. 下流的, 卑鄙的, 无礼的
n. 坏血病"
lachrymose,"a. 爱哭的, 悲哀的"
indiscretion,"n. 鲁莽, 不慎重, 轻率
"
lackluster,"a. 没有光泽的, 无生气的, 平凡的
n. 无光泽, 无生气, 暗淡"
skinflint,n. 吝啬鬼
poignancy,"n. 辛酸, 强烈, 深刻, 辛辣"
goof,"n. 呆子, 傻瓜
vt. 弄糟
vi. 混, 打发时间, 出差错"
fiery,"a. 炽热的, 热烈的, 暴躁的"
saturnine,"a. 沉默寡言的, 阴沉的, 铅中毒的
"
worldly,"a. 世间的, 世俗的, 世上的"
infatuated,"a. 迷恋着的, 昏头昏脑的"
preen,"vt. 用嘴整理, 打扮, 使得意
vi. 打扮漂亮, 感到得意"
craftiness,"n. 狡猾, 巧妙, 熟练"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
fidgety,"a. 不安的, 不沉着的, 烦燥的, 难以取悦的"
narcissist,n. 自我陶醉者
mordant,"a. 尖酸的, 辛辣的, 有腐蚀性的
n. 腐蚀剂, 金属箔粘着剂, 媒染剂
vt. 媒染"
paranoia,"n. 偏执狂, 多疑症
"
prurient,"a. 好色的, 渴望的"
preachy,"a. 爱讲道的, 爱教训人的"
misanthrope,"n. 厌恶人类的人, 不愿与人来往者"
pert,"a. 直言的, 唐突的, 爱管闲事的, 活跃的, 辛辣的, 令人兴奋的, 时髦的
"
pomposity,n. 炫耀
equity,"n. 公平, 公正
"
escapism,"n. 逃避现实, 逃避主义"
clairvoyant,"a. 神视的, 有洞察力的
n. 有洞察力的人, 千里眼"
tardy,"a. 慢的, 迟到的, 勉强的, 拖拉的, 迟的"
leniency,"n. 宽大, 温和, 慈悲为怀
"
gingerly,"adv. 小心翼翼地, 慎重地
a. 慎重的, 谨慎的"
openhanded,a. 慷慨的
gamely,"adv. 不屈地, 勇敢地"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
predilection,"n. 嗜好, 偏爱"
uninhibited,"a. 不受禁令约束的, 不受拘束的, 自由自在的, 随心所欲的, 大吵大闹的
"
compliance,"n. 遵从, 顺从, 屈从
"
nonplus,"vt. 使困惑
n. 迷惑, 困惑"
ravenous,"a. 贪婪的, 饿极的, 狼吞虎咽的"
misrepresent,"vt. 不如实地叙述(或说明), 不称职地代表"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
adhesion,"n. 附着, 粘着, 支持, 追随
"
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
enrapture,vt. 使狂喜
irksome,"a. 厌恶的, 讨厌的, 令人厌烦的"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
fulsome,"a. 过度的, 过分的, 令人生厌的"
malediction,"n. 咒, 坏话"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
maudlin,"a. 容易流泪的, 感伤的, 酒后伤感的
n. 伤感"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
proclamation,"n. 宣言, 公布, 布告, 公告
"
vexation,"n. 恼怒, 烦恼, 令人恼火的事情
"
impute,"vt. 归罪, 使负责, 嫁祸于"
vilify,"vt. 诽谤, 贬低
"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
adoration,"n. 崇拜, 爱慕"
amatory,"a. 恋爱的, 情人的
"
gruesome,"a. 可怕的, 令人毛骨悚然的, 阴森的"
gainsay,"vt. 否定, 反驳
n. 否认, 反驳, 反对"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
pertinacious,"a. 坚持不放的, 执拗的, 顽固的, 顽强的, (疾病)难以治好的"
sentient,"a. 有感觉力的, 意识到的
n. 有知觉的人"
pensive,"a. 沉思的, 哀思的, 忧郁的"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
scrupulous,"a. 小心谨慎的, 细心的"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
