Break a leg!, 祝好运；大获成功（用于祝愿演员演出成功）
make an appointment,与…约定
make arrangements for ...,安排
make arrangements,"安排,筹备,整理"
make arrangements to do sth.,无
make arrangements with sb.,与某人商定
make away with ...,"带...而逃走, 摆脱, 杀死, 浪费
"
make off with ...,"带...而逃
"
make book on sth.,无
make chin music,无
make eyes at sb.,"眉目传情,做媚眼,挤眉弄眼"
make eyes, 向…送秋波; 飞眼
make for,"走向, 有利于, 倾向于"
make free with ...,"擅用, 对...放肆"
make free,"随意,随便"
make friends with sb.,"(和某人)交友, 建立友谊"
make friends, 交朋友
make good as sb.,无
make good at sth.,无
make good,"成功, 补偿, 赔偿
"
make hamburger out of ...,把...打得一塌糊涂
make mincemeat out of ...,"make mincemeat out of
"
make it hot for sb.,刁难某人
make it snappy,"抓紧时间,赶快去做"
make life miserable for sb.,无
make love to sb., 向…表示爱情
make love, 做爱; 表达对…的爱
make one's way through sth.,无
make one's way,"前进, 行进, 成功, 发迹"
make oneself conspicuous,"标新立异,惹人注目"
make oneself miserable,无
make oneself scarce,悄悄离开
make ... out,"na. 理解；发现；起草；证明
"
make out,"na. 理解；发现；起草；证明
"
make peace with sb.,"v. 和…和好
"
make peace,讲和
make sth. good,"成功, 补偿, 赔偿
"
make sth.,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
make sth. of sth.,"na. “make certain”的变体
"
make sth. up out of whole cloth,无
make up sth. out of whole cloth,无
make the bed,铺床
make one's bed,"na. 自作自受
"
make the scene,"露面, 参与"
make time with sb.,"〈美俚〉勾引(异性),与(异性)私通"
make time,"进行, 抽空"
put an end to sth.,"结束, 终止"
put a stop to sth.,"完成,结束"
put all one's eggs in one basket,孤注一掷
put ideas into one's head,无
put in a good word for sb.,"替某人说情,为某人说好话"
put in a good word, 推荐；美言
put in an appearance,"露面, 到场一会儿"
put in one's two cents,(未经邀请)发言
put in one's two cents worth,v. 发表意见
put one's two cents in,无
put on,"na. 假话
"
put on airs," 装腔作势, 摆架子; 态度傲慢; 拿班做势; 拿架子"
put on an act,装腔
put on one's thinking cap,动脑筋想
put on weight,体重增加
put one in one's place,无
put one's back into sth.,竭尽全力
put one's back to sth.,无
put one's best foot forward,"飞速跑, 全力以赴"
put one's cards on the table,v. 摊牌
lay one's cards on the table,"na. 摊牌；公开计划
"
put one's finger on sth.,发现...
put one's foot down,"坚决, 坚决反对"
put one's foot down about sth.,无
put one's foot in one's mouth,v. 做错
stick one's foot in one's mouth,无
put one's house in order,"na. 整理家务；进行必要的改革
"
put one's nose to the grindstone,埋头苦干；=keep one's (或 someone's) nose to the grindstone
have one's nose to the grindstone,埋头苦干；埋头苦干
get one's nose to the grindstone,无
keep one's nose to the grindstone, 使自己一刻不停地拼命干
hold one's nose to the grindstone,=have one's (或 someone's) nose to the grindstone
put one's oar in,干涉
stick one's oar in,[网络] 管闲事；干预
put in one's oar,无
put one's shoulder to the wheel,开始艰苦的工作
set one's shoulder to the wheel,"na. 积极工作；帮助人
"
put out some feelers,无
throw out some feelers,无
put sb. down as sb.,[网络] 看作；视为；估计
put sb. on a pedestal,无
place sb. on a pedestal,[网络] 国人捧上神坛
set sb. on a pedestal,无
put sb. on the spot,"na. 决定暗杀(某人)
"
put ... at one's disposal,无
put ... away,"v. 把…收起来；储存
"
put away ...,"v. 把…收起来；储存
"
put ... down,"na. 平定；贬低(的话)；(飞机的)降落
"
put down ...,"na. 平定；贬低(的话)；(飞机的)降落
"
put ... off,"na. 延期；辩解
"
put off ...,"na. 延期；辩解
"
put ... on,"na. 假话
"
put ... on hold, 搁置; 延期; 暂停
put ... out of one's mind,忘却，把…置于脑后
get ... out of one's mind,暂时把某事忘掉；不去想(某事)
put ... out to pasture,"ph. 放牧（牛羊等）；<口>退休；使……退休
"
put ... to bed,"na. 让(孩子等)睡觉；上版(备印)；〔美俚〕(编辑)清稿(付排)
"
put one's nose out of joint,无
put ... to sleep,"na. 使入睡；哄(孩子)睡；使麻醉；消除
"
send ... to sleep,na. 使入睡；哄(孩子)睡；使麻醉；消除
put sb. through the wringer,"put through the wringer
使受尽折磨；使受尽苦难"
put sb. to the test,"na. 试验
"
put sb. up to sth.,"na. 告诉
"
put sth. forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put forward sth.,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put sth. in one's way,无
put sth. in the way of sb.,使(某人)有机会做某事〔得到某物〕
put sth. in the way,无
put sth. in order,整理，整顿
get sth. in order,无
put sth. into practice,"na. 实行
"
put sth. into words,[网络] 用语言表达；用语言表达出来
put sth. on paper,[网络] 把…写下来
put sth. on the back burner,[网络] 先搁置在一边
put sth. on the line,冒险
lay sth. on the line,un. 筹足
put sth. to good use,[网络] 施展；发挥；充分加以利用
put sth. to use,"使用, 利用"
put sth. together,"na. 编辑；拼拢；比较考虑；使结婚
"
put together sth.,"na. 编辑；拼拢；比较考虑；使结婚
"
put the blame on ...,把某事归咎于某人
put the cart before the horse,"前后颠倒,本末倒置"
have the cart before the horse,无
put the finger on sb.,告发(某人)
lay the finger on sb.,无
put the heat on sb.,[口语]威逼，(对…)施加压力，强迫(…)付款(或干活)；[美国俚语]见 heat
put the screws on sb., （非正式）给（某人）施加心理压力，强迫（某人）
put the squeeze on sb.,对…施加压力
put the heat on,[口语]威逼，(对…)施加压力，强迫(…)付款(或干活)；[美国俚语]见 heat
put the screws on, （非正式）给（某人）施加心理压力，强迫（某人）
put the squeeze on,对…施加压力
put two and two together,根据事实推理
put one's money where one's mouth is,以实际行动支持某人的观点
put up a brave front,无
put up a front,"装门面,讲排场,摆阔,打肿脸充胖子"
put up or shut up,要么行动要么闭嘴
put up with ...,"忍受, 容忍
"
put words into one's mouth,"na. 说是某人那样讲过；教某人怎样讲
"
put on the dog,摆架子
put on the feedbag,"〈俚〉吃饭,开始吃"
put one's hand on sth.,"un. 让(某人)替(自己)作主；弄到手
"
put one's hands on sth.,触，摸；(轻易)找到
lay one's hand on sth.,无
lay one's hands on sth.,[网络] 把…弄到手；获得；拥有
set one's hand on sth.,无
set one's hands on sth.,无
put one's hand to the plow,无
put sb. down for sth.,[网络] 把列入名单；登记；认为是
put sb. through one's paces,无
put sb. to bed with a shovel,v. 把…埋葬
put sb. to shame,"na. 给丢脸!
"
put sb. wise to ...,adj. 把告诉某人
put ... across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
get ... across,"na. 使了解；使通过；使人了解；与(人)冲突
"
put ... out,"v. 扑灭；熄灭；放出；伸出
"
put out ...,"v. 扑灭；熄灭；放出；伸出
"
put ... out of the way,让开;避开
put ... up,"adj. 预先商定的
"
put sth. by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
lay sth. by," 储蓄, 存留（备将来之用）; 避车道; 支线; 搁下"
put sth. down to sth.,[网络] 归因于；说…因而起；归因为
set sth. down to sth.,把…归于…
put sth. in,"v. 探进；放进；输入；纳入
"
put in sth.,"v. 探进；放进；输入；纳入
"
put sth. into print,把…付印
put sth. on the cuff,无
put sth. over,"na. “put across”的变体；(船)渡过去；延期
"
put sth. over on sb.,"put over on
欺骗,占…便宜 "
put sth. plainly,无
put sth. straight,纠正
set sth. straight,[网络] 失望
put sth. through its paces,无
put sth. to rest,[网络] 将这些结束；面对剩余的一切；你所乞求的一切
lay sth. to rest,"na. 使睡；埋葬；安葬；完全消除
"
put that in one's pipe and smoke it,无
put the arm on sb.,vt. 逮捕(强力制止； 向 ... 借钱)
put the bite on sb.,"向…借钱, 敲某人的竹杠"
put the touch on sb.,向…借钱(尤指无意归还的)
put the clamps on sb.,[美国俚语]钳住，偷得
put the clamps on,[美国俚语]钳住，偷得
put on the clamps,无
put the kibosh on sth.,"使彻底失败,挫败,制服"
put the skids on sth.,[网络] 俚语；使赶紧；催促
put the skids on,[网络] 俚语；使赶紧；催促
put to it,使处于困境
be put to it,无
run a fever,发烧
run a temperature,发烧
run a risk of sth.,冒着…的危险
run the risk of sth.,"冒...的危险, 冒...的风险"
take a risk of sth.,冒着…的危险
take the risk of sth.,冒…的危险
run a risk, 冒险
run the risk, 冒险
run a tight ship,严格控制
run a taut ship,无
run an errand, 跑差，办事
go on an errand,办差事
run around like a chicken with its head cut off,无
run in circles,[网络] 绕圈跑
run around in circles,"un. 兜圈子；打滚；四处乱窜；忙得团团转
"
run around with sb.,与…一起到处乱跑;与…一起鬼混作乐
run away from ...,逃避
run away,"潜逃
"
run counter to sth.,"违反, 背道而驰"
run in the family,"为一家人所共有,世代相传"
run in the blood,"世代相传,家传,遗传"
run into a stone wall,碰壁
run into a brick wall,碰壁
run off at the mouth,信口开河
run off with ...,na. 继续作用[有效]；说个不停；【印刷】印完；(排印材料)不另行
run out of sth.,用完
run out,"na. 耗尽；用光；过有效期；失效
"
run over ...,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run riot,"跟错踪迹, 胡闹, 肆无忌惮, 茂盛"
run wild,放肆
run ... down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run down ...,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run sb. ragged,"na. 筋疲力尽
"
run scared,"战战兢兢
"
run short of sth.,缺少
run short,"不足, 快用完, 渐缺
"
run sth. into the ground,把...做过头
drive sth. into the ground,无
run after ...,"追捕, 追求, 照顾"
run away with ...,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
"
run away,"潜逃
"
run for one's life,逃命
run sb. in,"na. 跑进；(火车)进站；流入；注入
"
run in sb.,"na. 跑进；(火车)进站；流入；注入
"
run ... off,"na. 逃走；流出；(火车等)出轨；越轨
"
run off ...,"na. 逃走；流出；(火车等)出轨；越轨
"
run sth. up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run up sth.,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run through sth.,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
see about sth.,"查询, 留意于, 料理"
see eye to eye," 完全一致, 有相同的看法"
see eye to eye about sth.,无
see eye to eye on sth.,无
see sb. home,"na. 送(某人)到家
"
see sb. off,"na. 送行；送别；告别；赶走
"
see off sb.,"na. 送行；送别；告别；赶走
"
see sth. through,"na. 看穿；看透；识破；办好某事
"
see stars,眼冒金星
see things,发生幻觉
see the color of one's money,无
see the handwriting on the wall,察觉到一种传统(或制度、生活方式等)行将灭亡
see the writing on the wall,[网络] 觉察到不祥之兆；看著墙上的字迹
see the last of ...,"最后一次看到..., 再也不见到..."
see the light,"公开, 被揭露, 领悟, 接受(某一看法或真相)"
see the light at the end of the tunnel,看到黑暗尽头的光明，看到曙光
see the sights,"观光,游览"
see through ...,"na. 看穿；看透；识破；办好某事
"
see to ...,"负责, 注意"
see a man about a dog,有点事(通常用来作为离开或缺席的借口)
see fit to do sth.,无
think fit to do sth.,无
see fit,"认为合适,看着办"
think fit,"决定, 选择"
see no objection to sth.,无
see no objection,无
see one's way clear to do sth.,无
see one's way clear,na. 前途无阻
see red,火冒三丈
see the light of day,"出世, 问世, 皈依, 大彻大悟"
see the light,"公开, 被揭露, 领悟, 接受(某一看法或真相)"
stand a chance,"有可能, 有希望"
stand a chance of,有…的希望
stand a chance of doing sth.,无
stand behind ...,"支持,作后盾"
stand back of ...,无
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand by sb.,"支持, 遵守, 袖手旁观, 准备行动
"
stand for sth.,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand in for sb.,"替代,暂代,代理"
stand in,"代演员站位, 使花费"
stand in one's way,无
stand on one's own two feet,"un. 独立；自食其力
"
stand one's ground,[法] 坚持立场
hold one's ground,"坚守, 坚持观点"
stand out,"突出, 坚持抵抗"
stand sb. up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up sb.,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand to reason,"[法] 得当, 合道理"
stand up and be counted,"公开自己的看法,表明立场,表态"
stand up for ...,"支持
"
stand up to ...,"经得起..., 勇敢地面对, 抵抗"
stand in awe of ...,"敬重,敬畏…"
stand in awe,无
stand on ceremony,"客气, 讲客套"
stand over sb.,"延期, 监督
"
stand sb. in good stead,[网络] 对你有好处
stand sb. to a treat,无
stand up with sb.,给...当傧相
take a back seat to ...,占次要地位，居…之后，屈居人下
take a back seat,"处于次要地位,为…让路"
take a bath on sth.,无
take a bath,"洗个澡
"
take a bow,"鞠躬, 答谢"
take a break,"休息,暂停,中断"
take one's break,无
take a chance,冒险
take a risk,"冒险
"
take a crack at sth.,[网络] 尝试；尝试一下；试一试
take a dim view of sth.,"对...抱悲观的看法, 对...抱消极的看法, 不赞成..."
take a fancy to ...,喜欢
take a liking to ...,"对…有好感,喜欢…"
take a shine to ...,"喜欢, 喜爱"
take a gander at ...,"na. 瞧
"
take a gander,看一看
take a hard line,采取断然措施，采取强硬政策
take a hard line with sb.,无
take a hint,"接受别人的暗示, 领会"
take a leaf out of one's book,无
take a look at ...,看一看…
have a look at ...,看一看…
take a look,看一看
take a new turn,无
take another new turn,无
take a powder, [财]暂停交易
take a punch at sb.,挥拳打击
take a stab at sth.,"na. 对某事有企图
"
have a stab at sth.,"尝试一下,试试看"
take a stand,採取某种立场
take a stand for sth.,无
take a try at sth.,无
take a shot at sth.,"试着去做, 试着去打, 试着去夺, 试着去赶"
have a try at sth.,无
have a shot at sth.,试着去做
take a turn for the better,"转好,变好,改善"
take a turn for the worse,恶化
take action against ...,[网络] 拿起武器反对；采取行动防止；对…采取措施
take advantage of ...,"v. 利用
 欺骗, 占…的便宜"
take after sb.,"像, 学样
"
take aim at ..., 瞄准，盯着; 以…为目标
take aim,瞄准
take an interest in sth.,对...感兴趣
take an interest,无
take care of ...,"照顾
"
take charge,"看管, 负责, 不受控制"
take charge of ...,"掌管..., 负责..., 看管..., 不受...控制
"
take exception to sth.,"反对
"
take exception,"反对, 有反感"
take five,稍事休息
take heart,振作
take heed,"注意
提防"
take hold of ...,握住
get hold of ...,"抓住, 得到"
take hold, （如通过抓握来）夺取; 扎根
take issue with sb., 提出异议
take issue,"[法] 采取反对立场, 持反对意见, 不同意"
take it easy on ...,小心谨慎地对待；温和地对待；[口语]少用；省着用
take it or leave it,"要就要, 不要拉倒, 要么接受要么放弃"
take it slow,无
take kindly to ...," 接受; 自然而然地为…所吸引或适合, 靠…茁壮成长"
take leave of one's senses,发疯
take liberties with ...,过于随意
make free with ...,"擅用, 对...放肆"
take no stock in sth.,无
not take stock in sth.,无
take note of sth.,注意到
take note," 重视, 注意"
take notice of sth., 注意到; 在意; 睬; 理睬
take notice,注意
take off one's hat to sb.,"na. 向…脱帽致敬
"
take off one's hat,无
take one's hat off to sb.,向某人脱帽致敬; 对某人表示钦佩
take offense at ...,[网络] 发怒
take offense,[网络] 见怪；生气；介意
take office,就职
take one at one's word,相信某人的话，听信某人，对某人的话信以为真；按某人的话去做[亦作 take someone at his word]
take one's leave of sb.,(向…)辞行；(向…)告别
take one's leave,告辞
take leave of sb.,"v. 决别
"
take one's medicine,接受应得的惩罚
take one's own life,自杀
take one's time,从容不迫
take pains to do sth., 费劲苦心做某事
take pains,"尽力, 耐心"
take place,"na. 发生；举行
"
take root,"生根, 扎根"
take sick,生病
take ill,[网络] 生病
take sides,"站在…一边,支持…,偏袒…"
take sb. down a peg or two,灭威风
bring sb. down a peg or two,无
let sb. down a peg or two,无
take sb. down a notch or two,无
take sb. for ...,"认为, 以为
"
take ... away,"adj. 买回去的
"
take away ...,"adj. 买回去的
"
take ... by storm,"na. 袭取
"
take into account ...,"na. 考虑
"
take ... into account,"na. 考虑
"
take ... by surprise,"v. 突然惊吓
"
take ... for granted, 信以为然
take ... over,"na. 接管；继承
"
take over ...,"na. 接管；继承
"
take ... wrong,无
take one's breath away,[网络] 令人咋舌；大为惊讶；目瞪口呆
take sb. to task,"v. 责骂
"
take sb. to the cleaners,"take to the cleaners
"
take sb. under one's wing,无
take sb. under one's wings,无
take sb. up on sth.,vt. 同意；接受
take up sb. on sth.,vt. 同意；接受
take a load off one's feet,v. 坐下休息
take sth. at face value,[网络] 根据外表判断；从表面上看问题；以貌取人
take sth. in stride,un. 发扬光大；大步前进；一步能轻易跳过
take sth. lying down,[网络] 甘受；屈服於严苛的对待却不抵抗
take sth. the wrong way,"na. 走错路
"
take sth. amiss,"na. 见怪；生气；误会
"
take sth. on faith,[网络] 信以为真；无条件地相信
take sth. on the chin,[网络] 忍气吞声
take sth. out on ...,[网络] 拿…出气；向别人发泄自己的情绪；对……发泄
take sth. to heart, 以。。。为重
take sth. up,"na. 拿起；举起；拾起；给搭(火车等)
"
take up sth.,"na. 拿起；举起；拾起；给搭(火车等)
"
take sth. up with sb.,"与...亲密交往, 致力于
"
take up sth. with sb.,"与...亲密交往, 致力于
"
take sth. upon oneself,"na. 负担；毅然
"
take sth. on oneself,承担
take sth. with a grain of salt,不全信；对…采取保留态度
take sth. with a pinch of salt,[网络] 将信将疑；不轻信；不大相信
take steps to prevent sth.,无
take steps,[经] 采取措施
take stock of sth.,"盘点存货; 检查, 评估"
take stock,"清点存货
"
take the bitter with the sweet,v. 接受顺境和逆境
take the bull by the horns,v. 不畏艰险; 毫不犹豫; 断然处置; 冒险犯难
take the cake,"成为最佳者, 得奖"
take the edge off sth.,"使钝, 减弱"
take the edge off,"使钝, 减弱"
take the Fifth, 拒绝作危害自己的证词
take the law into one's own hands,"〈口〉不通过法律擅自处理, 私了"
take the liberty of doing sth.,"na. 冒昧行事
"
take the lid off sth.,揭露
take the stand,站在证人席上作证
take the trouble to do sth.,"na. 不辞…之劳
"
take the trouble,"不怕费事,不怕麻烦,不辞劳苦"
take on too much,无
take the wind out of one's sails,先发制人；抢先占上风；(以猝不及防的行动)使人狼狈不堪；夺去某人优势；【航海学】抢他船的风路
take the words out of one's mouth,讲出某人心里要讲的话，抢先讲出某人要讲的话
take time off, <美>抽出一部分时间; 偷空
take to one's heels,逃走
take up a collection,[网络] 募捐；筹款；募款
take up arms against ...,拿起武器反对[保卫]
take up one's time,无
take up room,无
take up space,无
take up time,需要时日，费时间
take a dig at sb.,无
take digs at sb.,无
take a hand in sth.,"参与,介入"
have a hand in sth.,"插手..., 参加, 分担"
take a shot at sth.,"试着去做, 试着去打, 试着去夺, 试着去赶"
have a shot at sth.,试着去做
take a spill,[网络] 出了一点问题；跌倒
have a spill,无
take a walk,散步
take a hike,作徒步旅行
take a whack at ...,"尝试一下,勐烈攻击…"
take a wack at ...,无
have a whack at ...,"尝试一下,勐烈攻击…"
have a wack at ...,无
take forty winks,"打个盹儿
小睡片刻"
Take it away!,"na. 去干吧
"
take off after ...,追捕；追赶
take out after,"追赶,追捕"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take off on sth.,无
launch forth on sth.,无
launch forth,[网络] 启航
take part in sth.,"参与, 参加
"
take part, [体]参加比赛
take pity on ...,对...产生怜悯
have pity on ...,"怜悯,同情"
take sb. for sb.,"认为, 以为
"
take sb. in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... apart,"na. 分解；拆分；剖析
"
take apart ...,"na. 分解；拆分；剖析
"
take ... back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take back ...,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take in ...,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take on ...,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take sb. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out sb.,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take sth. out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out sth.,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take sth. off,"v. (飞机)起飞；出去；拿掉；移送
"
take off sth.,"v. (飞机)起飞；出去；拿掉；移送
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take a day off,请一天假
take the rap for ...,"承担刑事责任, 受责备, 代人受罚"
take the rap,"承担刑事责任
"
take the starch out of sb.,"〈美俚〉使…精疲力竭;使…垂头丧气,挫…的锐气;杀…的威风;〈俚〉(指女人)同某人发生性关系"
take to ...,"na. 嗜好；开始；参加；逃入
"
take turns at doing sth.,无
take turns doing sth.,[网络] 轮流做某事
take turns,"轮流, 依次"
take up one's abode,无
take up with sb.,"与...亲密交往, 致力于
"
turn a blind eye to ...,熟视无睹
turn a deaf ear to sth.,置若罔闻
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn against ...,"na. 背叛；使对抗；厌恶
"
turn back,"na. 同“turn down ”
"
turn in,"v. 向里弯曲
"
turn on a dime,"转硬币决定
灵活"
turn one's back on ...,"背弃, 抛弃"
turn one's back,[网络] 不愿帮助；在别人遇到困难时；不理会某人
turn one's nose up at ...,"un. 近在眼前；把鼻子一翘
"
turn up one's nose at ...,看不起
turn out,"v. 证明；原来；到场
"
pan out,"成功, 证明(是), 淘选"
work out,"v. 作出；拟定；制定；计划一下
"
turn out to be ...,"结果是, 原来是, 证明是"
turn over a new leaf,"翻开新的一页, 重新开始
"
turn over in one's grave,[网络] 死者虽死难安；死不瞑目
turn ... down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn down ...,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn ... in,"v. 向里弯曲
"
turn in ...,"v. 向里弯曲
"
turn ... off,"v. 关掉
"
turn off ...,"v. 关掉
"
turn one's head, 回头；掉过头来；回首
turn one's stomach,使(某人)恶心欲吐
turn ... on,"na. 转向；对…进行突击
"
turn on ...,"na. 转向；对…进行突击
"
turn ... out,"v. 证明；原来；到场
"
turn out ...,"v. 证明；原来；到场
"
turn ... over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn over ...,"na. ￡ 500 a week 每星期卖得五百镑
"
turn sth. to one's advantage,无
turn the other cheek,转过另一边脸来让人打;〈喻〉容忍
turn the tables on sb.,扭转形势；转败为胜；变劣势为优势；(与某人)主客易地；(在打牌时与某人)交换座次
turn the tables,"扭转局面
"
turn the tide," 改变形势, 改变局面使事态急转直下"
turn to ...,"转向, 变成, 求助于, 起劲地开始行动"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn about,"转身, 反复思考"
turn into sth.,[网络] 了解
turn on sb.,"na. 转向；对…进行突击
"
turn on the waterworks,〈口〉哇的一声哭起来(特指为了引人注意或得到想要的东西)
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn ... into sth.,[网络] 了解
turn ... over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn over ...,"na. ￡ 500 a week 每星期卖得五百镑
"
turn ... up,"v. 朝上翻；出现
"
turn up ...,"v. 朝上翻；出现
"
turn sth. around,"na. 转身；〈美〉使向好的方向转变
"
turn around sth.,"na. 转身；〈美〉使向好的方向转变
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
work into sth.,"na. 插入；加入；镂；突入
"
work like a horse,辛勤工作
work like magic,"产生奇效,很灵验"
work on ...,"继续工作, 设法说服, 影响"
work one's fingers to the bone,拼命地做
work one's way through,从头到尾做
work one's way up,"获提升, 晋级"
work out,"v. 作出；拟定；制定；计划一下
"
work out for the best,无
work ... in,"na. 插入；加入；镂；突入
"
work in ...,"na. 插入；加入；镂；突入
"
work ... up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work up ...,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work sb. over,"na. 改作；仔细检查；殴打
"
work over sb.,"na. 改作；仔细检查；殴打
"
work sth. into sth.,"na. 插入；加入；镂；突入
"
work sth. out,"v. 作出；拟定；制定；计划一下
"
work out sth.,"v. 作出；拟定；制定；计划一下
"
work through channels,无
