evident,"a. 显然的, 明显的"
feasible,"a. 能实行的, 可行的, 适宜的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
feverish,"a. 发热的, 极度兴奋的, 不安的"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flexibility,"n. 弹性, 适应性
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
fluctuation,"n. 变动, 波动, 动摇
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
football,"n. 足球, 橄榄球"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
foresee,"vt. 预见, 预知"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
forsake,"vt. 放弃, 断念, 抛弃
"
fraction,"n. 小部分, 破片, 分数
"
fragile,"a. 易碎的, 脆的
"
fragment,"n. 碎片, 破片, 片段
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
generate,"vt. 产生, 发生, 导致
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
genre,"n. 类型, 流派"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
glamorous,"a. 富有魅力的, 迷人的"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
grievance,"n. 委屈, 冤情, 苦况
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
hijack,"vt. 抢劫, 劫持, 敲诈
"
homicide,"n. 杀人, 杀人者
"
homogenize,"vi. 变均匀
vt. 使均匀"
horrify,"vt. 使恐惧, 使震惊"
hospitality,"n. 款待, 亲切, 殷勤"
hospice,"n. 旅客住宿处, 收容所"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
humiliation,"n. 耻辱, 丢脸, 谦卑"
hypothesis,"n. 假设
"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
identical,"a. 同一的, 恒等的, 完全相同的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
ignorance,"n. 无知, 愚味
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
immediate,"a. 立即的, 直接的, 接近的
"
immense,"a. 极广大的, 无边的, 非常好的"
immigrate,"vt. 使移居入境
vi. 移入"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunization,"n. 免疫
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
impair,"vt. 损害, 减少, 削弱
"
impartial,"a. 公平的, 不偏不倚的
"
impetus,"n. 动力, 推动力, 动量
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
imply,"vt. 暗示, 意味
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
incentive,"n. 动机
a. 激励的"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
incur,"vt. 招致, 蒙受, 遭遇
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
indicator,"n. 指示器, 指示剂, 指标
"
indict,"vt. 起诉, 控告, 指控
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indignant,"a. 愤怒的, 愤慨的"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
inedible,a. 不适于食用的
ineffectual,"a. 无效的, 无益的"
inevitable,"a. 不可避免的, 必然的
"
inexorable,"a. 无情的, 冷酷的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infection,"n. 传染, 影响, 传染病
"
infer,"vt. 推论出, 推断
vi. 作推论"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
influential,"a. 有影响的, 有势力的"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
ingredient,"n. 成分, 因素
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
inject,"vt. 注射, 注入, 使入轨
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innate,"a. 先天的, 天生的
"
inborn,a. 天生的；先天的
innovation,"n. 改革, 创新
"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
insight,"n. 察看, 洞察力, 见识
"
insist,"v. 坚持, 坚决主张, 强调"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
investigate,"v. 调查, 审查"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
instinct,"n. 本能, 直觉
a. 充满着的"
institution,"n. 机构, 惯例, 制度
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
instruct,"vt. 教, 教育, 命令, 通知
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
insurance,"n. 保险, 保险业, 保险费
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
intelligence,"n. 智力, 情报, 信息
"
intellect,"n. 智力, 出众的才华, 知识分子
"
intend,"vt. 计划, 打算, 意思是
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
intermittent,"a. 间歇的, 断断续续的
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
intervene,"vi. 插入, 调停, 干涉
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
intuitive,a. 直觉的
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
junction,"n. 连接, 会合处, 交叉点
"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justified,"a. 有道理的, 合乎情理的
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
liability,"n. 责任, 债务, 倾向
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
lingual,"a. 舌的, 舌音的, 语言的
n. 舌音"
linguist,n. 语言学家
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
literary,"a. 文学的, 文艺的, 精通文学的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lucrative,"a. 有利益的, 获利的, 合算的"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
mania,"n. 狂躁, 热衷, 狂热
"
manicurist,n. 修指甲师
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
marked,"a. 有记号的, 显著的, 醒目的
"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
massive,"a. 大而重的, 宽大的, 宏伟的
"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
mediocre,"a. 不好不坏的, 通常, 平凡的"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
militant,a. 好战的
miniaturization,"n. 微型化
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
misguided,a. 被误导的
mislead,vt. 误导
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modification,"n. 修正, 修饰, 修改
"
monarch,"n. 帝王, 统治者, 元首
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monotonous,"a. 单调的, 无变化的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
multiply,"v. 繁殖, 乘, 增加
"
mutual,"a. 相互的, 共有的
"
naive,"a. 天真的, 纯真的, 幼稚的"
nasty,"a. 污秽的, 下流的, 险恶的"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
neuroscientist, [医]神经科学家：神经科学各分支的专家
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
nominate,"vt. 提名, 任命, 命名
"
nonconformist,"n. 不相信英国国教的人, 不符合通常准则的人, 不落俗套的人
a. 违反准则的, 不落俗套的, 违反规范的"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
normalization,"n. 常态化, 正常化, 正规化
"
notably,"adv. 显著地, 著名地, 尤其, 特别"
notification,"n. 通知, 通告, 告示
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
obstacle,"n. 障碍, 妨害物, 阻碍"
obstinate,"a. 倔强的, 顽固的, 不让步的"
off-the-cuff,"即兴地, 非正式地"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
optional,"a. 可选择的, 随意的
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
orthodox,"a. 正统的, 传统的, 惯常的"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
overlapping,
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
parasite,"n. 寄生生物, 寄生虫, 食客
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
pastime,"n. 消遣, 娱乐, 游戏"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
patriotic,"a. 爱国的, 有爱国心的
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permission,"n. 许可, 允许
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
plow,"n. 犁
v. 犁, 耕"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
portable,"a. 可携带的, 可搬运的, 可移动的
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
precise,"a. 精确的, 严谨的, 明确的
"
predecessor,"n. 前任, 先辈, 前身
"
prediction,"n. 预言, 预报
"
predominant,"a. 占主导地位的, 卓越的
"
prefer,"vt. 宁可, 较喜欢, 提出
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preside,"vi. 统辖, 当主人, 主持
"
prestige,"n. 声望, 威望, 威信
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
pretext,"n. 借口, 托词
v. 以...为借口"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
priority,"n. 优先权, 优先
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
procedure,"n. 程序, 过程, 手续
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
procreation,"n. 生产, 生殖
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
prohibit,"vt. 禁止, 阻止
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
prolong,"vt. 延长, 拖延, 拖长
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
eminent,"a. 显赫的, 杰出的, 有名的"
promising,"a. 有希望的, 前途有望的
"
promote,"vt. 促进, 晋升, 创办, 推销
"
pronounce,"v. 发音, 宣告, 断言"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
propel,"vt. 推进, 驱使
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
provoke,"vt. 激怒, 惹起, 诱导
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
psychology,"n. 心理学, 心理状态
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
quadruple,"a. 四倍的, 四重的, 四部分组成的
n. 四倍
vt. 使成四倍
vi. 成为四倍"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
react,"vi. 起反应, 起作用, 反攻
"
reasonable,"a. 合理的, 明理的, 适当的
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
recession,"n. 后退, 凹处, 衰退, 归还
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
recitation,"n. 详述, 吟诵, 背诵的诗
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
