according to,"根据, 按照；取决于；据…所说"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
liner,"n. 班机, 划线者, 定期船, 衬里
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
linguistic,"a. 语言的, 语言学的
"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
literacy,"n. 读写能力, 识字, 精通文学"
liver,"n. 肝脏, 生活者, 居民
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
locality,"n. 地方, 所在, 位置
"
location,"n. 位置, 场所, 特定区域
"
locker,"n. 抽屉, 小柜, 上锁人
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
longitude,"n. 经度, 经线
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
lottery,"n. 奖券, 彩票, 运气
"
lover,"n. 爱人, 爱好者"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
machinery,"n. 机器, 机械装置, 机构
"
magistrate,"n. 长官, 法官, 推事
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
malignant,"a. 有恶意的, 恶性的, 有害的
"
mammal,"n. 哺乳动物
"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
Marxist,"a. 马克思主义的
n. 马克思主义者"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
maths,n. 数学
mayor,"n. 市长
"
meadow,"n. 草地, 牧场"
meantime,"n. 间隔时间, 其时
adv. 其间"
mechanic,"n. 机械工, 技工
a. 手工的"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
medieval,"a. 中古的, 中世纪的"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
meditation,"n. 沉思, 冥想"
melody,"n. 曲子, 美妙音乐, 曲调"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
membership,"n. 会员的资格, 全体会员, 会员数目
"
memo,"n. 备忘录
"
mercury,"n. 水银, 汞, 使者
"
messenger,"n. 报信者, 使者
"
metaphor,n. 隐喻
metric,"a. 公尺的, 公制的, 计量的
"
microphone,"n. 扩音器, 麦克风
"
midst,"n. 中间
prep. 在...中间"
migrate,"vi. 移动, 移往, 随季节而移居
"
militant,a. 好战的
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
millimeter,"n. 毫米
"
mingle,v. (使)混合
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
miracle,"n. 奇迹, 奇事"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
missing,"a. 不见的, 缺少的
"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
mistress,"n. 主妇, 女主人, 情妇"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
modernization,n. 现代化
module,"n. 组件, 模数
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisture,"n. 湿气, 水分, 降雨
"
momentum,"n. 动力, 动量
"
monarch,"n. 帝王, 统治者, 元首
"
monotonous,"a. 单调的, 无变化的"
monster,"n. 怪物, 恶人, 巨物
"
monthly,"n. 月刊
a. 每月的, 每月一次的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
mostly,"adv. 大概, 大部分, 主要
"
motel,n. 汽车旅馆
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
multitude,"n. 多数, 群众"
municipal,"a. 市政的, 自治区的, 内政的
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
naive,"a. 天真的, 纯真的, 幼稚的"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
namely,"adv. 即, 就是, 换句话说"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
napkin,"n. 餐巾, 餐巾纸, 尿布"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
naval,"a. 海军的, 军舰的, 有舰队的
"
navigation,"n. 航行, 航海, 导航
"
necessitate,"vt. 迫使, 使成为必需, 需要"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
neighborhood,"n. 附近, 邻近"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
nitrogen,"n. 氮
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
normalization,"n. 常态化, 正常化, 正规化
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
noun,n. 名词
nourish,"vt. 滋养, 使健壮, 怀有"
nucleus,"n. 核心, 核子, 原子核, 起点
"
nursery,"n. 托儿所, 苗圃, 温床
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
oak,"n. 橡树, 橡木
a. 橡木制的"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
oath,"n. 誓约, 誓言, 咒骂
"
obedience,"n. 服从, 顺从, 忠实
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
occasional,"a. 偶然的, 临时的
"
odor,"n. 气味, 香味, 名声, 意味
"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
okay,"a. 好, 可以, 行, 对, 好吗, 很好
adv. 好, 可以, 行, 对, 好吗, 很好
n. 同意, 签认, 批准, 认可
vt. 同意, 签认, 批准, 认可"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
opt,vi. 选择
optical,"a. 眼睛的, 视觉的, 光学的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
orchard,"n. 果园, 果树林"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
ore,"n. 矿石
"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
orthodox,"a. 正统的, 传统的, 惯常的"
ounce,"n. 盎司, 少量, 雪豹
"
outdoor,"a. 户外的, 屋外的, 露天的"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
outset,"n. 着手, 开头, 最初"
outskirts,"n. 近郊, 市郊"
oven,"n. 烤箱, 灶, 子宫
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
overhear,"vt. 无意中听到, 偷听"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
overwhelming,"a. 压倒性的, 无法抵抗的"
owl,"n. 猫头鹰
"
oxide,"n. 氧化物
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
pact,"n. 契约, 协定, 条约
"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
pail,"n. 桶, 提桶"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
pamphlet,"n. 小册子, 活页文选"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
paperback,"n. 平装本, 纸面本"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paralyze,"vt. 使瘫痪, 使麻痹
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
parasite,"n. 寄生生物, 寄生虫, 食客
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
passer,"n. 过路人, 旅客, 考试合格者, 检查合格证
"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
pastime,"n. 消遣, 娱乐, 游戏"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
patriotic,"a. 爱国的, 有爱国心的
"
patron,"n. 赞助人, 顾客, 保护人
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
perfection,"n. 完美, 完成, 极端
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
persuasion,"n. 说服, 信念, 派别, 说服力"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
petroleum,"n. 石油
"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
pharmacy,"n. 药房, 配药学, 制药业
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
piston,"n. 活塞, 活塞阀键
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
plentiful,"a. 许多的, 丰富的, 丰饶的"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
plumber,"n. 水管工人
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
plural,"n. 复数
a. 复数的, 两个以上的"
pneumonia,"n. 肺炎
"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
ponder,"v. 沉思, 考虑"
pope,"n. 罗马教皇, 主教"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
porch,"n. 门廊, 走廊"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
poultry,n. 家禽
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
predominant,"a. 占主导地位的, 卓越的
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
preposition,"n. 前置词, 介词"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
presently,"adv. 目前, 不久"
preside,"vi. 统辖, 当主人, 主持
"
presumably,"adv. 推测上, 大概"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
pretext,"n. 借口, 托词
v. 以...为借口"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主, 王妃, 女巨头"
probability,"n. 可能性, 或然率, 几率, 概率
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
proficiency,"n. 精通, 熟练, 精练"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
pronoun,n. 代词
propaganda,"n. 宣传, 宣传活动
"
propel,"vt. 推进, 驱使
"
proposal,"n. 提议, 计划, 求婚
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
prospective,"a. 预期的, 将来的
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
prototype,"n. 原型
"
psychiatry,"n. 精神病学, 精神病治疗
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
puppet,"n. 傀儡, 木偶
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
qualitative,"a. 性质的, 质的, 定性的"
quantify,"vt. 定量, 用数量表示, 测量"
quart,"n. 夸脱
"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
quartz,"n. 石英
"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
quota,"n. 配额, 限额
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
radar,"n. 雷达, 无线电探测器
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
radius,"n. 半径, 范围, 辐射光线
"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
rake,"n. 耙子, 钱耙, 斜度, 浪子
v. 搜索, 掠过, (用耙子)耙, (使)倾斜"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
realm,"n. 王国, 领土, 领域
"
reassure,"vt. 使...安心, 向...再保证
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
rebellion,"n. 谋反, 叛乱, 反抗
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
redundant,"a. 多余的, 过多的, 冗长的
"
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
refute,"vt. 反驳, 驳斥；驳倒"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
relativity,"n. 有关系, 相关性, 相对性
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
repay,"v. 偿还, 报答, 报复"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
repression,"n. 抑制, 压抑, 制止
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
respective,"a. 分别的, 各自的"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
restraint,"n. 抑制, 克制, 束缚
"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
