coda,"n. 尾音, 乐章结尾部, 结尾段"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
desiccate,"vt. 使干, 干贮
vi. 变干"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
adjudicate,"v. 判决, 宣告, 裁定"
pontificate,"vi. 自负地谈论, 执行教皇职务"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
supplicate,"v. 恳求, 哀求, 恳请"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
explicate,"vt. 详细说明, 解释, 说明, 引伸"
prevaricate,"vi. 支吾其辞, 搪塞"
fabricate,"vt. 制造, 建造, 装配, 伪造"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
extricate,"vt. 使解脱, 救出"
truncate,"vt. 切去头端, 缩短, 截棱, 使成平面
a. 切去了头的, 缩短了的"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
equivocate,"vi. 说模棱两可的话, 支吾"
bifurcate,"v. (使)分叉
a. 分双叉的"
obfuscate,"vt. 弄暗, 使模糊, 使迷惑"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
antedate,"vt. 先于, 前于
"
elucidate,"vt. 阐明, 说明"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
intimidate,"vt. 威胁, 恐吓
"
dilapidate,"v. (使)荒废, (使)毁坏"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
nauseate,"vi. 作呕, 产生恶感, 厌恶
vt. 使厌恶, 使恶心"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
delegate,"n. 代表
vt. 委派...为代表"
abnegate,"vt. 放弃, 舍弃, 克制(欲望)"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
profligate,"a. 放荡的, 不检点的, 浪费的
n. 放荡者, 享乐者"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
mitigate,"vt. 温和, 缓和, 减轻
"
castigate,"vt. 惩罚, 苛评, 修订"
instigate,"vt. 教唆, 怂恿, 煽动
"
promulgate,"vt. 发布, 公布, 发表, 传播
"
abrogate,"vt. 废除, 取消
"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
surrogate,"n. 替代者, 代用品
vt. 代理, 替代"
expurgate,"vt. 删除, 修订, 使纯洁"
subjugate,"vt. 征服, 使服从, 抑制, 克制"
emaciate,"vt. 使消瘦, 使憔悴
vi. 消瘦"
depreciate,"vi. 贬值
vt. 降价, 贬低"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
excruciate,"vt. 施酷刑, 拷问, 使苦恼, 折磨"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
conciliate,"vt. 安抚, 说服, 博得...的支持, 调和
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
palliate,"vt. 减轻, 缓和, 掩饰(罪过等)
"
calumniate,"vt. 中伤, 诽谤
"
expiate,"vt. 补偿, 赎
vi. 抵偿, 赎罪"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
appropriate,"a. 适当的
"
repatriate,"vt. 把...遣返
vi. 回国
n. 被遣返回国者"
striate,"a. 有条纹的
vt. 加条纹"
infuriate,"a. 狂怒的
vt. 激怒"
satiate,"vt. 使饱足, 使厌腻, 充分满足
a. 饱足的, 厌腻的"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
propitiate,"vt. 慰抚, 安抚, 和解, 谋求...的好感"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
"
substantiate,"vt. 使实体化, 证实
"
potentiate,"vt. 赋与力量, 加强
vi. 有加强作用"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
alleviate,"vt. 减轻, 使缓和"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
elate,"vt. 使兴高采烈, 使得意"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
conflate,vt. 合并；异文合并
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
scintillate,"v. 发出火花, 闪耀光芒"
extrapolate,"v. 推断, 外推"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
slate,"n. 板岩, 页岩, 提名名单, 人选, 记录, 石板
a. 石板色的
vt. 铺石板, 责骂, 痛打"
perambulate,"vt. 巡行, 徘徊, 漫步于, 勘查
vi. 漫步, 闲荡, 迂回"
discombobulate,"vt. 使混乱, 使困惑, 使泄气"
maculate,"a. 有斑点的, 有污点的
vt. 使有斑点, 使有污点"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
"
speculate,"vi. 深思, 推测, 投机
"
matriculate,"vt. 准许入学, 录取
vi. 入学, 进大学
n. 获准入学者"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
adulate,"vt. 谄媚, 过分称赞"
coagulate,"v. (使)凝结
a. 凝结的"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
simulate,"vt. 模拟, 假装, 模仿
"
accumulate,"v. 积聚, 堆积"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
stipulate,"v. 规定, 保证"
insulate,"vt. 使绝缘, 隔离
"
capitulate,"vi. (有条件)投降
"
recapitulate,"v. 重述要点, 概括, 摘要"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
expostulate,"vi. 劝诫, 告诫；忠告"
amalgamate,"v. 使汞齐化, 合并"
acclimate,"vt. 使适应, 使服水土
vi. 服水土, 适应新环境"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
alienate,"vt. 使疏远, 离间, 转让
"
concatenate,"vt. 如锁链般连接, 使连锁, 连结
a. 连锁的, 连结的"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
deracinate,"vt. 根除, 杜绝, 使脱离传统"
vaccinate,v. 预防接种
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
insubordinate,"a. 不顺从的, 地位不低的"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
discriminate,"v. 区别, 差别待遇"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
fulminate,"vt. 使爆发, 以严词谴责
vi. 爆炸, 怒喝, 电闪
n. 雷酸盐, 烈性炸药"
abominate,"vt. 厌恶, 憎恶"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
exterminate,"vt. 扑灭, 消灭, 根绝"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
ruminate,"v. 反刍, 沉思"
indoctrinate,"vt. 教训, 教导, 灌输"
procrastinate,"v. 延迟, 耽搁"
obstinate,"a. 倔强的, 顽固的, 不让步的"
dispassionate,"a. 冷静的, 不带感情的"
resonate,"v. (使)共鸣, (使)共振"
incarnate,"vt. 体现, 使具体化, 使实体化
a. 化身的, 实体化的, 肉色的, 深红色的"
inchoate,"a. 刚开始的, 不成熟的, 未发达的
"
emancipate,"vt. 释放, 解放"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
inculpate,"vt. 使负罪, 控告, 使连累
"
exculpate,"vt. 使无罪, 开脱
"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
"
adumbrate,"vt. 画...的轮廓, 预示"
desecrate,"vt. 供俗用, 亵渎, 轻蔑地对待"
execrate,"vt. 憎恨, 憎恶, 诅咒
vi. 诅咒"
dehydrate,"vt. (使)脱水
"
berate,vt. 严责
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
reverberate,"vi. 回响, 反响, 被反射
vt. 使反响, 使回响, 反射
a. 回响的, 反射的"
lacerate,"vt. 划破, 割破, 使痛心, 撕碎
a. 撕碎的, 受折磨的"
macerate,"vi. 浸软, 消瘦
vt. 把...浸软, 使消瘦"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
venerate,"vt. 尊敬, 崇敬, 崇拜"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
exonerate,"vt. 免除, 证明无罪
"
remunerate,"vt. 给与报酬, 赔偿, 酬劳"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
intemperate,"a. 不节制的, 不温和的, 饮酒过度的"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
recuperate,"vt. 恢复, 使复原, 使恢复健康, 使恢复精神
vi. 复原, 恢复健康, 挽回损失"
vituperate,"vt. 辱骂, 责骂
"
commiserate,"v. 怜悯, 同情"
inveterate,"a. 根深的, 成癖的, 积习的
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
grate,"n. 炉格, 炉篦, 炉栅, 火炉, 壁炉, 格栅
vt. 装格栅于, 磨擦, 轧碎, 磨碎, 使焦急, 触怒, 使人烦躁, 刺激, 激怒
vt.vi. 擦响, 发出刺耳的尖厉声"
emigrate,"v. (使)移居, (使)移民"
denigrate,"vt. 使变黑, 玷污, 诋毁"
irate,"a. 发怒的, 生气的"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
corroborate,"vt. 巩固, 确证
"
perforate,"vt. 穿孔于, 刺穿, 打孔穿透
vi. 穿孔, 穿过
a. 有孔的, 穿孔的"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
ameliorate,"v. 改善, 改良, 改进"
prate,"vi. 唠叨, 空谈
vt. 瞎扯
n. 唠叨, 空谈, 瞎扯"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
demonstrate,"vt. 示范, 证明
vi. 示威"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
indurate,"vt. 使硬化, 使无感觉, 使确立
a. 顽固的, 冷酷的"
inaugurate,"vt. 开始, 举行...就职典礼"
commensurate,"a. 同量的, 同等的, 相称的"
incommensurate,"a. 不相称的, 不适应的"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
sate,"vt. 充分满足, 过分满意, 使厌腻"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
resuscitate,"v. (使)复苏, (使)复兴"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
premeditate,"v. 预谋, 预先考虑"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
debilitate,vt. 使衰弱
facilitate,"vt. 使容易, 促进, 帮助
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
potentate,"n. 有权的人, 有势力的人, 统治者"
annotate,"v. 作注解, 注释
"
instate,"vt. 任命
"
understate,"v. 不完全地陈述, 保守地说, 有意轻描淡写"
mutate,"vi. 变化, 产生变异, 变化元音
vt. 使变异"
evacuate,"v. 疏散, 撤出, 排泄"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
extenuate,"vt. 减轻, 为...找借口
"
infatuate,"vt. 使迷恋, 使糊涂
a. 着迷的
n. 迷恋者"
accentuate,"vt. 以重音念, 强调, 重读"
excavate,"v. 挖空, 挖出, 凿通"
aggravate,"vt. 使恶化, 使更严重, 加重"
elevate,"vt. 举起, 提拔, 鼓舞"
recidivate,"vi.复返, 再犯"
cultivate,"vt. 培养, 耕作"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
captivate,"vt. 迷住, 迷惑"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
effete,"a. 贫瘠的, 枯竭的, 衰微的"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
deplete,"vt. 耗尽, 使衰竭
"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
accrete,"vi. 连生, 合生, 附依
vt. 使依附, 使连接
a. 合生的"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
discrete,"a. 不连续的, 离散的
"
excrete,"vt. 排泄, 分泌
"
incite,"vt. 刺激, 激励, 引诱
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
recondite,"a. 深奥的, 难解的, 隐藏的"
erudite,"a. 博学的
n. 博学者"
mite,"n. 尽绵薄之力的捐献, 细微, 微少, 螨
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
sybarite,"n. 爱奢侈享乐的人, 奢侈逸乐之徒, 骄奢淫逸的人"
trite,"a. 老一套的, 陈腐的, 用坏的"
contrite,"a. 悔悟了的, 后悔的, 痛悔的"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
perquisite,"n. 额外补贴, 特殊待遇, 外快
"
exquisite,"a. 精致的, 细腻的, 敏锐的"
apposite,"a. 贴切的, 合适的"
requite,"vt. 报答, 酬答, 还礼"
svelte,a. 苗条的；线条清晰的；和蔼的
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
anecdote,"n. 轶事, 奇闻"
demote,"vt. 使降级, 使降职"
rote,"n. 机械性的背诵, 死记硬背"
forte,"n. 长处, 特长, 拿手, 优点"
lambaste,"vt. 痛打, 严责"
vignette,n. 装饰图案；小插图
coquette,"n. 卖弄风情的女人, 蜂鸟
vi. 卖弄风情, 卖俏, 玩弄, 轻浮地对待"
tribute,"n. 贡物, 礼物, 颂辞"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
refute,"vt. 反驳, 驳斥；驳倒"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
dissolute,"a. 放荡的, 风流的"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
constitute,"vt. 构成, 组成, 任命
"
reconstitute,"vt. 重新组成, 重新设立
"
astute,"a. 敏锐的, 狡猾的"
neophyte,"n. 新入教者, 新信徒"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
residue,"n. 残渣, 剩余, 余数
"
undue,"a. 不适当的, 过度的, 未到期的
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
vague,"a. 含糊的, 不清楚的, 茫然的"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
pedagogue,"n. 小学教师, 教员, 学究"
demagogue,n. 煽动者
epilogue,"n. 结语, 尾声, 收场白
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
prologue,"n. 开场白, 序言, 序幕
vt. 为...作序, 加上...前言"
venue,"n. 犯罪地点, 审判地, 发生地点"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
oblique,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
burlesque,"n. (讽刺性的)诙谐模仿, 滑稽戏
a. 滑稽的, 可笑的"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
misconstrue,"vt. 误解, 曲解
"
ensue,"vi. 跟着发生, 继起
vt. 追求"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
rave,"n. 狂吼, 狂暴
v. 愤怒地说, 叫嚷, 咆哮"
crave,"v. 渴望, 热望, 恳求"
peeve,"v. (使)气恼, (使)焦躁, (使)忿怒
n. 麻烦的事物, 怨恨, 生气, 触怒"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
"
reprieve,"n. 缓刑, 缓刑令, 暂缓
vt. 暂时解救, 缓期执行"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
naive,"a. 天真的, 纯真的, 幼稚的"
conducive,"a. 有益于...的, 有助于...的, 助长的"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
connive,"vi. 默许, 共谋, 纵容
"
rive,"vt. 撕开, 使破碎
vi. 裂开, 破裂"
cohesive,"a. 黏合在一起的
"
compulsive,"a. 强制的, 强迫的
"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
pensive,"a. 沉思的, 哀思的, 忧郁的"
responsive,"a. 回答的, 应答的, 易感应的"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
discursive,"a. 离题的, 东拉西扯的"
excursive,"a. 游览的, 离题的, 散漫的
"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
recessive,"a. 后退的, 逆行的, 隐性的
n. 隐性性状"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
submissive,"a. 服从的, 顺从的"
effusive,"a. 感情横溢的, 奔放的, 流出的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
lucrative,"a. 有利益的, 获利的, 合算的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
pejorative,"a. 贬损的, 轻蔑的
n. 轻蔑语, 贬义词"
restorative,"a. 恢复健康的, 滋补的
n. 兴奋药, 补药"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
tentative,"n. 试验
a. 试验性的, 暂时的"
hortative,"a. 劝告的, 奖励的"
putative,"a. 推定的, 被公认的
"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
innovative,"a. 革新的, 创新的, 富有革新精神的"
conservative,"a. 保守的, 守旧的, 有保存力的
"
retroactive,"a. 反动的, 追溯的, 有追溯效力的
"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
invective,"n. 恶言漫骂, 臭骂
a. 漫骂的, 非难的, 恶言的"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
distinctive,"a. 有特色的, 出众的"
disjunctive,"a. 分离的, 分隔的
n. 反意连接词, 选言命题"
counterproductive,a. 反生产的；使达不到预期目标的
prohibitive,"a. 禁止的, 禁止性的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
acquisitive,"a. 渴望获得的, 贪婪的
"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
intuitive,a. 直觉的
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
incentive,"n. 动机
a. 激励的"
retentive,"a. 保持的, 有保持力的, 记性好的"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
assertive,"a. 武断的, 过分自信的
"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
restive,"a. 不愿向前走的, 倔强的, 难驾御的"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
salve,"n. 油膏, 药膏, 安慰, 奉承话
vt. 涂油膏于, 安慰, 缓和, 抢救, 打捞"
delve,"v. 探究, 查考
n. 坑, 穴"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
dissolve,"v. 溶解, 解散"
behoove,"vt. 理应, 应该
vi. 理所当然"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
reprove,"vt. 责备, 责骂, 非难
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
verve,"n. 热情, 气魄, 神韵, 活力"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
awe,"n. 敬畏
vt. 使敬畏"
faze,"vt. 打扰, 折磨, 使狼狈"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
raze,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
ostracize,"vt. 流放, 放逐, 排斥"
aggrandize,"vt. 增加, 夸大"
eulogize,"vt. 称赞, 颂扬"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
tantalize,"vt. 逗弄, 使干着急"
fertilize,"vt. 施肥, 使丰饶, 使受精"
monopolize,"vt. 独占, 垄断
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
victimize,"vt. 使牺牲, 使受害
"
epitomize,"vt. 摘要, 概括"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
homogenize,"vi. 变均匀
vt. 使均匀"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
lionize,"vt. 将...以名人待之, 游览...的名胜
vi. 结交名流"
canonize,"vt. 封...死者为圣徒, 使加入圣徒之列, 褒扬"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
plagiarize,"v. 剽窃, 抄袭"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
particularize,"v. 详细说明, 列举, 使特殊"
pulverize,"vt. 把...磨成粉
vi. 变成粉"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
valorize,"vt. 限定价格, 稳定物价
"
vaporize,v. (使)蒸发
temporize,"vi. 随潮流, 拖延, 妥协, 调停"
extemporize,"v. 即席演说, 即兴演奏, 当场作成"
idolatrize,vt. 把…奉为偶像；盲目崇拜
stigmatize,"vt. 打烙印, 诬蔑"
proselytize,"vt. 使改变宗教信仰
vi. 劝诱改变宗教信仰"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
catalyze,"vt. 催化, 促进, 刺激
"
oaf,"n. 呆子, 畸形儿"
chaff,"n. 谷壳, 糠, 揶揄
v. 开玩笑, 戏弄"
quaff,"v. 狂饮, 大口地喝
n. 大口喝下的酒, 痛饮"
miff,"n. 小争执, 愠怒
vt. 使恼怒
vi. 恼羞成怒"
tiff,"n. 一口淡酒, 小争吵, 小口角, 淡酒
vi. 小争吵, 生气"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
doff,"vt. 脱, 丢弃, 摆脱"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
