find out,"na. 查出；发现；看清…的面目；识破
"
speak out,"大胆地说, 大声地说"
speak up,"更大声地说, 大胆说出, 无保留地说出"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on leave,休假
with a view to,"以...为目标
"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
sweep into,把…扫入…; 昂然走进
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
put through,"na. 经受；测试；试验；使…通过
"
pick out,"na. 挑选；掘出；闻出；领会
"
for life,na. 终身；为逃
pass away,"去世, 停止, 离去, 消逝"
keep secret,"na. 保守(某事)秘密
"
keep ... secret,"na. 保守(某事)秘密
"
to the limit of,无
on the decline,没落
be distracted by,被…搞得心烦意乱;被…搞得要发狂
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
commit suicide,[法] 自杀
once for all,"只此一次, 一劳永逸地, 彻底地"
once and for all,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次"
swear to,断言
for fun,开玩笑地
wait on,"服侍, 招待, 拜访, 焦急地等待"
step by step,逐步地
by rights,正当地
without fail,"务必
"
at stake,"危如累卵, 在危险中"
in a small way,"小规模地, 节俭地"
piece together,"na. 拼合
"
triumph over,"击败, 成功, 得胜"
step out,"以步测量
"
to my mind,"na. “in my mind”的变体
"
head into,迎着(风等)而行
be up in the air,"na. 悬而未决；尚未决定
"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
safe and sound,安然无恙的
stop short,突然停止
fit into,适合
bid for,"要求,争取,投标,出价竞买"
take ... by surprise,"v. 突然惊吓
"
be typical of,是...的特点
persist in,"坚持, 固执于"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
slip through,悄悄通过
turn away,"v. 转变方向
"
under pressure,在压力强制下
follow one's example,无
at present,"现在, 目前"
stumble on,"无意中发现,偶然找到"
stumble upon,偶然发现
stumble across,偶然发现
pull through,"(使)渡过难关, (使)恢复健康"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take a fancy to,喜欢
at a stretch,一口气地
tie up,"na. 绑；系；包扎；(船只)系泊
"
buy off,na. (用贿赂)收买；用钱疏通
core values,[网络] 核心价值观；公司核心价值观；金地核心价值观
stand in,"代演员站位, 使花费"
find fault with,"挑剔,指责,对…吹毛求疵"
make certain,确定
turn up,"v. 朝上翻；出现
"
level off,"平整, 变平, 稳定"
on the increase,正在增长
on the verge of,"接近于, 濒临于"
up to date,"最近的, 最新的
"
up against,面临
come to a close,结束
draw to a close,渐近结束
bottom line,"n. 概要, 账本底线"
on that score,在那点上
size up,"估计, 合格"
to the extent of,达到…程度;在…范围内
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
in brief,"简言之, 以简洁的形式"
year after year,"年复一年地, 年年, 每年"
year by year,"年年, 每年"
in a position,能够做
give access to,"准许进入,使得以进入"
by common consent,"经一致同意,公认"
dozens of,"几十个,数十个;许多…"
out of hand,"无法控制, 脱手, 告终, 立即"
throw oneself into,积极从事
tell the white lie,无
pour out,"v. 倾吐；诉说
"
walk away, 走开
walk off,"na. 离开；用走路来消散；带走
"
get around to, 设法找到足够的时间去做（某事）; 说服
get round to, 设法找到足够的时间去做（某事）; 说服
come into existence,"开始存在, 成立"
run for,竞选
supply with,把…提供〔供应给〕…
supply to,向…提供〔供应〕…
burn up,"烧起来, 烧掉, 发怒"
turn one's back on,"背弃, 抛弃"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
have connection with, 与…有联系
rare bird,"n. 稀有的人或物, 珍品; 珍禽"
no way,"无论如何也不,决不"
beat to the punch,[网络] 先发制人；捷足先登；抢得先机
arm with,用…武装; 向…提供
take a loss,承担损失
on schedule,"按时
"
be on the ropes,（登山者）用绳相互系在一起
trade off,"na. 卖出
"
make a sacrifice,"作出牺牲, 付出代价"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
stick around,逗留
badly off,"穷的, 缺少的"
finish up,"结束, 完成, 用光"
expert in, 熟练于…
expert at,擅长
tie in with,(使)跟…相符; 跟…连接起来
cheer up,"v. 鼓舞；振作一点
"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
be addicted to,沉迷于…
on edge,"竖着, 紧张, 急切"
be on edge,焦虑不安的
give place to,"让位于, 被...所替代"
head for,"出发, 动身, 前往"
submit to,"un. 使某人忍受某事:
"
sort of,有几分地
take a nap,"小睡,打盹,午睡"
get a nap,无
have a nap,"打盹,小睡片刻"
drive sb. to do sth.,无
talk nonsense,"胡说八道, 说废话"
bid up,"哄抬(价钱)
"
take the place of,"代替
"
on order,"已定(购)而尚未交货的
"
go over,"转变, 仔细检查, 润色, 复习"
go into action,"投入战斗, 行动起来"
be absorbed in,"全神贯注于, 专心于"
become absorbed in,无
die down,"枯萎, 凋谢"
complain of,"抱怨, 抗议"
as often as not,"往往, 多半"
to sb.'s credit,无
be in sympathy with,无
tire out,"na. 使疲倦到极度
"
stay on,继续停留
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
take down,"na. 扯下；卷起；记下；卸下
"
touch off,"na. 正确地表现；草草写；添画；发射
"
on the air,"在广播, 在电视中"
act for,代理
reply to,回答
to date,迄今为止
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
accede to,"同意,应诺;继承,加入"
assault on,猛然袭击
turn round,"转身, 转变, 改变意见, 采取新政策
"
draw into,"v. 诱使参加
"
check in,"登记, 报到
"
be alien to,与...不同
be sensitive to,"敏感, 灵敏"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
except for,"除...以外
"
be keen on,喜爱
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
turn back,"na. 同“turn down ”
"
coincide with,符合
compatible with, [医]adj.相容的，一致的
at fault,"感到困惑, 有故障"
to all appearances,就表面看来，显然
sink in,"完全被弄懂, 渗入, 透入"
add up to,合计达
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
step down,"na. 走下；退出；【电】下降；辞退
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
stir up,"v. 转播；重播；搅拌；煽动
"
talk down to,用高人一等的口气对人说话
be jealous of,妒嫉
at leisure,"na. 在闲暇中；从容不迫地；失业
"
extend to," （使）达到, 伸展到"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
graduate from,从...毕业
in perspective,"正确地, 显示在脑海中, 符合透视法地"
incur criticism,无
in proportion,"按实际重要性, 合乎情理地"
in proportion to,与...成比例
eliminate from,从…排除
on the go," 活跃, 忙个不停"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
allow for,"虑及, 体谅"
to the contrary,相反地
at a glance,"看一眼, 一下子"
nowhere near,离...很近
in and out,"进进出出, 弯弯曲曲"
on the alert,"警惕着, 防备着
"
take heart,振作
fix on,"确定, 决定"
land in,[网络] 着陆；在……着陆；在大地点着陆
step in,"走进, 干涉, 作短时间的非正式访问"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
at the instant of,无
be indicative of,"表示..., 提示..., 指示..., 暗示..."
team up,"合作, 协作"
make nothing of,"弄不懂, 不以...为意"
word for word,逐字地
explain away,"na. 巧辩过去
"
trade on,利用
trade upon,(为自私的目的)利用
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
come at,"袭击, 达到, 得到"
gender inequality,性别不平等
take a delight in,以…为乐; 喜欢
be worthy of,"值得,应得到"
plough through,"驶过,穿过,乘风破浪"
by reason of,"由于, 因为"
