a case in point,恰当的例子
invest in,"投资于, 买进"
junk mail,邮寄宣传品
keep off,"让开, 不接近"
keep one's promise,遵守诺言
keep track of,了解
keep up to date,[网络] 使跟上时代；跟上潮流；与时并进
keep ... in mind,"na. 记在心里；记住；注意
"
know about,"知道,了解,听说过…"
lash out,"痛打, 痛骂"
lash out at,"痛打,狠揍;痛斥,攻击"
laugh off,"v. 对…一笑置之
"
lay claim to,"要求, 坚持对...的所有权, 自以为"
lay out,"n. 布局；设计；规划；安排
"
lay stress on,"把重点放在, 在...上用力"
leaf through,"翻书页, 翻阅"
let out,[网络] 阿尔都塞思想的全部整体
let down,"na. 使失望；放下；丢面子
"
life span,[化] 使用期限; 有效期限
linger on,"停留,存留,逗留,拖延"
live out,"活过(某一段时间), 住在外面"
live up to,"实践, 做到"
log on,"[计] 注册, 登录, 登录入网"
look for a needle in a haystack,大海捞针
look into,"窥视, 浏览, 观察
"
look upon," 看作, 显得不错; 看待"
lose control of,失控
lose track of,失去线索
make a contribution to,为…作出贡献
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a mistake,犯错误
make an effort,作出努力
make an offer,"[经] 提供出售, 要价"
make contact with,与...联系
make do with,设法应付
make one's way,"前进, 行进, 成功, 发迹"
make over,"转让, 移交, 改造
"
make peace with,"v. 和…和好
"
make way for,"v. 让路
"
mark down,"记下, 标低价格
"
mark up,"把...标出, 标高价格
"
mediate in,无
mediate between,在…之间调解〔调停〕
miss out,"省掉, 遗漏, 漏述"
mop up,na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃
move up,"向前移动, 上升
"
mow down,"v. 杀死；扫杀
"
next to,几乎
not to be sneezed at,"不可轻视, 值得考虑"
now and then,偶尔
no wonder,不足为奇的
off the cuff,"即兴地, 非正式地"
on a large scale,大规模地
on file,"存档
"
on impulse,一时冲动
on no account,决不
on strike,在罢工
on the basis of,以...为基础
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the fast track,[口语]平步青云，飞黄腾达；迅速发展的(常指有所创新)
on the threshold of,"在…的开头,在…快要开始的时候,在…的前夕"
on the verge of,"接近于, 濒临于"
on oath,"发誓, 在誓言的约束下
"
under oath,"宣誓,发誓,凭誓言"
once again,再一次
once in a while,偶尔
orient to,使适应
orient toward,无
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
originate with,由某人发起
out of,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失"
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
overflow with,充满着
own up,坦白
palm off,[网络] 甩掉；用欺骗手段把…卖掉；用欺骗手段出售货物
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass over,"忽略, 省略, 不加考虑, 转交"
pay down,"当场支付, 用现金支付
"
peel off,"飞机离队俯冲目标, 飞机离队降落"
peg away at,"集中力量于,埋头做,孜孜从事"
persist in,"坚持, 固执于"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
pick to pieces,"na. 拆开；扯碎；〈比喻〉刻薄批评
"
pull to pieces,"na. 扯碎；批评得一文不值
"
pie in the sky,"死后的幸福, 渺茫的希望, 空头支票, 不能保证实现的允诺"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
"
play havoc with,"对...遭成严重破坏, 扰乱..."
play second fiddle to,当...的副手
poke fun at,取笑
poke one's nose into,探听
preside at,招待
preside over,"负责, 主持"
presume on,〈正〉不正当地利用〔滥用〕; 指望
prey on,"捕食, 掠夺"
prick up one's ears,竖起耳朵听
prop up,"na. (把…)撑住；给…撑腰
"
pull away,"脱身, 离开"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull together,齐心协力
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put over,"na. “put across”的变体；(船)渡过去；延期
"
put an end to,"结束, 终止"
put through,"na. 经受；测试；试验；使…通过
"
put a premium on,"奖励, 鼓励, 重视"
place a premium on,"诱发,鼓励"
rain cats and dogs,下倾盆大雨
raise money,"筹钱
"
range from A to B,无
rattle off,adv. 急促背诵地
rattle on,v. 喋喋不休地说; 开连珠炮
reach an agreement,达成协议
recover from,"恢复知觉, 恢复"
reel off,"na. 从纺车上把线拉出；(用茧)缫(丝)；滔滔不绝地讲
"
refrain from,"忍住, 节制, 戒除"
register for,"登记参加,报名参加"
rein in,"na. 勒住(马)；控制
"
remind sb. of,"v. 提醒
"
reside in,存在
result from,"由...产生
"
revolve around," 旋转, 绕转; 环绕"
ripe for,"时机成熟, 准备就绪"
run across,"偶遇, 跑着穿过"
run away with,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
"
run counter to,"违反, 背道而驰"
run low,"减少
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run riot,"跟错踪迹, 胡闹, 肆无忌惮, 茂盛"
run to,"跑向, 达到, 发展到, 趋向"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
set off,"na. 分；分割；划开；区划
"
scream for,强烈要求
see through,"na. 看穿；看透；识破；办好某事
"
seek out,"搜出, 挑出"
set apart,"使分离, 留出"
shove off,"开船, 离开"
show up,"na. 显眼；揭发；嘲笑；露面
"
shrug off,na. (耸肩)表示轻蔑
sign up for ..., 注册，选课；报名参加
smooth down,"弄平, 变平静"
snatch up, 夺取
sniff out,"na. 闻出；〈非正式〉发现
"
sober up,清醒起来
sort out,"na. 清理
"
spill out," 溢出, 洒出"
spit out,"na. 同“spit”
"
sponge off," （用海绵）拭去, 除去; 依赖…生活"
spy on,"侦查, 暗中监视"
stab in the back,[网络] 背后插刀；背后捅刀子；背后中伤
start up,"突然站起, 突然出现, 发动, 开动"
stay away from,不在，外出；走开；不接近，不打扰；避开
stay out,呆在户外
stick around,逗留
stumble across,偶然发现
stumble on,"无意中发现,偶然找到"
subject to,"v. 处于…中；使服从
"
submit to,"un. 使某人忍受某事:
"
subordinate to,使居次要地位；使从属，使隶属于
subscribe to,"预订, 同意, 订阅"
sue for,控告
suffice it to say,[网络] 我只能说；只要……就够了；姑且一
suffice it to say that,只要说…就够了，不用多说
sum up,"na. 〈口〉概括；总结
"
summon up,"振作, 鼓起"
sting in the tail,蝎、蜂等的刺；未料及的缺陷；令人不快的收场；(小说等)富有刺激性的结局
take a gamble,冒险从事(某事)
take aback," 使吃惊, 使惊呆"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take down,"na. 扯下；卷起；记下；卸下
"
take in stride,un. 发扬光大；大步前进；一步能轻易跳过
take in one's stride,轻而易举地做某事
take notice of, 注意到; 在意; 睬; 理睬
take office,就职
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take priority over,无
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"轮流, 依次"
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
talk sb. into doing,无
take the lead,"为首, 带头"
talk sense,"说话有道理
"
tangle with,"v. 吵架, 争论"
testify to,"证明,证实"
that sort of thing,那[这]一类的事情
tick away, 使（分秒）在滴答声中溜走
tick by,[网络] 勾选
tidy up,整理
tie up,"na. 绑；系；包扎；(船只)系泊
"
time and again,反复地
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
to all intents,无
to all intents and purposes,实际上
to and fro,来回
to one's heart's content,尽兴地
top out, 举行建筑物落成典礼; 达到最高点
trifle with,玩弄
tuck away,"na. 藏起
"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
"
tumble to,恍然大悟
turn a blind eye to,熟视无睹
turn into,[网络] 了解
up and down,"上下地, 到处"
vote for,"[法] 赞成, 投票赞成, 选举"
ward off,"v. 挡开；架开
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
wave aside,na. 挥手使站开；挥手拒绝
wear thin,"穿薄, 逐渐消失"
wear well,经久耐用
weed out,清除
weigh up,"na. 称量；称出；重得使另一头翘起来
"
weigh ... against ...,对…不利
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
wink at,"使眼色, 假装看不见"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
with a vengeance,"猛烈地, 极度地"
with a view to,"以...为目标
"
work with,"与…共事,与…协作"
yield to,"让步于,屈服于,向…投降"
a bit,一点儿；有一点儿
a great deal of,很多的
a great many,许许多多
add up,合计
after all,毕竟
agree on,"就…取得一致意见,商定"
aim at,"v. 目的在于
"
all kinds of,各种各样的
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
as a result,结果
as a result of,作为结果
as soon as,一...就
ask for,"na. 要(价)；来找
"
at best,"na. 充其量也不过
"
at first,起先
at least,"至少
"
at once,立刻
at the same time,"同时, 但是"
be about to,即将
be born with,"生来就有…,有…天赋"
be concerned about,关心...
be concerned with,"涉及..., 与...有关"
be different from,"与…不同,和…不一样"
be eager to,"盼望,渴望"
be familiar with,熟悉
be filled with,充满…
be fond of,"喜爱, 爱好"
be in hospital,在住院
be interested in,对…很感兴趣
be late for,迟到
be limited to,被限制在...上
be made up of,由...所组成
be patient with,对...有耐心
be prepared for,为…作好了准备
be proud of,"自豪, 高兴"
be ready to,准备…
be similar to,与...相似
be strict with,"对...严格, 对...严历"
be tired of,厌烦
be willing to,愿意(做)...
be worth doing,无
because of,因为
before long,不久以后
belong to,属于
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
bring up,"na. 抚养；教导；教育；在…长大
"
by the end of,"到…结束的时候,到…末"
by the way,"在途中, 顺便"
by way of,"经由, 作为, 为了
"
cannot help doing,v. 不得不做
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
care for,"喜欢, 照顾, 为...操心, 尊重"
catch one's breath,"喘息, 屏息"
catch up with,赶上
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
come after,跟在...后面
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
comment on,评论
complain of,"抱怨, 抗议"
complain about,抱怨
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
depend on,"依靠, 依赖"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
each other,彼此
earn money,赚钱
enjoy oneself,过得快乐
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,首先
for a moment,"一会儿,片刻"
for instance,"例如
"
for example,例如
get a fever,无
get on with, 继续（干某事）; 和…友好相处
get rid of,"摆脱, 除去"
give a hand,"un. 制住；帮着干一点
"
give in,"na. 让步；屈服；投降；上交
"
go abroad,出国
go hunting, 赶山；行猎；出猎；打猎
go sightseeing, 游览；游玩；观光
grow up,"成熟, 成年, 发展, 逐渐形成"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
have on,"v. 戏弄
"
hold one's breath,屏息
hurry up,"赶快, 匆匆完成"
at home and abroad,国内外
in a hurry,匆忙
in a minute,"马上, 立刻"
in a moment,立刻
in all,"总共
"
in fact,"事实上
"
in front of,在...前面
in order to, 为了…
in the distance,在远处
in the end,"最后, 终于"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
keep a diary,v. 写日记
keep up with,"跟上
"
keep in touch with,与...保持联络
get in touch with,与...联系
kill time,消磨时间
lack of, 缺乏
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
long before,在...以前很久
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
lose weight,体重减轻
make a decision,作决定
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make money,"挣钱
"
make way,"na. 进步
"
more or less,或多或少
neither ... nor,[网络] 既不……也不；两者都不；均不
no longer,不再
not at all,一点也不
not only ... but also,[网络] 不仅……而且；不但而且；两个不仅……而且
on earth,"在世上, 究竟"
on the other hand,另一方面
on time,"准时
"
on vacation,"在度假,在假期"
one after another,"接连地
"
one another,彼此
pay attention to,注意
play a role in,在...起作用
plenty of,许多的
prefer to,"un. 较喜欢；宁愿:
"
prevent ... from,"阻止, 妨碍"
put on,"na. 假话
"
quite a few,相当多的
regard as,把...认作
right away,立刻
run away,"潜逃
"
search for,搜查
see off,"na. 送行；送别；告别；赶走
"
send out,"na. “send forth”的变体
"
sense of humor, 幽默感
set off,"na. 分；分割；划开；区划
"
set up,"na. 建立；创立；发起；开办
"
so as to,"使得, 以致"
so ... as to,"使得, 以致"
so far as,"远至…;就…来说,在…范围内,至于"
so long as,只要
so that,所以
so ... that,所以
speak to,"对...说话, 说到, 责备, 证明"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
succeed in,在...方面成功
such as,"例如..., 像这种的"
take action,"采取行动, 提出诉讼"
take care of,"照顾
"
take care," 当心, 小心; 坚持到底"
take notes,作笔记
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take place,"na. 发生；举行
"
take sth. for granted, 信以为然
take ... as,"把...看作是..., 把...当作是..."
take ... for,"认为, 以为
"
tell a lie,说谎话
the same as,"与...相同, 与...一致"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think over,"v. 仔细考虑
"
traffic jam,"塞车, 交通阻塞"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn up,"v. 朝上翻；出现
"
wait for,"na. 等；等待
"
watch out,"密切注意, 当心, 戒备, 提防"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
a bit,一点儿；有一点儿
a great deal of,很多的
a great many,许许多多
after all,毕竟
agree on,"就…取得一致意见,商定"
aim at,"v. 目的在于
"
all along,"始终, 一直"
all kinds of,各种各样的
and so on,等等
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
as a result,结果
as a result of,作为结果
as soon as,一...就
as usual,照常
ask for,"na. 要(价)；来找
"
at any rate,"无论如何, 至少"
at any time,任何时候
at best,"na. 充其量也不过
"
at first,起先
at least,"至少
"
at once,立刻
at the same time,"同时, 但是"
be about to,即将
be concerned about,关心...
be concerned with,"涉及..., 与...有关"
be different from,"与…不同,和…不一样"
be eager to,"盼望,渴望"
be fond of,"喜爱, 爱好"
be friends with,与...交友
be late for,迟到
be limited to,被限制在...上
be made up of,由...所组成
be on the job,无
be out of date,日久失效
be out of temper,无
be out of work,[网络] 失业；砸饭碗；工作的人已经失业
be prepared for,为…作好了准备
be proud of,"自豪, 高兴"
be ready to,准备…
be similar to,与...相似
be strict with,"对...严格, 对...严历"
be tired of,厌烦
be worth doing,无
be worthy of,"值得,应得到"
because of,因为
belong to,属于
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
bring up,"na. 抚养；教导；教育；在…长大
"
by the way,"在途中, 顺便"
by way of,"经由, 作为, 为了
"
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
catch one's breath,"喘息, 屏息"
catch up with,赶上
change one's mind,"改变主意
"
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
complain of,"抱怨, 抗议"
complain about,抱怨
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
depend on,"依靠, 依赖"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
each other,彼此
enjoy oneself,过得快乐
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,首先
follow one's advice,无
for ever,"永远, 老是"
for instance,"例如
"
for example,例如
get a fever,无
get in touch with,与...联系
get on with, 继续（干某事）; 和…友好相处
get rid of,"摆脱, 除去"
give in,"na. 让步；屈服；投降；上交
"
give up,"na. 放弃；断绝；投降；自首
"
go hunting, 赶山；行猎；出猎；打猎
go sightseeing, 游览；游玩；观光
grow up,"成熟, 成年, 发展, 逐渐形成"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
have no idea, 不知道，不了解; 没谱儿
have on,"v. 戏弄
"
hold one's breath,屏息
hurry up,"赶快, 匆匆完成"
in a hurry,匆忙
in all,"总共
"
in fact,"事实上
"
in front of,在...前面
in general,大多数
in memory of,纪念...
in order to, 为了…
in person,"亲自, 外貌上
"
in practice,"在实践中, 实际上, 熟练"
in the distance,在远处
in the end,"最后, 终于"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
instead of,代替
keep up with,"跟上
"
kill time,消磨时间
lack of, 缺乏
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
listen in,"收听, 监听, 偷听
"
little by little,渐渐
live on,"继续生活, 以...为主食, 靠...生活"
long for,渴望
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
lose weight,体重减轻
make a decision,作决定
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make ready,准备好
make way,"na. 进步
"
many a,[地名] 马尼亚河 ( 俄 )
more or less,或多或少
neither ... nor,[网络] 既不……也不；两者都不；均不
night and day,夜以继日
no longer,不再
not at all,一点也不
not only ... but also,[网络] 不仅……而且；不但而且；两个不仅……而且
nothing but,只
of late,最近
on record,"记录在案, 在历史记录中
"
on the eve of,在…的前夕
on the other hand,另一方面
on time,"准时
"
one another,彼此
or else,否则
owing to,"由于..., 因为..."
pay attention to,注意
prefer to,"un. 较喜欢；宁愿:
"
prevent ... from,"阻止, 妨碍"
put on,"na. 假话
"
regard as,把...认作
rely on,"依赖, 依靠"
right away,立刻
run away,"潜逃
"
send out,"na. “send forth”的变体
"
set off,"na. 分；分割；划开；区划
"
set up,"na. 建立；创立；发起；开办
"
so as to,"使得, 以致"
so far as,"远至…;就…来说,在…范围内,至于"
so long as,只要
so that,所以
so ... that,所以
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
succeed in,在...方面成功
such as,"例如..., 像这种的"
take care of,"照顾
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take part in,"参与, 参加
"
take place,"na. 发生；举行
"
take sth. for granted, 信以为然
take ... as,"把...看作是..., 把...当作是..."
take ... for,"认为, 以为
"
tell a lie,说谎话
thanks to,由于
the same as,"与...相同, 与...一致"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think over,"v. 仔细考虑
"
traffic jam,"塞车, 交通阻塞"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn up,"v. 朝上翻；出现
"
use up,"na. 用完；耗尽
"
wait for,"na. 等；等待
"
watch out,"密切注意, 当心, 戒备, 提防"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
