preceding,"a. 在前的, 前面的
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
impatience,"n. 性急, 难耐, 焦急, 急躁"
shun,"vt. 避开, 规避, 避免"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
cliff,"n. 悬崖, 绝壁"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
deface,"vt. 损伤外观
"
hither,"a. 这边的, 在这边的
adv. 向这边, 向此处"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
locks,n. 锁；水闸；锁定器（lock的复数）
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
brink,"n. 边缘, 陡岸"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
entreat,"v. 恳求, 乞求"
cherish,"vt. 珍爱, 怀有, 爱护"
vigour,"n. 精力, 活力, 力量, 效力, 气势"
formerly,"adv. 从前, 以前"
alas,interj. 唉
smite,"vt. 重击, 打, 击败, 毁灭, 侵袭, 打动
vi. 重击, 打
n. 重击, 打"
with all one's heart,"全心全意地, 十分愿意地"
hands off,请勿动手
the recesses of sth.,无
tear sb. away,"na. 撕掉；扯开；飞跑
"
by degrees,"逐渐地
"
pine away,"消瘦, 憔悴"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
beak,"n. 鸟嘴, 喙
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
northwards,adv. 向北方
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
overjoyed,"a. 狂喜的, 非常高兴的"
