species,"n. 种, 类, 外形
"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
ridge,"n. 脊, 山脊, 山脉
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
sedimentary,"a. 沉渣的, 沉淀物的, 由沉淀物所生成的
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
silt,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
skyscraper,"n. 摩天楼, 三角形天帆"
subsequent,"a. 后来的, 接下去的
"
thereby,adv. 因此
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
vertical,"a. 垂直的, 直立的
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
acoustic,"a. 听觉的, 声学的, 音响的
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
argument,"n. 争论, 论证, 论据, 自变量
"
ash,"n. 灰, 灰烬
"
chivalry,"n. 骑士精神, 骑士制度"
competitive,"a. 竞争的
"
conventional,"a. 传统的, 习惯的, 约定的
"
countercurrent,"n. 逆流, 反流, 逆电流
"
criticize,"v. 批评, 吹毛求疵, 非难"
crucial,"a. 决定性的, 重要的, 严厉的
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
domestic,"a. 家庭的, 国内的, 驯养的
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
endanger,"vt. 危及
"
fern,"n. 蕨类植物
"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
heater,"n. 加热器, 灯丝, 加热工
"
hummingbird,n. 蜂鸟
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
invasion,"n. 侵犯, 侵入, 侵害
"
latitude,"n. 纬度, 范围
"
Martian,"n. 火星人
a. 火星的"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
neighboring,"a. 附近的, 邻近的, 邻接的"
parchment,"n. 羊皮纸, 毕业文凭, 学位证书"
perceptual,"a. 知觉的, 有知觉的"
performer,"n. 表演者, 执行者, 完成者
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
predictable,a. 可预言的
producer,"n. 生产者, 制作者, 制作人
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
restrict,"vt. 限制, 限定, 约束
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
symbiotic,"a. 共栖的, 共生的
"
underlie,"vt. 位于...之下, 成为...的基础"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
background,"n. 背景, 背景资料
"
beach,n. 海滩
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
communal,"a. 公有的, 公社的
"
conservation,"n. 保护, 保存
"
distract,"vt. 转移, 分心, 使发狂"
disturbance,"n. 扰乱, 不安, 忧虑
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
earthenware,"n. 陶器
"
economics,"n. 经济学
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fireplace,n. 壁炉
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
inland,"a. 内陆的, 国内的
n. 内地"
install,"vt. 安装, 安置, 使就职
"
isotope,"n. 同位素
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
migratory,"a. 迁移的, 流浪的"
mound,"n. 土墩, 堤, 小山
vt. 筑堤, 用土堆防卫
vi. 积成堆"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
occurrence,"n. 发生, 事件, 出现
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
outdoor,"a. 户外的, 屋外的, 露天的"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
pigment,"n. 色素, 色质, 颜料
"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
preference,"n. 偏爱, 优先, 喜爱物
"
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
residential,"a. 住宅的, 与居住有关的
"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
sufficiently,"adv. 足够, 充分"
tremendous,"a. 巨大的, 非常的, 可怕的"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
wetland,"n. 湿地, 沼泽地
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
behavioral,a. 行为的
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
collide,"vi. 碰撞, 互撞, 抵触"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
consequently,adv. 所以
convey,"vt. 传达, 运输, 转让
"
criterion,"n. 标准, 准则, 规范
"
debris,"n. 碎片, 残骸
"
decompose,"v. 分解, (使)腐烂"
decomposition,"n. 分解, 腐败, 变质
"
deficient,"a. 不足的, 不充分的, 有缺陷的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
discourage,"vt. 使气馁, 阻碍"
elevator,"n. 电梯, 升降机
"
engraving,"n. 雕刻, 镌版术, 雕版"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
equator,"n. 赤道
"
excavate,"v. 挖空, 挖出, 凿通"
expressive,"a. 表达的, 富于表情的"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
flora,"n. 植物群
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
functional,"a. 功能的
"
gravel,"n. 砂砾, 碎石
"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
guild,"n. 团体, 协会, 行业协会
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
iceberg,"n. 冰山, 冷冰冰的人"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
ingredient,"n. 成分, 因素
"
intensify,"vt. 加强
vi. 强化"
larva,"n. 幼虫
"
latter,"a. 后者的, 较后的, 近来的"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
partly,"adv. 部分地, 在一定程度上"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
permeability,"n. 渗透性, 可透性, 磁导率
"
pesticide,"n. 杀虫剂
"
pheromone,[化] 性外激素; 信息激素
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
seepage,"n. 渗漏, 渗出物
"
semiarid,"a. 雨量非常少的, 半干旱的"
sociologist,"n. 社会学家
"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
specimen,"n. 样品, 标本, 试料
"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
structural,"a. 结构的, 建筑的
"
sunspot,"n. 太阳黑子, 雀斑"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
unity,"n. 一致, 联合, 单一(性), 个体
"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
accelerate,"v. 加速, 促进"
accustom,vt. 使习惯于
acorn,"n. 橡树果实
"
airway,"n. 空中航线, 风道
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
calculation,"n. 计算, 考虑, 计算的结果
"
camel,"n. 骆驼, 打捞浮筒"
centralize,"vt. 集聚, 集中, 施行中央集权
vi. 集中"
charcoal,"n. 木炭
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
comparatively,"adv. 比较地, 相对地"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
consumption,"n. 消费, 消费量, 痨病
"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
criticism,"n. 批评, 评论, 非难
"
crystalline,a. 透明的；水晶般的；水晶制的
deficiency,"n. 缺乏, 不足
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
diminish,"v. (使)减少, (使)变小"
disclaimer,"n. 放弃, 拒负责任, 不承诺
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
facility,"n. 容易, 灵巧, 设备
"
fauna,"n. 动物群
"
firn,"n. 粒雪, 积雪"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fossilization,"n. 化石化, 固定化, 使陈腐"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
gravitational,a. 重力的
herbivore,n. 草食动物
immigrant,"n. 移民
a. 移入的, 移民的"
insulate,"vt. 使绝缘, 隔离
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
interval,"n. 间隔, 距离, 间歇, 间隙
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
mesa,"n. 台面, 岩滩, 平顶山"
metabolic,"a. 变化的, 变形的, 新陈代谢的
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
navigation,"n. 航行, 航海, 导航
"
nucleus,"n. 核心, 核子, 原子核, 起点
"
outflow,"n. 流出, 流出物
"
palimpsest,"n. 重写本, 覆画"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poster,"n. 海报, 招贴, 驿马"
primate,"n. 大主教, 灵长目动物
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
proxy,"n. 代理, 代理人, 委托书
"
readily,"adv. 迅速地, 轻易地, 乐意地"
representation,"n. 表示法, 表现, 陈述, 代表
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
sandy,"a. 沙的, 沙地的, 多沙的"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
seafloor,n. 海底
southward,"n. 朝南的方向(或地点、地区)
a. 在南方的, 往南方的
adv. 往南"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
sufficient,"a. 充分的, 足够的
"
suggestion,"n. 提议, 意见
"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
theme,"n. 主题, 话题, 题目"
timber,"n. 木材, 木料
vt. 用木材建造"
tolerate,"vt. 宽容, 容许, 有耐力"
trader,"n. 商人, 商船
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
ultimately,"adv. 最后, 最终
"
upward,"a. 向上的
adv. 以上"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
warbler,"n. 女歌手, 刺嘴莺"
ware,"n. 物品, 器具, 货物, 商品, 陶器
vt. 留心, 小心
a. 知道的, 意识到的, 留神的"
withstand,"vt. 抵住, 顶住, 经得起"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
anaerobic,"a. 厌氧的, 在缺氧情况下生活的
"
approval,"n. 赞成, 批准
"
artwork,"n. 插图, 艺术作品
"
atmospheric,"a. 大气的
"
biodiversity,n. 生物多样性
blend,"vt. 混合
n. 混合"
buffalo,"n. 水牛
"
burial,"n. 埋葬, 葬礼
"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
cargo,"n. 货物
"
caterpillar,"n. 毛虫
"
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
conscious,"a. 有意识的, 知觉的, 觉察的
"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
convention,"n. 大会, 协定, 惯例, 约定
"
diaphragm,"n. 横隔膜, (摄影机的)光圈
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
engrave,"vt. 刻上, 雕刻, 铭记"
equilibrium,"n. 平衡, 平静, 均衡
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
experimental,"a. 实验的, 根据实验的
"
explorer,"n. 探险家, 探测者, 勘探器
"
facilitate,"vt. 使容易, 促进, 帮助
"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
hind,"n. 雌鹿
a. 后部的, 在后的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
influential,"a. 有影响的, 有势力的"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
intervention,"n. 插入, 介入, 调停
"
investigator,"n. 调查者, 审查者
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
isolation,"n. 隔绝, 孤立, 隔离
"
lane,"n. 小路, 巷, 弄, 单行道"
mathematical,"a. 数学的, 精确的
"
meteor,"n. 流星, 大气现象"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
nutritious,"a. 滋养的, 营养的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
presumably,"adv. 推测上, 大概"
primatology,n. 灵长目动物学
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
realism,"n. 写实主义, 现实, 实在论
"
reconstruct,"vt. 重建, 改造
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
rend,"vt. 分裂, 劈开, 强夺, 撕碎, 划破
vi. 撕开, 裂开"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
satellite,"n. 人造卫星
"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
spectrum,"n. 光谱, 范围, 系列
"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
systematic,"a. 有系统的, 分类上的, 体系的
"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
tropic,n. 回归线
turnpike,"n. 收税栅, 收税路, 收税高速公路, 公路, 大道"
undoubtedly,"adv. 无疑, 必定, 确实地"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
veto,"n. 否决权
vt. 否决, 禁止"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
adjacent,"a. 毗连的, 邻近的, 连接的
"
alpine,"a. 高山的, 高山生长的"
analyst,"n. 分析者, 精神分析学家
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
buzzer,"n. 嗡嗡作声的东西, 蜂音器
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
career,"n. 事业, 生涯, 成功
"
carpenter,n. 木匠
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
ceremonial,"n. 仪式
a. 正式的"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
circulate,"v. (使)流通, (使)循环, (使)传播"
cite,"vt. 引用, 引证, 表彰
"
clump,"n. 丛, 块, 笨重的脚步声
"
collagen,"n. 胶原
"
constitute,"vt. 构成, 组成, 任命
"
controversial,"a. 争论的, 论争的, 被议论的"
corporation,"n. 公司, 合作, 法人团体
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
desirable,"a. 令人想望的, 可取的"
diagram,n. 图表；图解
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
domestication,"n. 驯养, 教化"
downward,a. 向下的
duration,"n. 持续时间, 持续
"
emission,"n. 发射, 射出, 发行
"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exhibitor,"n. (展览会的)参加者, 电影院经理, 电影院老板, 电影放映者, 展出者
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
feedback,"n. 反馈, 反应
"
fossilize,"vt. 使成化石, 使陈腐
vi. 变成化石, 变陈腐"
geocentric,"a. 以地球为中心的, 由地球中心所见成测量的"
geographical,"a. 地理学的, 地理的"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
hemp,"n. 大麻烟卷, 大麻, 麻类植物
"
hydroponics,"n. 水耕法, 水栽培"
hypothalamus,"n. 丘脑下部
"
identical,"a. 同一的, 恒等的, 完全相同的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
illusion,"n. 幻影, 错觉, 幻想
"
instruction,"n. 指令, 教导, 命令
"
interglacial,a. 间冰期的
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
logical,"a. 合乎逻辑的, 合理的
"
matrix,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵
"
melody,"n. 曲子, 美妙音乐, 曲调"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
pollination,"n. 授粉
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
printer,"n. 印刷工, 打印机
"
