accustomed,"a. 惯常的, 习惯了的"
hub,"n. 毂, 木片, 中心
"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
hypocrisy,"n. 伪善
"
infidelity,"n. 不信神, 无信仰, 背信"
instinct,"n. 本能, 直觉
a. 充满着的"
intuition,"n. 直觉, 直觉的知识"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
legacy,"n. 祖先传下来之物, 遗赠物
"
legitimacy,"n. 合法, 正统, 正当
"
lieutenant,"n. 中尉, 助理人员, 副官"
limelight,"n. 石灰光, 石灰光灯, 以石灰光灯照射的舞台
vt. 使受到注目, 使显露头角"
literacy,"n. 读写能力, 识字, 精通文学"
loophole,"n. 枪眼, 小窗, 换气孔"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
lyrics,n. 歌词
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
mania,"n. 狂躁, 热衷, 狂热
"
manipulation,"n. 操作, 处理
"
mayhem,"n. 蓄意的破坏, 故意的伤害罪
"
melodrama,"n. 音乐剧, 传奇剧, 戏剧似的事件"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
moderation,"n. 缓和, 适度, 温和
"
namesake,"n. 同名人, 同名物"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
obsession,"n. 困扰, 困扰人的情绪
"
onset,"n. 开始, 攻击, 进攻
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
predator,"n. 食肉动物, 掠夺者
"
predicament,"n. 处境, 穷境, 困局"
prohibition,"n. 禁令, 禁止"
prophet,"n. 预言者, 先知, 提倡者"
prototype,"n. 原型
"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
retaliation,"n. 报复
"
reversion,"n. 回复, 复原, 归还, 继承权
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
sensation,"n. 感觉, 轰动
"
setback,"n. 挫折, 退步, 逆流"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
spoiler,"n. 掠夺者, 搞坏事情的人, 宠坏别人的人"
stagnation,"n. 淤塞, 停滞
"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
stewardship,"n. steward的职务, 管理工作"
stigma,"n. 耻辱, 污名, 烙印
"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
symptom,"n. 症状, 征候, 征兆
"
threshold,"n. 门槛, 入口, 开端, 阈
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transmission,"n. 传输, 传送, 变速器
"
treason,"n. 叛逆, 不忠, 叛国罪
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
velocity,"n. 速度, 迅速
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
watershed,"n. 流域, 分水岭
"
windfall,"n. 被风吹落的果子, 横财
"
abysmal,"a. 深不可测的, 无底的"
all-out,竭尽全力
antagonistic,"a. 对抗的, 敌对的
"
apace,"adv. 快速地, 急速地"
appalling,"a. 骇人的, 令人震惊的"
astute,"a. 敏锐的, 狡猾的"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
ballistic,"a. 弹道的
"
go ballistic," 大怒, 暴跳如雷"
benign,"a. 善良的, 良性的
"
breezy,"a. 有微风的, 通风好的, 活泼的"
bulky,"a. 庞大的
"
cameo,n. 刻有浮雕的宝石或贝壳
canny,"a. 精明的, 谨慎的, 节约的"
chagrined,"a. 懊恼的, 苦恼的
v. 使懊恼, 使懊丧, 使悔恨( chagrin的过去式和过去分词 )"
comely,"a. 清秀的, 标致的, 美丽的"
consecutive,"a. 连续的, 联贯的
"
cutthroat,"n. 凶手, 谋杀者
a. 杀人的, 残酷的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
deadpan,n. 无表情的脸
demure,"a. 装成端庄的, 假正经的, 娴静的"
dubious,"a. 可疑的, 不确定的"
edgy,"a. 刀口锐利的, 尖利的, 急躁的"
eerily,a. 怪诞的；奇异的；可怕的
engaging,"a. 动人的, 迷人的, 有魅力的"
engrossing,"a. 引人入胜的, 非常引人注意的, 趣味无穷的, 很有趣味的
"
feisty,"a. 激动的, 活跃的, 好争吵的, 坐立不安的"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
grass-roots,"乡村地区, 乡村民众, 基层, 基础"
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
invincible,"a. 不能征服的, 无敌的"
lackluster,"a. 没有光泽的, 无生气的, 平凡的
n. 无光泽, 无生气, 暗淡"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
nascent,"a. 发生中的, 开始存在的, 初期的
"
nimble,"a. 敏捷的, 伶俐的, 聪明的"
no-holds-barred,不受清规戒律约束的
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
ostensible,"a. 表面的, 假装的, 看得出的
"
palatable,"a. 美味的, 好吃的, 可口的
"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
provisional,"a. 暂时的, 暂定的, 临时的
"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
resilient,"a. 弹回的, 有弹力的
"
riveting,"a. 非常有趣的, 引人注目的
"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
saturated,"a. 饱和的, 渗透的
"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
seamless,"a. 无缝的, 无缝合线的
"
sinister,"a. 不吉利的, 凶恶的, 左边的
"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
torrential,"a. 奔流的, 急流的, 猛烈的"
trailblazing,"领导性的, 带头的"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
unfathomable,"a. 莫测高深的, 深不可测的, 无底的"
unfettered,"a. 自由自在的, 无拘无束的"
unscrupulous,"a. 无道德原则的, 不审慎的, 肆无忌惮的"
virtuoso,n. 艺术品鉴赏家
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
wayward,"a. 任性的, 难以捉摸的, 不稳定的, 刚愎的
"
whizzy,a. 采用最新技术的
wistful,"a. 渴望的, 想望的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abscond,"vi. 潜逃, 逃匿
"
adapt,"vt. 使适应, 改编
vi. 适应"
aggravate,"vt. 使恶化, 使更严重, 加重"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
assail,"vt. 攻击, 质问
"
beef up,"v. 加强
"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
brandish,"vt. 挥, 挥舞
n. 挥舞"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
brush aside,"扫除, 漠视"
chasten,vt. 惩罚；磨炼；抑制
chide,"v. 斥责, 责骂"
churn out,"na. “churn”的变体
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
clobber,"n. 衣服, (鞋匠用来掩饰皮革缝的)软膏
vt. 痛打, 击倒, 拉垮"
coincide,"vi. 一致, 符合
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
dabble,"vi. 玩水, 拨弄, 涉猎
vt. 溅湿"
debilitate,vt. 使衰弱
decry,"vt. 反对, 责难, 诽谤, 诋毁"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
despise,vt. 轻视
dissemble,"v. 掩饰, 假装不知道"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
diversify,"vt. 使多样化, 使变化"
don,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
elude,"vt. 逃避, 规避, 把...难倒"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
epitomize,"vt. 摘要, 概括"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
extol,"vt. 颂扬, 称赞, 吹捧"
extoll,"vt. 赞美, 吹捧, 颂扬"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
flush out,"na. 同“flush”
"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
garner,"n. 谷仓, 积蓄
vt. 储存, 贮藏"
gobble,"n. 火鸡叫声
vt. 狼吞虎咽
vi. 贪食, 咯咯叫"
gobble up,"na. 同“gobble ”
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
gridlock,"n. 交通全面大堵塞; 僵局
v. （交通等）堵塞"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
hurtle,"vi. 猛冲, 碰撞, 突进
vt. 猛撞, 猛投
n. 投掷, 碰撞, 碰撞声"
impede,"vt. 妨碍, 阻碍, 阻止"
indict,"vt. 起诉, 控告, 指控
"
infringe,"v. 破坏, 侵犯, 违反"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
languish,"vi. 憔悴, 凋萎, 苦思"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
molest,"vt. 妨碍, 干扰, 调戏
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
nudge,"n. 用肘轻推, 推动, 讨厌家伙"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
peg,"n. 钉, 桩, 栓, 藉口, 销子, 借口
vt. 钉木钉, 固定, 限制, 使受约束
vi. 坚持不懈地奋力于, 疾行"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
revile,"v. 辱骂, 斥责"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
shell out,"交付, 支付"
simulate,"vt. 模拟, 假装, 模仿
"
solicit,"v. 请求, 乞求, 招揽, 征求"
spawn,"n. (鱼)卵, 产物
vt. 产卵, 酿成, 大量生产
vi. 产卵, 大量生产"
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
torpedo,"n. 鱼雷, 水雷, 地雷
vt. 用鱼雷袭击, 破坏"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
usher in,"na. 迎接(来客)；传报
"
vilify,"vt. 诽谤, 贬低
"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
advent,"n. 来到, 来临"
animosity,"n. 仇恨, 憎恶, 敌意"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
aura,"n. 气氛, 气味
"
behemoth,n. 庞然大物
bulwark,"n. 保障, 壁垒, 防波堤"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
carnage,"n. 大屠杀, 残杀"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
censure,"n. 责难
vt. 非难, 指责"
charisma,"n. 非凡的领导力, 神秘的个人魅力, 神授的能力"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
conglomerate,"a. 聚成球形的, 砾岩性的
n. 集成物, 混合体, 砾岩
v. (使)凝聚成团"
contingency,"n. 偶然性, 可能性, 意外事故
"
contraption,"n. 奇妙的装置, 稀奇古怪的玩意儿, 新发明的玩意儿, 外形奇怪的机器/装置"
corridor,"n. 走廊, 回廊, 人口密集地带"
coup,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变
"
dearth,"n. 缺乏, 粮食不足, 饥馑"
detractor,"n. 毁损者, 贬低者"
dominion,"n. 领土, 主权, 统治
"
downsizing,[计] 小型化
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
errand,"n. 任务, 差使, 使命"
ethnic group,"种族群,种族集团"
excursion,"n. 远足, 游览圆, 短程旅行
"
fad,"n. 时尚
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
gadget,"n. 小配件, 小玩意, 诡计"
gambit,"n. 以取得优势的开局棋法, 开场白, 话题"
geek,n. 做低级滑稽表演的人
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
handler,"n. 处理者, 操作者, 拳击教练
"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
heretic,"n. 异教徒, 异端者"
holdout,"n. 抵抗, 坚持, 支持"
hook-up,以钩钩住
iconoclast,"n. 反对偶象崇拜者, 提倡打破旧习的人"
indignity,"n. 侮辱
"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
interlocutor,"n. 对话者, 谈话者"
juggernaut,n. 世界主宰
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
minimalism,"最低纲领,极保守行动"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
novice,"n. 新手, 初学者"
omniscience,"n. 全知, 全知者, 无所不知"
outlay,"n. 费用, 经费, 支出
vt. 花费"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
pariah,"n. 贱民(印度的最低阶级), 被放逐者"
pestilence,"n. 瘟疫, 散布毒害的事物, 罪恶
"
pilgrimage,"n. 朝圣, 漫游, 人生的一段经历
vi. 朝拜, 朝圣, 漫游"
ploy,"n. 手段, 活动, 玩乐"
precursor,"n. 先驱者, 前导, 前兆
"
prowess,"n. 英勇, 勇敢, 超凡技术"
pundit,"n. 学者, 梵文学者, 博学的印度人, 权威"
qualm,"n. 晕眩, 不安, 疑虑
"
rancor,"n. 敌意, 深仇"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
redoubt,"n. 多面堡, 防御阵地"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
reprimand,"n. 谴责, 惩戒, 非难
vt. 谴责, 惩戒, 严责"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
shackles,"n. 手铐, 脚镣；塞古"
spin-off,"na. 母公司收回子公司全部股本使之脱离的做法；有用的副产品
"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
tabloid,"n. 小报, 小型画报, 药片, 文摘
a. 轰动性的, 扼要的, 缩略的, 小报式的"
thrall,"n. 奴隶, 束缚, 奴役"
traction,"n. 曳, 牵引, 牵引力
"
trauma,"n. 外伤, 损伤
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
venue,"n. 犯罪地点, 审判地, 发生地点"
volatility,"n. 挥发性, 挥发度, 轻快, 易变, 短暂
"
write-off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
