enable,"vt. 使能够
"
skiing,"n. 滑雪运动, 滑雪术"
soccer,n. 英式足球
fitness center,"健康中心,健身房"
sauna,n. 桑拿浴
family reunion,"合家欢聚,家族团聚"
quiz show, 智力竞赛节目
folk art, 民间艺术
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
oil painting, 油画
comedy,"n. 喜剧, 有趣的事情"
drama,"n. 戏剧, 戏剧艺术"
ballet,n. 芭蕾舞
symphony orchestra,n. 交响乐团
pop music,abbr. popular music 流行音乐
costume,"n. 装束, 服装"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
academy,"n. 学院, 院校, 学会"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
nursery school,幼儿园
coeducational,a. 男女合校的
popularity,"n. 名声, 受大众欢迎, 流行"
practicality,"n. 实际性, 实用性, 实际事物"
admission,"n. 准许进入, 入场费, 录用, 承认
"
deadline,"n. 最后期限, 截止期限
"
tuition,"n. 学费, 讲授"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
semester,n. 学期
elementary,"a. 初步的, 基本的
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
instruct,"vt. 教, 教育, 命令, 通知
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
facilitate,"vt. 使容易, 促进, 帮助
"
curriculum,"n. 课程
"
optional,"a. 可选择的, 随意的
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scholarship,"n. 学问, 学术成就, 奖学金"
apply,"vt. 涂, 应用
vi. 申请, 适用"
applicant,"n. 申请者
"
background,"n. 背景, 背景资料
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
fame,"n. 名望, 名声, 传说"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
elite,"n. 精华, 精锐, 中坚分子"
alumnus,"n. 男毕业生, 男校友"
prestige,"n. 声望, 威望, 威信
"
self-assessment, [财]自我评税; [体]自我评价
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
diploma,"n. 文凭, 毕业证书
"
ability,"n. 能力, 才干
"
achievement,"n. 完成, 成就, 功业"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
evaluate,"vt. 评估, 评价, 赋值"
ambition,"n. 野心, 志向"
requirement,"n. 需求, 必要条件, 要求
"
talent,"n. 天才, 才能, 有才干的人, 天资"
mediocrity,"n. 平常, 平庸之才"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
dogma,n. 教条
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
amateur,"n. 业余爱好者, 外行, 爱好者
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
interaction,"n. 交互作用, 交感
"
specialise,"vt. 特加指明, 列举, 使专门化, 限定...的范围
vt.vi. (使)特化, (使)专化
vi. 成为专家, 专务, 专攻, 专门研究, 逐条详述"
expertise,"n. 专家意见, 专门技术
"
bibliography,"n. 参考书目
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
absence,"n. 缺席, 缺乏, 没有
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
aggression,"n. 侵犯, 侵略
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
ethic,"n. 道德规范, 伦理"
origin,"n. 起源, 起因, 出身, 开端
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
controversy,"n. 论争, 辩论, 论战, 争论
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
privacy,"n. 隐私, 隐居, 秘密
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morality,"n. 道德, 教训, 品行
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
heir,"n. 继承人, 嗣子, 后嗣
"
traditional,"a. 传统的, 惯例的
"
literacy,"n. 读写能力, 识字, 精通文学"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
literature,"n. 文学, 文艺, 著作
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
humanity,"n. 人性, 人类, 博爱"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civilise,"vt. 开化, 使文明, (非正式)教化, 使文雅, 教育, 教导
vi. 变成文明社会"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
dominate,"v. 支配, 占优势"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
dedication,"n. 奉献, 献身, 献辞
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
derive,"vt. 得自
vi. 起源"
bilingual,a. 双语的
multilingual,a. 多语言的
fluent,"a. 流利的, 流畅的"
dialect,"n. 方言, 同源语"
acquire,"vt. 获得, 学到
"
racial,"a. 人种的, 种族的
"
immigrant,"n. 移民
a. 移入的, 移民的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
critic,"n. 批评家, 鉴定家"
renowned,"a. 有名的, 有声誉的"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contempt,"n. 轻视, 轻蔑
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
insight,"n. 察看, 洞察力, 见识
"
convey,"vt. 传达, 运输, 转让
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
depict,"vt. 描述, 描写"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
edition,"n. 版本, 版, 翻版"
novelist,n. 小说家
journal,"n. 日记, 杂志, 日报
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
prevalent,"a. 普遍的, 流行的"
collaborate,"vi. 合作, 勾结
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
pray,"v. 祈祷, 恳求, 请"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
doctrine,"n. 教条, 学说
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
emergency room,"急诊室,急救室"
ambulance,"n. 救护车
"
inject,"vt. 注射, 注入, 使入轨
"
vaccinate,v. 预防接种
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
lifespan,n. 预期生命期限；寿命；预期使用期限
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
replace,"vt. 代替, 替换, 放回, 归还
"
kidney,"n. 肾, 个性
"
lung,"n. 肺, 肺脏, 空地
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
therapy,"n. 治疗
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
diagnose,v. 诊断
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
symptom,"n. 症状, 征候, 征兆
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
infect,"vt. 传染, 感染
"
accelerate,"v. 加速, 促进"
bacteria,"pl. 细菌
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
cavity,"n. 洞, 空穴, 腔
"
dental,"a. 牙齿的
"
dentist,"n. 牙科医生
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
life expectancy,
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
paralyze,"vt. 使瘫痪, 使麻痹
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
detect,"vt. 发现, 察觉, 探测
"
allergic,"a. 对...过敏的, 极反感的
"
react,"vi. 起反应, 起作用, 反攻
"
thermometer,"n. 温度计, 体温计
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
laser,"n. 激光
"
cancer,"n. 癌, 恶性肿瘤
"
cell,"n. 单元, 细胞, 电池
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
surgeon,"n. 外科医生, 军医, 船医
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
psychotherapist,n. 精神治疗医生
neuroscientist, [医]神经科学家：神经科学各分支的专家
consultant,"n. 顾问, 征询意见者
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
nutrition,"n. 营养, 营养学
"
appetite,"n. 食欲, 欲望, 爱好
"
calorie,n. 卡路里（热量单位）
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
psychology,"n. 心理学, 心理状态
"
mentality,"n. 精神力, 智力, 头脑作用, 心态
"
mindset,n. 心态；倾向；习惯；精神状态
intuitive,a. 直觉的
instinct,"n. 本能, 直觉
a. 充满着的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
conscious,"a. 有意识的, 知觉的, 觉察的
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
decode,"vt. 解码, 译解
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
questionnaire,"n. 调查表, 问卷
"
analysis,"n. 分析
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
empirical,"a. 完全跟据经验的, 经验主义的
"
feedback,"n. 反馈, 反应
"
hypothesis,"n. 假设
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
cognitive,"a. 认知的, 认识的"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
teenager,n. 十三岁到十九岁的少年
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
gender,"n. 性
vt. 产生"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
imperfection,"n. 不完美, 缺点
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
be inclined to,"倾向于..., 有...的趋势"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
emotional,"a. 情绪的, 情感的
"
positive,"a. 肯定的, 积极的, 有把握的
"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
terror,"n. 恐怖, 可怕的人
"
insane,"a. 患精神病的, 极愚蠢的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
frantic,"a. 狂乱的, 疯狂的"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
destiny,"n. 命运, 定数"
miserable,a. 悲惨的；痛苦的；卑鄙的
agonizing,"a. 折磨人的, 痛苦难忍的"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
afflict,"vt. 使苦恼, 折磨"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
rational,"a. 理性的, 合理的
n. 有理数"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
cautious,"a. 谨慎的, 小心的"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
hostility,"n. 敌意, 敌对, 反对"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
technology,"n. 技术, 工业技术, 术语
"
innovation,"n. 改革, 创新
"
contrive,"v. 发明, 设计, 图谋"
groundbreaking,"a. 开创性的, 突破性的"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
supersonic,"a. 超声波的
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
spacecraft,n. 航天飞船
satellite,"n. 人造卫星
"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
complicated,"a. 复杂的
"
sophisticated,"a. 复杂的, 久经世故的
"
artificial intelligence,[计] 人工智能
generate,"vt. 产生, 发生, 导致
"
optical,"a. 眼睛的, 视觉的, 光学的
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
automation,"n. 自动化, 自动操作
"
update,"vt. 更新, 使现代化
n. 更新
"
capacity,"n. 容量, 能力, 才能, 资格
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
precise,"a. 精确的, 严谨的, 明确的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
formula,"n. 客套语, 公式, 准则
"
statistic,"n. 统计量
a. 统计的, 统计学的"
measurement,"n. 尺寸, 度量, 度量单位
"
graph,"n. 曲线图, 图表, 图形
"
semiconductor,"n. 半导体
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
electrical,"a. 电的, 有关电的
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
silicon,"n. 硅
"
radioactive,"a. 放射性的, 有放射能的
"
telecommunications,"n. 电信, 通讯, 电信学
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
radar,"n. 雷达, 无线电探测器
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
download,"[计] 卸载, 下栽"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
portable,"a. 可携带的, 可搬运的, 可移动的
"
keyboard,"n. 键盘
"
hardware,"n. 硬件, 五金器具, 零件
"
software,"n. 软件
"
disk,"n. 圆盘, 磁盘
"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
network,"n. 网络, 广播网, 网状物
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
website,n. 网站（全球资讯网的主机站）
data,"pl. 资料, 数据
"
online,[计] 联机
database,"n. 数据库
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
gross domestic product,"[经] 国内生产总值, 国内总产值"
GDP,[网络] 国内生产总值；生产值；国内生产毛额
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
monetary,"a. 货币的, 金钱的
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
recession,"n. 后退, 凹处, 衰退, 归还
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
meltdown,"[经] 销毁(货币等), 变卖(财产)"
stimulator,[医] 刺激质; 刺激器
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
deficit,"n. 赤字, 不足额
"
currency,"n. 货币, 通货, 流通, 通用
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
derail,"vt. 使出轨
n. 脱轨器
"
fragile,"a. 易碎的, 脆的
"
aggravate,"vt. 使恶化, 使更严重, 加重"
crucial,"a. 决定性的, 重要的, 严厉的
"
interest rate,"利率
"
profit margin,"利润率
"
infrastructure,"n. 基础结构, 基础设施
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
investment,"n. 投资
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
bonus,"n. 奖金, 红利
"
dividend,"n. 被除数, 股利
"
asset,"n. 资产, 有益的东西"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
cash,"n. 现金
vt. 兑现"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
assess,"vt. 估定, 对...征税, 评定
"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
transaction,"n. 交易, 办理, 学报, 和解协议
"
commodity,"n. 农产品, 商品, 有用的物品
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
trademark,"n. 商标
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
compensation,"n. 补偿, 赔偿金, 工资
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
agency,"n. 代理机构, 经销商, 中介
"
client,"n. 客户, 顾客, 委托人
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
shipment,"n. 装船, 出货
"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
outsource,vt. 把…外包
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
enhance,"vt. 提高, 加强, 增加"
insure,"vt. 保险, 确保
vi. 投保"
corporate,"a. 社团的, 合伙的, 公司的
"
joint venture,"合资
"
entrepreneur,"n. 企业家, 主办人
"
manufacturer,"n. 制造业者, 厂商
"
start-up,"突然站起, 突然出现, 发动, 开动"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
productivity,"n. 生产力
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
at the expense of,"归...付费, 在损害...的情况下
"
restructure,"vt. 更改结构, 重建, 调整"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
subsidize,"vt. 补助, 资助, 贿赂
"
quota,"n. 配额, 限额
"
labor market,n. 劳动市场
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
employee,"n. 职员, 员工, 受雇人员
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
efficiency,"n. 效率, 效能, 功效
"
grocery,"n. 食品杂货店, 食品杂货业"
consumer,"n. 消费者
"
consumption,"n. 消费, 消费量, 痨病
"
excessive,"a. 过度的, 过多的, 极端的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
expense,"n. 费用, 代价, 开支, 损失
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
