enable,"vt. 使能够
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
corporate,"a. 社团的, 合伙的, 公司的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
prestige,"n. 声望, 威望, 威信
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
legislation,"n. 立法, 法律
"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
feasible,"a. 能实行的, 可行的, 适宜的
"
practicable,"a. 可实行的, 可做的, 可用的"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
probability,"n. 可能性, 或然率, 几率, 概率
"
possibility,"n. 可能性, 可能的事
"
likelihood,"n. 可能, 可能性"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
subsequent,"a. 后来的, 接下去的
"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
consequently,adv. 所以
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
alter,v. 改变
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
differ,"vi. 不一致, 不同
"
differentiate,"v. 区别, 区分"
commend,"vt. 嘉奖, 委托给, 推荐"
commemorate,vt. 纪念
memorize,"vt. 记住, 熟记, 背熟"
memorise,"vt. 记住, 熟记, 记录, 存储"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
significance,"n. 重要性, 意义, 意味
"
simulate,"vt. 模拟, 假装, 模仿
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
consensus,"n. 合意, 一致, 同感
"
conscience,"n. 良心
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
origin,"n. 起源, 起因, 出身, 开端
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
generate,"vt. 产生, 发生, 导致
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
expend,"vt. 花费, 消耗, 用光"
expenditure,"n. 开支, 费用, 用光, 消费额
"
nutrition,"n. 营养, 营养学
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
surpass,"vt. 超越, 凌驾, 胜过"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
layman,"n. 俗人, 门外汉, 凡人
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
impetus,"n. 动力, 推动力, 动量
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
eject,"vt. 逐放, 放逐, 喷射
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
propel,"vt. 推进, 驱使
"
inject,"vt. 注射, 注入, 使入轨
"
tolerate,"vt. 宽容, 容许, 有耐力"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
withstand,"vt. 抵住, 顶住, 经得起"
analyze,"vt. 分析, 细察, 分解
"
analyse,"vt. 分析, 细察, 分解
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
drastic,"a. 激烈的
"
dubious,"a. 可疑的, 不确定的"
toxic,"a. 有毒的, 中毒的
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
elite,"n. 精华, 精锐, 中坚分子"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
massive,"a. 大而重的, 宽大的, 宏伟的
"
quantify,"vt. 定量, 用数量表示, 测量"
qualitative,"a. 性质的, 质的, 定性的"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
congratulate,"vt. 祝贺, 庆贺"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literary,"a. 文学的, 文艺的, 精通文学的
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
linear,"a. 线的, 直线的, 线状的
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
appendix,"n. 附录, 附加物, 阑尾
"
artery,"n. 动脉, 干道, 要道
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
gland,"n. 腺, 密封套
"
kidney,"n. 肾, 个性
"
skull,"n. 头盖骨, 头脑, 好学生
"
thigh,"n. 大腿, 股
"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
on the blink,"奄奄一息,濒于死亡;坏了,失灵"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
clearance,"n. 清除, 间隙
"
fragrance,"n. 芬芳, 香味"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
odor,"n. 气味, 香味, 名声, 意味
"
odour,"n. 气味, 臭气, 香气, 味道, 迹象, 名誉, 声誉
"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
overhear,"vt. 无意中听到, 偷听"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
spectator,"n. 观众, 目击者, 旁观者"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
harassment,"n. 困扰, 烦扰, 烦恼
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
lash out,"痛打, 痛骂"
lash at,猛烈攻击
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
rap out,"突然说出,厉声喝道"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
arena,"n. 角斗场, 舞台, 场地
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
foul up,"弄脏, 污染, 搞糟"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
cape,"n. 岬, 海角, 披肩, 斗蓬"
garment,"n. 衣服, 衣装, 外表"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
lace up,na. 用带子束
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
entrepreneur,"n. 企业家, 主办人
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
mistress,"n. 主妇, 女主人, 情妇"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
cholesterol,"n. 胆固醇
"
cocaine,"n. 可卡因, 古柯碱
"
complexion,"n. 肤色, 情况, 局面
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
sniff out,"na. 闻出；〈非正式〉发现
"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
cafeteria,"n. 自助餐厅
"
champagne,"n. 香槟酒, 香槟酒色
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
edible,"n. 食品, 食物
a. 可食用的"
inedible,a. 不适于食用的
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
pastry,"n. 油酥点心, 面粉糕饼"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
porridge,"n. 粥, 糊"
pudding,n. 布丁
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
cucumber,"n. 黄瓜
"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
pumpkin,n. 南瓜
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
susceptible to,易受…感动(或影响)的，对…敏感的；易为…感染的，对…过敏的
susceptible of,容许…的，能…的
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adolescence,"n. 青春期
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
brood on,"郁郁而思,沉思冥想"
brood over,"郁郁而思,沉思冥想"
brood about,无
corpse,"n. 尸体
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
clan,"n. 氏族, 宗族, 集团
"
offspring,"n. 子孙, 后代, 产物
"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
furious,"a. 狂怒的, 激烈的, 吵闹的"
intercourse,"n. 交往, 交流
"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
grieve for,哀悼
grieve over,哀悼
grin,"n. 露齿笑
v. 露齿而笑"
grin and bear it,"默默忍受,逆来顺受"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dreadful,a. 可怕的
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
arrogant,"a. 自大的, 傲慢的"
awesome,"a. 引起敬畏的, 可怕的"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
idiot,"n. 白痴, 极蠢之人
"
intellect,"n. 智力, 出众的才华, 知识分子
"
directory,"n. 目录, 工商名录, 指南
"
doctrine,"n. 教条, 学说
"
hypothesis,"n. 假设
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
orthodox,"a. 正统的, 传统的, 惯常的"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
aesthetic,"a. 美学的, 审美的, 有美感的"
esthetic,"a. 审美的
"
criterion,"n. 标准, 准则, 规范
"
forerunner,"n. 先驱, 前兆"
prophet,"n. 预言者, 先知, 提倡者"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
notation,"n. 记号, 符号表示法, 注释
"
overt,"a. 明显的, 公然的, 蓄意的
"
propaganda,"n. 宣传, 宣传活动
"
questionnaire,"n. 调查表, 问卷
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
enclosure,"n. 附件, 围墙, 围绕
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
buzz around," <俚>匆忙而紧张地行动, 乱哄哄地跑来跑去"
buzz about, 闹哄哄地跑来跑去
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
hum with,充满…的嗡嗡声; 忙于…
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
bibliography,"n. 参考书目
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
excerpt,"n. 摘录
v. 引用, 摘录"
incidentally,"adv. 伴随地, 偶然, 顺便"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
thesis,"n. 论题, 论文"
brochure,"n. 小册子, 小册"
pamphlet,"n. 小册子, 活页文选"
paperback,"n. 平装本, 纸面本"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dispense with,"免除, 省却, 无需"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
peel off,"飞机离队俯冲目标, 飞机离队降落"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
sturdy,"a. 强健的, 健全的
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
courtesy,"n. 礼貌, 谦恭, 好意
"
coward,"n. 懦弱的人, 胆小的人"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
obscene,"a. 淫秽的, 猥亵的, 讨人厌的, 可憎的
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
biochemistry,"n. 生物化学
"
tuition,"n. 学费, 讲授"
cork,"n. 软木塞, 软木树, 软木
"
commodity,"n. 农产品, 商品, 有用的物品
"
fixture,"n. 固定(状态), 固定物, 设备
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
instrumental in,无
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
peg,"n. 钉, 桩, 栓, 藉口, 销子, 借口
vt. 钉木钉, 固定, 限制, 使受约束
vi. 坚持不懈地奋力于, 疾行"
peg away at,"集中力量于,埋头做,孜孜从事"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
psychiatrist,"n. 精神病医生, 精神病学家
"
squad,"n. 班, 小队, 小集团
vt. 编成班"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
vocational,"a. 职业的
"
profession,"n. 职业, 表白, 声明
"
the profession, 同行，同业
electrician,"n. 电学家, 电气技师, 电工
"
alienate,"vt. 使疏远, 离间, 转让
"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
circus,"n. 马戏团, 马戏, 竞技场"
coupon,"n. 息票, 赠券
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
catastrophe,"n. 大灾难, 大祸
"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
salvation,"n. 拯救, 救助, 救世"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
cosy,"a. 温暖舒适的
n. 保暖套"
customary,"a. 习惯的, 惯常的
"
diligent,"a. 勤勉的, 用功的"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
weary of,厌烦
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
slum,"n. 贫民窟
vi. 访问贫民区"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
booth,"n. 亭, 摊棚
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
mansion,"n. 大厦, 宅邸"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
tract,"n. 大片土地, 地带, 小册子
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
aisle,"n. 走廊, 侧廊, 过道
"
atlas,"n. 地图集, 图表集
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
intersection,"n. 交集, 十字路口, 交叉点
"
motel,n. 汽车旅馆
