aha,interj. 啊哈
perjurer,"n. 伪誓者, 伪证者
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
plantain,"n. 车前草, 大蕉
"
rattlesnake,"n. 响尾蛇
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
robbery,"n. 抢掠, 抢夺
"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
shameless,a. 不知羞耻的
slander,"n. 中伤, 诽谤
vt. 中伤, 诽谤"
snatcher,"n. 攫夺者, 诱拐者, 绑架者
"
suspiciously,adv. 猜疑地；怀疑地
undercurrent,"n. 暗流, 潜流, 电流不足"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
array of,无
blame something on somebody,无
blame something on something,无
clear up,"na. 整顿；说明；(天气)转晴
"
come across,偶遇
from time to time,有时
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
nail a lie,"揭穿谎言,戳穿西洋镜"
send in,"na. 拿出；提出；递(名片)；送
"
set about,"开始, 散布
"
slip away,不告而别
take vengeance on,[法] 向...执仇
take vengeance upon,无
acme,"n. 顶点, 极度, 最高点
"
allegation,"n. 断言, 主张, 申辩
"
allied,"a. 联盟的, 联姻的, 联系起来的"
arrangement,"n. 排列, 整齐, 安排
"
arrogance,"n. 傲慢态度, 自大"
assembly,"n. 与会者, 集会, 装配, 组件
"
atman,"n. 个人灵魂, 自我, 宇宙灵魂"
auspicious,"a. 吉兆的, 幸运的"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
conference,"n. 会议
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
demerit,"n. 缺点, 短处, 过失"
den,"n. 兽穴, 洞穴
"
dignified,"a. 有尊严的, 高尚的"
emulation,"n. 效法, 竞争
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
faithfulness,"n. 忠诚, 诚实, 正确"
humility,"n. 谦逊, 谦虚, 谦卑"
illusion,"n. 幻影, 错觉, 幻想
"
immemorial,"a. 太古的, 远古的, 无法追忆的
"
inconsistency,"n. 不一致, 易变, 前后矛盾的事物
"
intellect,"n. 智力, 出众的才华, 知识分子
"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
monarch,"n. 帝王, 统治者, 元首
"
nirvana,n. 天堂
penance,"n. 自我惩罚, 忏悔, 悔过, 赎罪, 苦修
vt. 使悔罪, 使赎罪"
pigmy,"n. 俾格米人, 矮人, 矮兽, 侏儒, (喻)智力低的人, 微不足道的东西/人, 小精灵
a. 矮小的, 微少的, 无足轻重的, 微薄的"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
preside,"vi. 统辖, 当主人, 主持
"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
refute,"vt. 反驳, 驳斥；驳倒"
reputed,"a. 名誉好的, 被称为...的, 有...名气的
"
respective,"a. 分别的, 各自的"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
sovereignty,"n. 主权, 独立国
"
stature,"n. 身材, 身高, 高度
"
superiority,"n. 优越, 高傲
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
valor,"n. 英勇, 刚勇, 勇猛"
venue,"n. 犯罪地点, 审判地, 发生地点"
womb,"n. 子宫, 发源地
"
come forth,"出来, 涌现, 被公布"
come forward,"站出来, 自告奋勇, 主动响应"
for want of,"因缺乏…,由于…不足"
from time immemorial,"自古以来,从远古以来"
since time immemorial,"从远古以来,自古以来"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
one and all,"个个都, 全都"
put somebody to shame,[网络] 使某人感到羞愧
to the core,直至核心
