a bit,一点儿；有一点儿
sentence ... to death,[网络] 判死刑；被判死刑；判处…死刑
separate ... from,"把...和...分开, 把...和...区分开, 使...从...离析"
separate ... into,把...分成...
set about,"开始, 散布
"
set an example,以身作则
set apart,"使分离, 留出"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set fire to,点燃
set foot on,踏上
set foot in,进入
set free,"释放
"
set in,"na. 固定；停当；涨潮；进来
"
set loose,"na. 解开；释放
"
set off,"na. 分；分割；划开；区划
"
set on,"攻击, 前进, 怂恿, 使开始"
set out,"n. 开始；出发；动身；准备
"
set sail,"张帆, 开航"
set to,"na. 认真着手；动手做；打起来；吃起来
"
set up,"na. 建立；创立；发起；开办
"
set up as,以…为职业〔立业〕; 宣称是…
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"付清, 了结"
share ... with ...,"un. 合伙；合住；承担；跟…看法一致
"
shop around,"逐店进行搜购, 到处寻找好职业, 到处寻找好主意"
shortly after ..., …之后立即
should have done sth.,本应当做某事
shoulder to shoulder,"肩并肩地, 齐心协力地"
show ... around,"v. 带…参观
"
show ... round,"show round
带(某人)参观
"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut up,"关闭, 监禁, 住口, 保藏"
side by side,"并排, 并肩"
sign up,"签约参加工作, 签约雇用"
sign up for, 注册，选课；报名参加
sit about,"坐着不干, 袖手旁观"
sit down,"坐下, 占据, 参加静坐罢工(或示威)"
sit for,"参加,应;代表…担任议员"
sit up,"坐起, 端坐, 熬夜, 诧异"
sleep over,不在家过夜
slide into,不知不觉陷入
slow down,(使)慢下来
smooth away,"na. 排除；调停；粉饰
"
smooth over,"na. “smooth away”的变体
"
so as to,"使得, 以致"
so far,迄今为止
so that,所以
so ... that ...,所以
some day,来日
something like,"有几分象, 有些象"
something of,"在某种意义上, 在某种程度上"
soon after,之后不久
sooner or later,迟早
sort of,有几分地
sort out,"na. 清理
"
speak highly of,赞扬
speak well of,说...好话
speak of,"谈到..., 论及..."
speak out,"大胆地说, 大声地说"
speak out against sth.,"公开反对,大声疾唿地反对"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speed up,"加速
"
spend ... doing,无
spend ... in doing,无
spend ... on,[网络] 花费；把…花在；在……方面花费
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
spring up,出现
spy on,"侦查, 暗中监视"
squeeze out,"榨出, 挤出
"
stand about,闲站着
stand around,[网络] 坐着不做事；闲站着；闲坐
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand out,"突出, 坚持抵抗"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up for,"支持
"
stand up to,"经得起..., 勇敢地面对, 抵抗"
star in,"在…里演主角, 由…出演主角"
stare at,"凝视, 盯住"
start doing sth.,[网络] 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
stay abreast of,与…齐驱并驾
stay up,不睡觉
step aside,避开
step down,"na. 走下；退出；【电】下降；辞退
"
step by step,逐步地
step up,"v. 加紧；走上前；登上；增加
"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,粘住
stick up for,"支持, 维护"
stick with, 继续做; 跟着…; 插满
stop ... from ...,阻止某事发生
stop to do sth.,[网络] 停下来去做某事；停下来去做另一件事；停下来做
straight away, 立即; 马上
straight off," 立即, 马上; 痛痛快快"
strike into,"突然,开始;(突然)跑,逃;打,扎(进),忽然转入"
strike on,"偶然想起,偶然遇到"
strike upon,"打在…上,撞在…上"
struggle against,与…进行斗争
struggle for,为…而斗争
struggle to one's feet,挣扎着站立起来
study under sb.,在(某人)指导下学习
submit to,"un. 使某人忍受某事:
"
subscribe to,"预订, 同意, 订阅"
succeed in,在...方面成功
succeed to,继承…
such as,"例如..., 像这种的"
such ... that ...,是这样
suffer from,"忍受, 遭受
"
sum up,"na. 〈口〉概括；总结
"
superior to, [医]adj.优于，胜于
supply ... with ...,把…提供〔供应给〕…
suspect sb. of sth.,[网络] 怀疑；对……猜疑；猪八戒怀疑
sweep over, 风靡; 向…扩展; 眺望; 环视
sweep up, 清扫
switch off,"切断
"
switch on,"v. 打开；接通；参见
"
switch over,"[计] 转接, 切换"
switch to,"切换到
"
take a breath, 深深地吸一口气
take a chance,冒险
take chances,"冒险, 投机"
take a decision,"做出决定,作决定"
take a look at,看一看…
take a walk,散步
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
"
take aim at, 瞄准，盯着; 以…为目标
take an interest in,对...感兴趣
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care," 当心, 小心; 坚持到底"
take care of,"照顾
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take command of,开始控制
take control of,"控制,掌管"
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"见效, 生效
"
take exercise,"做体操,做健身活动"
take ... for example,以...为例
take ... for granted, 信以为然
take hold of,握住
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"从容, 不紧张"
take measures,採用措施
take note," 重视, 注意"
take notice of, 注意到; 在意; 睬; 理睬
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take office,就职
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's seat,就座
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"尽力, 耐心"
take part in,"参与, 参加
"
take place,"na. 发生；举行
"
take possession of,"占有, 占领"
take pride in,以...为傲
take risks,"冒险,担风险"
take sb. in one's arms,无
take sb's advice,接受某人的劝告
take sb.'s place,[网络] 解构发生；就位
take sides,"站在…一边,支持…,偏袒…"
take sides with,偏袒;拥护(某方面)
take the lead,"为首, 带头"
take the opportunity,利用机会
take the place of,"代替
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"轮流, 依次"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk of,"[法] 谈到, 说到, 说及"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk over,"na. 商谈；说服
"
talk to, 同（某人）谈话; 责骂
teach oneself, 自学
team up,"合作, 协作"
tear down,"na. 拆毁；扯下；猛冲
"
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a joke,[网络] 讲笑话；说笑话；讲个笑话
tell jokes, 讲笑话
tell a lie,说谎话
tell lies, 说谎，撒谎; 妄语; 妄言
tell ... apart,分辨
tell by,"v. 依据
"
tell sb. about sth.,告诉(某人)有关…的情况; 谈及
tell the truth,说实话
tend to,"注意, 趋向"
test out,"na. 同“test”
"
thanks for, 多亏
thanks to,由于
that is to say,"就是, 即, 换句话说"
the day after tomorrow,后天
the first time, 初次
the last, 最后的；最后一个
the moment, 一…就; 此刻，那时
the more ... the more ...,越…越…
the other,是其中的“另一个”
the other day,不久前某一天
the others,其余的
the same ... as,"与...相同, 与...一致"
the same ... that,同一个;正(是)…那一个
think about,"考虑, 回想"
think aloud,"自言自语, 边想边说出"
think back to,回想，回忆；重新思考(往事)
think highly of,"认为…很了不起,对…评价很高,非常看重"
think well of,"非常看重,尊重,钦佩"
think nothing of,把...看得很平常
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as,把...看作
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think twice,重新考虑
think up,"na. 想出；〔口语〕发明
"
thousands of,"成千上万,数千,许许多多"
throw ... at ...,"投向, 掷向"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw light on,"照亮,阐明,使理解,启迪"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw oneself on,依赖
throw up,"na. 呕吐；抛上；急造；丢弃
"
tidy up,整理
time and again,反复地
till now,直到目前
tire out,"na. 使疲倦到极度
"
to be honest,"老实说,说实在的"
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to sb.'s delight,无
to sb.'s surprise,无
to the contrary,相反地
to the point,"中肯, 扼要"
together with,"和, 加之"
too much,"太多, 太高"
too ... to,[网络] 太……而不能；太……以致不能；用法
trade with,"与…交换,和…贸易"
translate into,"翻译成, 转化为"
treat ... as,[网络] 对待；当作；当做
treat ... to ...,[网络] 款待；招待；请客
trick sb. into doing sth.,无
trip over,在…跌
try for,"争取, 谋求"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do, 试着做某事; 尽力做某事
turn a blind eye to,熟视无睹
turn against,"na. 背叛；使对抗；厌恶
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,[网络] 了解
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back,[网络] 不愿帮助；在别人遇到困难时；不理会某人
turn one's back on,"背弃, 抛弃"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
under age,未到法定年龄
under any circumstance,[网络] 任何情况下；我们风雨无阻；我只能说名不要乱签
under all circumstances,无论如何
under construction, （正在）修建中
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under pressure,在压力强制下
under repair,在修理中
under sb.'s direction,无
under the charge of,在...看管下
under the name of,名叫...
under way,"进行中, 在行进"
up and down,"上下地, 到处"
up in the air,悬而未决
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
up to date,"最近的, 最新的
"
up to now,到目前为止
up until,[网络] 一直到…为止；不多于
upside down,[网络] 机腹朝上；颠倒；上的姿势
use up,"na. 用完；耗尽
"
used to do, 过去常常做某事
vary from ... to ...,无
view ... as,"把...看作..., 认为...是..."
vote against,[法] 投票反对
vote for,"[法] 赞成, 投票赞成, 选举"
wait for,"na. 等；等待
"
wait on,"服侍, 招待, 拜访, 焦急地等待"
wait upon, 侍候; 伏侍
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk along, 沿着…走
walk of life," 行业, …类的人"
wander about,"漫步, 徘徊"
wander around,"徘徊, 转来转去"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn of,"na. 警告(某人)有危险
"
warn about,v. 就…提出警告
wash away,"v. 清洗
"
wash down,"na. 洗掉；冲下
"
wash out,"v. 洗掉
"
wash up,"洗手洗脸, 洗餐具"
waste ... doing sth.,无
waste ... on sth.,在(某方面)浪费时间，浪费钱财
waste ... in doing sth.,无
waste ... in sth.,无
waste one's breath,白费口舌
watch for,"守候, 注意, 监视"
watch out,"密切注意, 当心, 戒备, 提防"
watch over,"监督, 保护, 照管
"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
what about ...,adv. 怎么样，以为如何（提出建议或用以引出话题）
what for ...,"un. …怎样；为何；处罚；为什么
"
what if ...,如果…那又怎么样?即使…那又有什么关系?
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 这是怎么回事
what's wrong with ...,[网络] 怎么了；怎么啦；有什麽不对
whether ... or ...,是…还是
win back," 重新获得, 夺回"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
wipe off,"v. 揩揩
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
wish for,"盼望, 企求"
with an average of,无
with pleasure,"愉快地, 愿意"
with respect to,"关于..., 至于...
"
with the help of,"借助于…,在…的帮助下"
with the purpose of,为了...
within one's limits,在一定范围内；适度地，有限度地
within reach of,"在…附近,在…够得着的地方"
without delay,"毫不迟延地, 立即
"
without doubt,毫无疑问地
wonder at,对...感到惊讶/诧异
work as,"担任,从事"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
would like to,想…
would love to,"希望,喜欢,想…"
would rather,"倒愿意…,宁愿…"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
year after year,"年复一年地, 年年, 每年"
year by year,"年年, 每年"
year in year out,"年复一年地, 始终, 不断地"
year in and year out,一年到头
yield to,"让步于,屈服于,向…投降"
