tedious,"a. 沉闷的, 冗长乏味的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
creature,"n. 人, 动物, 创造物, 生物"
hence,"adv. 因此, 从此"
tip the scales,"起决定性作用;体重为…,重达…"
cast sb. as,n. (Castas)人名；(法)卡斯塔
have relevance to,和…有关
creep in,开始发生
persist in,"坚持, 固执于"
make much of,"重视, 宠爱, 奉承, 理解
"
in the name of,"以...的名义
"
in one's defense,无
be occupied with,忙于…;专注于…
in question,"正被讨论, 可怀疑
"
as is the case with,无
isolate ... from,使与…隔离；使与…分离；使孤立
make a contribution, 建树
become aware of,v. 知道
be aware of,知道
bring about,"na. 造成；带来；【航】(使船)回转
"
puppy,"n. 小狗, 小动物, 自负的年轻人"
rug,"n. 小块地毯, 揭露某人"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
wrist,"n. 手腕, 腕关节
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
muscle,"n. 肌肉, 臂力
"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
deduct,"vt. 扣除, 减去
"
telecommunications,"n. 电信, 通讯, 电信学
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
eve,"n. 前夕, 前夜"
internal,"a. 内在的, 国内的
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
species,"n. 种, 类, 外形
"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
organism,"n. 生物, 有机体, 社会组织
"
symbol,"n. 符号, 象征, 代号, 信条
"
attentive,"a. 注意的, 留心的"
famine,"n. 饥荒, 缺乏, 饥饿"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
chin,"n. 下巴, 颏
"
countdown,"n. 倒计数
"
corridor,"n. 走廊, 回廊, 人口密集地带"
spine,"n. 背骨, 脊柱, 尖刺
"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
injection,"n. 注射, 注射剂
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
fraction,"n. 小部分, 破片, 分数
"
give in,"na. 让步；屈服；投降；上交
"
roll sb. over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
provide sb. with sth.,"v. 供给；供应
"
lag behind,落后(于...)
come along,v. 出现；一起来；陪伴；进步
deduct sth. from sth.,"扣除
"
on the eve of,在…的前夕
smell of,有...的气味
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
