disastrous,"a. 损失惨重的, 悲伤的"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
dramatic,"a. 戏剧性的, 生动的"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
resemble,"vt. 相似, 类似"
genuine,"a. 真正的, 真实的, 诚恳的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
absence,"n. 缺席, 缺乏, 没有
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
mostly,"adv. 大概, 大部分, 主要
"
behalf,"n. 利益, 方面"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
outlook,"n. 观点, 景色, 前途, 了望
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
agency,"n. 代理机构, 经销商, 中介
"
occupancy,"n. 占有, 居住, 占用
"
enforce,"vt. 强迫, 执行, 坚持
"
impatient,"a. 不耐烦的, 着急的, 急切的"
convince,"vt. 说服, 使相信
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
exclusive,"a. 排外的, 独占的, 唯一的
"
immerse,"vt. 沉浸, 使陷入
"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
spacecraft,n. 航天飞船
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
barely,adv. 几乎不
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
analogy,"n. 相似, 类似
"
erupt,"vi. 爆发
vt. 喷出"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
inevitable,"a. 不可避免的, 必然的
"
impart,"vt. 给予, 传授, 告知"
dubious,"a. 可疑的, 不确定的"
tribunal,"n. 法庭, 法官席, 裁决
"
facet,"n. (多面体的)面, 方面, 琢面
"
patron,"n. 赞助人, 顾客, 保护人
"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
defection,"n. 背叛, 缺乏, 毛病
"
hierarchical,"[计] 分级的, 分层的, 层次的"
derail,"vt. 使出轨
n. 脱轨器
"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
prototype,"n. 原型
"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
deteriorate,v. (使)恶化
deficient,"a. 不足的, 不充分的, 有缺陷的"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
induction,"n. 归纳法, 感应, 就职, 入门
"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
transcript,"n. 抄本, 副本, 成绩单
"
jockey,"n. 赛马骑师, 驾驶员, 操作工
vt. 骗, 瞒, 驾驶, 移动
vi. 当赛马的骑师"
indigenous,"a. 本土的, 国产的, 固有的
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
outing,"n. 郊游, 远足
a. 远足适用的"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
desolate,a. 荒凉的
brand-new,"崭新的,全新的"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
retarded,a. 智力上迟钝的
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
viable,"a. 能养活的, 能生长发育的
"
enact,"vt. 制定法律, 扮演, 颁布
"
coexist,vi. 共存
tribune,"n. 护民官, 军团指挥官, 公民权利保护者, 讲坛"
showcase,"n. 陈列橱
"
colonel,"n. 陆军上校, 长官"
amiable,"a. 亲切的, 和蔼可亲的
"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
rival,"n. 对手, 竞争者
a. 竞争的"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
incentive,"n. 动机
a. 激励的"
odour,"n. 气味, 臭气, 香气, 味道, 迹象, 名誉, 声誉
"
tropical,"a. 热带的, 热情的
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
plural,"n. 复数
a. 复数的, 两个以上的"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
wireless,"n. 无线电
a. 无线的, 无线电的"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
disagree,"vi. 不一致, 不适宜
"
furniture,"n. 家具, 帆具"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
compel,"vt. 强迫, 迫使"
wheat,n. 小麦
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
curious,"a. 好奇的, 求知的, 古怪的"
applicant,"n. 申请者
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
outset,"n. 着手, 开头, 最初"
comedy,"n. 喜剧, 有趣的事情"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hospitality,"n. 款待, 亲切, 殷勤"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
badge,"n. 徽章, 标记
"
fertiliser,[化] 肥料
innate,"a. 先天的, 天生的
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
electrical,"a. 电的, 有关电的
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
democratic,"a. 民主的
"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
emotion,"n. 情绪, 激动, 强烈的情感
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
procedure,"n. 程序, 过程, 手续
"
decorate,v. 装饰
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
fantasy,"n. 幻想, 想象的产物
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
intelligent,"a. 聪明的, 智能的, 了解的"
poetry,"n. 诗, 韵文, 诗歌艺术"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
allergic,"a. 对...过敏的, 极反感的
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
simultaneous,"a. 同时的, 同时发生的
"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
emphasis,"n. 强调, 加强, 重点, 强语气"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
inject,"vt. 注射, 注入, 使入轨
"
prophet,"n. 预言者, 先知, 提倡者"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
solemnity,"n. 严肃, 一本正经
"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
indefinite,"a. 模糊的, 不确定的, 无限的
"
oracle,"n. 神谕, 神谕处, 预言"
chord,"n. 弦, 和音
"
boastful,"a. 自夸的, 自负的, 喜夸耀的"
fascist,"n. 法西斯主义者, 法西斯党员"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
fusion,"n. 熔合物, 结合, 熔合
"
dividend,"n. 被除数, 股利
"
gruel,"n. 稀粥
vt. 使极度疲劳, 惩罚"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受
vt. 登记入册"
shrub,"n. 矮树, 灌木, 果汁甜酒"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
warranty,"n. 正当理由, 授权, 担保, 保证, 根据
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
parish,"n. 教区, 堂区
"
connotation,"n. 含蓄, 内涵"
customs,"n. 海关, 关卡, 关税
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
demographic,"a. 人口统计的
"
knight,"n. 骑士, 爵士
vt. 授以爵位"
yearn,"vi. 渴望, 想念, 怀念, 同情"
unleash,"vt. 解开...的皮带, 发出, 发动"
equity,"n. 公平, 公正
"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
depreciate,"vi. 贬值
vt. 降价, 贬低"
livestock,"n. 家畜
"
algebra,n. 代数学
benevolent,"a. 善意的, 慈善的"
credential,"n. 国书, 凭据, 证明书
"
buffalo,"n. 水牛
"
autobiography,n. 自传
imminent,"a. 即将来临的, 逼近的"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
cracker,"n. 饼干, 爆竹
"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
brigade,"n. 旅, 队
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
ecology,"n. 生态学, 社会生态学
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
threat,"n. 恐吓, 恶兆, 威胁
"
prohibit,"vt. 禁止, 阻止
"
excellent,"a. 优良的, 杰出的, 出色的"
district,"n. 区域, 地方
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
climate,"n. 气候, 社会趋势, 气候区
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
resent,"vt. 愤恨, 憎恶, 怨恨"
ministry,"n. 部, 内阁, 服务
"
specimen,"n. 样品, 标本, 试料
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
excursion,"n. 远足, 游览圆, 短程旅行
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
corruption,"n. 腐败, 堕落, 贪污
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
principle,"n. 原则, 原理, 主义
"
convey,"vt. 传达, 运输, 转让
"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
economy,"n. 经济, 理财, 节约
"
intend,"vt. 计划, 打算, 意思是
"
highly,"adv. 非常, 非常赞许地
"
elementary,"a. 初步的, 基本的
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
decade,"n. 十年, 十"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
probability,"n. 可能性, 或然率, 几率, 概率
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
eternal,"a. 永恒的, 永远的, 不灭的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
minimise,"vt. 使减到最少/最小, 使降到最低限度, 使缩到最小, 极度轻视"
according,"a. 相符的, 根据...而定的
adv. 相应地"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
deficit,"n. 赤字, 不足额
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
evidently,"adv. 明显地, 根据现有证据来看"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
superiority,"n. 优越, 高傲
"
distinguish,"v. 区别, 辨别"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
malnutrition,"n. 营养失调, 营养不良
"
liberty,"n. 自由, 特权, 许可, 冒失
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
candidate,"n. 候选人, 投考者
"
misfortune,"n. 不幸, 灾祸, 坏运气
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
outpost,"n. 前哨, 前哨部队, 前哨基地"
monastery,"n. 修道院, 僧侣"
battalion,"n. 营, 军队, 集团"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
psychiatrist,"n. 精神病医生, 精神病学家
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
synthesis,"n. 综合, 组织, 综合体
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
reside,"vi. 住, 居留, 属于
"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
symmetrical,"a. 对称的, 匀称的
"
brink,"n. 边缘, 陡岸"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
conceited,"a. 自负的, 逞能的, 狂想的"
voucher,"n. 证人, 保证人, 证明者, 凭证, 凭单
vt. 证实...的可靠性"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
leaflet,"n. 小叶, 传单
"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
geology,"n. 地质学, 地质情况"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
observatory,"n. 天文台, 气象台, 了望台"
linguistic,"a. 语言的, 语言学的
"
thrift,"n. 节约, 茂盛, 海石竹"
boxing,"n. 拳击
"
skyscraper,"n. 摩天楼, 三角形天帆"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
malice,"n. 恶意, 蓄意害人, 怨恨
"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
equate,"vt. 使相等, 视为平等
vi. 等同"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
infrastructure,"n. 基础结构, 基础设施
"
parole,"n. 假释, 誓言, 释放宣言
vt. 宣誓后释放, 使假释出狱"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
BBQ,abbr. 烧烤炉；野外烧烤（barbecue）
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
bitch,"n. 母狗；泼妇；讨厌的女人；棘手的事
v. 挖苦；（尤指背后）说坏话"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
broke,"a. 一文不名的
break的过去式"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
potent,"a. 有力的, 有说服力的, 有效的
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
tumour,"n. 瘤, 肿块"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
curtail,"vt. 缩减, 剥夺, 简略
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
sufficient,"a. 充分的, 足够的
"
testify,"v. 证明, 作证, 声明, 表明"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
poverty,"n. 贫穷, 贫困, 缺乏
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
nervous,"a. 神经紧张的, 不安的, 神经的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
entertainment,"n. 娱乐, 款待, 娱乐表演"
determine,"v. 决定, 决心"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
solar,"a. 太阳的, 日光的, 源自太阳的
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
ashamed,"a. 惭愧的, 羞耻的"
prevent,"v. 预防, 防止, 阻止, 妨碍"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
cargo,"n. 货物
"
equipment,"n. 装备, 设备, 才能
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
optional,"a. 可选择的, 随意的
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
evident,"a. 显然的, 明显的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
expertise,"n. 专家意见, 专门技术
"
federal,"a. 联邦的, 联合的, 同盟的
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
