able,"a. 能干的, 能够的"
examine,"v. 检查, 调查, 考试"
examination,"n. 考试, 测验, 审查
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
laboratory,"n. 实验室, 研究室, 化工厂
"
lab,"n. 实验室, 研究室
"
exhibition,"n. 表现, 展览会, 展览品
"
museum,n. 博物馆
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
exist,"vi. 存在, 生存, 发生"
expression,"n. 表达, 表现, 词语, 措辞
"
expressive,"a. 表达的, 富于表情的"
explain,"v. 解释, 说明"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
extremely,"adv. 极端地, 非常地"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
quite,"adv. 相当, 完全, 十分"
highly,"adv. 非常, 非常赞许地
"
really,"adv. 实际上, 真实地, 实在"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
passport,"n. 护照, 手段, 通行证
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
loser,"n. 失败者, 遗失者
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
success,"n. 成功, 成就, 胜利"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
victory,"n. 胜利, 战胜, 克服"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
pronunciation,"n. 发音, 读法"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
finalist,"n. 决赛选手, 决赛队"
finality,"n. 终结, 定局, 终结性言行
"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
forgetful,"a. 健忘的, 易忘的"
memo,"n. 备忘录
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
remind,"vt. 提醒, 使想起"
reminder,"n. 提醒的人, 暗示
"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
often,"adv. 时常, 常常"
usually,"adv. 通常, 大抵"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
rarely,"adv. 很少地, 罕有地"
always,"adv. 总是, 始终"
almost,"adv. 几乎, 差不多"
nearly,"adv. 几乎, 密切地"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
never,"adv. 从不, 决不, 不曾
"
from,"prep. 从, 来自, 根据"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
production,"n. 制造, 生产, 产物
"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
gentle,"a. 温和的, 文雅的"
gentleman,"n. 绅士, 先生"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
graceful,a. 优美的
impolite,"a. 无礼的, 粗鲁的"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
greeting,"n. 祝贺, 问候"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
committee,"n. 委员会
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
halve,"vt. 二等分, 对半分享, 把...减半"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
him,pron. 他
his,"pron. 他的
"
himself,"pron. 他自己, 他亲自"
she,pron. 她
hers,pron. 她的
herself,"pron. 她自己, 她亲自"
it,"pron. 它
"
its,pron. 它的
itself,"pron. 它本身, 它自己"
they,"pron. 他们, 它们"
their,pron. 他们的
theirs,pron. 他们的
themselves,"pron. 他们自己, 她们自己, 它们自己"
our,pron. 我们的
ours,pron. 我们的
ourselves,pron. 我们自己
your,"pron. 你的, 你们的"
yours,"pron. 你的(东西), 你们的(东西)"
yourself,pron. 你自己
my,"pron. 我的
"
me,pron. 我
myself,"pron. 我自己, 我亲自, 我独自"
self,"n. 自己, 自我, 本性, 本质, 私心, 本人
vt. 使近亲繁殖, 使自花授精
vi. 自花授精
a. 同一的"
oneself,"pron. 自己, 亲自"
selfish,"a. 自私的, 利己主义的, 自我中心的"
here,"adv. 在这里, 此时, 这里
n. 这里"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
mountain,"n. 山, 山脉, 大堆"
mountaineer,"n. 登山家, 山地人
vi. 登山"
mountainous,"a. 多山的, 如山的, 巨大的"
volcano,n. 火山
volcanic,"a. 火山的, 猛烈的
n. 火山岩"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
honest,"a. 诚实的, 坦直的, 可靠的"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
truth,"n. 事实, 实情
"
truthfulness,n. 真实；正当；坦率
loyalty,"n. 忠贞, 忠诚, 忠实
"
pretend,"v. 假装, 伪称, 自命, 自称"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
liar,n. 说谎者
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
hydrogen,"n. 氢
"
oxygen,"n. 氧
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
nitrogen,"n. 氮
"
dioxide,"n. 二氧化物
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
keyword,[计] 关键字
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
possibility,"n. 可能性, 可能的事
"
possibly,"adv. 可能, 也许"
unlikely,a. 不太可能的
probably,"adv. 大概, 或许"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
injure,"vt. 伤害, 损害, 使受冤屈
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
mile,"n. 英里, 很大距离
"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
kilo,"n. 千
"
kilogram,"n. 千克, 公斤
"
ton,"n. 吨
"
increment,"n. 增加, 增值, 盈余
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
inner,"a. 内部的, 内心的
n. 内部"
innermost,"a. 内心的, 秘密的, 最深处的"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
outmost,"a. 最外面的
"
insure,"vt. 保险, 确保
vi. 投保"
insurance,"n. 保险, 保险业, 保险费
"
instead,"adv. 作为替代, 反而"
scold,"n. 好骂街的人, 责骂
v. 责骂"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
intrinsic,"a. 本质的, 原有的, 真正的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
inviting,"a. 引人动心的, 有魅力的
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
marathon,"n. 马拉松, 耐力的考验"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
throne,"n. 王座, 君主"
kingdom,"n. 王国, 领域
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主, 王妃, 女巨头"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
kiss,"n. 吻
vt. 吻
vi. 接吻"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
know,"v. 知道, 了解, 认识, 确信"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
knowable,"a. 可知的, 能认识的, 易知的"
knowingly,"adv. 会意地, 心照不宣地, 故意地, 有意地, 老练地
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
stepladder,"n. 活梯
"
lady,"n. 淑女, 夫人, 女士, 贵妇"
sir,"n. 先生, 阁下"
madam,"n. 女士, 夫人"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
lamp,"n. 灯
vt. 照亮
"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
X-ray,"X射线, X光, X光照片"
language,"n. 语言, 文字, 措辞
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
lawsuit,"n. 诉讼
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
finding,"n. 发现, 发现物, 决定, 裁决
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
luggage,"n. 行李, 皮箱"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
machinery,"n. 机器, 机械装置, 机构
"
maid,"n. 少女, 未婚女子, 女仆"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
waiter,n. 侍者
waitress,"n. 女侍者, 女服务员"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
marked,"a. 有记号的, 显著的, 醒目的
"
markedly,"adv. 显著地, 醒目地, 明显地"
signpost,"n. 招牌柱, 广告柱, 路标"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
marketplace,n. 市场
marketing,"n. 行销, 买卖
"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
married,"a. 已婚的, 婚姻的
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
spouse,n. 配偶
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
member,"n. 成员, 会员
"
membership,"n. 会员的资格, 全体会员, 会员数目
"
qualification,"n. 资格, 条件, 限制
"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentality,"n. 精神力, 智力, 头脑作用, 心态
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
merely,adv. 只
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
messenger,"n. 报信者, 使者
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
method,"n. 方法, 办法, 条理, 秩序
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
methodology,"n. 方法学, 方法论
"
outdate,vt. 使过时
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
namely,"adv. 即, 就是, 换句话说"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
passerby,"n. 过路人, 行人"
news,"n. 新闻, 消息, 报导
"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
newspaper,n. 报纸
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
yes,"adv. 是
n. 是, 同意
v. 同意"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
nursery,"n. 托儿所, 苗圃, 温床
"
nut,"n. 坚果, 核心, 螺帽
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
opposition,"n. 反对, 敌对, 相反, 在野党
"
against,"prep. 反对, 对着, 倚靠"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
ordinal,"n. 序数
a. 顺序的, 依次的"
systematic,"a. 有系统的, 分类上的, 体系的
"
systematical,"a. 有系统的, 成体系的, 有秩序的, 有组织的, 分类学的, 故意的, 彻底的"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
owner,"n. 拥有者, 物主, 所有人
"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
pair,"n. 一双, 一对, 一副
v. (使)成对"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
piano,n. 钢琴
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
poem,"n. 诗, 诗般美的事物"
poet,n. 诗人
poetry,"n. 诗, 韵文, 诗歌艺术"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
pointless,"a. 不尖的, 钝的, 不得要领的"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
policeman,"n. 警察
"
warning,"n. 警告, 预告, 预兆, 通知
"
thief,"n. 小偷, 贼
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
criticism,"n. 批评, 评论, 非难
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
preparedness,"n. 准备状态, 战备状态"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
spelling,"n. 拼, 拼字, 拼法
"
typewriter,n. 打字机
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
province,"n. 省, 地方, 职权, 领域
"
interprovincial,"a. 省与省之间的,各省之间的,省际的"
republic,"n. 共和国, 共和政体, 团体, 界"
