abolish,"vt. 废止, 革除, 消灭
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
announcement,"n. 公告, 发表, 告知
"
denounce,"vt. 告发, 抨击, 谴责
"
denouncement,"[法] 告发, 谴责, 通告废除"
nourish,"vt. 滋养, 使健壮, 怀有"
nourishing,"a. 有营养的, 滋养多的"
nourishment,"n. 滋养品, 养料, 营养
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
nutrition,"n. 营养, 营养学
"
malnutrition,"n. 营养失调, 营养不良
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
novelty,"n. 新奇, 新鲜, 新奇的事物"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
renovation,"n. 革新, 刷新, 修理
"
innumerable,"a. 无数的, 数不清的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
numerically,"adv. 数字, 数值, 用数字表示"
obedience,"n. 服从, 顺从, 忠实
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
melody,"n. 曲子, 美妙音乐, 曲调"
melodious,"a. 旋律美妙的, 旋律优美的, 有乐曲的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
anonymity,"n. 匿名, 姓氏不明
"
cooperative,a. 合作的；合作社的
cooperation,"n. 合作, 协力, 配合
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
adoption,"n. 采用, 采纳, 收养
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
optical,"a. 眼睛的, 视觉的, 光学的
"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimist,"n. 乐观者, 乐观主义者"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
adorable,"a. 可崇拜的, 值得敬慕的, 可爱的"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
coordination,"n. 同等, 协调
"
extraordinarily,"adv. 非凡, 破例, 特别, 非常, 离奇, 使人惊奇, 惊人, 特命, 特派"
extraordinary,"a. 非常的, 特别的, 非凡的
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
ornamentation,"n. 装饰, 装饰术, 装饰品, 修饰"
oxide,"n. 氧化物
"
oxidize,"vt. 使氧化, 使生锈
vi. 氧化"
oxidization,"n. 氧化作用
"
dioxide,"n. 二氧化物
"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compaction,"[计] 压缩, 浓缩, 精简, 简缩"
propaganda,"n. 宣传, 宣传活动
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
propagation,"n. 增殖, 繁殖, 宣传
"
impair,"vt. 损害, 减少, 削弱
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
disappearance,"n. 看不见, 失踪, 消失"
transparent,"a. 透明的, 显然的, 清晰的
"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
comparable,"a. 可比较的, 比得上的"
comparison,"n. 比较, 对照, 比喻
"
impartial,"a. 公平的, 不偏不倚的
"
apparatus,"n. 装置, 器具, 器官
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
parasite,"n. 寄生生物, 寄生虫, 食客
"
parasitic,"a. 寄生的, 由寄生虫引起的
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
impart,"vt. 给予, 传授, 告知"
impartment,"n. 给予, 告知; 传授"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participation,"n. 参与, 分享
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
compassion,"n. 同情, 怜悯"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
compatible,"a. 能共处的, 可并立的, 适合的
"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
pastry,"n. 油酥点心, 面粉糕饼"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
pathetically,"adv. 悲哀地, 哀伤地, 感伤地"
patriot,"n. 爱国者, 爱国主义者"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
patriotic,"a. 爱国的, 有爱国心的
"
patron,"n. 赞助人, 顾客, 保护人
"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
peculiarity,"n. 特质, 特性, 怪癖"
expedition,"n. 远征, 探险队, 迅速"
expeditionist,"n. 远征队员, 探险队员"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
compulsory,"a. 被强制的, 强迫的, 义务的
"
compulsion,"n. 强迫, 强制
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
expeller,"n. 驱逐者, 开除者
"
expellee,"n. 被驱逐(出国)者
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
propel,"vt. 推进, 驱使
"
propeller,"n. 螺旋桨, 推进器
"
propellent,"a. 推进的, 有推动力的
n. 推进员, 发射剂, 火箭燃料, 推进剂"
propulsion,"n. 推进, 推进力
"
propulsive,"a. 推进的, 有推进力的
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
appendix,"n. 附录, 附加物, 阑尾
"
appendant,"a. 附加的, 附属的
n. 附属物"
dependant,"n. 家眷, 侍从, 食客
"
dependence,"n. 依赖, 依存, 信赖
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
suspension,"n. 悬挂, 暂停, 中止
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
ponder,"v. 沉思, 考虑"
compensate,"v. 偿还, 补偿, 付报酬"
compensable,"a. 可补偿的
"
compensation,"n. 补偿, 赔偿金, 工资
"
expend,"vt. 花费, 消耗, 用光"
expendable,"a. 可消费的, 消耗性的, 可牺牲的, 值得消耗的, 可消耗的
n. 消耗物, 可牺牲的人, 可牺牲的物"
expenditure,"n. 开支, 费用, 用光, 消费额
"
empirical,"a. 完全跟据经验的, 经验主义的
"
empiricism,"n. 经验主义, 庸医的医术, 经验论
"
experimentally,"adv. 实验式地, 在实验上"
experimental,"a. 实验的, 根据实验的
"
experimentation,"n. 实验, 试验, 实验法
"
expertise,"n. 专家意见, 专门技术
"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
perilous,"a. 危险的, 濒临毁灭的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
competence,"n. 胜任, 职称, 能力
"
competitive,"a. 竞争的
"
competition,"n. 竞争, 竞赛
"
impetus,"n. 动力, 推动力, 动量
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
prophecy,"n. 预言, 预言能力"
prophet,"n. 预言者, 先知, 提倡者"
prophetic,"a. 预言的, 先知的, 预示的"
symphony,"n. 交响乐, 交响曲"
symphonic,"a. 交响乐的, 交响性的, 和声的"
depict,"vt. 描述, 描写"
depiction,"n. 描写, 叙述"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
displace,"vt. 移置, 替换, 转移"
displacement,"n. 换置, 移位, 移动, 取代
"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
complaint,"n. 诉苦, 抱怨, 控诉
"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,"n. 鼓掌, 喝彩, 赞许"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
completion,"n. 完成
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
supplementary,"a. 补足的, 补充的, 追加的
"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
complexion,"n. 肤色, 情况, 局面
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
perplexity,"n. 困惑, 混乱状态, 使人困惑的事物"
complicated,"a. 复杂的
"
complication,"n. 复杂化, 复杂情况
"
comply,"vi. 顺从, 依从
"
explicit,"a. 详述的, 清楚的, 直言的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
multiplication,"n. 乘法, 增加, 乘法运算
"
multiplicate,"a. 复合的, 多倍的, 多重的, 多样的"
exploration,"n. 探险, 踏勘, 探测
"
implore,"vt. 恳求, 哀求"
unemployment,"n. 失业, 失业人数
"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
popularity,"n. 名声, 受大众欢迎, 流行"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
deport,"vt. 举止, 驱逐出境
"
deportation,"n. 驱逐出境, 放逐
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
composer,"n. 作曲家, 作家, 调停者"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
composition,"n. 作文, 创作, 组成
"
decompose,"v. 分解, (使)腐烂"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
deposition,"n. 免职, 作证, 沉淀
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disposition,"n. 性情, 处置, 处理, 布置
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
exposure,"n. 暴露, 揭发, 揭露
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
proposal,"n. 提议, 计划, 求婚
"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
appraisal,"n. 评价, 估价
"
appreciable,"a. 可感知的, 可评估的"
appreciably,"adv. 可估计地, 相当可观"
appreciation,"n. 感激, 赏识, 鉴别
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compression,"n. 压缩, 压紧
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
oppress,"vt. 压迫, 压抑, 使烦恼"
oppression,"n. 压抑, 沉闷, 压迫手段
"
repression,"n. 抑制, 压抑, 制止
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
priority,"n. 优先权, 优先
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
deprive,"vt. 剥夺, 使丧失
"
privacy,"n. 隐私, 隐居, 秘密
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
approachable,"a. 可接近的, 可亲近的
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
probability,"n. 可能性, 或然率, 几率, 概率
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
proton,"n. 质子
"
prototype,"n. 原型
"
prototypical,[计] 原型的
proximity,"n. 接近, 亲近"
psychiatrist,"n. 精神病医生, 精神病学家
"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
purity,"n. 纯净, 纯正, 纯粹
"
impurity,"n. 杂质, 不洁, 不纯
"
compute,"v. 计算, 估算
n. 计算, 估算"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
quantify,"vt. 定量, 用数量表示, 测量"
quantitative,"a. 数量的, 定量的
"
conqueror,"n. 征服者, 胜利者"
exquisite,"a. 精致的, 细腻的, 敏锐的"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
questionnaire,"n. 调查表, 问卷
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
quota,"n. 配额, 限额
"
radial,"a. 光线的, 光线状的, 放射状的, 半径的, 径向的
n. 光线, 射线"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
radicalism,n. 激进主义
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
rapture,"n. 兴高采烈, 着迷, 欢天喜地, 狂喜
vt. 使狂喜"
enrapture,vt. 使狂喜
erase,"vt. 抹去, 擦掉
"
rational,"a. 理性的, 合理的
n. 有理数"
rationality,"n. 合理性, 纯理性"
directory,"n. 目录, 工商名录, 指南
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erection,"n. 直立, 竖起, 建筑物
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
rectification,"n. 改正, 矫正, 整流
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
correlation,"n. 相互关系, 相关, 关联
"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
ridiculous,"a. 荒谬的, 可笑的"
irrigation,"n. 灌溉, 冲洗
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
irritation,"n. 刺激, 烦恼, 刺激物
"
rivalry,"n. 竞争, 对抗
"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
robustly,"adv. 要用体力地, 粗鲁地"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
arrogant,"a. 自大的, 傲慢的"
arrogance,"n. 傲慢态度, 自大"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
romanticism,"n. 浪漫主义精神, 浪漫主义"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotation,"n. 旋转, 循环, 轮流
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
bankruptcy,"n. 破产者
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
corruption,"n. 腐败, 堕落, 贪污
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
disruption,"n. 分裂, 崩溃, 瓦解"
erupt,"vi. 爆发
vt. 喷出"
eruption,"n. 爆发, 喷出物, 出疹
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
salvation,"n. 拯救, 救助, 救世"
insane,"a. 患精神病的, 极愚蠢的
"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
dissatisfaction,"n. 不满, 不平"
dissatisfy,"vt. 使感觉不满, 不满足"
satisfactorily,adv. 令人满意地
satisfactory,"a. 满意的, 赎罪的
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
descent,"n. 降落, 家系, 侵袭, 血统
"
transcend,"vt. 超越, 胜过"
transcendent,"a. 卓越的, 出类拔萃的, 超常的
n. 卓越的人, 超绝物"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
conscientiousness, 责任心
consciousness,"n. 意识, 知觉, 自觉
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
ascribe,"vt. 归因于, 归咎于
"
postscript,"n. 附言
"
prescription,"n. 处方, 命令, 指定
"
scripture,"n. 圣经, 圣经的一节, 圣经的一句, 铭文"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscript,"a. 下标的, 写在底下的
n. 下标
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
transcript,"n. 抄本, 副本, 成绩单
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
intersection,"n. 交集, 十字路口, 交叉点
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
consecutive,"a. 连续的, 联贯的
"
consecution,"n. 连续, 推理, 条理"
consequence,"n. 结果, 重要性
"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
prosecutor,"n. 实行者, 告发者, 公诉人
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
subsequent,"a. 后来的, 接下去的
"
subsequently,"adv. 后来, 随后"
senator,"n. 参议员, (某些大学的)理事
"
consensus,"n. 合意, 一致, 同感
"
resent,"vt. 愤恨, 憎恶, 怨恨"
resentful,"a. 岔恨的, 易怨恨的, 不满的, 显然不满的"
sensation,"n. 感觉, 轰动
"
senseless,"a. 无感觉的, 无意识的, 不省人事的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitivity,"n. 敏感, 灵敏度
"
sensor,"n. 传感器
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
sentimental,"a. 感伤的, 感情用事的"
assert,"vt. 主张, 坚称, 断言
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
insertion,"n. 插入, 刊载, 插入物
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
conservative,"a. 保守的, 守旧的, 有保存力的
"
conservation,"n. 保护, 保存
"
preservation,"n. 保存, 保藏, 保护
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reservation,"n. 保留, 预定, 保留品, 保留地
"
observation,"n. 观察, 注意, 观测, 观察力
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
shipment,"n. 装船, 出货
"
shipwreck,"n. 遇难船, 海难
vt. 遇海难, 毁灭, 使失事"
besiege,"vt. 围攻, 包围"
preside,"vi. 统辖, 当主人, 主持
"
reside,"vi. 住, 居留, 属于
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residential,"a. 住宅的, 与居住有关的
"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
subsidy,"n. 补助金, 津贴
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resignation,"n. 辞职, 辞呈, 听从
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assimilation,"n. 同化, 同化作用, 吸收
"
resemblance,"n. 相似处, 类似, 肖像"
similarity,"n. 类似, 类似处
"
simulate,"vt. 模拟, 假装, 模仿
"
simulation,"n. 模拟, 假冒物, 模仿
"
simultaneous,"a. 同时的, 同时发生的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
insistent,"a. 坚持的, 迫切的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
snob,"n. 势利的人, 假内行"
snobbish,"a. 自命不凡的, 势利的"
association,"n. 协会
"
sociology,"n. 社会学
"
sociologist,"n. 社会学家
"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
console,"vt. 安慰, 藉慰
n. 控制台
"
consolation,"n. 安慰, 令人安慰的事物
"
desolate,a. 荒凉的
solitary,"n. 独居者
a. 孤独的, 独居的"
solitude,"n. 孤独, 单独, 孤寂"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
soloist,"n. 独奏者, 独唱者"
solar,"a. 太阳的, 日光的, 源自太阳的
"
solemn,"a. 严肃的, 郑重的, 庄严的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
solidarity,"n. 团结, 团结一致, 共同一致
"
solidify,"v. (使)凝固, (使)团结, 巩固"
dissolve,"v. 溶解, 解散"
dissolution,"n. 分解, 溶解, 解散, 结束
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
supersonic,"a. 超声波的
"
ultrasonic,"n. 超声波
a. 超音速的"
sophisticated,"a. 复杂的, 久经世故的
"
absorption,"n. 吸收, 专心, 全神贯注
"
spacious,"a. 广大的, 宽广的"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
"
conspicuous,"a. 显著的, 显眼的, 出众的"
despise,vt. 轻视
inspector,"n. 检查员, 巡视员
"
inspection,"n. 检验, 检查, 视察
"
irrespective,"a. 不顾的, 无关的, 没关系的"
prospective,"a. 预期的, 将来的
"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
species,"n. 种, 类, 外形
"
specification,"n. 规格, 详述, 详细说明书
"
specimen,"n. 样品, 标本, 试料
"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spectator,"n. 观众, 目击者, 旁观者"
spectrum,"n. 光谱, 范围, 系列
"
speculate,"vi. 深思, 推测, 投机
"
