precise,"a. 精确的, 严谨的, 明确的
"
reality,"n. 实在, 事实, 实体, 逼真
"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
diverse,"a. 不同的, 变化多的"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
argument,"n. 争论, 论证, 论据, 自变量
"
mainland,"n. 大陆, 本土
"
beneath,"prep. 在...下方
adv. 在...下方"
necessary,a. 必要的；必然的；必需的
waitress,"n. 女侍者, 女服务员"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
protect,"vt. 防卫, 保护, 警戒
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
railway,"n. 铁路, 轨道
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
passenger,"n. 乘客, 旅客
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
expect,"vt. 预期, 盼望, 期待"
botany,"n. 植物学
"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
bride,n. 新娘
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
technique,"n. 技巧, 技术, 方法
"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
videophone,n. 电视电话
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
victim,"n. 受害人, 牺牲者, 牺牲品
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
eagle,"n. 鹰, 鹰状标饰"
administration,"n. 行政, 管理, 政府机关
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
dictation,"n. 听写, 口述, 命令"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
assess,"vt. 估定, 对...征税, 评定
"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
rob,"v. 抢夺, 抢掠, 剥夺"
comrade,"n. 同志, 伙伴"
luggage,"n. 行李, 皮箱"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
analyze,"vt. 分析, 细察, 分解
"
bandage,"n. 绷带
"
injure,"vt. 伤害, 损害, 使受冤屈
"
discourage,"vt. 使气馁, 阻碍"
anecdote,"n. 轶事, 奇闻"
statesman,n. 政治家
transparent,"a. 透明的, 显然的, 清晰的
"
mourn,"v. 哀悼, 忧伤, 服丧"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
defence,"n. 防卫, 防卫设备
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
pronunciation,"n. 发音, 读法"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
wooden,"a. 木制的, 呆笨的, 木然的"
believe,v. 相信
invent,"vt. 发明, 创作, 虚构
"
conclusion,"n. 结论, 结尾, 推论
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
left-handed,惯用左手的
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
forever,adv. 永远
mailbox,"n. 邮筒, 邮箱
"
skyscraper,"n. 摩天楼, 三角形天帆"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
condemn,"vt. 判刑, 责备, 谴责
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
competitor,"n. 竞争者
"
scores,"n. 大量, 众多; 二十( score的名词复数 ); （游戏或比赛中的）得分; 大量; 百分数"
education,"n. 教育, 训练, 教育学
"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
population,"n. 人口, 人口数
"
assistance,"n. 协助, 援助
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
fairness,"n. 晴朗, 光明正大, 美丽
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
clinic,"n. 诊所, 临床教学
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
attain,"vt. 达到, 获得
vi. 达到"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
depend,"vi. 靠, 视...而定, 信赖"
typical,"a. 典型的, 象征性的
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
determination,"n. 决心, 果断
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
pleased,"a. 高兴的, 喜欢的, 满足的"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
novelist,n. 小说家
bacon,"n. 熏猪肉
"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
energetic,"a. 精力充沛的, 积极的"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
ambiguous,"a. 不明确的, 模棱两可的
"
microwave,"n. 微波
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
sneeze,"n. 喷嚏
vi. 打喷嚏"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
encourage,"vt. 鼓励, 支持, 激励
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
equipment,"n. 装备, 设备, 才能
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
questionnaire,"n. 调查表, 问卷
"
fiction,"n. 小说, 虚构故事
"
description,"n. 描述, 说明, 种类
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
convince,"vt. 说服, 使相信
"
reception,"n. 接待, 接受, 招待会
"
intelligence,"n. 智力, 情报, 信息
"
battle,"n. 战役
v. 战斗"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
changeable,a. 可改变的
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
mountain,"n. 山, 山脉, 大堆"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
worldwide,a. 全世界的
unconditional,"a. 无条件的, 无限制的, 绝对的
"
collision,"n. 碰撞, 冲突, 抵触
"
so-so,"勉强过得去, 一般"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
beach,n. 海滩
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
disagree,"vi. 不一致, 不适宜
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
fragile,"a. 易碎的, 脆的
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
adaptation,"n. 适应, 改编, 改编本
"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
decade,"n. 十年, 十"
admission,"n. 准许进入, 入场费, 录用, 承认
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
bank,"n. 银行, 堤, 岸
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
constitution,"n. 构成, 宪法, 体格
"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
afford,"vt. 买得起, 足以, 给予"
silly,"a. 愚蠢的, 糊涂的"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
postcard,n. 明信片
production,"n. 制造, 生产, 产物
"
pollution,"n. 污染, 玷污
"
motorcycle,"n. 摩托车
"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
appreciation,"n. 感激, 赏识, 鉴别
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
cubic,"a. 立方体的, 立方的
"
revision,"n. 校订, 修正, 修订本, 修订版
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
output,"n. 输出, 产品, 产量
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
controversial,"a. 争论的, 论争的, 被议论的"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
idiom,"n. 习语, 成语, 惯用语法, 方言"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
differ,"vi. 不一致, 不同
"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
principle,"n. 原则, 原理, 主义
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
millionaire,"n. 百万富翁, 大富豪
"
hurricane,"n. 飓风, 暴风, 暴风雨"
insure,"vt. 保险, 确保
vi. 投保"
empire,"n. 帝国, 帝权"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
easy-going, 从容不迫的
exist,"vi. 存在, 生存, 发生"
direction,"n. 方向, 指导, 趋势
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
endless,"a. 不停的, 无穷尽的, 无尽的
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
tourism,"n. 观光业, 游览
"
boring,"a. 烦人的, 无聊的, 无趣的
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
bachelor,"n. 单身汉, 学士
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
necklace,n. 项链
penny,"n. 便士, 一分, 小钱, 点滴
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
creature,"n. 人, 动物, 创造物, 生物"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
personnel,"n. 人员, 人事部门, 人事科(处)
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
attractive,"a. 吸引人的, 有魅力的
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
brewery,"n. 啤酒厂, 酿酒厂
"
oxygen,"n. 氧
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
bakery,n. 面包店
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
otherwise,"adv. 否则, 不同地, 别的方式"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
district,"n. 区域, 地方
"
burglar,"n. 窃贼
"
download,"[计] 卸载, 下栽"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
yoghurt,"n. 酸乳, 酸奶"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
vague,"a. 含糊的, 不清楚的, 茫然的"
department,"n. 部门, 系, 机关
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
faith,"n. 信心, 信任, 忠实, 保证
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
truly,"adv. 真实地, 不假"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
disabled,"a. 残废的, 有缺陷的, 失效的
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
defend,"vt. 防护, 辩护, 防卫
"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
willing,"a. 乐意的, 自愿的, 甘愿的"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
indicate,"vt. 显示, 象征, 指示, 指出
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
reasonable,"a. 合理的, 明理的, 适当的
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
federal,"a. 联邦的, 联合的, 同盟的
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
overcoat,n. 外套大衣
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
anxious,"a. 忧虑的, 发愁的, 渴望的"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
passer-by,n. 过路人; 经过者
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
conscience,"n. 良心
"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
altitude,"n. 高度, 海拔, 高处
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
congratulate,"vt. 祝贺, 庆贺"
acquisition,"n. 获得, 获得物
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
boundary,"n. 边界, 分界线
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
messy,"a. 散乱的, 污秽的, 麻烦的"
arise,"vi. 站立, 出现, 起来"
determine,"v. 决定, 决心"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
ripen,"vt. 使成熟
vi. 成熟"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
expectation,"n. 期待, 指望, 展望
"
corporation,"n. 公司, 合作, 法人团体
"
statement,"n. 陈述, 指令, 声明
"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
explanation,"n. 解释, 说明, 辩解, 表明
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
