finale,"n. 结局, 最后乐章, 终曲"
bullpen,"n. <美>牛栏,<口>大房间(尤指候审犯人用的),[棒球]候补队员区"
exodus,"n. 大批的离去
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
bystander,"n. 旁观者, 目击者
"
untrue,"a. 不真实的, 不正确的, 不忠实的
"
munch,"v. 用力咀嚼, 大声咀嚼"
compulsive,"a. 强制的, 强迫的
"
paramilitary,a. 辅助军事的
woven,weave的过去分词
flannel,"n. 法兰绒, 法兰绒衣服"
cock,"n. 公鸡, 雄禽, 龙头, 头目, 锥形小干草堆
vt. 使耸立, 使竖起, 堆成锥形小干草堆
vi. 大摇大摆地走, 翘起"
blinding,"a. 使人眩目的, 使人失去判断力的
n. 碎石子"
bliss,"n. 福佑, 天赐的福
"
recital,"n. 背诵, 吟诵, 详述
"
infertility,"n. 不肥沃, 不毛
"
warship,"n. 军舰, 战船"
adjoining,"a. 邻接的, 毗连的
"
tunic,"n. 束腰外衣
"
rushing,a. 急流的；旺盛的
infidelity,"n. 不信神, 无信仰, 背信"
specialization,"n. 专业化, 特殊化, 专门化
"
bearer,"n. 带信人, 票据持有人, 搬运者
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
digestive,"a. 消化的, 助消化的
n. 助消化药"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
probing,[电] 探求
vice-president,"副总裁, 副总统
"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
illegitimate,"a. 不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的
n. 无合法身份的人
vt. 宣告...为非法, 证明...为私生"
meteorite,"n. 陨星
"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
aha,interj. 啊哈
burnt,burn的过去式和过去分词
conceivably,"adv. 想得到地, 想象上, 以为"
disqualify,"vt. 使不适合, 取消...资格"
snug,"a. 舒适的, 温暖的, 整洁的, 紧身的, 隐藏的
vt. 使整洁干净, 使紧身, 隐藏"
serviceman,"n. 军人, 维修人员
"
nonstick,a. 锅底不粘的
scheduling,"n. 行程安排, 时间表制定
"
plumber,"n. 水管工人
"
conservationist,n. 自然资源保护论者
Jesuit,"n. 耶稣会信徒, 阴险的人, 阴谋家"
scholastic,"a. 学校的, 学校教育的, 学者的, 学究的
n. 经院哲学家, 学究, 墨守成规者, 学生"
postoperative,"a. 手术后的
"
itch,"n. 痒, 渴望, 疥疮
vi. 发痒, 渴望"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
undeniable,a. 不可否认的
formality,"n. 礼节, 拘谨, 正式手续
"
chrome,"n. 铬, 铬合金
"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
assemblage,"n. 集合, 装配, 一群人
"
right-hand,右手
polity,"n. 政体, 国体, 政治组织
"
logistical,a. 逻辑的; 后勤方面的
tsunami,n. 海啸
incompetence,"n. 不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
muffled,a. 听不清的；蒙住的
processed,"a. 处理的, 加工过的"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
desolate,a. 荒凉的
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
Koran,n. <<可兰经>>
harp,"n. 竖琴
vi. 弹奏竖琴, 不停地说"
pumping,"n. 抽水, 泵送
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
spreadsheet,"n. 空白表格程序, 电子制表软件, 电子数据表
"
amino,"a. 氨基的
"
sequential,"a. 继续的, 后果的
"
summertime,"n. 全盛时期, 夏季"
wherein,"adv. 在哪方面, 在那方面"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
wee,"a. 很小的, 微小的
n. 一点点"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
ethnically,"adv. 人种上, 民族上"
sculpt,"v. 雕刻, 造型"
Welsh,"a. 威尔士的
n. 威尔士人
vi. 赖赌帐, 逃避责任"
workstation,"n. 工作站
"
momentary,"a. 瞬间的, 刹那间的"
prophetic,"a. 预言的, 先知的, 预示的"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
whiff,"n. 一吹, 一吸, 一阵, 一点点, 一口烟
vi. 轻轻地吹, 喷气, 三击不中出局, 垂钓
vt. 吹送, 喷出, 吸, 使三击不中出局"
artichoke,"n. 朝鲜蓟
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
creed,"n. 宗教信条, 教义, 纲领"
relaxing,a. 令人轻松的
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
POW,[网络] 监牢里面的战争犯
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
unwelcome,"a. 不受欢迎的, 讨厌的
n. 冷淡
vt. 冷淡地对待, 冷淡地接受"
defending,v. 辩护( defend的现在分词 ); 保卫; （足球、曲棍球等）防守; 进行辩护
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
spectral,"a. 光谱的, 鬼怪的, 幻觉的
"
seamless,"a. 无缝的, 无缝合线的
"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
analytic,"a. 分析的, 善于分析的, 解析的
"
instill,"vt. 滴注, 慢慢地灌输"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
poppy,"n. 罂粟
"
preferential,"a. 优先的, (关税等)优惠的
"
skew,"a. 斜的, 歪的
n. 歪斜, 偏态家庭关系
vi. 歪斜, 侧转
vt. 使歪斜, 曲解
"
hangar,"n. 棚厂, 飞机库"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
mythic,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
suspiciously,adv. 猜疑地；怀疑地
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
facilitator,n. 服务商；促进者
communist,"n. 共产主义者, 共产党员
"
grapefruit,n. 葡萄轴
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
ram,"n. 公羊, 撞锤
vi. 猛击, 撞
vt. 猛击, 填塞, 反复灌输
n. 只读内存, 随机存取内存, 随机存取存储器
"
lapel,n. 翻领
rapport,"n. 关系, 融洽, 一致
"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
tuxedo,"n. 无尾礼服, 男小礼服"
compulsion,"n. 强迫, 强制
"
unimaginable,"a. 不能想象的, 不可思议的"
fender,"n. 防卫物, 挡泥板"
windfall,"n. 被风吹落的果子, 横财
"
gilded,"a. 镀金的, 有钱的, 装饰的
gild的过去式和过去分词"
papal,"a. 罗马教皇的, 教皇制度的"
dissolution,"n. 分解, 溶解, 解散, 结束
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
anesthesia,"n. 麻醉, 麻木
"
devotee,"n. 爱好者, 献身者, 虔诚的宗教信徒"
resin,"n. 树脂
vt. 涂树脂于"
stinging,"a. 刺人的, 刺一般的, 激烈的"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
battleground,"n. 战场, 战地"
supplant,"vt. 排挤掉, 代替"
religiously,"adv. 虔诚而经常地, 笃诚地"
seeming,"a. 表面上的
n. 外观"
conduit,"n. 导管, 水管, 沟渠
"
teddy,n. 连衫衬裤；泰迪玩具熊
mammogram,[医] 乳房X线照片
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
parity,"n. 同等, 同位, 平价, 奇偶性
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
fresco,"n. 湿壁画, 湿壁画技法
vt. 作湿壁画于"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
ashtray,n. 烟灰缸
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
sexism,"n. 性别歧视, 歧视女性"
spirited,"a. 有精神的, 活泼的, 生气勃勃的"
sexist,n. 性别歧视者
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
oppressed,"a. 受压制的, 受压迫的"
disintegration,"n. 瓦解
"
awakening,"n. 唤醒, 觉醒, 被唤起
a. 觉醒中的"
stupidity,"n. 愚蠢, 糊涂事
"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
nobility,"n. 贵族, 高尚, 贵族阶级"
masked,"a. 戴假面具的, 隐现的, 伪装的
"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
inequity,"n. 不公平, 不公正"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
patriot,"n. 爱国者, 爱国主义者"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
morgue,"n. 陈尸所
"
tango,"n. 探戈舞, 探戈舞曲
vi. 跳探戈舞"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
clear-cut,"adj. 清晰的
"
sill,"n. 基石, 槛, 窗台, 岩床, 海底山脊, 梁"
deterrence,"n. 威慑, 威慑力量
"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
his/her,[网络] 物主代词
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
biomedical,a. 生物医学
vascular,"a. 血管的, 维管的
"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
mite,"n. 尽绵薄之力的捐献, 细微, 微少, 螨
"
interdependence,n. 互相依赖
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
biceps,"n. 二头肌, 臂部肌肉
"
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
instrumentation,"n. 乐器法, 仪器制造学, 仪表化
"
metropolis,"n. 大都市, 重要中心, 首府
"
hip-hop,n. 希普霍普
detached,"a. 超然的, 分离的, 冷淡的
"
affectionate,"a. 深情的, 充满情爱的"
incarceration,"n. 下狱, 监禁, 禁闭
"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
quirk,"n. 古怪举动, 俏皮话, 急转"
antler,n. 鹿角
earned,a. 挣得的
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
counteract,"vt. 抵消, 阻碍, 中和
"
magnesium,"n. 镁
"
bluntly,"adv. 坦率地, 率直地"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
hardened,a. 变硬的；坚定的
duet,n. 二重奏
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
accrue,"vi. 自然增加, 产生
"
delinquency,"n. 行为不良, 失职
"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
solemnly,adv. 庄严地；严肃地
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
sesame,"n. 芝麻
"
campground,n. 露营场所；野营地
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
state-owned, 国营的; 国有的
twenty-eight, 二十八
crimson,"n. 深红色
a. 深红色的
v. (使)变为深红色, 脸红"
airtight,"a. 气密的, 不透气的, 无懈可击的
"
five-year-old,[网络] 五岁
free-market,"自由市场
"
aforementioned,"a. 上述的, 前述的
"
utterance,"n. 发声, 言辞, 表达, 说话的方式, 死
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
vignette,n. 装饰图案；小插图
prized,a. 被看作最有价值的
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
anti-American,a. 反美的
migratory,"a. 迁移的, 流浪的"
tubing,"n. 管料, 管道系统, 管状组织
"
litany,"n. 连祷, 连续"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
real-time,
dynamite,"n. 炸药
vt. 炸毁, 破坏"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
illustrator,"n. 插画家, 图解者, 说明者"
for-profit, [法]以营利为目的
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
Albanian,n. 阿尔巴尼亚人
concussion,"n. 剧烈摇动, 震荡
"
detour,"n. 绕路, 迂回
v. (使)绕道"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
lovingly,"adv. 钟爱地, 亲切地"
exude,"v. (使)流出, (使)渗出"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
self-control,"n. 克己；自制
"
citizenry,"n. 市民
"
rind,"n. 树皮, 壳, 外表
vt. 削皮, 剥壳"
lifeless,"a. 无生命的, 无趣味的, 死气沉沉的"
regal,"a. 帝王的, 适于帝王的"
polio,"n. 脊髓灰质炎, 小儿麻痹症
"
proton,"n. 质子
"
potassium,"n. 钾
"
incest,"n. 近亲相奸, 乱伦
"
smack,"n. 风味, 滋味, 少量, 拍击声, 咂嘴声, 小渔船, 海洛因
vi. 有味道, 咂嘴, 发出拍击声
vt. 拍, 打, 掴, 咂, 出声地吻
adv. 啪地一声, 猛然"
flicker,"n. 闪烁, 闪光, 颤动
vi. 闪动, 闪烁, 摇动, 扑动翅膀
vt. 使摇曳, 使闪烁"
eater,"n. 吃...的人, 生吃的水果, 美味的水果"
assured,"a. 确定的, 自信的
"
ultrasound,"n. 超声
"
meltdown,"[经] 销毁(货币等), 变卖(财产)"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
warlord,"n. 军阀, 军阀式领袖"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
civility,"n. 礼貌, 礼仪"
neutrality,"n. 中立, 不偏不倚, 中间状态
"
overrule,"vt. 统治, 威压, 打败, 驳回
"
earmark,"n. 耳上记号, 特征, 记号, 标记
vt. 在耳朵上做记号, 标记, 指定...作特定用途"
aerobics,n. 有氧运动法；增氧健身法
decisively,adv. 果断地；决然地
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
burnout,"n. 烧尽, 烧坏, 熄火
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
joyous,"a. 快乐的, 高兴的"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
disgruntled,"a. 不满意的, 满腹牢骚的, 不高兴的"
anti-depressant,n. 抗抑郁药; 使人放松（或快乐）的事物；解忧良药
drilling,"n. 演练
"
fourteenth,"num. 第十四, 十四分之一"
quintessential,"a. 精萃的, 精髓的, 典范的"
impossibly,"adv. 不可能地, 难以置信地"
engraving,"n. 雕刻, 镌版术, 雕版"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
grimly,"adv. 严格地, 冷酷地, 可怕地"
hijacker,"n. 强盗, 劫盗, 劫持犯
"
Finnish,"n. 芬兰语
a. 芬兰的, 芬兰人的, 芬兰语的"
untreated,[化] 未经处理的
wasted,a. 浪费的
flowering,"a. 开花的
n. 开花, 饰以花"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
second-largest,[网络] 第二大
weaving,[机] 织动
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
high-ranking,高级的
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
sentencing,"[法] 判决, 宣判"
telegram,"n. 电报, 一封电报
"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
squeak,"n. 吱吱声, 侥幸
vi. 吱吱叫, 告密, 侥幸成功
vt. 以短促尖声发出"
cede,"vt. 割让
"
week-long, 持续一星期的；为期一周的
toughness,"n. 有粘性, 强硬, 强健
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
particulars,"n. 细节, 详细情况, 详情
"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
freestyle,n. 自由式
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
extremist,[经] 偏激份子
faithfully,"adv. 忠实地, 诚心诚意地, 深信着地"
alright,a. 没问题的
kickoff,"n. 开球, 开始, 肇始"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
decreased,"v. （使）缩短, 减小, 减少( decrease的过去式和过去分词 )"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
intermittent,"a. 间歇的, 断断续续的
"
haunted,"a. 常出现鬼的, 闹鬼的"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
seaside,"a. 海边的, 海滨的
n. 海滨"
tulip,n. 郁金香
camaraderie,n. 友情；同志之爱
inventive,"a. 善于创造的, 发明的"
anti-abortion,adj. 反对堕胎的
heartfelt,"a. 衷心的, 真心真意的"
UFO,[网络] 不明飞行物；哈罗；好交通工具了
Islamist,n. 伊斯兰教主义者；回教教徒
twenty-seven, 二十七
panelist,"n. 专门小组成员, 演出小组成员, 参加电视公开讨论会的成员, 答问小组的成员"
horribly,"adv. 可怕地, 非常地"
feeble,"a. 微弱的, 衰弱的, 无效的
"
buff,"n. 暗黄色, 暗黄色皮革, 人的皮肤
vt. 擦亮, 使柔软
a. 暗黄色的"
bellow,v. 怒吼
agrarian,"a. 土地的, 耕地的
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
paved,v. 铺( pave的过去式和过去分词 ); 为…铺平道路
enamel,"n. 珐琅, 瓷釉
vt. 涂以瓷釉, 彩饰"
stow,"vt. 收藏, 装填, 贮藏, 装满, 使暂留, 堆垛
"
reliever,"n. 解除痛苦的人, 接替者, 救济者"
sunken,"a. 沉没的, 下凹的
sink的过去分词"
dick,"n. 家伙, 词典, 誓言(书)
"
impartial,"a. 公平的, 不偏不倚的
"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
triangular,"a. 三角形的, 三人间的
"
prickly,"a. 多刺的, 满是针刺的, 针刺般痛的"
casing,"n. 箱, 盒, 包装, 框, 套管
"
unsalted,a. 新鲜的
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
sandstone,"n. 沙岩
"
overpower,"vt. 击败, 打胜, 克服"
wand,"n. 棒, 棍, 杖"
heyday,"n. 全盛期
interj. 嘿"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
indignation,"n. 愤怒, 愤慨, 义愤"
disproportionately,"adv. 不匀称, 不相称"
timeline,"n. 时间轴, 时间表"
skillful,"a. 熟练的, 巧妙的
"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
coercive,"a. 强制的, 强压的, 强迫的
"
snarl,"vi. 吼叫, 怒骂, 缠结
vt. 咆哮着说, 搞乱, 使缠结
n. 咆哮, 吼叫, 怒骂, 缠结, 混乱"
coveted,"a. 令人垂涎的; 垂涎的, 梦寐以求的
v. 贪求, 觊觎(covet的过去分词); 垂涎; 贪图"
dumbbell,"n. 哑铃
"
engrave,"vt. 刻上, 雕刻, 铭记"
cervical,"a. 颈的, 子宫颈的
"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
originality,"n. 创意, 新奇, 独创能力, 原始"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
pouring,"[机] 浇铸, 浇注"
clinch,"n. 钉牢
v. 敲弯, 用臂钳住"
countryman,"n. 同胞, 乡下人, 国民"
toxicity,"n. 毒性
"
yearning,"n. 渴望, 热望, 怀念
a. 热望的, 渴望的, 怀念的, 向往的"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
bravery,n. 勇敢
faraway,"a. 遥远的, 恍惚的, 出神的"
mayhem,"n. 蓄意的破坏, 故意的伤害罪
"
darn,"n. 织补
v. 织补"
crescent,"n. 新月, 新月形(物)
a. 新月形的, 逐渐增加的"
airway,"n. 空中航线, 风道
"
soaked,a. 湿透的
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
iconic,[计] 图标的
dishonest,"a. 不诚实的
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
boyhood,n. 少年时代
panties,n. 女式短裤
oblivion,"n. 遗忘, (头脑的)一片空白状, 湮没, 大赦, 赦免
"
evict,"vt. 逐出, 赶出, 驱逐
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
baton,"n. 指挥棒, 接力棒, 警棍"
inhibition,"n. 禁止, 抑制, 压抑
"
tasting,"n. 品尝, 尝味"
admiral,"n. 舰队司令, 海军上将, 旗舰"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
self-help, 自助救助
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
predicted,"v. 预言, 预测, 预示( predict的过去式和过去分词 )"
raccoon,"n. 浣熊, 浣熊毛皮"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
white-collar,"adj. 白领
"
engineered,"a. 设计的, 工程"
correctional,"a. 改正的, 修正的, 矫正的"
rotor,"n. 转子, 旋筒, 转动体
"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
wording,"n. 用词, 措词"
handlebar,"n. 手把, 八字胡"
arson,"n. 纵火, 纵火罪
"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
mountainous,"a. 多山的, 如山的, 巨大的"
versatility,"n. 多用途, 多才多艺, 易变"
unarmed,"a. 没有武装的, 非武装的, 徒手的, 手无寸铁的, 无突的, 无刺的"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
concealed,"a. 隐蔽的, 隐匿的"
purposely,adv. 故意地
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
clone,"n. 无性系
"
indistinguishable,"a. 不能辨别的, 不能区别的"
accumulated,a. 累计的；累积的；达到
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
thyroid,"a. 甲状腺的, 甲状的, 甲状软骨的
n. 甲状腺, 甲状软骨, 甲状腺剂"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
runner-up,n. 亚军; [体]第二名
seduction,"n. 教唆, 怂恿, 诱惑, 诱惑物, 诱饵
"
demo,"n. 演示, 样本唱片
"
horseman,"n. 骑马者, 马术师, 养马者"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
swinging,"a. 极大的, 大幅度的, 大量的, 极好的, 大力的, 极有力的, 活跃的, 时髦的
adv. 极大地, 非常地"
snowflake,"n. 雪片, 雪花, 雪片莲"
eighteenth-century,[网络] 十八世纪的美术
mounted,"a. 安在马上的, 裱好的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
watchful,"a. 注意的, 警戒的, 警醒的, (时间)醒着换过的"
exertion,"n. 努力, 发挥, 运用
"
absurdity,"n. 荒谬, 悖理, 荒谬的言行"
hijack,"vt. 抢劫, 劫持, 敲诈
"
dissent,"n. 异议
vi. 持异议, 不同意"
negate,"vt. 否定, 否认, 取消
"
dosage,"n. 剂量, 用量, 配药
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
contested,"v. 争夺, 竞争( contest的过去式和过去分词 ); 争辩, 提出异议"
falsely,"adv. 虚伪地, 错误地, 不实地"
