economy,"n. 经济, 理财, 节约
"
colonial,"a. 殖民的, 殖民地的
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
moreover,"adv. 而且, 此外"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
firmly,"adv. 坚固, 坚定, 断然"
affirm,"v. 断言, 确认"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
affirmation,"n. 肯定, 断言, 证实
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confirmation,"n. 证实, 证明, 批准, 确认
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
boundary,"n. 边界, 分界线
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
foundation,"n. 基础, 根据, 建立
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
merely,adv. 只
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
severity,"n. 严格, 朴素, 激烈"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
sincerity,"n. 诚实, 真实, 诚心诚意"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interference,"n. 冲突, 干涉
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elimination,"n. 除去, 消除, 消灭
"
dominate,"v. 支配, 占优势"
domination,"n. 支配, 控制, 管辖"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
dominant,"a. 占优势的, 支配的
"
nominate,"vt. 提名, 任命, 命名
"
nomination,"n. 提名, 任命, 提名权"
nominee,"n. 被提名者, 被任命者
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
predominance,"n. 主导地位, 优势"
predominant,"a. 占主导地位的, 卓越的
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
discriminate,"v. 区别, 差别待遇"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
discriminatory,"a. 有辨识力的, 有差别的"
discrimination,"n. 差别, 岐视, 辨别力
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
cruel,"a. 残酷的, 令人极痛苦的
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
crucial,"a. 决定性的, 重要的, 严厉的
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptation,"n. 适应, 改编, 改编本
"
adaptive,"a. 适应的, 能适应的"
adaptable,"a. 能适应的, 适合的, 可修改的"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
rewarding,"a. 有益的, 有报酬的, 报答的"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
awkward,"a. 笨拙的, 棘手的"
coward,"n. 懦弱的人, 胆小的人"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
cowardice,n. 懦弱
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
battery,"n. 电池, 殴打
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flattery,"n. 谄媚, 阿谀, 巴结"
latter,"a. 后者的, 较后的, 近来的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scattered,"a. 分散的, 散乱的
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
ranking,"n. 等级, 地位
a. 上级的, 头等的, 超群的"
make waves,兴风作浪
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitalist,"n. 资本家, 资本主义者
a. 资本主义的"
capitalism,"n. 资本主义
"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
capacity,"n. 容量, 能力, 才能, 资格
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
handicapped,"a. 残疾的
"
debt,"n. 债务, 罪过
"
debtor,"n. 债务人, 借主, 借方
"
indebted,"a. 负债的, 受惠的
"
debut,"n. 初次登台, 开张
v. 初次登台"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
bunch,"n. 串, 束
"
crunch,"v. 嘎吱嘎吱的咬嚼, 压碎, 嘎吱嘎吱地踏过
n. 咬碎, 咬碎声"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentality,"n. 精神力, 智力, 头脑作用, 心态
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
metallic,"a. 金属的, 含金属的, 产生金属的
"
metabolism,"n. 新陈代谢, 变态
"
metabolic,"a. 变化的, 变形的, 新陈代谢的
"
metaphor,n. 隐喻
metaphorical,"a. 隐喻性的, 比喻性的"
unique,"a. 独一无二的, 独特的, 稀罕的"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
reunite,v. (使)再联合
unity,"n. 一致, 联合, 单一(性), 个体
"
united,"a. 联合的, 团结的, 一致的, 和睦的
"
unify,"v. 统一, 使成一体"
unification,"n. 统一, 联合, 一致
"
union,"n. 联盟, 联合, 结合, 工会
"
reunion,"n. 团圆, 重聚
"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
readily,"adv. 迅速地, 轻易地, 乐意地"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
steadily,"adv. 稳定地, 无变化地, 有规则地"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
breadth,"n. 宽度
"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
cardboard,"n. 薄纸板
"
chalkboard,n. 黑板
cupboard,"n. 食橱, 碗柜, 餐具柜"
keyboard,"n. 键盘
"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
pushy,"a. 粗鲁的, 固执己见的, 好胜而爱出风头的"
bush,"n. 矮树丛
"
bushy,"a. 灌木一样的, 灌木茂密的, 浓密的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
brushstroke,"n. 一笔, 一画, 绘画的技巧"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
rushed,a. 匆忙的；贸然的
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
shrug,"n. 耸肩
v. 耸肩"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
digit,"n. 数字, 位数, 指头
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
dignify,"vt. 增威严, 使高贵, 故作显贵"
dignity,"n. 尊严, 高贵
"
on the part of sb.,"就...而言, 在...一边, 由...表现出来的, 由...所经历的, 由...所作出的
"
on sb.'s part,无
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
enhance,"vt. 提高, 加强, 增加"
enhancement,"n. 提高, 美化, 增进, 增强, 增加
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
distant,"a. 远的, 疏远的
"
distance,"n. 距离, 远方, 遥远
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
financial,"a. 财政的, 金融的
"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
surveillance,"n. 监视, 监督
"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
favorable,"a. 有利的, 赞许的, 良好的"
flavor,"n. 滋味, 调味品
vt. 加味于"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
memorize,"vt. 记住, 熟记, 背熟"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
"
commemorate,vt. 纪念
commemoration,"n. 纪念, 纪念物, 庆典"
remembrance,"n. 回想, 记忆, 纪念品, 记忆力, 问候, 致意"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
periodically,"adv. 定期, 循环, 间歇, 周期, 定期刊行, 期刊"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
postage,"n. 邮资
"
postman,"n. 邮递员
"
poster,"n. 海报, 招贴, 驿马"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
postponement,"n. 延迟, 延期
"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
theoretician,n. 理论家
therapy,"n. 治疗
"
therapist,"n. 治疗学家
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
mobility,"n. 可动性, 流动性, 机动性
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
high-profile, 鲜明的姿态
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
chiefly,adv. 主要地
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
briefing,"n. 简报
"
briefcase,n. 公事包
chef,n. 厨师
explore,"v. 探险, 探测, 探究"
exploration,"n. 探险, 踏勘, 探测
"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
explosion,"n. 爆发, 激增, 爆炸(声)
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitation,"n. 开发, 开采, 剥削
"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
weakness,"n. 虚弱, 薄弱, 弱点
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
opinion,"n. 意见, 评价, 主张
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
regional,"a. 地方的, 地域性的
"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
recruitment,"n. 新兵征召
"
fruitful,"a. 结果实的, 多实的, 产量多的"
fruitless,"a. 不结果的, 不长果实的, 无子的"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
regretful,"a. 惋惜的, 遗憾的, 抱歉的"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basement,"n. 地下室, 墙脚
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basics,"n. 最简单但最重要的部分, 基本, 基础训练"
basically,"adv. 基本上, 主要地"
basis,"n. 基础, 主要成分
"
basin,"n. 盆, 盆地
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
prevention,"n. 阻止, 妨碍, 预防
"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
convention,"n. 大会, 协定, 惯例, 约定
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
conventional,"a. 传统的, 习惯的, 约定的
"
the printed page,无
invent,"vt. 发明, 创作, 虚构
"
invention,"n. 发明, 创作能力, 虚构的故事
"
inventive,"a. 善于创造的, 发明的"
inventor,"n. 发明家
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
dietary,"a. 饮食的
n. 规定食物"
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originality,"n. 创意, 新奇, 独创能力, 原始"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
virginity,"n. 处女身份, 处女贞洁, 童贞
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
margin of profit,"[经] 利润边际, 利润限度"
profit margin,"利润率
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
marginally,"adv. 记在页边, 有旁注, 边缘, 边沿地区, 边际, 限界, 勉强够格, 无关紧要, 少量"
marginalize,"vt.使处于社会边缘,使脱离社会发展进程, 忽视,排斥"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
engineering,"n. 工程学, 工程, 操纵
"
prestige,"n. 声望, 威望, 威信
"
prestigious,a. 享有声望的
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligatory,"a. 义务的, 必须的, 强制性的
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
satisfied,a. 感到满意的
satisfactory,"a. 满意的, 赎罪的
"
dissatisfaction,"n. 不满, 不平"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
satire,"n. 讽刺文学, 讽刺"
satirical,"a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺作品的"
satirist,"n. 讽刺作者, 爱挖苦的人"
satellite,"n. 人造卫星
"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
sarcastic,"a. 讽刺的, 讥讽的"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
suitable,"a. 适当的, 相配的
"
suited,a. 适合的
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
heart attack,心脏病发作
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
welfare state,"福利国家
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
declare,"v. 宣布, 声明, 申报, 断言"
declaration,"n. 宣告, 说明, 宣布
"
declarative,"a. 宣言的, 陈述的, 说明的, 公告的
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accidentally,"adv. 偶然地, 意外地"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
incidentally,"adv. 伴随地, 偶然, 顺便"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
presidency,"n. 总统职权, 总裁职位"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
dressing,"n. 调味品, 穿衣, 化妆
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adolescence,"n. 青春期
"
condolence,"n. 哀悼, 吊唁"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternation,"n. 交互, 轮流, 间隔
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
alter,v. 改变
alteration,"n. 变更, 改动
"
hibernate,"vi. 过冬, 冬眠, 避寒"
hibernation,"n. 过冬, 冬眠, 避寒
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
massive,"a. 大而重的, 宽大的, 宏伟的
"
harass,"vt. 使困扰, 使烦恼, 折磨"
aware,"a. 知道的, 有觉悟的"
take a toll, 产生负面影响；造成损失
unaware,"a. 未认识到的, 不知道的
"
awareness,"n. 意识, 认识
"
beware,"v. 小心, 谨防"
hardware,"n. 硬件, 五金器具, 零件
"
software,"n. 软件
"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bondage,"n. 奴役, 束缚
"
fond,"a. 喜欢的, 宠爱的, 温柔的"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
chemistry,"n. 化学, 化学过程
"
chemist,"n. 化学家, 药剂师
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
biochemistry,"n. 生物化学
"
biochemical,"a. 生物化学的
"
biochemist,n. 生物化学家
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtyard,"n. 庭院, 天井"
courtesy,"n. 礼貌, 谦恭, 好意
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
underestimate,"n. 低估
vt. 低估, 看轻"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
climate,"n. 气候, 社会趋势, 气候区
"
climatic,a. 气候的
inmate,"n. 同住者, 被收容者
"
