abdomen,"n. 腹部
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
dwelling,"n. 住处
"
dynasty,"n. 朝代, 王朝"
eager,"a. 热心的, 渴望的, 热望的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
ecology,"n. 生态学, 社会生态学
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economics,"n. 经济学
"
edition,"n. 版本, 版, 翻版"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
educate,"vt. 教育, 培养, 训练"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
efficiency,"n. 效率, 效能, 功效
"
ego,"n. 自我
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
elderly,"a. 过了中年的, 稍老的"
electrical,"a. 电的, 有关电的
"
electrician,"n. 电学家, 电气技师, 电工
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electron,"n. 电子
"
electronic,"a. 电子的
"
element,"n. 元件, 元素, 要素
"
elevator,"n. 电梯, 升降机
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embassy,"n. 大使馆, 大使馆全体人员
"
emotion,"n. 情绪, 激动, 强烈的情感
"
emperor,"n. 皇帝, 君主"
emphasis,"n. 强调, 加强, 重点, 强语气"
empire,"n. 帝国, 帝权"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
employment,"n. 雇用, 职业, 工作
"
enclosure,"n. 附件, 围墙, 围绕
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endurance,"n. 忍耐, 忍耐力, 耐性
"
energetic,"a. 精力充沛的, 积极的"
engineering,"n. 工程学, 工程, 操纵
"
enhance,"vt. 提高, 加强, 增加"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
entertainment,"n. 娱乐, 款待, 娱乐表演"
enthusiasm,"n. 巨大的热情, 热心"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
equation,"n. 相等, 等式, 平衡
"
equator,"n. 赤道
"
equipment,"n. 装备, 设备, 才能
"
era,"n. 时代, 纪元, 时期"
erase,"vt. 抹去, 擦掉
"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
erroneous,"a. 错误的, 不正确的
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
essence,"n. 实质, 本质, 香精
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
evidence,"n. 根据, 证据, 迹象
"
evident,"a. 显然的, 明显的"
exceedingly,"adv. 极端地, 极度地, 非常"
excellent,"a. 优良的, 杰出的, 出色的"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
excerpt,"n. 摘录
v. 引用, 摘录"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
excitement,"n. 刺激, 兴奋
"
excursion,"n. 远足, 游览圆, 短程旅行
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
exemplify,"vt. 例证, 例示
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exhibition,"n. 表现, 展览会, 展览品
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
existence,"n. 存在, 生存
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
expedition,"n. 远征, 探险队, 迅速"
expend,"vt. 花费, 消耗, 用光"
expense,"n. 费用, 代价, 开支, 损失
"
experimental,"a. 实验的, 根据实验的
"
expertise,"n. 专家意见, 专门技术
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
explore,"v. 探险, 探测, 探究"
explosion,"n. 爆发, 激增, 爆炸(声)
"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
exposure,"n. 暴露, 揭发, 揭露
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
extent,"n. 范围, 程度, 区域
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
facility,"n. 容易, 灵巧, 设备
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fame,"n. 名望, 名声, 传说"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fantasy,"n. 幻想, 想象的产物
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favorable,"a. 有利的, 赞许的, 良好的"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
federal,"a. 联邦的, 联合的, 同盟的
"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
ferry,"n. 渡船, 渡口
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fiber,"n. 纤维, 构造, 纤维制品
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
financial,"a. 财政的, 金融的
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
fixture,"n. 固定(状态), 固定物, 设备
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
flu,"n. 流感, 流行性感冒"
fluent,"a. 流利的, 流畅的"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forehead,"n. 额, 前额, 前部
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
forthcoming,"a. 即将来临的
n. 来临"
fortnight,n. 两星期
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
foundation,"n. 基础, 根据, 建立
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
frequency,"n. 频率, 频数
"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
gaol,"n. 监禁, 监狱
vt. 监禁"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
garment,"n. 衣服, 衣装, 外表"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generate,"vt. 产生, 发生, 导致
"
generation,"n. 一代, 一世, 产生
"
generator,"n. 产生器, 发电机, 生产者
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
geology,"n. 地质学, 地质情况"
geometry,"n. 几何学
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
govern,"v. 统治, 支配, 管理"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
graceful,a. 优美的
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
graph,"n. 曲线图, 图表, 图形
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
gratitude,n. 感激之情
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
greeting,"n. 祝贺, 问候"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grin,"n. 露齿笑
v. 露齿而笑"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
grocer,n. 食品商
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
guidance,"n. 指导, 领导
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
gymnasium,"n. 健身房, 体育馆
"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
hall,"n. 门厅, 走廊, 会堂"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
handful,"n. 少数, 一把, 棘手事"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
handy,"a. 便利的, 敏捷的, 容易取得的
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
hardship,"n. 艰难, 辛苦, 苦难
"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
hatred,"n. 憎恨, 仇恨, 憎恶
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
heading,"n. 标题, 起始字, 方向
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
heir,"n. 继承人, 嗣子, 后嗣
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
henceforth,"adv. 自此以后, 今后"
herb,"n. 药草, 香草
"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
highland,"n. 高地, 苏格兰高地"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
historian,"n. 历史学家, 记事者"
historical,"a. 历史的, 史实的, 历史上的
"
hitherto,"adv. 迄今, 至今"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
horizon,"n. 地平线, 眼界, (天)视地平"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
horror,"n. 惊骇, 恐怖, 惨状
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hostage,"n. 人质, 抵押品
"
hostess,"n. 女主人, 女房东, 女老板"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
humidity,"n. 湿气, 潮湿, 湿度
"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
hurricane,"n. 飓风, 暴风, 暴风雨"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
hydrogen,"n. 氢
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
idiot,"n. 白痴, 极蠢之人
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
ignorance,"n. 无知, 愚味
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
illegal,"a. 违法的, 不合规定的
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
imaginary,"a. 想像的, 虚构的, 假想的"
imagination,"n. 想像, 听觉, 想像力
"
imaginative,"a. 想像的, 虚构的"
imply,"vt. 暗示, 意味
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
improvement,"n. 进步, 改善, 利用
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
incidentally,"adv. 伴随地, 偶然, 顺便"
inclusive,"a. 包含的, 包括的"
income,"n. 收入, 收益, 流入
"
increasingly,"adv. 逐渐地, 渐增地"
independence,"n. 独立, 自立, 自主
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indignation,"n. 愤怒, 愤慨, 义愤"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
industrialize,"vt. 使工业化
vi. 实现工业化"
infrared,"a. 红外线的
n. 红外线"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
inland,"a. 内陆的, 国内的
n. 内地"
inlet,"n. 进口, 插入物
"
input,"n. 输入, 输入电路
vt. 输入
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
installment,"n. 就职, 装设, 分期付款
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
institution,"n. 机构, 惯例, 制度
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
insure,"vt. 保险, 确保
vi. 投保"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
intelligent,"a. 聪明的, 智能的, 了解的"
intend,"vt. 计划, 打算, 意思是
"
intensity,"n. 强烈, 紧张, 强度
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intention,"n. 意图, 目的, 含义
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
invaluable,"a. 无价的, 价值无法衡量的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investigate,"v. 调查, 审查"
inward,"a. 内心的, 向内的, 本来的
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
irrespective,"a. 不顾的, 无关的, 没关系的"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
journal,"n. 日记, 杂志, 日报
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
jug,"n. 水壶, 监牢, 模仿夜莺的叫声
vt. 放入壶中, 炖, 关押
vi. 模仿夜莺叫"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
kidney,"n. 肾, 个性
"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
kindergarten,n. 幼稚园
kit,"n. 装备, 工具箱, 成套工具
"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
landlady,"n. 女房东, 女地主"
landlord,"n. 房东, 地主
"
lane,"n. 小路, 巷, 弄, 单行道"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
laptop,[计] 膝上型的
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lawn,"n. 草地, 草坪, 上等细麻布
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
layman,"n. 俗人, 门外汉, 凡人
"
leadership,"n. 领导能力, 领导阶层"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
leaflet,"n. 小叶, 传单
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
learning,"n. 学问, 学识, 学习
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
legal,"a. 法律的, 法定的, 合法的
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
liberate,"vt. 解放, 释放, 使自由
"
librarian,"n. 图书馆员, 图书管理员
"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
likelihood,"n. 可能, 可能性"
likewise,"adv. 同样地, 也"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
limitation,"n. 限制, 缺陷, 限额
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
linear,"a. 线的, 直线的, 线状的
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
liner,"n. 班机, 划线者, 定期船, 衬里
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
literary,"a. 文学的, 文艺的, 精通文学的
"
literature,"n. 文学, 文艺, 著作
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
locker,"n. 抽屉, 小柜, 上锁人
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
