technology,"n. 技术, 工业技术, 术语
"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
literary,"a. 文学的, 文艺的, 精通文学的
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
mentor,"n. 指导者, 良师益友"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
morality,"n. 道德, 教训, 品行
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
multiply,"v. 繁殖, 乘, 增加
"
multitude,"n. 多数, 群众"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
overly,"adv. 过度地, 极度地"
overview,"n. 概述, 概观, 总的看法
"
overwhelming,"a. 压倒性的, 无法抵抗的"
paradise,"n. 天堂, 乐园, 伊甸园"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
precise,"a. 精确的, 严谨的, 明确的
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
quantify,"vt. 定量, 用数量表示, 测量"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restructure,"vt. 更改结构, 重建, 调整"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
ridiculous,"a. 荒谬的, 可笑的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
seminar,"n. 研究班, 专题讨论会
"
senate,"n. 参议院, 立法机构, 评议会"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
spacious,"a. 广大的, 宽广的"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
speculate,"vi. 深思, 推测, 投机
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
standpoint,"n. 立场, 观点"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
thesis,"n. 论题, 论文"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
alleviate,"vt. 减轻, 使缓和"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appliance,"n. 器械, 用具, 应用
"
aristocrat,n. 贵族
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
bless,"vt. 祝福, 祈佑, 使神圣化"
boundary,"n. 边界, 分界线
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
catastrophe,"n. 大灾难, 大祸
"
cherish,"vt. 珍爱, 怀有, 爱护"
commodity,"n. 农产品, 商品, 有用的物品
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
comply,"vi. 顺从, 依从
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
constraint,"n. 强制, 约束
"
contempt,"n. 轻视, 轻蔑
"
copyright,"n. 版权, 著作权
"
correlation,"n. 相互关系, 相关, 关联
"
countless,"a. 数不尽的, 无数的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
depict,"vt. 描述, 描写"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
dilemma,"n. 困境, (进退两难的)窘境"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
displace,"vt. 移置, 替换, 转移"
distort,"vt. 扭曲, 歪曲
"
dosage,"n. 剂量, 用量, 配药
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
emergence,"n. 出现, 浮现, 发生"
enrich,"vt. 使富足, 使肥沃"
erupt,"vi. 爆发
vt. 喷出"
expenditure,"n. 开支, 费用, 用光, 消费额
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fate,"n. 命运, 运气
vt. 注定"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flavor,"n. 滋味, 调味品
vt. 加味于"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
fond,"a. 喜欢的, 宠爱的, 温柔的"
forthcoming,"a. 即将来临的
n. 来临"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
genius,"n. 天才, 天赋, 精神, 神魔
"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
govern,"v. 统治, 支配, 管理"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
hospitality,"n. 款待, 亲切, 殷勤"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
injustice,"n. 不公平, 非正义的行为
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
intervene,"vi. 插入, 调停, 干涉
"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
comprehension,"n. 理解, 包含"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
taxpayer,"n. 纳税人
"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
ski,"n. 滑雪橇
vi. 滑雪"
ant,n. 蚂蚁
dialect,"n. 方言, 同源语"
resilience,"n. 弹回, 有弹力, 恢复力
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
database,"n. 数据库
"
socially,"adv. 在社会上, 在社交上, 以社会生活方式"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
livestock,"n. 家畜
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
gymnasium,"n. 健身房, 体育馆
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
metabolism,"n. 新陈代谢, 变态
"
prestigious,a. 享有声望的
universe,"n. 宇宙, 星系, (思想等)范围"
alumnus,"n. 男毕业生, 男校友"
exhibition,"n. 表现, 展览会, 展览品
"
sensor,"n. 传感器
"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
delta,"n. 三角洲, 希腊字母的第四个字
"
deplete,"vt. 耗尽, 使衰竭
"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
willpower,"n. 毅力, 意志力"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
autonomous,"a. 自治的
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
obsess,"vt. 迷住, 使困扰"
physician,"n. 医师, 内科医师, 解除痛苦者
"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
tier,"n. 排, 层, 等级"
carbohydrate,"n. 碳水化合物, 糖类
"
formula,"n. 客套语, 公式, 准则
"
rainfall,"n. 降雨, 降雨量
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
calculus,n. 结石；微积分学
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
journalism,"n. 新闻业, 报章杂志
"
offline,"[计] 挂线, 脱机"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
resilient,"a. 弹回的, 有弹力的
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
significance,"n. 重要性, 意义, 意味
"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
unpredictable,a. 不可预知的
advisable,"a. 适当的, 明智的"
autonomy,"n. 自治, 自治权
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
collide,"vi. 碰撞, 互撞, 抵触"
indigenous,"a. 本土的, 国产的, 固有的
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
permission,"n. 许可, 允许
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
accurately,"adv. 正确地, 精确地"
acquaintance,"n. 认识, 相识者"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
dawn,"n. 破晓, 黎明
vi. 破晓"
destruction,"n. 破坏, 毁灭
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
ecologist,n. 生态学者
gale,"n. 狂风, 大风, 定期租金
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
lane,"n. 小路, 巷, 弄, 单行道"
misconception,n. 误解
modification,"n. 修正, 修饰, 修改
"
monument,"n. 纪念碑, 纪念物, 石碑"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
subsistence,"n. 生存, 生活
"
unintended,"a. 不是存心的, 无心的, 非故意的"
waterway,"n. 航道, 水路
"
academically,adv. 学术上；学业上
accessibility,"n. 易接近, 可进入
"
aspire,"vi. 渴望, 立志于"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
besiege,"vt. 围攻, 包围"
blend,"vt. 混合
n. 混合"
botanist,n. 植物学家
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
civilization,"n. 文明, 教化
"
crossbreed,"n. 杂种
v. 异种交配, 培育杂种, (使)杂交"
deploy,"v. 展开, 配置"
detach,"vt. 使分离, 分遣
"
dissertation,n. 论文
entity,"n. 实体, 实存物, 存在
"
establishment,"n. 确立, 制定, 设施
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
geological,"a. 地质学的, 地质的"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
hobbyist,"n. 有业余癖好者
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
mechanic,"n. 机械工, 技工
a. 手工的"
milestone,"n. 里程碑, 里程石, 里程标"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
rationality,"n. 合理性, 纯理性"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
surpass,"vt. 超越, 凌驾, 胜过"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
transmission,"n. 传输, 传送, 变速器
"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
authorship,"n. 原作者, 根源, 原创造者"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
collegial,"a. 学校的, 大学的, 大学生的, 社团的"
decode,"vt. 解码, 译解
"
diagnosis,"n. 诊断
"
discriminate,"v. 区别, 差别待遇"
disturb,"vt. 扰乱, 妨碍, 使不安
"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
hijack,"vt. 抢劫, 劫持, 敲诈
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
impart,"vt. 给予, 传授, 告知"
injection,"n. 注射, 注射剂
"
irresponsible,a. 不负责任的；不可靠的
laborious,"a. 艰苦的, 费劲的, 勤劳的"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
legacy,"n. 祖先传下来之物, 遗赠物
"
livelihood,"n. 生计, 营生, 生活"
masterpiece,"n. 杰作, 名著"
mathematician,n. 数学家
medal,"n. 奖牌, 勋章
vt. 授勋予"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
misunderstanding,"n. 误会, 误解
"
necessity,"n. 需要, 必需品, 必然
"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
presumably,"adv. 推测上, 大概"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
satisfactory,"a. 满意的, 赎罪的
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
sensitivity,"n. 敏感, 灵敏度
"
setback,"n. 挫折, 退步, 逆流"
solitude,"n. 孤独, 单独, 孤寂"
spectrum,"n. 光谱, 范围, 系列
"
strategically,"adv. 在战略上, 颇策略地"
statistician,"n. 统计员, 统计学家
"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
trickery,"n. 欺骗, 欺诈, 诡计
"
turmoil,"n. 骚动, 混乱"
unprecedented,"a. 空前的
"
uplift,"n. 抬起, 道德的向上, 精神的高涨
vt. 提高, 抬起
vi. 上升"
vigorously,"adv. 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮, 强有力"
workaholic,"n. 工作迷, 醉心于工作的人
"
advent,"n. 来到, 来临"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
anecdote,"n. 轶事, 奇闻"
annually,"adv. 一年一次, 每年
"
aptitude,"n. 资质, 才能, 自然倾向
"
attentive,"a. 注意的, 留心的"
biodiversity,n. 生物多样性
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
collaboration,"n. 合作, 勾结
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
congestion,"n. 拥挤, 充血
"
conservancy,"n. 保存, 保护, 管理
"
determinant,"n. 决定物, 决定因素
a. 决定性的
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
distortion,"n. 扭曲, 变形, 曲解
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
dwell,"vi. 居住, 居住(于), 存在(于)"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
foe,"n. 仇敌, 反对者, 敌人, 对手"
footwear,"n. 鞋类, 靴类"
frustration,"n. 挫折, 顿挫
"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
implementation,"n. 安装启用, 实行, 履行
"
inaccurate,"a. 错误的, 不准确的
"
instantly,"adv. 立即地, 即刻地"
intrude,"vi. 闯入, 侵入
vt. 强加于"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
minimal,"a. 最小的, 极微的, 最小限度的
"
modesty,"n. 谦逊, 质朴, 羞怯"
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
neuroscientist, [医]神经科学家：神经科学各分支的专家
outsmart,"vt. 比...更聪明, 打败, 瞒过"
parameter,"n. 参变数, 参变量, 参数, 参量
"
prestige,"n. 声望, 威望, 威信
"
proclamation,"n. 宣言, 公布, 布告, 公告
"
promptly,"adv. 敏捷地, 迅速地"
prototype,"n. 原型
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
sensational,"a. 使人感动的, 非常好的"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
solitary,"n. 独居者
a. 孤独的, 独居的"
statue,"vt. 以雕像装饰
n. 雕像"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
surgeon,"n. 外科医生, 军医, 船医
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
therapeutic,"a. 治疗的, 有益于健康的
"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
toughness,"n. 有粘性, 强硬, 强健
"
tranquility,n. 宁静
trustworthy,"a. 可信赖的
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
untapped,"a. 塞子未开的, 未利用的"
achiever,n. 获得成功的人
additionally,"adv. 另外, 此外"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
aeronautical,"a. 航空的, 航空学的
"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
analytic,"a. 分析的, 善于分析的, 解析的
"
ardently,"adv. 热心地, 热烈地"
axis,"n. 轴
"
babysitter,n. 临时照顾幼儿者
barren,"a. 不育的, 贫瘠的
n. 荒地"
Celsius,a. 摄氏的
changeable,a. 可改变的
collision,"n. 碰撞, 冲突, 抵触
"
compatible,"a. 能共处的, 可并立的, 适合的
"
conception,"n. 观念, 概念
"
concise,"a. 简洁的, 简明的"
conclusive,"a. 决定性的, 确定性的, 最后的
"
conducive,"a. 有益于...的, 有助于...的, 助长的"
copper,"n. 铜, 警察
"
deception,"n. 欺骗, 诡计
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
doorstep,n. 门阶
durability,"[计] 耐久性, 耐用性, 持久性"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
exceedingly,"adv. 极端地, 极度地, 非常"
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
expressive,"a. 表达的, 富于表情的"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
footprint,"n. 足迹
"
fraction,"n. 小部分, 破片, 分数
"
generously,adv. 宽大地；慷慨地；丰盛地
healthcare,"n. 医疗保健；卫生保健；健康护理, 健康服务"
hyperactivity,"n. 活动过多, 机能亢进, 机能过敏
"
icy,"a. 冰的, 冰冷的, 冷淡的, 滑溜的"
impair,"vt. 损害, 减少, 削弱
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
independently,"adv. 独立地, 自立地"
inherently,"adv. 内在地, 生来地, 固有地
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
introductory,"a. 介绍的, 引导的, 开端的"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
kit,"n. 装备, 工具箱, 成套工具
"
