absence,"n. 缺席, 缺乏, 没有
"
detective,"n. 侦探
a. 侦探的"
detect,"vt. 发现, 察觉, 探测
"
detector,"n. 发现者, 检验器, 检波器
"
detection,"n. 发现, 察觉, 探测
"
devastate,"vt. 毁坏
"
devastated,"v. 彻底破坏( devastate的过去式和过去分词); 摧毁; 毁灭; 在感情上（精神上、财务上等）压垮
a. 毁坏的; 极为震惊的"
devastation,n. 毁坏
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
diameter,"n. 直径
"
diametrically,"adv. 完全地, 直径方面, 正好相反地, 截然地"
divorce,"n. 离婚
vt. 与...离婚"
domain,"n. 领域, 领土, 产业, 范围
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
domination,"n. 支配, 控制, 管辖"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
echolocation,[医] 回声测定
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
elusiveness, 狡诈
elusively,adv. 易忘记地；巧妙逃避地
enquire,v. 询问
enquiry,"n. 询问
"
entrepreneur,"n. 企业家, 主办人
"
entrepreneurship, 企业家能力/职能; 企业家[主办人等]的身份[地位、职权、能力]
entrepreneurial,"a. 创业的, 具有企业精神的; 企业性质的"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
eradication,"n. 连根拔除, 歼灭, 消灭, 根除, 使断根
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
escalator,"n. 电动扶梯, 自动扶梯
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evaporation,"n. 蒸发, 脱水, 消失
"
evaporator,"n. 蒸发器
"
evenly,"adv. 平衡地, 平坦地, 平等地"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
expertise,"n. 专家意见, 专门技术
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
fastening,"n. 紧固件, 系结物"
feasible,"a. 能实行的, 可行的, 适宜的
"
feasibility,"n. 可行性, 可能性
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
filtration,"n. 过滤
"
flaming,"a. 燃烧的, 热烈的, 色彩鲜明的"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
flashlight,"n. 手电筒, 闪光信号灯"
flashy,"a. 闪光的, 一瞬间的, 浮华的"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
folklore,"n. 民俗学, 民间风俗, 民间传说"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
forgery,"n. 伪造, 伪造罪, 伪造物
"
foyer,"n. 门厅, 入门大堂"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
frontier,"n. 边界, 边境
"
fruitful,"a. 结果实的, 多实的, 产量多的"
fruition,"n. 成就, 实现, 结果实"
fruit,"n. 水果, 果类, 结果
"
fumes,"n. 烟, 汽, 气
"
furnish,"vt. 供给, 提供, 装设
"
furnishings,n. 家具；供应；穿戴用品（furnishing的复数）
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
gentle,"a. 温和的, 文雅的"
gentleness,"n. 温顺, 柔和, 亲切"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
glider,"n. 滑翔员, 滑翔机"
gliding,"a. 游动的, 滑顺的, 滑行的"
glidingly,"adv. 游动地, 滑顺地, 滑行地"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
glorious,a. 光荣的
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
harbour,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hauler,[化] 绞盘
haulier,"[经] 承运人, 接运人"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
ignition,"n. 点火, 点燃
"
ignitable,"a. 可燃的, 可着火的"
igniter,"n. 点火器, 引爆装置
"
ignitor,"n. 点火器, 引爆装置
"
imaginative,"a. 想像的, 虚构的"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imagination,"n. 想像, 听觉, 想像力
"
impurity,"n. 杂质, 不洁, 不纯
"
impure,"a. 不纯的, 肮脏的, 掺杂的, 混合的
"
incubator,"n. 孵卵器, 细菌培养器, 早产儿保育器
"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
incur,"vt. 招致, 蒙受, 遭遇
"
incursion,"n. 侵入, 侵略, 奇袭"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
inhabit,"vt. 居住于, 占据, 栖息"
inhabited,a. 有人居住的
inhabitable,"a. 可居住的, 可栖居的"
inhabitant,"n. 居民, 居住者
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritance,"n. 遗传, 遗产
"
inheritor,"n. 继承人, 后继者
"
injection,"n. 注射, 注射剂
"
inject,"vt. 注射, 注入, 使入轨
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instructor,"n. 教员, 讲师
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
integrity,"n. 正直, 廉正, 完整
"
interbreed,"v. (使)异种交配, (使)混种, (使)杂种繁殖"
interviewee,"n. 被接见者, 被采访者, 被面试者"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
interviewer,"n. 会见者, 面谈者, 进行面试者"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimately,"adv. 亲切地, 亲密地, 个人性地"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
intrinsic,"a. 本质的, 原有的, 真正的
"
inverted commas,n. 引号
invisible,"a. 看不见的, 无形的
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
irregularity,"n. 不规则, 例外, 违反规则的行为
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
landfill,n. 垃圾堆；垃圾填埋地
legislation,"n. 立法, 法律
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legislature,"n. 立法机关, 议会, 立法院
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnetism,"n. 磁性, 吸引力, 磁学, 催眠术
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
maternal,"a. 母亲的, 母系的, 母方的
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
maximise,"vt. 把...增加到最大限度, 把...扩大到最大限度, 充分重视, 找出...的最高值"
maximal,"a. 最大的, 最高的
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merger,"n. 合并, 归并
"
metaphor,n. 隐喻
metaphorical,"a. 隐喻性的, 比喻性的"
microwave,"n. 微波
"
mobility,"n. 可动性, 流动性, 机动性
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
moderation,"n. 缓和, 适度, 温和
"
mountainous,"a. 多山的, 如山的, 巨大的"
multicultural,a. 融合或具有多种文化的；多种文化的
multiply,"v. 繁殖, 乘, 增加
"
newsreel,n. 新闻影片
objectively,adv. 客观地
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
objectivity,"n. 客观, 客观现实, 客观性
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
obstructive,"a. 引起阻塞的, 阻碍的, 妨碍的
n. 妨碍物"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
outstrip,"vt. 追过, 胜过, 凌驾"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
paperclip,n. 曲别针; 报纸夹
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
partially,"adv. 部分地, 一部分地, 不公平地"
partiality,"n. 偏心, 偏颇, 不公平, 特别喜欢, 癖好
"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
passionately,"adv. 热情地, 激昂地"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
passionless,"a. 不热情的, 不动情的, 冷静的"
pathway,"n. 路径, 途径
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
penetration,"n. 穿透, 渗透, 侵入, 识穿, 洞察(力)
"
penetrating,"a. 敏锐的, 尖锐的, 伸入很深的, 了解透彻的
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
perimeter,"n. 周长, 周界, 边缘
"
permanently,"adv. 永久, 不变, 持久
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
photoelectric,"a. 光电的, 灯光摄影装置的
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
physiology,"n. 生理学, 生理机能
"
placement,"n. 放置, 布置, 工作安排, 编班, 定位球
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
pointless,"a. 不尖的, 钝的, 不得要领的"
positively,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
positive,"a. 肯定的, 积极的, 有把握的
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
potent,"a. 有力的, 有说服力的, 有效的
"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
precipitous,"a. 陡峭的, 轻率的"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
prototype,"n. 原型
"
provisional,"a. 暂时的, 暂定的, 临时的
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provisionally,"adv. 临时地, 暂时地"
publicise,"vt. 公布, 为...做广告, 宣传"
publicity,"n. 名声, 宣传, 公开场合
"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
radiation,"n. 辐射
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radiator,"n. 暖气装置, 散热器, 辐射体
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
rehabilitation,"n. 复原
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
response,"n. 反应, 回答, 响应
"
responsiveness,"n. 强烈的反应
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
sake,"n. 目的, 缘故, 理由"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
seedling,"n. 秧苗, 树苗
"
selective,"a. 选择的, 选择性的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
shipment,"n. 装船, 出货
"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
shortage,"n. 不足, 缺乏
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
sightseer,n. 观光客
silly,"a. 愚蠢的, 糊涂的"
silliness,"n. 愚蠢, 糊涂"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
slenderize,"vt. 使成细长状, 使苗条"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
slogan,"n. 呐喊声, 标语, 口号"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
sniffer,n. 嗅探器
solar,"a. 太阳的, 日光的, 源自太阳的
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solely,"adv. 仅仅, 单独地"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
spectrum,"n. 光谱, 范围, 系列
"
speculate,"vi. 深思, 推测, 投机
"
speculation,"n. 沉思, 推测, 投机
"
speculative,"a. 思索性的, 投机的, 推测的
"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
spoilage,"n. 变质, 糟蹋, 损耗, 损坏
"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
stuffing,"n. 填塞物, 填料"
stunned,a. 受惊的
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
subsistence,"n. 生存, 生活
"
superb,"a. 极度的, 华丽的, 极好的"
superbly,adv. 雄伟地；壮丽地；上等地；庄重地
surveyor,n. 测量员；检验员
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
synthesis,"n. 综合, 组织, 综合体
"
synthesize,"v. 综合, 合成"
synthesizer,"n. 合成器, 综合者
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
telecommunication,"n. 电讯, 远距离通讯, 无线电通讯
"
telecom,telecommunication 电信
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
temptation,"n. 诱惑, 诱惑物
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
tenancy,"n. 租用, 租赁
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
toughen,"v. (使)变坚韧, (使)变顽强"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
the tropics,热带
underneath,"adv. 在下面
prep. 在...的下面"
unify,"v. 统一, 使成一体"
unification,"n. 统一, 联合, 一致
"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
waggle,"v. (使)不停地来回摇动, 摇摆
n. 摇动, 摇摆"
well-being,n. 健康; 幸福; 保持良好状态
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
withstand,"vt. 抵住, 顶住, 经得起"
aback,"adv. 向后, 朝后, 突然, 船顶风地"
abandonment,"n. 放弃, 抛弃, 放纵
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
absorption,"n. 吸收, 专心, 全神贯注
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorbing,"a. 吸引人的, 非常有趣的
"
absorber,"n. 吸收器
"
absorbent,"a. 能吸收的
n. 吸收剂"
accordance,"n. 一致, 和谐"
accordingly,"adv. 相应地, 因此, 于是"
accountant,"n. 会计人员, 会计师
"
accountancy,"n. 会计工作, 会计学
"
accredited,v. 认可（accredit的过去分词形式）
accredit,"vt. 信托, 确认, 归结于, 委派
"
accreditation,"n. 委派, 信托, 鉴定合格
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjacence,"n. 接近, 毗连"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
affair,"n. 事件, 事务, 恋爱事件"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
alarming,"a. 使人惊恐的, 引起惊恐的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alarmed,a. 受惊的；焦虑的；惊恐的
albeit,"conj. 尽管, 虽然"
alphabetically,adv. 按字母顺序地
alphabet,"n. 字母
"
alphabetical,"a. 依字母顺序的, 字母的"
alphabetize,"vt. 依字母顺序排列, 以字母表示"
amateur,"n. 业余爱好者, 外行, 爱好者
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
amendment,"n. 修订, 改善, 改良, 改正
"
amused,"a. 愉快的, 被逗乐的"
amuse,"vt. 消遣, 娱乐, 使发笑"
amusing,"a. 有趣的, 引人发笑的"
amusement,"n. 兴味, 娱乐, 消遣
"
analogy,"n. 相似, 类似
"
analogous,"a. 类似的, 相似的
"
anecdote,"n. 轶事, 奇闻"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
annoying,"a. 恼人的, 讨厌的"
annoy,"vt. 使恼怒, 骚扰"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
annoyed,a. 恼怒的；烦闷的
antidote,"n. 解毒剂, 解毒药
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
antiquity,"n. 古老, 古代, 古代人, 古物"
apologise,vi. 道歉（等于apologize）
apology,"n. 道歉, 辩护
"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
appeasement,"n. 抚慰, 缓解, 平息, 姑息
"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
appointment,"n. 约会, 委任的职位, 委派
"
aptitude,"n. 资质, 才能, 自然倾向
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
ascent,"n. 上升, 提高, 攀登, 上坡路"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
assembly,"n. 与会者, 集会, 装配, 组件
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assemblage,"n. 集合, 装配, 一群人
"
astronaut,"n. 太空旅行者, 宇航员
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attached,"a. 附加的；依恋的, 充满爱心的"
awesome,"a. 引起敬畏的, 可怕的"
awe,"n. 敬畏
vt. 使敬畏"
awful,"a. 可怕的, 庄严的, 虔敬的"
backdrop,"n. 背景幕, 背景"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
barrier,"n. 障碍, 栅栏
"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
belt,"n. 带子, 地带
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
betrayal,"n. 背叛, 辜负
"
biased,"a. 有偏见的
"
biographer,n. 传记作者
biography,n. 传记
biographic,"a. 传记的, 传记体的"
bizarre,a. 奇异的
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bold,"a. 大胆的
n. 粗体
"
boldness,"n. 大胆, 勇敢, 冒失
"
boldly,"adv. 大胆地, 显眼地"
bonding,"n. 结合, 屏蔽接地, 搭接
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
bracelet,"n. 手镯
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
brewer,"n. (啤酒)制造者, 泡制饮料的器皿
"
brewery,"n. 啤酒厂, 酿酒厂
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
bucket,"n. 桶
"
bulletin,"n. 公告, 布告, 公报
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
casualty,"n. 意外事故, 伤亡, 受害者
"
cellular,"a. 细胞的
"
cell,"n. 单元, 细胞, 电池
"
