appropriate,"a. 适当的
"
brutish,"a. 畜生般的, 愚钝的, 粗野的, 残忍的, 野蛮的"
hot-blooded, [体]纯种的
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
histrionic,"a. 演员的, 演剧的, 矫揉造作的
n. 演员, 演剧, 戏剧性"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
ornate,"a. 装饰的, 华丽的"
congenital,"a. 天生的, 先天的
"
inbuilt,a. 内藏的；嵌入的；内置的
acrimony,"n. 严厉, 尖刻
"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
grumpy,"a. 性情乖戾的, 脾气暴躁的, 生气的"
churlish,a. 粗野的
huff,"vt. 激怒, 发怒, 提高价格, 吹胀
vi. 吹气, 恫吓, 发怒
n. 发怒"
tantrum,"n. 发脾气, 发怒
"
seedy,"a. 多种子的, 结籽的, 破烂的, 肮脏的"
drily,"adv. 干燥地, 不加渲染地, 冷冰冰地, 枯燥地"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
whiff,"n. 一吹, 一吸, 一阵, 一点点, 一口烟
vi. 轻轻地吹, 喷气, 三击不中出局, 垂钓
vt. 吹送, 喷出, 吸, 使三击不中出局"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
unworldly,"a. 非现世的, 非尘世的, 超自然的, 精神上的, 超凡的, 出世的, 天真的"
hardbitten,"a. 顽强的, 坚韧的"
self-made,"adj. 自己搞的；自力更生的
"
erudite,"a. 博学的
n. 博学者"
volitional,"a. 意志的, 凭意志的"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
ably,"adv. 能干地, 精明强干地"
handsomely,"adv. 漂亮地, 整齐地, 当心地, 慢慢地, 优厚地, 慷慨地, 美观地"
macho,[医] 结节型皮肤利什曼病
virile,"a. 男性的
"
self-styled,"a. 自称的, 自任的"
randy,"a. 喧闹的, 大声的, 好色的
n. 粗鲁悍妇, 莽汉"
dissolute,"a. 放荡的, 风流的"
dapper,"a. 整洁的, 整齐的, 短小精悍的"
unkempt,"a. 蓬乱的, 未被照管好的"
frizzy,a. 卷曲的
shaggy,"a. 毛发蓬乱的, 粗浓的, 草木丛生的"
roger,"interj. 对!, 行!, 好!"
forthwith,"adv. 立刻, 不犹豫地, 不延迟地
"
hotfoot,adv. 急忙地；火急地
diametrically,"adv. 完全地, 直径方面, 正好相反地, 截然地"
evermore,"adv. 永远, 经常, 从此以后"
anew,"adv. 重新, 再"
stipend,"n. 薪金, 定期生活津贴
"
outlay,"n. 费用, 经费, 支出
vt. 花费"
takings,"n. 捕获物, 收入, 进款, 利息
"
medicaid,"n. 医疗补助方案, 医疗补助项目
"
alimony,"n. 瞻养费, 生活费
"
alms,"n. 施舍, 救济金, 救济品"
annuity,"n. 年金, 年金保险, 年金领受权
"
payroll,"n. 工资名单, 饷金名单, 发放的工资总额
"
movable,"n. 活动的东西, 动产
a. 可动的, 可移动的, 不定的"
windfall,"n. 被风吹落的果子, 横财
"
succour,"n. 解救, 援助者
vt. 解救, 援助"
boon,n. 恩惠
heirloom,"n. 传家宝, 动产继承物
"
haulage,"n. 拖曳, 运费, 牵引量
"
payout,"n. 支出, 付出款项
"
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
rateable,"a. 可估价的, 可评论的, 按比例的, (英)该纳税的"
unlisted,"a. 未编入册的, (证券等)未上市的"
macroeconomic,n. 整体经济
tie-up,"na. 绑；系；包扎；(船只)系泊
"
dowry,"n. 嫁妆
"
holding,"n. 把持, 支持, 保持
"
duchy,"n. 公爵领地, 公国, 直辖领地"
tract,"n. 大片土地, 地带, 小册子
"
redemption,"n. 赎回, 赎身, 偿还, 拯救
"
redemptive,"a. 赎回的, 救世的, 赎身的"
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
ledger,"n. 分类帐, 分户总帐, 盖墓石板, 横木
"
rota,"n. 值班名册, 值班, 花名册"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
tongs,"n. 钳子, 夹具
"
hotchpotch,"n. 什锦浓汤, 杂烩
"
etceteras,"n. 其余,等等之物(人们)"
fieldwork,"n. 野战工事, 野外工作
"
arrears,"n. 逾期债款, 欠帐
"
fag,"n. 吃力的工作, 苦工
vi. 努力地工作
vt. 使劳累"
sideline,"n. 副业, 旁线, 界线, 兼职, 旁观者看法
vt. 使退出比赛场地"
handiwork,"n. 手工, 手工艺, 手工"
freehand,"a. 徒手画的
adv. 徒手画地
"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
insoluble,"a. 不能溶解的, 不能解决的
"
weighty,"a. 重的, 有份量的, 沉重的, 重大的, 严肃的
"
dog-tired,"精疲力竭,疲惫不堪"
fiddling,"a. 拉小提琴的, 微小的, 无用的"
modular,"a. 模数的, 有标准组件的
"
containerization,"n. 集装箱化
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
headway,"n. 前进, 航行速度, 进展
"
fruition,"n. 成就, 实现, 结果实"
jumbo,"n. 庞然大物
a. 巨大的"
attrition,"n. 摩擦, 磨损
"
disservice,"n. 伤害, 帮倒忙的行为"
rubdown,"n. 摩擦身体, 按摩"
crux,"n. 十字架形, 关键, 难题
"
predicament,"n. 处境, 穷境, 困局"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
calamity,"n. 灾难, 不幸事件"
bane,"n. 祸根, 毒药, 灭亡的原因, 灭亡
"
gala,"n. 节日, 祝贺"
orgy,"n. 无节制, 狂欢, 纵酒宴乐, 放荡"
aerobatics,"n. 特技飞行, 飞行特技"
pageant,"n. 盛会, 游行, 虚饰, 露天表演"
showpiece,"n. 展出品, 样品"
salvo,"n. 保留条款, 遁辞, 保护手段, 齐射, 齐鸣
"
confetti,"n. 糖果, 五彩纸屑"
bridal,"a. 新娘的, 婚礼的"
stately,"a. 庄严的, 宏伟的"
visitation,"n. 访问, 探望, 视察"
levee,"n. 早朝, 大堤
vt. 为...筑堤"
centenary,"n. 一百年
a. 一百年的"
memento,"n. 纪念物, 令人回忆的东西"
sabbatical,"a. 安息日的, 休假的"
ambience,"n. 周围环境, 气氛"
rowdy,"n. 好吵闹的人
a. 吵闹的"
rip-roaring,"adj. 喧闹的；〈美俚〉非常热闹的
"
horseplay,n. 喧闹的嬉戏
farce,"n. 闹剧, 滑稽剧, 胡闹"
rink,"n. 溜冰场, 室内溜冰场
vi. 溜冰"
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
typographical,"a. 印刷上的, 活版印刷的
"
issuance,"n. 发行, 发布
"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
anthology,"n. 选集, 诗选"
saga,"n. 传说, 英雄传奇, 冒险故事"
ballad,n. 歌谣
stanza,"n. 演出期, (体育比赛的)局"
trilogy,"n. 三部剧, 三部曲
"
folklore,"n. 民俗学, 民间风俗, 民间传说"
neoclassical,a. 新古典主义的
choreography,"n. 舞蹈艺术, 舞台舞蹈"
dossier,"n. 档案, 卷宗
"
vignette,n. 装饰图案；小插图
blurb,"n. 推荐广告
vt. 推荐吹捧"
flyleaf,"n. 飞页, 章节前后的空白"
inset,"vt. 嵌入
n. 插入物, 插页, 插图"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
communique,n. 公报
gazette,"n. 报, 公报, 报纸
vt. 在公报上宣布, 刊载于公报"
eulogy,"n. 赞词, 称颂"
almanac,"n. 年历, 历书
"
aura,"n. 气氛, 气味
"
hologram,"n. 全息照相图
"
roundup,"n. 驱集, 集拢, 综述"
motif,"n. 主题, 基调, 动机, 基本图案
"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
treatise,"n. 论文, 专著"
limelight,"n. 石灰光, 石灰光灯, 以石灰光灯照射的舞台
vt. 使受到注目, 使显露头角"
signet,"n. 印, 图章
vt. 盖章于"
emblem,"n. 象征, 徽章, 符号
vt. 用象征表示"
scoring,[化] 擦伤; 划伤
marking,"n. 印记, 印, 分
"
nib,"n. 嘴, 笔尖
vt. 装尖头, 削尖, 修换(笔)尖"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
abacus,"n. 算盘
"
bifocals,n. 双光眼镜
fiberglass,"n. 玻璃纤维, 玻璃丝
"
imagery,"n. 肖像, 比喻, 雕刻
"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
full-length,[机] 全长
thematic,"a. 题目的, 主题的, 主旋律的"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
fictitious,"a. 假想的, 编造的, 虚伪的
"
actuality,"n. 事实, 现实, 现状"
veritable,"a. 名副其实的, 真实的, 确实的, 真的"
far-fetched,"adj. 强词夺理的
"
tartly,"adv. 辛辣地, 刻薄地"
quixotic,"a. 堂吉诃德式的, 愚侠的, 狂热而侠义的, 理想而不实际的, 充满幻想的"
figment,n. 虚构的事
make-believe,"假装
"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
purely,"adv. 纯粹地, 清白地, 贞洁地"
timely,"a. 及时的, 适时的
adv. 及时地"
finely,"adv. 雅致地, 仔细地, 敏锐地, 微细地"
sic,adv. 原文如此
postscript,"n. 附言
"
amidst,prep. 在...当中
ditto,"n. 同上, 同上符号, 很相似的人(或物)
vt. 重复
adv. 如前地"
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
rostrum,"n. 讲坛, 演讲台, 演讲, 演讲者
"
dais,"n. 台, 讲台"
redbrick,n. 红砖大学
bunk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
co-ed,"n. 女生
"
graffiti,n. 墙上乱写乱画的东西
sighting,n. 照准；瞄准；视线
eon,"n. 永世, 万古"
genesis,"n. 发生, 起源, 创世记
"
inception,"n. 起初, 获得学位"
incipient,"a. 起初的, 发端的, 初期的
"
fount,"n. 泉, 源泉, 墨水缸, 一副铅字"
mainspring,"n. 主发条, 主要动机, 主要原因, 主要动力
"
mythology,n. 神话
ballistics,"n. 弹道学, 发射学
"
gynecology,"n. 妇科医学
"
gynaecology,n. 妇科学
astrophysics,"n. 天体物理学
"
oceanography,n. 海洋学
meteorology,"n. 气象学, 气象状态
"
meteorological,"a. 气象的, 气象学的"
pathology,"n. 病理学, 病理, 病状, 病变
"
pathologic,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
microbiology,"n. 微生物学
"
lexicography,n. 辞典编纂
metallurgy,"n. 冶金学, 冶金术
"
alchemy,"n. 炼金术, 魔力
"
astrology,"n. 占星术, 占星学"
horoscope,"n. 星占, 算命天宫图"
acoustics,"n. 音响效果, 声学
"
phonology,"n. 音系学, 历时音系学
"
grounding,"n. 基础教学, 基础训练
"
dialectic,"a. 辩证的, 辩证法的
n. 辩证法, 逻辑论证"
dialectics,"n. 辩证法, 逻辑, 雄辩术"
reductio ad absurdum,"[拉](=reduction to absurdity)[逻]归谬法, 间接证明法, 反证法(说明某一命题的反面为不可能或荒谬, 以证明该命题为正确)"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
corollary,"n. 必然的结果, 系, 推论"
pidgin,"n. 混杂语言, 混杂行话, 事务"
braille,"n. 布莱叶点字法(盲人用点字法)
vt. 用布莱叶点字法印刷"
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
diphthong,"n. 二合元音, 复合元音, 元音连字
"
syllabic,"n. 音节主音
a. 音节的"
guttural,"a. 喉咙的, 咽喉的, 喉音的
n. 喉音, 喉音字"
palatal,"n. 上腭音
"
wording,"n. 用词, 措词"
maxim,"n. 格言, 座右铭
"
pun,"n. 双关语, 俏皮话
vi. 说双关语, 说俏皮话
vt. 用双关语说服, 捣实"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
crap,"n. 废物, 废话
vi. 掷骰子"
cliche,"n. 陈腔滥调, 凸印版
a. 陈腐的"
homily,"n. 说教, 训诫"
untruth,"n. 不真实, 虚假, 谎言"
parable,"n. 寓言, 隐晦的比较"
allegory,n. 寓言
slangy,"a. 俚语的, 俗话多的"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
technicality,"n. 专门性, 学术性, 技术的使用
"
buzzword,n. 流行词
nomenclature,"n. 命名法, 专门语, 术语
"
catchword,"n. 口号, 标语, 口头禅"
catchy,"a. 易记住的, 欺骗性的, 不规则发生的"
incantation,n. 咒语
hieroglyphics,n. 象形文字
cursive,"a. 草书的, 草书体的
n. 草书, 草书原稿"
Hindi,"a. 印地语的, 印度北部的
n. 印地语"
Hispanic,adj. 西班牙的
Zulu,n. 祖鲁语；祖鲁人
creole,"n. 克里奥耳人, 克里奥耳语, 克里奥耳人所讲的法语
a. 克里奥耳人的, 克里奥耳式法语的"
Maori,"n. 毛利人, 毛利语
a. 毛利人的, 毛利语的"
omega,"n. 希腊字母的最后一个字, 终了, 最后
"
sultan,n. 苏丹(某些伊斯兰国家统治者的称号)
Briton,"n. 大不列颠人, 英国人"
Eskimo,n. 爱斯基摩人
Nordic,"n. 北欧人, 日耳曼民族, 北欧两项滑雪
a. 北欧人的, 日耳曼民族的, 北欧两项滑雪的"
glossary,"n. 专业词典, 术语集, 词表
"
inflection,"n. 屈曲, 变调, 音调变化"
thee,pron. 你
thy,pron. 你的
determiner,"n. 限定词
"
anagram,n. 回文构词法
onomatopoeia,"n. 拟声, 拟声语, 声喻法"
intransitive,"a. 不及物的
n. 不及物动词"
disjunctive,"a. 分离的, 分隔的
n. 反意连接词, 选言命题"
vocative,"a. 呼格的, 呼唤的
n. 呼格"
parenthetical,"a. 作为插入语的, 作为附带说明的, 作为附加注解的, 放在括号里的, (喻)插曲的"
hyphenate,vt. 用连字号连接
asterisk,"n. 星号
"
quantifier,"n. 数量词, 精于计算的人
"
ordinal,"n. 序数
a. 顺序的, 依次的"
nought,"n. 没有, 零, 无"
apiece,"adv. 就每个而论, 各"
thrice,"adv. 以三倍, 三次, 十分地"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
sundry,"a. 各式各样的
"
theorem,"n. 定理, 原理
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
benchmark,[计] 基准程序; 基准
integer,"n. 完整的事物, 整体, 整数
"
antilogarithm,"n. 反对数
"
quadratic,"a. 二次的
n. 二次方程式"
coefficient,"n. 系数
"
quotient,"n. 商, 份额
"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
quadrant,"n. 四分之一圆, 象限, 象限仪
"
perimeter,"n. 周长, 周界, 边缘
"
spectrum,"n. 光谱, 范围, 系列
"
hypotenuse,n. (直角三角形之)斜边
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
equiangular,a. 等角的
equidistant,"a. 距离相等的, 等距的"
equilibrium,"n. 平衡, 平静, 均衡
"
asymmetric,"a. 不对称的, 偏位的
"
dichotomy,"n. 两分, 分裂, 二分法
"
isotherm,"n. 等温线
"
isothermal,"a. 等温的, 等温线的
n. 等温线"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
carat,"n. 克拉
"
milligram,"n. 毫克
"
milligramme,"n. 毫克
"
hundredweight,"n. (英)一百一十二磅, (美)一百磅"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
watermark,"n. 水位标志, 水印
vt. 印水印于"
audition,"n. 听, 听力, 试听
"
tryout,"n. 试验, 试用, 选拔赛"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
opus,n. 作品
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
matinee,"n. 白天音乐会, 日场, 女式晨衣"
cameo,n. 刻有浮雕的宝石或贝壳
epilog,"n. 尾声, 收场白, 闭幕词, 结尾部分, 跋, 后记"
epilogue,"n. 结语, 尾声, 收场白
"
sequel,"n. 继续, 续集, 后果
"
soliloquy,"n. 自言自语, 独白"
set-piece,n. 具有众所周知的固定形式
pantomime,"n. 手势, 哑剧, 舞剧
v. 打手势, 演哑剧"
finale,"n. 结局, 最后乐章, 终曲"
technocracy,"n. 技术专家政治论, 技术专家治国论
"
autocrat,n. 独裁者
autocratic,"a. 独裁的, 专制的"
despotism,"n. 独裁, 专制, 专制政治
"
serf,"n. 农奴, 奴隶, 服苦役的人"
servitude,"n. 奴隶状态, 惩役, 地役权
"
nigger,"n. 黑人, 社会地位低下的人, 深棕色
"
Utopia,"n. 乌托邦, 理想国"
heyday,"n. 全盛期
interj. 嘿"
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
Zionism,n. 犹太复国主义
Nazism,n. 纳粹主义
stratify,"vt. (使)成层
"
apartheid,n. 种族隔离
caste,"n. 印度的种姓制度, (排他的)社会团体"
coronation,n. 加冕礼
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
monogamy,"n. 一夫一妻制
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
tenet,"n. 信条, 教义, 宗旨, 原则"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
ordinance,"n. 法令, 条例, 圣餐礼
"
edict,"n. 布告, 法令
"
directive,"a. 指导的, 指挥的, 方向的
n. 指令
"
injunction,"n. 命令, 禁令, 劝告
"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
concentric,"a. 同中心的, 同轴的
"
federate,"a. 同盟的, 联合的, 联邦制度下的
v. 公布联邦制, (使)联合, 同盟"
extant,"a. 现存的, 未毁的"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
cede,"vt. 割让
"
repercussion,"n. 弹回, 反响, 反射
"
curfew,"n. 晚钟, 打晚钟时刻, 宵禁
"
amnesty,"n. 大赦, 赦免"
felony,"n. 重罪
"
culprit,"n. 犯人, 罪犯, 刑事被告
"
inmate,"n. 同住者, 被收容者
"
litigation,"n. 诉讼, 起诉
"
forensic,"a. 辩论的, 法院的, 关于法庭的
n. 辩论练习"
re-examine,"v. 再考试；再审查
"
redraw,"vt. 重画
vi. 刷新屏幕
"
excusable,"a. 可原谅的, 可容许的, 可免除的
"
manacle,"n. 手铐, 束缚
vt. 给...上手铐, 束缚"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
lookout,"n. 注意, 前途, 了望台, 景色
"
captivity,"n. 囚禁, 被关
"
electrocute,"vt. 以电椅处死, 以电击杀死, 通电致死
"
espionage,"n. 间谍活动
"
insurrection,"n. 起义, 暴动, 反抗
"
secession,"n. 脱离, 分离"
exodus,"n. 大批的离去
"
hubbub,"n. 吵闹声, 叫嚷声, 混乱"
coup d'etat,"n. 政变, 武力夺取政权"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
firebrand,"n. 火把, 在燃烧的木柴, 煽动叛乱者"
favoritism,"n. 偏爱, 偏袒"
favouritism,"n. 偏爱, 徇私, 宠信, 得宠, 偏袒"
sexism,"n. 性别歧视, 歧视女性"
sexist,n. 性别歧视者
fixer,"n. 定色剂, 定影剂, 毒贩子
"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
carnage,"n. 大屠杀, 残杀"
homicide,"n. 杀人, 杀人者
"
manslaughter,"n. 杀人, 过失杀人罪"
arson,"n. 纵火, 纵火罪
"
fornicate,"vi. 通奸
"
incest,"n. 近亲相奸, 乱伦
"
irruption,"n. 侵入, 闯进, 激剧繁殖"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
mayhem,"n. 蓄意的破坏, 故意的伤害罪
"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
self-annihilation,n. （在对神默祷中的）自我消灭
vandal,n. 蓄意破坏者
vandalism,"n. 故意毁坏文物的行为, 破坏他人财产的行为"
buddy,"n. 好朋友, 伙伴"
chum,"n. 密友, 室友
vi. 结为密友"
sibling,"n. 兄弟, 同胞
"
denizen,"n. 居民, 外籍居民, 外来语
vt. 给...居住权, 移植"
suburbanite,n. 郊区居民
damsel,"n. 少女, 闺女"
anomaly,"n. 不规则, 反常事物, 畸形
"
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
hothead,n. 性急人
extrovert,"n. 外向性格的人
"
extravert,"n. 外向性格的人
"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
raiser,"n. 提高者, 饲养者, 招募者"
interlocutor,"n. 对话者, 谈话者"
interloper,"n. 闯入者, 好事者, 无执照营业者
"
underling,"n. 部下, 下手, 下属"
underdog,"n. 斗败了的狗, 失败者, 受害者
"
recourse,"n. 求援, 求助, 追索权
"
pollster,"n. 民意调查人, 民意测验经办人"
linesman,"n. 常备步兵, 线路保养工, 边线裁判员"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
magnate,"n. 大官, 巨头
"
yahoo,"n. 人面兽心的人, 乡愚, 粗汉"
yuppie,n. （美）雅皮士（属于中上阶层的年轻专业人士）
impostor,"n. 冒名顶替者, 骗子, 冒牌"
lesbian,"a. 女同性恋的
n. 女同性恋者"
homosexual,"a. 同性恋的
n. 同性恋者"
down-and-out,穷困潦倒
vagabond,"n. 流浪者, 浪子, 流氓
vi. 到处流浪
a. 流浪的, 漂泊的, 浪荡的, 流浪者的"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
vagrant,"n. 流浪汉, 漂泊者, 无赖
a. 漂泊的, 流浪的, 游荡的"
rover,"n. 漂泊者, 流浪者, 海盗
"
fat-head,"呆子,傻瓜"
imbecile,"a. 低能的, 愚钝的, 虚弱的
n. 低能者, 痴呆, 蠢人"
imbecility,"n. 低能, 愚钝, 愚蠢言行
"
simpleton,"n. 笨蛋, 傻子"
dunce,"n. 智力迟钝的学生, 傻瓜"
diehard,"n. 顽固分子
"
bigot,"n. 盲从者, 偏执的人"
fogy,"n. 守旧者, 赶不上时代的人"
hooligan,"n. 小流氓
"
ruffian,"n. 恶棍, 无赖
a. 凶恶的, 残忍的, 残暴的"
thug,"n. 恶棍, 刺客, 凶手
"
quitter,"n. 轻易放弃的人, 懦夫, 逃避责任的人
"
tripper,"n. 绊跌者, 旅行者, 远足者"
safari,"n. 旅行, 旅行队, 科学考察"
gladiator,"n. 斗士, 斗剑者, 争论者"
tattooist, 文身的人
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
scaremonger,"n. 散布谣言的人, 危言耸听者"
usurer,"n. 高利贷者
"
sophist,"n. 诡辩者, 诡辨家, 学者"
Mafia,"Mafia
"
consortium,"n. 协会, 合伙, (国际性)财团
"
henchman,"n. 忠实追随者, 党羽, 跟踪者
"
demagog,"n. 煽动者, 蛊惑人心的政客
"
demagogue,n. 煽动者
demagogy,"n. 煽动, 蛊惑民心的宣传
"
notary,"n. 公证人
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
centrist,"n. 中间党派的成员, 温和主义者
"
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
brunette,"n. 浅黑肤色的女人
a. 深褐色的"
rookie,n. 新手
pitcher,"n. 有把的大罐, 瓶状体, 投手, 摊贩"
suitor,"n. 起诉者, 请愿者, 求婚者
"
testator,n. 立遗嘱者
dowager,"n. 继承遗产或爵位的寡妇
"
savant,"n. 学者, 专家"
orator,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人
"
barrister,"n. 出庭律师, 律师
"
topographer,"n. 地志学者, 地形学者"
dietician,"n. 饮食学家, 营养学家
"
dietitian,"n. 饮食学家, 营养学家
"
psychiatrist,"n. 精神病医生, 精神病学家
"
psychoanalyst,"n. 心理分析学家
"
psycho,"n. 心理分析, 精神神经病患者
a. 精神变态的, 精神神经病的"
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
tactician,"n. 战术家, 谋士"
presidium,"n. 执行委员会
"
juror,"n. 陪审员, 审查委员
"
deputation,"n. 代理人的任命, 代表团
"
HRH,[网络] 居住密度用每公顷居室数
Highness,n. 高，高度；高尚，高贵；[H-]殿下，阁下，大人(对皇族的尊称)
Excellency,"n. 优点, 阁下"
earl,n. 伯爵
viscount,n. 子爵
regent,"n. 摄政者, 摄政王
a. 摄政的"
entourage,"n. 全体随行人员, 陪同人员"
ranger,"n. 王室守林人, 骑警, 漫游者"
emir,n. 埃米尔(穆斯林国家酋长等的称号)
chieftain,"n. 酋长, 首领"
squire,"n. 乡绅, 大地主, 治安官
vt. 随侍, 护卫
vi. 当乡绅"
coroner,"n. 验尸官
"
autopsy,"n. 验尸
"
hangman,"n. 绞刑吏, 刽子手
"
matron,"n. 妇女, 主妇, 女总管
"
housemaster,n. 男舍监
headship,"n. 领导人地位, 能力, 校长职务"
tutelage,"n. 守护, 监护, 指导
"
spinner,"n. 纺纱工人, 旋床工人, 纺纱机, 机头罩, 旋转动作, (美)(非正式)卡车司机
"
tanner,"n. 制革工人, 硝皮匠, 六便士"
turner,"n. 车工, 体育协会会员"
charwoman,n. 按日雇用的女佣
forester,"n. 林务员, 森林动物, 森林居民, 森林管理人"
yeoman,"n. 自由民, 自耕农
"
fruiterer,"n. 水果商, 运水果船"
florist,"n. 花匠, 花商, 花卉研究者"
fishmonger,"n. 鱼贩, 鱼商"
furrier,"n. 毛皮商, 毛皮衣制作工"
hotelier,n. 旅馆老板
skipper,"n. 船长, 机长, 队长"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
huckster,"n. 小商人, 叫卖的小贩, 吃广告饭的人
vt. 贩卖, 叫卖, 还价
vi. 叫卖, 讨价还价"
wares,"n. 货物, 商品
"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
footman,"n. 马夫, 仆役"
valet,"n. 贴身男仆
vt. 伺候"
rear-admiral,海军少将
deckhand,"n. 甲板水手, 普通水手"
frogman,n. 蛙人
marksman,"n. 射手, 狙击兵, 神射手
"
mascot,"n. 福神, 吉祥的东西"
minstrel,n. 吟游诗人
satyr,"n. 萨梯(森林之神), 好色之徒
"
fetish,"n. 物神, 偶像, 迷信
"
wizard,"n. 男巫, 术士, 奇才
a. 男巫的, 巫术的
"
hag,"n. 女巫, 丑老太婆, 魔女, 沼地, 砍伐
vt. 砍, 劈"
oracle,"n. 神谕, 神谕处, 预言"
guru,"n. 古鲁(印度教导师)
"
Messiah,n. 弥赛亚
Allah,n. 安拉
sheik,"n. 酋长, 王子, 村长, 族长, 教长, 导师, 有威信的丈夫"
sheikh,"n. 酋长, 王子, 村长, 族长, 教长, 导师, 有威信的丈夫"
patriarch,"n. 创办人, 家长, 元老, 教长, (天主教)教皇
"
patriarchal,"a. 家长的, 族长的, 由族长统治的
"
rabbi,"n. 拉比(犹太教圣职人员), 大师(对犹太学者的尊称)
"
Quaker,n. 贵格会教徒
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
pulpit,n. 讲道坛
reverend,"n. 教士, 大人(对教士的尊称)
a. 应受尊敬的, 教士的"
chaplain,n. 牧师
parson,n. 教区牧师
deacon,"n. 副主祭, 执事, 行会会长
vt. 朗读, 摆得好看些"
rector,"n. 教区长, 校长, 院长"
