abscissa,"n. 横坐标
"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
outdistance,"vt. 把...远远抛在后面, 大大超越"
outfield,"n. 外场, (思想中的)未知世界, 边境"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
slowdown,"n. 降低速度, 减速"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
insight,"n. 察看, 洞察力, 见识
"
intention,"n. 意图, 目的, 含义
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
parental leave," 育婴假, 亲子假"
receptive,"a. 能接纳的
"
retentive,"a. 保持的, 有保持力的, 记性好的"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
standpoint,"n. 立场, 观点"
prestige,"n. 声望, 威望, 威信
"
residue,"n. 残渣, 剩余, 余数
"
sediment,"n. 沉淀物, 沉积
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
wreckage,"n. 残骸, 失事, 破坏
"
logistics,"n. 后勤学, 后勤
"
nutrition,"n. 营养, 营养学
"
paleontologist,n. 古生物学者
parapsychology,"n. 心灵学, 通灵学
"
pathology,"n. 病理学, 病理, 病状, 病变
"
pharmacology,"n. 药理学, 药物学
"
physiology,"n. 生理学, 生理机能
"
pseudoscience,"n. 假科学, 伪科学"
socio-economic,"adj. 社会与经济的；社经的
"
sociology,"n. 社会学
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
vertices,n. 至高点；天顶；头顶（vertex的复数）
auction,"n. 拍卖
vt. 拍卖"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
humid,"a. 潮湿的, 湿润的, 多湿气的"
inclement,"a. 险恶的, 严酷的"
meteorologist,n. 气象学者
paleoclimatologist,n. （英）古气候学家 (paleoclimatology的变形)
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
smog,"n. 烟雾
"
stratosphere,"n. 同温层, 最上层, 尖端的学科领域
"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
atmosphere,"n. 大气, 空气, 气氛
"
aurora,"n. 曙光, 极光, 奥罗拉(曙光女神)
"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
crater,"n. 火山口, 环行山, 弹坑
"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
ecological systems,[网络] 生态系统；生态系统理论；生态系统学
ecology,"n. 生态学, 社会生态学
"
glacier,n. 冰川
granite,"n. 花岗岩
"
hurricane,"n. 飓风, 暴风, 暴风雨"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
orthodox,"a. 正统的, 传统的, 惯常的"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
anomalous,"a. 不规则的, 反常的
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
extraterrestrial,"a. 地球外的, 地球大气圈外的"
heretical,"a. 异教的, 异端的"
infrequent,"a. 稀少的, 珍贵的, 罕见的"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
lopsided,"a. 倾向一方的, 不平衡的"
miracle,"n. 奇迹, 奇事"
nontarget,不属预定目标的
novelty,"n. 新奇, 新鲜, 新奇的事物"
paranormal,"a. 超过正常的, 超过科学可知范围的
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
unpredictable,a. 不可预知的
unrealistic,"a. 不切实际的, 幻想的"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
unbridled,"a. 无缰辔的, 不受控制的, 无拘束的"
accurate,"a. 正确的, 精确的
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
sophisticated,"a. 复杂的, 久经世故的
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
antagonism,"n. 对立, 敌对, 敌意
"
antithesis,"n. 对偶, 对照, 对立面"
archenemy,"n. 魔王, 主要敌人"
foe,"n. 仇敌, 反对者, 敌人, 对手"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
exclusionary,"a. <正>排斥（性）的, 排除在外的"
ambiguous,"a. 不明确的, 模棱两可的
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
equivocal,"a. 意义不明确的, 模棱两可的
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
vague,"a. 含糊的, 不清楚的, 茫然的"
appreciable,"a. 可感知的, 可评估的"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
explicit,"a. 详述的, 清楚的, 直言的"
expressly,"adv. 明白地, 清楚地, 特意地"
manifestation,"n. 显示, 证明, 示威运动
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
equilibrium,"n. 平衡, 平静, 均衡
"
marginalize,"vt.使处于社会边缘,使脱离社会发展进程, 忽视,排斥"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
tendency,"n. 趋向, 倾向
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
awkward,"a. 笨拙的, 棘手的"
bizarre,a. 奇异的
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
coincide,"vi. 一致, 符合
"
consensus,"n. 合意, 一致, 同感
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
intermingled,"v. （使）混合, 混在一起( intermingle的过去式和过去分词 )"
nexus,"n. 连结, 关系
"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
symmetry,"n. 对称, 匀称
"
systematic,"a. 有系统的, 分类上的, 体系的
"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
unification,"n. 统一, 联合, 一致
"
unison,"n. 调和, 和谐, 一致, 齐唱, 齐奏
a. 共同做的, 同声的"
liken,"vt. 比喻, 比拟"
collide,"vi. 碰撞, 互撞, 抵触"
convenient,"a. 方便的, 合宜的
"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
demure,"a. 装成端庄的, 假正经的, 娴静的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
dilemma,"n. 困境, (进退两难的)窘境"
famine,"n. 饥荒, 缺乏, 饥饿"
impoverish,"vt. 使贫穷, 耗尽...的力气"
indigent,"a. 贫乏的, 穷困的"
irreconcilable,"a. 不能和解的, 不能协调的, 矛盾的"
quandary,"n. 困惑, 迷惑, 为难"
destabilize,vt. 使动摇
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
disruptive,"a. 分裂的, 破坏(性)的
"
disturbance,"n. 扰乱, 不安, 忧虑
"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
miscellaneous,"a. 各种的, 多方面的
"
problematic,"a. 成问题的, 未定的, 疑难的, 有疑问的, 盖然性的, 或然性的"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turmoil,"n. 骚动, 混乱"
dissonant,"a. 不和谐的, 刺耳的, 不一致的"
harmonize,"vi. 协调, 以和声唱
vt. 使一致, 使和谐"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
solidarity,"n. 团结, 团结一致, 共同一致
"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
endanger,"vt. 危及
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
imperil,"vt. 使处于危险, 危害"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
precarious,"a. 不稳定的, 不安的, 危险的"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
exterminate,"vt. 扑灭, 消灭, 根绝"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
inappropriate,"a. 不适当的, 不相称的"
inept,"a. 不适当的, 不理智的, 笨拙的
"
maladaptive,"a. 不适应的, 适应不良的, 不利于适应的, 显示不适应的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
vehement,"a. 热烈的, 激烈的"
untainted,"a. 没有污点的, 清白无瑕的"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
vanish,"vi. 消失, 不见, 成为零"
beatific,"a. 至福的, 赐福的, 极乐的"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
well-being,n. 健康; 幸福; 保持良好状态
aftermath,"n. 结果, 后果
"
calamity,"n. 灾难, 不幸事件"
casualty,"n. 意外事故, 伤亡, 受害者
"
catastrophe,"n. 大灾难, 大祸
"
doomed,a. 注定的；命定的
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
infest,"vt. 骚扰, 寄生于, 大批出没
"
obsess,"vt. 迷住, 使困扰"
ailment,"n. 病痛, 疾病
"
allergic,"a. 对...过敏的, 极反感的
"
amnesia,"n. 健忘症, 记忆缺失
"
arthritis,"n. 关节炎
"
asthma,"n. 哮喘
"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
diabetes,"n. 糖尿病, 多尿症
"
encephalitis,"n. 脑炎
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
hypertension,"n. 高血压, 过度紧张
"
obesity,"n. 肥胖
"
sunburn,"n. 日炙, 晒斑, 晒焦, 晒黑
vt.vi. (使)晒黑, (使)晒得退色, (使)晒焦"
trauma,"n. 外伤, 损伤
"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
effluent,"a. 流出的, 射出的
n. 流出物, 由河湖等流出之水流"
landfill,n. 垃圾堆；垃圾填埋地
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
odor,"n. 气味, 香味, 名声, 意味
"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
stench,"n. 恶臭, 臭气
v. (使)发恶臭"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
horrendous,"a. 可怕的, 骇人的, 不得了的"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
superstition,"n. 迷信
"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
stinging,"a. 刺人的, 刺一般的, 激烈的"
terrify,"vt. 使恐惧, 恐吓"
indignation,"n. 愤怒, 愤慨, 义愤"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
infuriate,"a. 狂怒的
vt. 激怒"
irate,"a. 发怒的, 生气的"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
resent,"vt. 愤恨, 憎恶, 怨恨"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
tyrannical,"a. 暴虐的, 暴君的, 残暴的"
wasteful,"a. 浪费的, 不经济的"
abundant,"a. 丰富的, 充分的, 大量的"
adequate,"a. 适当的, 足够的
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
altitude,"n. 高度, 海拔, 高处
"
ample,"a. 大量的, 充足的, 丰富的"
cumulative,"a. 累积的
"
deficient,"a. 不足的, 不充分的, 有缺陷的"
entirety,"n. 全部, 整体
"
enumerate,"vt. 列举, 计算, 枚举, 数
"
exodus,"n. 大批的离去
"
fecundity,"n. 多产, 丰饶, 肥沃, 繁殖力
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
frequency,"n. 频率, 频数
"
fruitful,"a. 结果实的, 多实的, 产量多的"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
multitude,"n. 多数, 群众"
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
quantitative,"a. 数量的, 定量的
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
solely,"adv. 仅仅, 单独地"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
sufficient,"a. 充分的, 足够的
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
ancillary,"a. 从属的, 辅助的, 副的
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
inherent,"a. 固有的, 与生俱来的
"
innate,"a. 先天的, 天生的
"
intrinsic,"a. 本质的, 原有的, 真正的
"
possessive,"n. 所有格
a. 所有的, 占有的"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjoining,"a. 邻接的, 毗连的
"
contiguous,"a. 邻近的, 接近的
"
analogous,"a. 类似的, 相似的
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antedate,"vt. 先于, 前于
"
applicable,"a. 合适的, 可应用的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
bilateral,"a. 有两边的, 双边的, 双方的
"
binary,"a. 由两部分组成的, 二进位的, 二元的
"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
compatible,"a. 能共处的, 可并立的, 适合的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complementary,"a. 补充的, 补足的
"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
dichotomy,"n. 两分, 分裂, 二分法
"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
distinct,"a. 清楚的, 显著的, 不同的"
distinguish,"v. 区别, 辨别"
diverse,"a. 不同的, 变化多的"
diversify,"vt. 使多样化, 使变化"
egalitarian,"a. 平等主义的
n. 平等主义"
equalize,"vt. 使相等, 补偿
vi. 相等"
equidistant,"a. 距离相等的, 等距的"
equilateral,"n. 等边形
a. 等边的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
heterogeneity,"n. 异种, 异质, 不同成分
"
homogeneity,"n. 同种, 同质, 齐性
"
homogeneous,"a. 同种的, 同质的, 齐性的
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
identical,"a. 同一的, 恒等的, 完全相同的
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
linkage,"n. 联合, 连锁, 结合, 联动
"
mutual,"a. 相互的, 共有的
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
resemble,"vt. 相似, 类似"
similarity,"n. 类似, 类似处
"
affinity,"n. 吸引, 姻亲关系, 类同
"
antiquated,"a. 陈旧的, 过时的, 年老的"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
bygone,"n. 过去的事, 往事
a. 过去的"
cliché,无
conventional,"a. 传统的, 习惯的, 约定的
"
hoary,"a. 灰白的, 陈旧的
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
incipient,"a. 起初的, 发端的, 初期的
"
novice,"n. 新手, 初学者"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
arcane,"a. 神秘的, 晦涩难解的"
mysterious,"a. 神秘的, 难解的, 不可思议的"
mystic,"a. 神秘的, 奥秘的
n. 神秘主义者"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
informant,"n. 提供消息者, 密告者, 被调查者
"
prowl,"n. 潜行, 徘徊, 悄悄踱步
vi. 潜行以觅食, 徘徊
vt. 徘徊"
secretary,"n. 秘书, 书记, 大臣
"
suggestive,"a. 提示性的, 影射的, 暗示的
"
authentic,"a. 可靠的, 可信的, 真正的
"
factual,"a. 事实的, 实际的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
bout,"n. 一回, 回合, 较量
"
bunch,"n. 串, 束
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
calorie,n. 卡路里（热量单位）
centimeter,"n. 厘米
"
pint,"n. 品脱(干量或液量的单位)
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
beneficial,"a. 有益的, 受益的
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
vantage,"n. 优势, 有利情况"
necessitate,"vt. 迫使, 使成为必需, 需要"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
continuation,"n. 继续, 续集, 补编
"
continuous,"a. 连续的, 继续的, 连续不断的
"
durability,"[计] 耐久性, 耐用性, 持久性"
duration,"n. 持续时间, 持续
"
eternal,"a. 永恒的, 永远的, 不灭的"
longevity,"n. 长命, 长寿, 寿命
"
perennial,"a. 常年的, 长期的, 反复的
"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
perpetuate,"vt. 使永存, 使不朽, 保持"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
successive,"a. 继承的, 连续的
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
incoherent,"a. 不连贯的, 语无伦次的
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
intermittent,"a. 间歇的, 断断续续的
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
brevity,"n. 短暂, 简短"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
sketchy,"a. 概略的, 草草完成的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
succinct,"a. 简洁的, 紧缩的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
inextricable,"a. 逃脱不掉的, 解不开的, 无法解决的"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
consequence,"n. 结果, 重要性
"
crucial,"a. 决定性的, 重要的, 严厉的
"
dominant,"a. 占优势的, 支配的
"
elite,"n. 精华, 精锐, 中坚分子"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
far-reaching,adj. 影响深远的; 有广泛影响的
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
fatality,"n. 不幸, 厄运, 致命性, 死亡者, 厄运, 天命"
momentous,"a. 重大的, 重要的"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
elementary,"a. 初步的, 基本的
"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
nuance,n. 细微差别
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
periphery,"n. 外围, 边缘地区, 圆周
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
unobtrusive,"a. 不唐突的, 不引人注目的, 谦虚的"
configuration,"n. 结构, 表面配置, 外形, 配置
"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
ostensible,"a. 表面的, 假装的, 看得出的
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
crinkle,"n. 皱, 波纹
vt. 使皱, 使缩, 起皱
vi. 皱, 拳曲"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
underweight,"n. 重量不足
a. 重量不足的"
hitherto,"adv. 迄今, 至今"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
ensue,"vi. 跟着发生, 继起
vt. 追求"
eventual,"a. 最后的, 终于的"
posthumous,"a. 遗腹的, 死后的
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
subsequent,"a. 后来的, 接下去的
"
