population explosion,[经] 人口爆炸
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
heartfelt,"a. 衷心的, 真心真意的"
reception,"n. 接待, 接受, 招待会
"
hospitality,"n. 款待, 亲切, 殷勤"
gratitude,n. 感激之情
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
cherish,"vt. 珍爱, 怀有, 爱护"
accordingly,"adv. 相应地, 因此, 于是"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
meet up with,偶遇
delegation,"n. 代表团, 派遣代表团, 代表的地位(或权力)
"
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
fade away,逐渐消失
delighted,"a. 高兴的, 快乐的"
horizon,"n. 地平线, 眼界, (天)视地平"
social practice,[经] 社会实践
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
take full advantage of,充分利用
admission,"n. 准许进入, 入场费, 录用, 承认
"
curriculum,"n. 课程
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
fruitful,"a. 结果实的, 多实的, 产量多的"
social gathering,社交聚会
complain,"v. 抱怨, 抗议, 控诉"
unwrap,vt. 打开
defect,"n. 缺点
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
impede,"vt. 妨碍, 阻碍, 阻止"
switch off,"切断
"
furious,"a. 狂怒的, 激烈的, 吵闹的"
complaint,"n. 诉苦, 抱怨, 控诉
"
unacceptable,"a. 无法接受的, 不受欢迎的
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
automatically,"adv. 自动地, 机械地"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
dropout,"n. 退学学生, 中途退学
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
raise funds,[经] 筹集资金
in need of,"需要...时, 如果需要..."
donate,v. 捐赠
charity sale,[经] 义卖
be lacking in,"缺乏..., 缺少..., 需要..."
give sb. a hand,"un. 制住；帮着干一点
"
underprivileged,"a. 贫困的, 下层社会的, 被剥夺了正当权利的, 权益较他人为少的
"
allocate,"vt. 分派, 分配
"
stationery,"n. 文具, 信纸
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
auction,"n. 拍卖
vt. 拍卖"
participate in,"参加, 参与, 分享"
semester,n. 学期
smoothly,"adv. 平滑地, 流畅地, 流利地"
graceful,a. 优美的
overseas student,留学生
adapt,"vt. 使适应, 改编
vi. 适应"
freak,"n. 畸形人, 畸形物, 不正常的事物, 反复无常
a. 奇异的, 反常的"
ultimately,"adv. 最后, 最终
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
admission,"n. 准许进入, 入场费, 录用, 承认
"
item,"n. 项目, 条款, 一则, 项
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
desirable,"a. 令人想望的, 可取的"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
auditoria,"pl. 听众席, 礼堂"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
enthusiasm,"n. 巨大的热情, 热心"
unforgettable,"a. 忘不了的, 令人难忘的"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
integrity,"n. 正直, 廉正, 完整
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
heartfelt,"a. 衷心的, 真心真意的"
numerous,"a. 很多的, 数目众多的, 多数的
"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
with regard to,关于
foundation,"n. 基础, 根据, 建立
"
spare no effort,"不遗余力, 尽力"
extremely,"adv. 极端地, 非常地"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
bi-directional,adj. 双向的；双指向性
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
adaptive,"a. 适应的, 能适应的"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
accumulation,"n. 积聚, 累积, 积聚物
"
in favor of,"赞同, 有利于"
presentation,"n. 赠与, 描述, 介绍
"
invitation,"n. 邀请, 请柬, 引诱
"
folk art, 民间艺术
international student, 外国留学生
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
beneficial,"a. 有益的, 受益的
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
quintessence,"n. 精萃, 精华, 典范
"
enrich,"vt. 使富足, 使肥沃"
consist of,由...组成
catch on,"变得流行, 理解, 明白"
catch on to sth.,理解
conception,"n. 观念, 概念
"
apology,"n. 道歉, 辩护
"
passenger ticket,客票
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
appointment,"n. 约会, 委任的职位, 委派
"
owing to,"由于..., 因为..."
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
arrangement,"n. 排列, 整齐, 安排
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
provide sb. with sth.,"v. 供给；供应
"
shared mobility,无
bicycle sharing,无
car sharing, 拼车
separately,adv. 
debate,"n. 辩论, 讨论
v. 争论, 辩论"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
online ride-hailing,无
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
vote for sb.,"[法] 赞成, 投票赞成, 选举"
detailed,"a. 详细的, 复杂的
"
energy saving,[化] 节能
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
contribute to,捐献
be worth doing ...,无
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
Humble Administrator's Garden,拙政园
distinctive,"a. 有特色的, 出众的"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
in advance,"预先
"
necessity,"n. 需要, 必需品, 必然
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
architectural,"a. 有关建筑的, 建筑学的"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
anytime,adv. 任何时候；无例外地
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
classical,"a. 古典的, 正统派的, 经典的
"
identification,"n. 识别, 身份证明, 认同
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
meaningful,a. 意味深长的
willing,"a. 乐意的, 自愿的, 甘愿的"
reluctant,"a. 不情愿的, 勉强的
"
a mirror of,[网络] 是…的一面镜子
prevail,"vi. 获胜, 流行, 盛行
"
a precondition for,无
a precondition of,无
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
strive,"vi. 努力, 奋斗, 斗争"
integrity,"n. 正直, 廉正, 完整
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
abundant,"a. 丰富的, 充分的, 大量的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
or rather,"更确切地说,说得更确切点"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
mournfully,"adv. 悲哀地, 凄惨地"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
infringement,"n. 违犯, 侵害, 违反, 侵犯
"
run rampant,"横行, 猖狂"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
profiteer,"n. 获暴利的人, 奸商
vi. 获暴利, 赚大钱"
crack down on,"制裁, 镇压"
pretend,"v. 假装, 伪称, 自命, 自称"
ingrain,"vt. 给原纱染色, 使根深蒂固
a. 原纱染色的, 根深蒂固的
n. 原纱染色, 固有品质"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
traditional virtue,无
hard nuts,[网络] 硬核桃
culture soft power,无
vice versa,"反之亦然
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
proposal,"n. 提议, 计划, 求婚
"
vigorously,"adv. 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮, 强有力"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
low-carbon lifestyle,无
hydropower,n. 水力发出的电力
disposable products,无
arm in arm,臂挽臂
ceremony,"n. 典礼, 仪式, 礼节
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
upbringing,n. 教养
filial piety,n. 孝顺，孝心; 跪乳之恩; 乌鸟私情
empty-nesters,[网络] 空巢老人；空巢族；空巢期
requite,"vt. 报答, 酬答, 还礼"
oversleep,v. (使)睡过头
complain,"v. 抱怨, 抗议, 控诉"
mistakenly,"adv. 错误地, 被误解地"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
unblushingly,adv. unblushing的变形
shirk,"vi. 溜掉, 逃避, 推卸
vt. 逃避"
undervalue,"vt. 低估...之价值, 低估, 看轻
"
quality-oriented education,[网络] 教学模式素质教育
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
traffic regulations,[法] 交通规则
city image,城市形象
have an effect on,(对…)有影响〔产生效果〕
inappropriate,"a. 不适当的, 不相称的"
misdeed,"n. 罪行, 犯罪
"
drunk-driving,n. 酒后驾车
invariably,"adv. 不变化地, 恒定地, 始终如一地"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
endanger,"vt. 危及
"
consciously,adv. 自觉地；有意识地
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
take it for granted,v. 视为当然
abnormal mentality,无
dualism,"n. 双重性, 二元论
"
fondness,n. 溺爱；爱好
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
followed by, 然后，随后；续集
deteriorate,v. (使)恶化
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
put all one's efforts to,无
Neet,"n. 啃老族（=Not in Education, Employment or Training）"
live off,"以...为食料, 靠...生活"
basin,"n. 盆, 盆地
"
staggering,"a. 蹒跚的, 巨大的, 惊人的
"
distribution,"n. 分配
"
be obsessed with,被…困扰
be on the increase,"na. 不断增加
"
necessity,"n. 需要, 必需品, 必然
"
inconvenient,"a. 不便的, 有困难的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
upscale,a. 迎合高层次消费者的；质优价高的
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
transaction,"n. 交易, 办理, 学报, 和解协议
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
come up with,"赶上, 提出"
nonscheduled,"a. 不定期的, 不按计划的"
prosperity,"n. 繁荣, 茂盛, 成功
"
security flaw,安全性缺陷
infrastructure,"n. 基础结构, 基础设施
"
ancient relics,古代遗物;古迹
antiquity,"n. 古老, 古代, 古代人, 古物"
demolish,"vt. 毁坏, 破坏, 粉碎"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
bring forth,使产生
jubilant,"a. 欢呼的, 喜洋洋的"
fertility rate,
weigh sb. down,"na. 使负重担；压迫
"
inflict,"vt. 施以, 加害, 使承受
"
deter,"vt. 制止, 吓住, 威慑"
conceive,"vt. 构思, 认为
vi. 怀孕"
ignite,"vt. 点燃, 使灼热, 使兴奋"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
maternity leave,[法] 产假
take the choice of,无
radically,"adv. 根本地, 完全地"
abandonment,"n. 放弃, 抛弃, 放纵
"
to some extent,在某种程度上
define,"vt. 定义, 规定, 使明确
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
postgraduate school,无
advantageous,"a. 有利的, 有益的"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
corporate ladder,[网络] 公司的官阶；公司晋升制度；企业阶梯
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
cyber language,[网络] 网络语言；网络交际语
come into being,"形成, 产生"
unconventionality,n. 非常规；异常
fuzzy,"a. 有微毛的, 模糊的
"
appendant,"a. 附加的, 附属的
n. 附属物"
neutrality,"n. 中立, 不偏不倚, 中间状态
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
dialectical,"a. 辩证的, 辩证法的"
luxury villa,无
household appliances,家用电器
diligently,adv. 勤奋地；勤勉地
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
take it for granted,v. 视为当然
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
entertainment,"n. 娱乐, 款待, 娱乐表演"
day in and day out,天天
idleness,"n. 懒惰, 闲散, 失业
"
polyhedron,n. 多面体
highly competitive,[网络] 高度竞争；富有竞争力；竞争多元化
persist,"vi. 坚持, 固执, 持续, 坚称
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
ardently,"adv. 热心地, 热烈地"
fast-tempo, [体]快频率
vicious cycle,[经] 恶性循环
persistently,adv. 坚持地; 固执地; 一个劲儿
tremendous,"a. 巨大的, 非常的, 可怕的"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
lay stress upon,"把重点放在...上, 在...上用力, 强调..."
seek treatment, 就医
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
bosom friends,"心腹之交,密友,知己"
as high as, 高达
work efficiency,工效;劳动效率
not to mention,不必提及
competitive,"a. 竞争的
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
world-shocking,无
destination,"n. 目的地, 目标, 目的
"
investigation,"n. 调查, 审查
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
memorable,"a. 值得纪念的, 难忘的"
tycoon,"n. 企业界大亨, 将军
"
underestimate,"n. 低估
vt. 低估, 看轻"
eyas,"n. 雏鸟, 小鹰"
ablution,"n. 洗澡, 洗礼, 斋戒沐浴
"
noble descent,无
sapling,"n. 树苗, 小树"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
coexist,vi. 共存
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
instruct,"vt. 教, 教育, 命令, 通知
"
meteorologist,n. 气象学者
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
in reverse,"在背面,在反面,反过来"
cornerstone,"n. 奠基石, 基础"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
beyond measure,"无可估量, 极度"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
illustration,"n. 例证, 插图
"
insurmountable,"a. 难以克服的, 不能超越的"
parching,"a. 烘烤似的, 焦干似的"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
dedicated,"a. 专注的, 献身的"
invincible,"a. 不能征服的, 无敌的"
histogram,"n. 直方图
"
overwhelming,"a. 压倒性的, 无法抵抗的"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
recital,"n. 背诵, 吟诵, 详述
"
severity,"n. 严格, 朴素, 激烈"
contributing factor,起作用的因素
live in amity with,无
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
urgency,"n. 紧急, 催促
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
workout,"n. 试验, 试用, 锻炼"
dizziness,"n. 头昏眼花
"
muscle strain,肌肉劳损
deprive of,"un. 剥夺
"
allocate,"vt. 分派, 分配
"
counterproductive,a. 反生产的；使达不到预期目标的
tendon,"n. 腱
"
arduous,"a. 费力的, 努力的, 险峻的"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
stressed,a. 感到有压力的；紧张的
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
as follows,如下
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
estranged,"a. 疏远的, 分离的, 隔离的"
inimical,"a. 有敌意的, 有害的, 抵触的"
urbanization,"n. 都市化
"
metropolis,"n. 大都市, 重要中心, 首府
"
facility,"n. 容易, 灵巧, 设备
"
poverty-stricken,"adj. 寒酸的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
governmental hospital,[医] 公立医院
preferential,"a. 优先的, (关税等)优惠的
"
clinic,"n. 诊所, 临床教学
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
urgency,"n. 紧急, 催促
"
ethic,"n. 道德规范, 伦理"
vicious attack,无
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
verbally abuse,无
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
impair,"vt. 损害, 减少, 削弱
"
unscrupulous,"a. 无道德原则的, 不审慎的, 肆无忌惮的"
leakage,"n. 漏, 漏出物, 泄漏
"
spam message,n. 垃圾短信
disturbance,"n. 扰乱, 不安, 忧虑
"
crack down on,"制裁, 镇压"
profiteer,"n. 获暴利的人, 奸商
vi. 获暴利, 赚大钱"
extensive,"a. 广的, 广泛的, 多方面的
"
max out,[网络] 极限重量次数；刷爆；最大淡出
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
mountain bike,"n. 山地车, 山地自行车"
give back,"na. 归还；返回；往后站；凹陷
"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
qualified,"a. 有资格的
"
dissatisfaction,"n. 不满, 不平"
online store,线上商店
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
laundry machine,洗衣机
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
allotted,a. 专款的；拨出的
convey,"vt. 传达, 运输, 转让
"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
heartfelt thanks,[网络] 由衷的谢意；诚挚的谢意；衷心感谢
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
assistance,"n. 协助, 援助
"
department,"n. 部门, 系, 机关
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
entrust,"vt. 信托, 交托, 委托
"
highly,"adv. 非常, 非常赞许地
"
genuinely,adv. 真诚地；诚实地
attend class,"上课,听课"
comprehension,"n. 理解, 包含"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
result in,"导致
"
preferably,"adv. 更可取地, 更好地, 更合意地"
prevent,"v. 预防, 防止, 阻止, 妨碍"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
required course,必修课
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
apply for,"申请,请求,要求…"
part-time job,"un. 零星工作
"
qualification,"n. 资格, 条件, 限制
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
PhD graduates,无
requirement,"n. 需求, 必要条件, 要求
"
guest professor,[计] 客座教授
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
genuinely,adv. 真诚地；诚实地
poverty-stricken,"adj. 寒酸的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
sanitary conditions,卫生条件
cheerless,a. 不愉快的
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
logistics department, 后勤部
drastic,"a. 激烈的
"
fly-killing lamp,无
normal students,[网络] 师范生
jury,"n. 陪审团, 评判委员会
a. 应急的"
trial teaching,无
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
competitor,"n. 竞争者
"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
association,"n. 协会
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
gerocomium,"敬老院, 养老院"
remind,"vt. 提醒, 使想起"
keep sb. company,[网络] 陪伴；作伴；交往
heartfelt,"a. 衷心的, 真心真意的"
all along,"始终, 一直"
devotion,"n. 热爱, 投入"
civil servant,n. 文职人员; 公务员; 公仆; 联合国等机构的行政人员
persist in,"坚持, 固执于"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
unduly,"adv. 不适当地, 过度地
"
burn the midnight oil,[网络] 挑灯夜战；熬夜
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
on schedule,"按时
"
athletic,a. 运动的
careless,"a. 粗心的, 不关心的, 无忧无虑的"
exorbitant,"a. 过度的, 过高的, 过分的"
on account of,由于
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
compensation,"n. 补偿, 赔偿金, 工资
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
leaf through,"翻书页, 翻阅"
appropriate,"a. 适当的
"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
with regard to,关于
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
"
rough draft,[经] 草稿
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
conduce to,"导致, 有助于"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
contribution,"n. 捐助, 捐助之物, 贡献
"
inquire,"v. 询问, 问明, 查究"
travel agency,"旅行社
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
sign up,"签约参加工作, 签约雇用"
excellent,"a. 优良的, 杰出的, 出色的"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
internship,"n. 实习医师的职务
"
stress out,[网络] 压力过大；经历极大压力；压力大
up for a raise,无
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
make up one's mind,"下决心, 接受, 承认"
bearer,"n. 带信人, 票据持有人, 搬运者
"
earnestly,adv. 诚挚地；认真地
bring off,"na. 办完；(从失事船只上)救出
"
graduation practice,无
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
convince,"vt. 说服, 使相信
"
regulation,"n. 规则, 管理, 调整
"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
comply with,照做
