abandon oneself to,沉溺于
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the side,"作为兼职, 另外"
on the sky,无
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the spur of the moment, 凭一时冲动; 日不移晷
on the strength of,"依赖..., 凭借..., 在...的鼓励下"
on the table,"在桌面上, 公开地, 被提交讨论的"
on the threshold of,"在…的开头,在…快要开始的时候,在…的前夕"
on the verge of,"接近于, 濒临于"
on the whole,"大体上, 基本上"
on thin ice,如履薄冰
on time,"准时
"
on top,"在上面, 成功, 领先, 另外"
on behalf of,"代表...
"
on the behalf of,[网络] 代表；为了
in behalf of,"代表,为了…"
in the behalf of,无
on oath,"发誓, 在誓言的约束下
"
under oath,"宣誓,发誓,凭誓言"
on one's honor, 以名誉担保
on one's honour,以名誉担保
upon one's honor,无
upon one's honour,以名誉担保，这的确属实
out of breath,上气不接下气
out of character,"不符合某人一贯的性格, 与自己的性/习惯/所扮的角色不适合"
out of condition,"健康状况不好, 保存得不好"
out of control,"不受控制, 失去控制
"
out of date,"过时的, 废弃的
"
out of fashion,"不合时尚,不时兴的,过时"
out of hand,"无法控制, 脱手, 告终, 立即"
out of joint,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的"
out of line,"na. 不一致；不成一直线
"
out of luck,运气不好
out of one's depth,在水深没顶的地方; 超出了某人知识〔理解力〕的范围; 束手无策
out of order,"次序颠倒, 不整齐
"
out of place,"不在合适位置, 不合适"
out of pocket,白花钱的
out of practice,"荒疏的, 久不练习的"
out of print,"已绝版, 已售完
"
out of question,毫无疑问
out of season,"过时, 不合时令"
out of sight,"在看不见的地方, 极度"
out of sorts,"身体不适, 心情不佳"
out of step,"步调不一致
"
out of stock,"已脱销
"
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
out of touch with,"同…失去联系,对…不了解,不知道,脱离…"
out of tune with,[网络] 不融洽；格格不入；与……不一致
out of use,"不被使用, 废弃"
out of work,"失业, 机器有毛病
"
outside of,"在...的外面, 超出...的范围, 除了...之外"
round the clock,连续一整天
to a certain extent,在某种程度上
to advantage,"na. (因比较或衬托而)更加
"
to all appearances,就表面看来，显然
to date,迄今为止
to death,极度
to excess,过度
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to some degree, 有点，稍微; 在某种程度上
to the best of one's ability,尽自己最大努力
to the contrary,相反地
to the core,直至核心
to the effect that,"大意是, 以便"
to the fore,"在近处, 在手头, 在前面"
to the letter,"严格按照字句, 不择不扣地"
to the point,"中肯, 扼要"
to the tune of,"达到...数量, 价格达..."
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under cover,隐藏着
under fire,受攻击
under no circumstances,"在任何情况下都不,决不"
under one's breath,"低声说话, 轻声说话, 耳语"
under the weather," 身体不舒服, 心情不好"
under way,"进行中, 在行进"
up against,面临
up in the air,悬而未决
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
up to date,"最近的, 最新的
"
up to the minute,最新的
with a view to,"以...为目标
"
with one accord,一致
with reference to,"关于
"
with respect to,"关于..., 至于...
"
with regard to,关于
in regard to,"关于
"
within reason, 在合理范围内; 不过分
a bit,一点儿；有一点儿
a case in point,恰当的例子
a far cry,"遥远的距离, 大不相同的东西"
a good deal, 许多
a great deal,大量
a good many,很多
a great many,许许多多
a number of,许多的
a piece of cake,轻松的事
a sea of,"无限的, 很多的"
a variety of,"各种各样的..., 种种..."
again and again,"再三地, 反复地"
all along,"始终, 一直"
all at once,"突然, 同时
"
all but,"几乎, 差一点"
all in all,"总而言之, 合计, 头等重要的东西"
all manner of,各种各类的
all of a sudden,突然
all over,"全部结束, 到处, 浑身"
all over again,"完全重做,从头开始"
all the same,仍然
all the time,始终
all the way,"从远道, 自始至终, 一路上"
all the while,"一直, 始终"
all things considered,从全面考虑
all thumbs, 笨手笨脚的
and so on,等等
and so forth,等等
anything like,"像…的东西;几乎,将近,差不多;全然,根本"
apart from,除了...之外
arm in arm,臂挽臂
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as it is,"事实上, 实际上, 既然如此"
as it were,"可以说是, 似乎就是"
as opposed to,"完全不同, 截然相反, 反对, 对照"
as soon as,一...就
as long as,只要...
so long as,只要
aside from,除...以外
back and forth,来回地
better off, 比较富裕; 情况好转
black and blue,"青肿的, 淤血的"
but for,要不是
by reason of,"由于, 因为"
capable of, 有…能力（或技能）的，能…的
day and night,日以继夜
day off, 休假
due to,"由于, 应归于"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"虽然, 尽管"
even so,虽然如此
every now and then,"常常, 不时地"
every other,"每隔一, 所有其他的"
every so often,"时常, 常常, 不时"
far and wide,"到处, 广泛地"
far from,"远离, 远非"
first and foremost,首要地
hand in hand,"手拉手, 联合"
head over heels,"头朝下, 颠倒, 完全地"
here and now,此时此地
here and there,"各处, 到处, 四处"
how come," 为什么, 怎么会…（那样）"
I dare say,"我想, 大概"
if only,只要
just about,"几乎, 正是"
just as well,"幸好, 无妨"
just now,刚刚
kind of," <口>稍微, 有点儿, 有几分"
least of all,最不
little by little,渐渐
more often than not,"多半, 通常"
more or less,或多或少
much as," 虽然, 尽管"
neither ... nor,[网络] 既不……也不；两者都不；均不
neither here nor there,"不中肯, 与题目不相干, 不重要, 与...无关的"
next to,几乎
no doubt,无疑地
no end,非常
not have a leg to stand on,"(论点等)站不住脚, 对行为无合理的解释等"
no less than,正如
no longer,不再
no matter how,不管如何
no matter what, 无论如何，不管怎样
no matter which, 无论哪个
no sooner ... than,[网络] 一……就；不早于；刚…就
no wonder,不足为奇的
none but,只有
none other than,"不是别人而正是..., 不是他物而正是..."
none too,不很
not in the least,"绝对不, 一点也不"
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
not so much ... as ...,"conj. 甚至不
"
not to be sneezed at,"不可轻视, 值得考虑"
not to mention,不必提及
nothing but,只
now that,"既然..., 由于..."
nowhere near,离...很近
odds and ends,零星东西
on condition that,"若是…, 以…为条件"
once and for all,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次"
once in a while,偶尔
once more,再一次
once again,再一次
once upon a time,从前
one another,彼此
one way or another,无论如何
only too,"非常, 实在, 完全"
or else,否则
or so,"大约, 或许, ...左右"
other than,"不同于, 除了"
over and above,"在...之上, 高于..., 重于..., 在...之外(还), 另外还..., 在...同时还, 此外"
over and over again,反复地; 再三地
pie in the sky,"死后的幸福, 渺茫的希望, 空头支票, 不能保证实现的允诺"
poles apart,"大相径庭, 完全相反"
prior to,"在前, 居先
"
quite a few,相当多的
rather than,与其...不如...
relative to,"相对于, 涉及
"
safe and sound,安然无恙的
second to none,首屈一指
seeing that,"conj. 鉴于, 既然"
shoulder to shoulder,"肩并肩地, 齐心协力地"
side by side,"并排, 并肩"
so and so,某某;如此这般
so as to,"使得, 以致"
so far,迄今为止
so that,所以
so to speak,"可以这么说, 打个譬喻说"
so ... that,所以
so ... as to,"使得, 以致"
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sort of,有几分地
spot on," 完全正确的; 精确的, 准确的"
step by step,逐步地
sure enough,"果然, 果真"
that is to say,"就是, 即, 换句话说"
the moment that,一…(就…)
the more ... the more,越…越…
the rank and file,"普通士兵们, 老百姓"
the same as,"与...相同, 与...一致"
then and there,"当时当地, 当场就"
there and then,"当时当地, 当场就"
through and through,"完全, 彻底"
time after time,"多次, 反复, 不断地"
time and again,反复地
to be on the safe side,"为慎重起见, 以防万一"
to begin with,首先
to go,"剩下, 还有"
to say nothing of,"更不待言, 以及"
to say the least,退一步说
to spare,"多余的,备用的"
to start with,"作为开始, 首先"
together with,"和, 加之"
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
what if,如果…那又怎么样?即使…那又有什么关系?
what is more,而且
what is worse, 更糟的是
wide of the mark,"远离目标, 毫不相关"
word for word,逐字地
would sooner,"倒愿意…,宁愿…"
worn out, 磨穿; 疲乏
worthy of,值得…的
wound up,a. 紧张的; 兴奋的
