acrobatics,"n. 杂技, 杂技表演"
lavatory,"n. 洗脸盆, 厕所"
storeroom,"n. 储藏室, 库房
"
basement,"n. 地下室, 墙脚
"
attic,"n. 阁楼, 顶楼
"
loft,"n. 阁楼, 鸽房, 楼上
vt. 储存于阁楼上
vi. 将球高击"
courtyard,"n. 庭院, 天井"
backyard,"n. 后院, 后庭"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
lawn,"n. 草地, 草坪, 上等细麻布
"
hotel,"n. 旅馆, 客栈"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
hotel boy,无
water bed,"充水床垫
"
shower curtain, 浴帘
soap dish,n. 肥皂碟
towel rail,n. 手巾架
bath sponge,洗澡用海绵
back brush,无
massage brush,擦身刷
hair brush,毛刷
tooth brush, 牙刷
tooth paste,牙膏
toilet paper,"卫生纸, 草纸"
pipe-line gas,管道气
fire extinguisher,[电] 灭火器
front room," 前室, 隔音室"
reception room,接待室
dining room,饭厅
spare room,备用房间;客房
reception desk,接待处
hotel manager, 饭店经理
desk clerk,接待员
hotel vestibule,无
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
dry-clean,vt.& vi. 干洗
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
balcony,"n. 阳台, 戏院楼厅"
bedroom,n. 卧室
bathroom,"n. 浴室, 厕所"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
attic,"n. 阁楼, 顶楼
"
basement,"n. 地下室, 墙脚
"
hall,"n. 门厅, 走廊, 会堂"
porch,"n. 门廊, 走廊"
playroom,"n. 游戏室, 娱乐室"
furniture,"n. 家具, 帆具"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
armchair,n. 扶手椅
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
fridge,n. 电冰箱
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
oven,"n. 烤箱, 灶, 子宫
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
kettle,"n. 茶壶, 罐
"
saucepan,"n. (长柄有盖)深平底锅, 炖锅"
range hood, 除油烟机
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
bamboo,"n. 竹子
"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
lifestyle,n. 生活方式
inherit,"vt. 继承, 遗传
vi. 接受遗产"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
decoration,"n. 装饰, 装饰品"
bungalow,n. 平房
bathroom,"n. 浴室, 厕所"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
sunshine,"n. 阳光, 光明, 晴天"
homeless,"a. 无家的, 无养主的"
dining room,饭厅
utility room,杂物间
spare room,备用房间;客房
CD player,激光唱机；CD播放器
hi-fi,n. 高保真度，即，high fidelity
stereo system,n. 立体音响系统
coffee table,"n. （常置于沙发前的）矮茶几, 咖啡桌"
remote control,
food mixer,食品搅拌器
frying pan,"煎锅, 长柄平底锅"
chest of drawers,"五屉橱,衣柜"
tear down,"na. 拆毁；扯下；猛冲
"
construction material,[经] 基建材料
clay or hay,无
night life,夜生活
spacious rooms,无
noisy community,无
rules and regulations,[经] 规章制度
different habits,无
living room,"客厅, 起居室"
fresh air,"新鲜空气
"
living space,"生存空间, 可居住面积"
large population, 庞大的人口
control population,无
skyscrapers,n. 摩天大楼( skyscraper的复数形式 ); 层楼高耸; 广厦高楼
accommodate more people,无
lamp,"n. 灯
vt. 照亮
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
bath,"n. 沐浴, 浴室
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
towel,"n. 手巾, 毛巾
v. 擦干身子"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
washbasin,n. 脸盆
ceiling,"n. 天花板
"
heater,"n. 加热器, 灯丝, 加热工
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
alarm clock,闹钟
rocking chair,摇椅
modern facility,无
air-conditioner,[化] 空调器; 空气调节器
flowers,[医] 花; 升华制成的药物; 月经
narcissus,n. 水仙
daisy,"n. 雏菊, 一流人物
a. 第一流的"
orchid,"n. 兰花, 淡紫色
"
carnation,"n. 康乃馨, 粉红色
"
sunflower,n. 向日葵
dandelion,"n. 药蒲公英
"
forget-me-not, 勿忘草
gypsophila,"n. 丝石竹, 满天星"
yellow rose,无
water lily,睡莲
open a new business,无
happy atmosphere,无
cozy and romantic,无
botanic garden, 植物园
buttercup,n. 毛茛属植物
lily,"n. 百合, 百合花
a. 洁白的, 纯白色的, 纯洁的"
tulip,n. 郁金香
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
chrysanthemum,n. 菊花
snowdrop,"n. 雪花莲, (美)(非正式)宪兵"
lilac,"n. 丁香, 丁香花, 淡紫色
a. 淡紫色的"
jasmine,"n. 茉莉, 淡黄色
"
peony,"n. 牡丹(花), 芍药(花)"
cactus,"n. 仙人掌
"
camellia,"n. 山茶花, 山茶(树)"
plum blossom,n. 梅花
peach blossom,桃花
cherry blossom,n. 樱花
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
Cantonese,"n. 广东人, 广东话"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
vocabulary,"n. 词汇(量), 词汇表
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
dialect,"n. 方言, 同源语"
native language,[计] 本国语言
local dialect, 土话；乡谈；土语
memorize words,无
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
importance of English,无
tell English stories,无
arouse the interest,无
useful for communication,无
grasp the language,无
native speakers,[网络] 母语是英语的人们；母语的人士；讲本族语的人
English speaking environment,无
required course,必修课
language intuition,[网络] 语感；语言直觉
world peace,[网络] 世界和平；和平世界；世界和平饮食
Science of Law,"[法] 法学, 法律科学"
Legal History,[法] 法制史
Constitutional Law and Administrative Law,无
Science of Procedure Laws,无
Science of Economic Law,无
International Law,[经] 国际公法
Science of Military Law,无
Criminal Law,[法] 刑法
Administrative Law,"行政法
"
Civil Law,"民法
"
Commercial Law,[经] 商法
Natural Law,
Labour Law,[经] 劳动法
Fiscal Law,[经] 会计法
Military Law,"[法] 军法, 陆军法"
Copyright Law,[计] 版权法
civil rights," 民事权利, 公民权利"
customs duties,[经] 关税
death duty,"[经] 遗产税, 不动产税"
death tax,[法] 遗产税
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
government bill,[经] 政府债券
pass a bill,无
carry a bill,通过议案
enact a law,[网络] 制定一条法律；立法；颁布法律
promulgate a law,无
law enforcement,"[法] 法律的实施, 法律的执行"
come into force,"开始有效, 开始实施
"
legislation,"n. 立法, 法律
"
legislator,"n. 立法者, 立法官, 立法委员
"
legality,"n. 合法, 正当
"
lawfulness," 法制, 合法"
legal,"a. 法律的, 法定的, 合法的
"
lawful,"a. 法律许可的, 守法的, 合法的
"
contravene a law,犯法
infringe a law,无
break a law,"违反法规,犯法"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
outside the law,[法] 超出法律范围的
abolish,"vt. 废止, 革除, 消灭
"
immunity,"n. 免疫, 免疫性, 免除
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
practical ideas,无
responsibility,"n. 责任, 职责, 负担, 可靠性
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
strength of character, 风骨；骨气
maturity,"n. 成熟, 完备, 到期
"
patience,"n. 耐性, 忍耐"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
common sense,常识
trustworthiness,"n. 可信赖, 确实性"
reliability,"n. 信度, 可靠性
"
creativity,"n. 创造力, 创造性"
sensitivity,"n. 敏感, 灵敏度
"
business foresight,无
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
organization,"n. 组织, 结构, 团体, 体制
"
communication,"n. 交流, 交通, 通讯
"
optimism,"n. 乐观主义, 乐观, 乐天
"
management,"n. 经营, 支配, 管理
"
telephone calls,"un. 电话呼叫
"
traditional and conservative,无
contact friends,无
post office,"邮局
"
stamps and envelopes,无
remote area,"un. 边远地区；遥远地区；偏僻地区
"
love letter,情书
invitation letter,n. 邀请函，邀请信
resignation letter,无
Dear John letter,n. 绝交信，断交信
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
compensation,"n. 补偿, 赔偿金, 工资
"
book exhibition,图书展览
bookworm,"n. 书呆子, 蛀书虫"
Xerox,v. 静电复印
city library,[网络] 城市图书馆；市立图书馆；图书管馆
rural library,无
provincial library,无
municipal library,无
county library,无
circulating library,[法] 巡回图书馆
administrative office,森林管理局
rare books division,无
stack room,书库
reference reading room,无
title card,标题卡片;字幕卡片
catalogue of titles,无
classified catalogue,类目录
title index,书名[标题]索引
author index,著者索引
classified index,分类索引
union catalogue,[图情] 联合目录
loan registration,无
book borrower,无
library card,"图书卡,借书卡"
duplication room,无
drop box,升降梭箱
bookmarker,n. 书签
bookcase,"n. 书架, 书柜"
bookrack,"n. 阅览架, 书架"
paperback,"n. 平装本, 纸面本"
hardback,"a. 硬封面的
n. 精装本"
clothback,n. 布面书
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
encyclopedia,n. 百科全书
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
atlas,"n. 地图集, 图表集
"
booklet,n. 小册子
pamphlet,"n. 小册子, 活页文选"
drama,"n. 戏剧, 戏剧艺术"
commentary,"n. 注释, 评论, 说明
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
anthology,"n. 选集, 诗选"
almanac,"n. 年历, 历书
"
videotape,"n. 录相磁带
vt. 把电视节目录在录像磁带上"
newspaper binder,无
magazine binder,杂志夹
periodical rack,无
rare book,善本书
the only existing copy,无
treasured copy of a rare book,无
presentation copy,"n. 赠送本,献本"
simplified edition,无
adapted edition,无
compact edition,[网络] 缩印本；紧凑的版本；可於网路直接下载
deluxe edition,"豪华本,精装本"
new edition, 新版本
original edition,"原版,初版"
first edition, 初版
trial edition,无
revised edition,修订版
pocket edition,"袖珍本, 小型物"
popular edition,"[经] 普及本, 普及版"
pirated edition,"翻印版,伪版,剽窃版"
front cover,[化] 机壳前盖
talking book,"书刊录音唱片, 有声读物"
reserved book,保留图书(教员指定给学生参阅的书)
illustrated book,无
recommended book,无
news comment,[网络] 时评；新闻评论表
literary criticism,n. 文艺评论
complete works,全集
reference books,"n. 参考书
"
scientific and technical books,无
medical books,无
agricultural books,无
religious books,无
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pictorial,"a. 绘画的, 插图的, 用图画表示的, 形象化的, 有象形文字特征的
n. 画报, 画刊, 有图邮票, 插图杂志, 插图报纸"
picture magazine,有插图的杂志，画报
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
almanac,"n. 年历, 历书
"
national press,无
official newspaper,无
government organ,n. 官报
party organ,政党组织；政党喉舌
periodical publication,无
educational journal,无
ladies' magazine,无
fashion magazine,"n. 时装杂志
"
theoretical magazine,无
military magazine,无
news magazine,[网络] 新闻杂志；时事全方位；时事刊物
biweekly magazine,无
monthly magazine,月刊
bimonthly magazine,无
quarterly magazine,无
bookshop,n. 书店
bookseller,n. 书商
newsagent,n. 报刊经销商
newsstand,"n. 报摊, 报刊出售处"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
sports,"n. (英)运动会, 运动的, 适用于运动的, 运动会的, 与运动会有关的"
science,"n. 科学, 学科, 学问, 自然科学
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
monthly,"n. 月刊
a. 每月的, 每月一次的"
cosmetics,n. 装饰品；化妆品（cosmetic的复数）
dressing,"n. 调味品, 穿衣, 化妆
"
newsstand,"n. 报摊, 报刊出售处"
irreplaceable,"a. 不能调换的, 不能代替的
"
advertisement,"n. 广告, 启事, 广告宣传
"
media,"n. 媒体
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
English magazine,无
business letter,[法] (贸易)业务函件
daily magazines,无
current affairs,n. 时事; 新闻; 时务
experts' comment,无
hot issues,热点问题；[金融] 热门股票（上市后不久价格猛涨）
emphasize topics,无
daily news,"un. (美国)《洛杉矶日报》
"
related information,[网络] 相关信息；相关资讯；相关新闻
comprehensive understanding,[网络] 全面了解；更好的理解；整体贯通法
enrich daily life,无
specific columns,无
excellent articles,无
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
foreword,"n. 前言, 序"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
personals,n. 人事广告栏；人事栏
reportage,"n. 新闻报道, 报告文学"
front page,"标题版, 头版"
second page,无
supplementary sheet,无
weather forecast,天气预报
cover girl,n. （杂志的）封面女郎
inside front,无
start publication,无
first issue,无
cover story,n. 封面故事; 与封面图片有关的正文; 要闻; （尤指掩饰身分或做某事原因的）托辞
the special,无
exclusive interview,专访
news report, 新闻报道，新闻报告; 通讯
press commentary,无
book review,书评
play notice,无
press digest,无
strip cartoon,n. <英>连环漫画
running story,【新闻学】；连载小说，连载故事；分段送给排字房的新闻稿
journalism,"n. 新闻业, 报章杂志
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
newspaperman,n. 新闻记者
publisher,"n. 出版者, 发行人
"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
columnist,n. 专栏作家
tabloid,"n. 小报, 小型画报, 药片, 文摘
a. 轰动性的, 扼要的, 缩略的, 小报式的"
biweekly,"n. 双周刊
a. 两周一次的, 每周二次的
adv. 每两周一次地, 每周二次地"
semimonthly,"a. 每半个月一次的
adv. 每半月一次, 每月二次
n. 半月刊"
monthly,"n. 月刊
a. 每月的, 每月一次的"
bimonthly,"a. 两月一次的, 每月两次的"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
newspaper and magazine office,无
the press,报刊
journalistic circles,无
the news trade,无
press association, 新闻社
newspaper office,报社
news agency,通讯社
press agency, （新闻）通讯社
press baron,报业巨头
news analyst,评论员
popular paper,n. 大众报纸
annual magazine,无
academic journal, 学报
combined issue,无
public prints,[复数]公开出版物(指报纸、杂志)
restricted publication,"un. 内部发行的出版物
"
underground publication,无
back number,"过期的刊物,旧期刊,过时的人或物"
fashionable,"a. 时髦的, 上流社会的, 流行的"
taxation,"n. 课税, 征税, 抽税, 税款, 估定的税额
"
tuition,"n. 学费, 讲授"
wealthy,"a. 富有的, 丰裕的, 充分的"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
achievement,"n. 完成, 成就, 功业"
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
frugal,"a. 节俭的, 朴素的"
luxuries,n. 奢侈( luxury的名词复数 ); 豪华; 奢侈品; 不常有的乐趣（或享受、优势）
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
income,"n. 收入, 收益, 流入
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
educational level,教育水平
blue-collar workers,蓝领工人
computer programmer,
government official,[法] 政府官员
violate the laws,无
source of money,无
medical care,"医疗,医护"
pocket money,"零用钱
"
extra money,[英国俚语]超速罚款单
material things,[网络] 物质事物；物质的东西；物质性的东西
social status,社会地位
symbol of value,un. 价值符号
luxurious things,无
daily necessities,生活必需品
online shopping,线上购物
money management,[经] 货币管理
financial goals,无
set aside some money,无
carry cash,无
credit card,
sum of money, 款项; 金额
sense of security,[法] 安全感
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
organization,"n. 组织, 结构, 团体, 体制
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
utensils,"n. 器具, 用具, 器皿( utensil的名词复数 ); 器物"
British Museum,不列颠博物馆
Museum of Modern Art,现代艺术博物馆
Palace Museum,故宫博物院
natural museum,无
military museum,无
wax figure museum,无
Louvre Museum,[网络] 卢浮宫；罗浮宫；罗浮宫博物馆
science museum, 科学博物馆
public museum,无
private museum,无
car museum,无
history museum, 历史博物馆
art museum,n. 美术馆
fresh and modern,无
original masterpieces,无
time zone,时区
have sense of achievement,无
have greater inventions or creations,无
visit exhibitions,无
widen their horizon,无
have a vivid understanding,无
show the creativity and simplicity,无
appreciate their works,无
hold more activities,无
stuffed animal," 填充玩具动物, 一种在布料内部装填粉状东西的布玩具"
arouse people's curiosity,无
application of high technology,无
background music,[电] 陪衬音乐
keep the temperature appropriate,无
keep valuable memories,无
variety of exhibitions,无
cater to the needs,无
have no interest, 不感冒
gain information about the past,无
insight into culture and literature,无
receive fund from the government,无
invite experts to give lectures,无
hold some competitions,无
get a prize,无
do exhibitions,无
director,"n. 主管, 导演, 董事
"
collector,"n. 收集家, 收取款项的人
"
appreciator,"n. 欣赏者, 鉴赏者"
visitor,"n. 参观者, 游客, 访客
"
admission ticket,入场票
tour guide,"旅游向导,导游"
musician,"n. 音乐家, 乐师, 作曲家"
baton,"n. 指挥棒, 接力棒, 警棍"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
orchestra,"n. 管弦乐队, 乐队演奏处"
concert hall, 演奏厅，音乐厅
western instrument,无
orchestra conductor,管弦乐队指挥
chorus master,合唱队指挥
brass band,军乐队
wind band,"un. 〔音〕管乐队
"
string band,弦乐队
string orchestra, 弦乐队
symphony orchestra,n. 交响乐团
military band,n. 军乐队
folk orchestra,无
light music band,无
pop group, 流行音乐演唱团
band leader,乐队指挥
professional band,无
amateur band,余爱护者频带
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
family name,"姓
"
last name,姓
given name,教名
first name,"名
"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
superstitious,"a. 迷信的
"
good fortune, 福分；福气；幸事；休
family tree,"系谱图, 家谱
"
fortune-teller, 算命者
disturb,"vt. 扰乱, 妨碍, 使不安
"
hear the horns,无
construction site, 工地
decorate home,无
concentrate on one's work,倾全力于工作
make rules and regulations,无
sound of creek in the forest,无
noise of air-conditioners,无
drive someone crazy,[网络] 逼得某人发疯；或受不了；使某人发狂
rubbish,"n. 废物, 垃圾, 胡说"
garbage,"n. 垃圾, 废物
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
trash,"n. 垃圾, 废物
vt. 丢弃"
overpopulation,"n. 人口过剩
"
extinction,"n. 消失, 消灭, 废止
"
ecosystem,"n. 生态系统
"
stream pollution,河流[水域]污染
river pollution,[法] 河流污染
soil pollution,
smoke pollution,烟气污染
shortage of water,水资源紧缺
domestic water,家庭用水
acid rain,酸雨
exhaust the resources,无
over-exploitation,[经] 过度开采
excessive hunting,无
excessive amount of fishing,无
destructive consequences,无
global warming,n. 全球变暖
energy depletion,无
ecological crisis,生态危机
air-quality crisis,无
changeable weather,无
greenhouse effect,温室效应
anti-pollution,"adj. 防止环境污染的；反对公害的
n. 反污染"
pollution control,
environmental sanitation,环境卫生
conservative,"a. 保守的, 守旧的, 有保存力的
"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
leave a trace in life,无
the elders,[网络] 长者会；长老；元老集团
basic daily necessities,无
free accommodation,无
government relief, [财]政府救济
have freedom,无
welfare and health,无
get their pension,无
show their authority,无
cause conflicts,无
reluctant to accept new ideas,无
hinder their development,无
organizers of some important events,无
spiritual idol,无
enlighten us,无
patience and endurance,无
taxpayer,"n. 纳税人
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
insect,"n. 昆虫, 卑鄙的人
"
national park,n. 国家公园
amusement park,公共游乐场
famous park,无
go boating, 划船；泛舟
enjoy the delicacy,无
weird phenomenon,无
traditional country,无
suitable spouse,无
education background,[法] 学历
relaxed and refreshed,无
have relaxation,无
a park in every district,无
public gardens,[网络] 公共花园；公众花园；公有花园
professional gardeners,无
do some gardening,无
private gardens,无
clean the garden,无
breathe fresh air,无
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
do morning exercises, 做早操; 晨练
play games, 敷衍塞责
have a better mood,无
public facilities,市政设施
protect rare animals,无
endure the strong sunshine,无
get pleasure,无
see plants and flowers,无
symbol of social status,无
enjoy a peaceful land,无
unique garden,无
university,n. 大学
colleague,"n. 同事, 同僚"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
kindergarten,n. 幼稚园
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
department,"n. 部门, 系, 机关
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
tuition,"n. 学费, 讲授"
stipend,"n. 薪金, 定期生活津贴
"
scholarship,"n. 学问, 学术成就, 奖学金"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
textbook,n. 教科书
syllabus,"n. 摘要, 提纲, 课程表, 教学大纲
"
audiovisuals,n. 视听教具
library,"n. 图书馆, 藏书, 库
"
auditorium,"n. 听众席, 礼堂
"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
dormitory,n. 宿舍
infirmary,"n. 医院, 养老院
"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
semester,n. 学期
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
matriculation,"n. 大学入学许可, 入学, 入学考试"
professional,"n. 专业人才
a. 专业的, 职业的"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
creativity,"n. 创造力, 创造性"
all-weather playground,无
gymnasium,"n. 健身房, 体育馆
"
high school,中学
senior school,n. (英国的11岁以上儿童的)大龄儿童学校
middle school,"n. 中等学校, 中学"
secondary school,n. 中学
primary school,"n. 小学, 初等学校; 参见：elementary school"
elementary school,小学
nursery school,幼儿园
mixed-sex school,无
single-sex school,[网络] 单一性别学校；女校
private school,n. 私立中小学
hall of residence, 学校公寓
complete a course,无
school report,n. 学生成绩报告单
educational background, [医]教育背景; 学历
academic degree, [法]学位
teaching material,教材，教学资料
teaching aid,教具
audio-visual aids,[网络] 视听辅助教材；视听教材法
language laboratory,n. 语言实验室
reading room,阅览室
swimming pool,n. 游泳池
winter vacation,寒假
summer vacation,暑假
academic year,学年
advanced facilities,无
extracurricular activities,[网络] 课外活动；课外社团活动专题；课外活动组
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
candidate for doctor's degree,无
overseas student,留学生
postdoctoral,a. 博士后的
bachelor's degree,学士学位
Bachelor of Arts,文学士
Bachelor of Science,理学士
master's degree,硕士学位
doctor's degree,博士学位
Doctor of Philosophy,博士
