abolish,"vt. 废止, 革除, 消灭
"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
healthy,"a. 健康的, 有益健康的, 卫生的
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
contrary to,与…相反
in and out,"进进出出, 弯弯曲曲"
prefer to,"un. 较喜欢；宁愿:
"
lack of, 缺乏
by accident,偶然
contribute to,捐献
provide ... with,"v. 供给；供应
"
if only,只要
rather than,与其...不如...
be obliged to, 不得不; 只得; 必须
aim for, 计划， 打算
give up,"na. 放弃；断绝；投降；自首
"
in theory, 理论上
take measures,採用措施
depend on,"依靠, 依赖"
at large,"未被捕, 详尽, 普遍
"
give in,"na. 让步；屈服；投降；上交
"
be inclined to,"倾向于..., 有...的趋势"
concern for, 为…担心
no longer,不再
go against,"反对, 违反, 不利于"
show up,"na. 显眼；揭发；嘲笑；露面
"
only if,只要...就
renege on,[网络] 食言；违背；违约
take advantage of,"v. 利用
 欺骗, 占…的便宜"
keep ... from doing,[网络] 避免做；避免做某事；从某事中停下来
on behalf of,"代表...
"
be confronted with,面临
be unlikely to,不大可能(做)...
stay away from,不在，外出；走开；不接近，不打扰；避开
take the lead,"为首, 带头"
be considered as,被认为/看作是...
be puzzled by,无
by nature,天生地
as a result,结果
pay attention to,注意
be dominant over,无
get over,"爬过, 克服, 熬过, 恢复, 原谅"
at the end of,"在…末尾,在…结束时"
as usual,照常
a bit of,一点
peculiar to, 是…特有的
as for,至于
as to,"根据,按照,依照;关于,至于,就…而言"
derive from,"得自, 由来, 衍生"
be generous to,无
sum up,"na. 〈口〉概括；总结
"
in contrast,"比较起来, 相反地, 而"
die out,"熄灭, 平息, 消失"
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
search for,搜查
be resistant to,"抵抗...的, 对...有耐药力的"
up in arms,"进行武装斗争, 竭力反对"
approve of,"赞成,批准…"
benefit from,从…获利
be similar to,与...相似
subscribe to,"预订, 同意, 订阅"
seek to,vt. 设法; 企图，试图
make no difference,没有影响
add to,"na. 增加
"
turn out,"v. 证明；原来；到场
"
as if,"na. 彷佛；活像
"
as a result of,作为结果
intend to,"打算(做)..., 想要(做)..."
trade with,"与…交换,和…贸易"
cast doubt on,"引起对...的怀疑, 使人们不相信..."
lose faith in,不再信任
would rather,"倒愿意…,宁愿…"
anything but,"单单除...之外, 决不"
do harm to, 损害。。。，伤害。。。; 残害
owe to,"v. 由于；把…归功于
"
be cautious about,无
refer to,"v. 查阅；提到
"
in terms of,"用...的话, 根据, 按照, 在...方面
"
be applicable to,(适)用于
in turn,"na. 挨次
"
feel disappointed at,无
be disappointed at,对…感到失望
on behalf of,"代表...
"
make up,"na. 弥补；起草；定；签订
"
sign on,"签约雇用, 开始广播"
prior to,"在前, 居先
"
exert influence on,对…施加影响
take pride in,以...为傲
suffer from,"忍受, 遭受
"
conform to,"符合, 遵照"
stumble on,"无意中发现,偶然找到"
be obsessed with,被…困扰
instead of,代替
stick to,粘住
in brief,"简言之, 以简洁的形式"
be conscious of,意识到...
no less than,正如
by all means,"尽一切办法, 一定"
on average, 平均起来
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
accuse of,"un. 控告
"
have nothing to do with,与...无关
fail to, 未能…
in fact,"事实上
"
at odds with, 与…不和，与…争吵
compete with,与…竞争
in favor of,"赞同, 有利于"
draw a conclusion,得出结论
insist on,"坚持, 坚决要求"
show sympathy for,无
once for all,"只此一次, 一劳永逸地, 彻底地"
be equipped with,"配备有,装备有…"
put down to,[网络] 归因于；说…因而起；归因为
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
bring about,"na. 造成；带来；【航】(使船)回转
"
cling to,"依附, 依靠, 坚持"
persuade into,劝某人做某事
ward off,"v. 挡开；架开
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
in addition,另外
be accessible to,"可以进入,拿得到,对…开放,易受…影响"
be interested in,对…很感兴趣
in trouble,"处于不幸中, 在监禁中"
be vulnerable to,易受...的伤害
take efforts,无
play a role in,在...起作用
impinge on,"撞击, 侵犯, 紧密接触"
out of date,"过时的, 废弃的
"
result in,"导致
"
for instance,"例如
"
comply with,照做
as a means of,作为…的工具；作为…的方法
be second to,次于…
for example,例如
such as,"例如..., 像这种的"
prevent ... from doing,无
evolve from,由...进化
on the basis of,以...为基础
on the contrary,"正相反
"
slow down,(使)慢下来
result from,"由...产生
"
be deprived of,"被剥夺了…,失去…"
cope with,"与...竞争, 应付, 处理"
in consequence,结果
provide for,"v. 为…作准备
"
at stake,"危如累卵, 在危险中"
be satisfied with,对...感到满意
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
stress the importance of,无
so that,所以
regard as,把...认作
be accountable to,无
be entitled to,[法] 有资格或权利...
discontent with,无
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
by way of,"经由, 作为, 为了
"
be agreeable to,同意
at risk,"un. 担风险
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
indifference to,对…漠不关心
regardless of,"不注意, 不关心"
be susceptible to,"易患..., 对...敏感"
come across,偶遇
in a sense,在某种意义上
be worth doing,无
in vain,"徒然
"
be likely to,"有可能…,很可能…"
apart from,除了...之外
trifle with,玩弄
for long,长久
according to,"根据, 按照；取决于；据…所说"
in a word,总之
doze off,不知不觉地睡着了
be parallel to,"与...平行, 与...类似"
be parallel with,"与...同时, 随着..., 与...比较, 与...相应, 与...并联"
so long as,只要
as long as,只要...
be unprepared for,无
root in,来源于
on the whole,"大体上, 基本上"
owing to,"由于..., 因为..."
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
at all,[网络] 高的
be exposed to,"[计] 曝光, 曝露"
so far,迄今为止
in effect,"有效
"
with regard to,关于
adhere to,"执着于,坚持,粘附于,信奉…"
as far as,"远到, 直到, 至于"
because of,因为
point out,"na. 指出
"
filter out,[化] 滤出
be willing to,愿意(做)...
lead up to,"带到, 导致, 作为...的准备"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
be eager to,"盼望,渴望"
other than,"不同于, 除了"
cannot but,不得不
be dependent on,"依靠, 依赖"
in order to, 为了…
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
thirst for,"渴望, 热望"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
at all costs,不惜任何代价
in particular,特别
be biased against,"na. 对…抱有偏见
"
fold into,(烹饪时)把…调[拌]入
take ... to extremes,[网络] 做得过多
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be reluctant to,"勉强…,不情愿…"
in general,大多数
now that,"既然..., 由于..."
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
make fun of,取笑
at length,"最后, 详细地"
apply to,[计] 应用于
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
blame on,[网络] 把责任推给；责怪；归罪于
by means of,依靠
run against,"撞上, 偶遇, 违反"
get rid of,"摆脱, 除去"
rest on,"被搁在, 停留在, 信赖"
be regarded as,[网络] 被认为是；被当做是；视为
reliance on,[网络] 依赖；依靠；对……的依赖
arise from,"从…中产生,由…而引起"
check on,"检查,核对"
take place,"na. 发生；举行
"
along with,"与…一道,与…一起,连同…"
nothing more than,不过是...
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
in the wake of,"尾随, 紧跟, 仿效"
tend to,"注意, 趋向"
stick to,粘住
lay off,"na. 辞退；停止；暂停
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
scrape through,勉强通过
act on,"按...行动, 作用于
"
act upon," 对…起作用[有功效]; 奉行, 按照…而行动; 照办"
above all,"尤其是, 首先"
seem to,似乎，好象；看起来
in line with,符合
ignorance about,无
deal with,"安排, 处理, 涉及, 做生意"
access to,有权使用
resort to,"诉诸于, 采取
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
on the other hand,另一方面
step out of,从…走出
in face of,"面对,在…面前;不顾,即使"
oppose to, <正>反对
by chance,"偶然, 也许"
look for,"寻找, 期待"
be concerned with,"涉及..., 与...有关"
be busy with,忙于
adapt to,适应…;适合…
live up to,"实践, 做到"
thank sb. for sth.,[网络] 感谢；为……感谢；就…而感谢
by occasion of,"因为,由于"
engage with,交战
in sequence,"挨次,按顺序,一个接一个"
fall in with,"偶遇, 同意"
face up to,勇敢地面对
take pleasure in,乐于
take a pleasure in,喜欢
exchange ... for ...,用…换取
be opposite to,与...相对/反
give credit to sb. for ...,无
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
make an impression on sb., 给…留下印象
leave an impression on sb.,无
be opposed to,"反对..., 与...相对"
in short supply,供应不足
come into use,开始被使用
commit oneself to ...,致力于
accuse ... of ...,"un. 控告
"
be critical of,不满
complain of,"抱怨, 抗议"
be short of,"缺乏..., ...不足"
be worthy of,"值得,应得到"
play with fire,玩火
in no case,决不
pick up,"v. 拾起；探出；重新开始
"
be identified with,以…著名
be honest with,对…诚实
be acquainted with,熟悉
by no means,决不
remedy for,[网络] 补救；对…治疗法；药物
within reach of,"在…附近,在…够得着的地方"
within one's reach,伸手可及
flesh out,"na. 充实；使…具体化
"
to date,迄今为止
apologize to sb. for sth.,[网络] 因某事向某人道歉
share with,"un. 合伙；合住；承担；跟…看法一致
"
no end of,"无数, 非常"
stick with, 继续做; 跟着…; 插满
in memory of,纪念...
give effect to,"使实行起来, 使...生效
"
break sb. of sth.,v. 放弃
deride as,嘲笑为
seize on sth.,"抓住, 占有"
seize upon sth.,"抓住,利用"
be intent on,"一心想,专心于,坚持要"
call ... in question,[经] 提出异议
be supposed to do sth., 应当，应该
in behalf of,"代表,为了…"
agree on,"就…取得一致意见,商定"
agree upon,"就…取得一致意见,商定…"
allow for,"虑及, 体谅"
on equal terms,关系平等
in sight,被看到
be in sight,"看得见,在眼前"
out of sight,"在看不见的地方, 极度"
be out of sight,"在视线外
看不见"
be sensitive to,"敏感, 灵敏"
distinguish between,v. 区别
speak ill of,说坏话
set aside,"na. 搁置；拨出；驳回
"
in decline,在下降
be on holiday,正在休假[去休假]
go on holiday,去度假
feed on sth.,"以...为食, 以...为能源"
feed sb. on sth.,"以...为食, 以...为能源"
with all one's heart,"全心全意地, 十分愿意地"
be aware of,知道
be convenient to,对...方便
be convenient for,"v. 方便
"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
strike into,"突然,开始;(突然)跑,逃;打,扎(进),忽然转入"
come into action,投入战斗
in ignorance of,对……不知道
correspond to,"相当于..., 与...相对应"
be at home,"觉得安适,无拘束"
feel at home,感到自在
arrive on,到达
in person,"亲自, 外貌上
"
keep one's word,守信
take the side of, 支持某人
consist of,由...组成
of one's own,属于某人自己的
come into effect,"开始生效
"
go into force,(开始)实施(或实行)；(政府法令、法律、协议等)开始生效
in the way,挡道
at intervals,"不时, 相隔一定距离"
at ... intervals,"不时, 相隔一定距离"
perform ... on,演奏…
come into fashion,开始风行
at ease,"na. 自由自在；=stand at ease.
"
at one's ease,"安逸, 舒适"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
"
be eligible for,"适合…,有资格…"
proceed with,继续进行
beyond the reach of,...所不及的
on one's honor, 以名誉担保
stem from,"起源于,出自,出身于…"
be content to do sth.,无
confess to,"承认, 坦白; 〈宗〉向…忏悔"
in the absence of,"无…时,缺少…时"
run risk of,无
take risk of,无
in respect to,关于
with respect to,"关于..., 至于...
"
owe ... to,"v. 由于；把…归功于
"
be in the habit of,有...的习惯
in pursuit of, 追求，寻求
come into power,"执政, 掌权
"
in essence,"本质上, 实质上
"
in keeping with,"与...一致
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
strike sb. as sth.,无
exclude from,[网络] 把…排斥于…之外；把……排除在外；同上但是使用档案
in one's favor, 对…有利; 支持某人
intervene in,"插手,干预,调停"
compensate for sth.,赔偿
compensate sb. for sth.,赔偿
go to great pains,费大力
in the view of,认为
in the eyes of,在...心目中
in one's eyes,"na. 在…的心目中
"
on occasion,有时
be equal to,"胜任, 相等, 合适"
drop out,"掉出, 退出, 离队
"
sort out,"na. 清理
"
bound for, 驶往
in the face of,面对
be preferable to,比…更可取
come into sight,进入视野；出现
prevail over,胜过
emerge from,从…出现
have an ear for,对...听觉灵敏
place trust in,无
put trust in,"对…有信心,信任…"
have trust in,"对…有信心,信任…"
be faithful to,对…忠实
in no way,决不
speak well of,说...好话
subject to,"v. 处于…中；使服从
"
trust ... to,"v. 依靠；信赖
"
have words with sb.,和某人吵架
be out of use,不用了
distinguish ... from ...,"v. 区别,识别"
on schedule,"按时
"
give rise to,"引起, 使发生"
relevant to, [医]adj.有关的
be valid for,[网络] 对…有效的；有效期为；对……有效
close off,"na. 结(账)；隔离；封锁；阻塞
"
cry out against,大声疾呼反对；对…大声抗议，强烈抗议
remark on,"评论, 议论"
remark upon,"v. 评论；批评
"
cater to sb.,迎合
cater to sth.,迎合
in accord with,与...一致
take the initiative,带头
at the mercy of,受...支配
in view of,"考虑到, 由于
"
interfere in,"干预,干涉,介入"
coupled with, 加上，外加
combined with, 化合，联合; 连同
in touch with sb.,与…保持联络
out of touch with sb.,"同…失去联系,对…不了解,不知道,脱离…"
it occurs to sb. that ...,无
be concerned with,"涉及..., 与...有关"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
react against,反抗
to one's heart's content,尽兴地
popular with,在…中有声望〔受好评〕
popular among,在…中有声望〔受好评〕
cope with,"与...竞争, 应付, 处理"
take ... into account,"na. 考虑
"
specialize in,专门研究...
in charge of ...,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
amount to,"[经] 等于, 相当于"
be unprepared for,无
go into effect,"生效,开始实施"
go on duty,"v. 上班
"
be peculiar to ...,是...所特有的
work one's way through,从头到尾做
escape from,逃脱
be on the watch for sb.,"na. 看守着；守候着
"
be on the watch for sth.,"na. 看守着；守候着
"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
in the light of,"由于, 当作
"
attempt to, 尝试，企图; 试图做某事
persuade sb. to do sth.,无
on one's guard,警惕
on one's guard against,无
come into blossom,开始开花
be fortunate in,"在...方面很幸运, 为有...而幸福"
prohibit ... from,"禁止, 阻止"
have an effect on,(对…)有影响〔产生效果〕
be ignorant of,不知道
convince sb. of,"na. 使(人)承认
"
take ... into consideration,"v. 顾及
"
jump on,扑向
at a standstill,"停止,停顿"
be on one's back,"仰卧, 生病卧床"
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
be scheduled for,"订于…,定于…"
in excuse of,"作为辩解
"
beyond dispute,"没有争论余地, 无疑地
"
in support of,"支持, 支援"
impress on,"v. 给…深刻印象；盖印于
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
lend itself to,有助于
lend themselves to,无
have impact,无
have an impact on,对…有影响
a matter of course,理所当然的事
as a matter of course,"自然, 通常"
catch a glimpse of,瞥见
get a glimpse of,瞥见...
rest on,"被搁在, 停留在, 信赖"
rest upon, 依赖于，取决于，依靠
in the position of,[网络] 处在…位置上；方位概念
on no account,决不
impose ... on,"v. 强迫；欺骗
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
no more ... than,na. 某乙也不
of one's own accord,自愿地
engage in,"使从事于, 参加"
be engaged in,"参加,从事,致力于…"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
at the risk of,"冒...的危险, 有...的危险/可能"
in despair,绝望地
make the most of,尽量利用
range between, 范围在…与…之间不等
live from hand to mouth,"现挣现吃,勉强煳口,生活无保障"
in accordance with,"与...一致, 依照"
in the short term,短期内
in doubt,"感到怀疑的, 有怀疑的, 不敢肯定的, 拿不准的, 被怀疑的"
with reference to,"关于
"
in reference to,"关于..., 根据...
"
adjust to,[计] 调整至
refer to,"v. 查阅；提到
"
be fed up with,"饱受,厌烦"
get fed up with,无
gain access to,可以获得;进入
be in debt to ...,"na. 借着…的钱
"
beyond belief,难以置信
be grateful to sb. for sth.,[网络] 因对充满感激
be fit for sth.,适合于
be fit to do sth.,无
at the expense of,"归...付费, 在损害...的情况下
"
be distinct from,与…不同
be different from,"与…不同,和…不一样"
in good repair,保养完好的
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
under consideration, 在考虑中
restrain ... from,"制止, 抑制"
revolve around," 旋转, 绕转; 环绕"
reflect on,"深思, 反省, 导致, 招致非议"
take delight in,乐于
be in a mess,"乱七八糟,处境狼狈"
appeal to,[法] 诉诸...
keep a watch on,"监视, 密切注视"
keep a close watch on,"密切注意, 关注"
tell ... from, 辨别
keep pace with,"并驾齐驱, 齐头并进"
put sb. at one's ease,无
at a loss,"困惑, 亏本地"
with ease,"容易, 不费力"
in force,"大规模地, 有效的
"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
probe into,"探究, 探索"
relieve ... of ...,"v. 解除
"
come into existence,"开始存在, 成立"
exert ... on ...,对…施加
behind schedule,落后于预定计划
get laid off, 被解雇，被裁员
in the mood to,无
in the mood for,"有…的兴致,想做…"
know sb. by sight,"na. 曾经见过
"
be typical of ...,是...的特点
have little to do with ...,与…关系不大
on the face of it,"从表面判断, 乍看起来
"
derive ... from,"得自, 由来, 衍生"
obtain ... from,从…得到
when it comes to sth.,当提到…
at one's convenience,"最方便地, 最合适地"
be response for,无
concentrate on,"集中, 全神贯注于"
concentrate upon,集中在;专心于
adapt ... for ...,把…改成…; 为…改…
confirm sb. in,"un. 增强
"
by virtue of,"依靠, 由于
"
in virtue of,"依靠...(的力量), 凭借, 由于, 因为"
be caught in,淋雨
react to,作出反应
in existence,"存在, 现有"
be in existence,无
close one's eyes to,不理会
shut one's eyes to,假装不看见
under way,"进行中, 在行进"
spare a moment to do,无
range from ... to ...,"从...到...(不等), 范围从...到..."
senior to,"adj. 年长于
"
dismiss sb. as sth.,认为…而辞退；认为…而不予考虑
dismiss sth. as sth.,认为…而辞退；认为…而不予考虑
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
out of breath,上气不接下气
concern oneself about,无
concern oneself with, 研究的对象是…; 过问
on earth,"在世上, 究竟"
have the last word,"[法] 辩论中作最后的判断, 有决定权"
substitute for,"代替…,替换…,取代…"
for certain,肯定地
be considerate of,体谅
on the ground of,"根据…, 以…为理由"
on the ground that,conj. 基于
on the grounds of, 以…为理由，根据
on the grounds that,conj. 由于（根据）
have confidence in sb.,"信任,信赖 in confidence 秘密地,私下,暗中"
have confidence in sth.,"信任,信赖 in confidence 秘密地,私下,暗中"
share in,"分享, 分担"
take a glance at,朝…看了一眼
take a look at,看一看…
in place,"na. 得其所；适当的
"
bring ... into practice,实行，实施；付诸实践
put ... into practice,"na. 实行
"
abide by, 遵守; 信守; 忠于（某人）; 接受
be on about sth.,[网络] 令人生厌地谈；反复地谈；不停地谈论
by turns,"轮流, 交替"
on memory of,无
be ashamed of,"感到羞耻, 惭愧"
congratulate sb. on,"un. 祝贺
"
in place of,"代替
"
instead of,代替
have an advantage over,"胜过,比…优越"
deprive of,"un. 剥夺
"
at one's leisure,有空时
keep ... to oneself,"un. 强调；紧贴；秘而不宣；独自承受
"
be used to doing,无
at random,"胡乱地, 随便地
"
lean on,靠着
encourage sb. in,[网络] 鼓励
look sb. in the eye,[网络] 直视；正视
on the increase,正在增长
demand sth. of sb.,"na. 向(某人)要求(某物)
"
demand sth. from sb.,向…要求〔索取〕
on the back of,紧随着…又…
on the result that,无
turn one's back on sb.,"背弃, 抛弃"
on record,"记录在案, 在历史记录中
"
be out of practice,[网络] 荒废；不熟练
get out of practice,无
on a large scale,大规模地
in search of,寻找
by comparison,比较起来
in comparison with,与...比较
fit into,适合
inferior to, 次于，劣于; 不如; 不及
in one's face,[网络] 迎面；公开地；当着某人的面
fade away,逐渐消失
absence of mind,心不在焉
plead for,为...辩护
hinder ... from,"阻碍, 使不能"
force ... on ...,把…强加于…
be involved in, 涉及，专心; 卷入
in consequence of,"因此, 结果; 由于, 因为…的缘故"
as a whole,总体上
protect ... from,保护
be guilty of,"犯有,因…而感到内疚"
spread out," 伸展, 延长; 分散; 铺设; 衍"
on condition that,"若是…, 以…为条件"
out of reach,"adj. 够不着的；无法连络的；超出范围的
"
center one's attention on,无
restrict ... to,"把…限制〔控制, 保持〕在…"
sensible of, 察觉; 了解
mention sth. to sb.,[网络] 提及；提到；向……提及
be fond of,"喜爱, 爱好"
yield to,"让步于,屈服于,向…投降"
as a matter of fact,事实上
in order,"整齐, 状况良好, 适宜"
be in order,符合议程，符合议事规则
make reflection on ...,无
in good faith,"诚心诚意地
"
in one's own right,凭本身的头衔
lay the roots for,无
come to the point,"变尖锐, 到紧要关头, 说到要点, 扼要地说"
in the first place,首先
in agreement,一致；同意；意见一致
in agreement with,"同意,与…一致"
get stuck in,被卡在里面动弹不得
free of charge,"免费
"
be sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
to taste,"na. 酌量
"
to one's taste,合味口
be under repair,无
fall to the ground,"落地, 失败"
rest with,取决于
in one's honor,无
keep faith with,"忠于,对…信守诺言"
be shocked at,[网络] 对……感到震惊；对…非常震惊；对……很震惊
be shocked by,无
be based on,"以…为基础,以…为根据"
be based upon,基于
side with sb.,"同意, 站在...的一边"
be in effect,na. 正在实行
be certain of,确信
work out ideas,[网络] 出主意；课外制作
on no consideration,决不
superior to, [医]adj.优于，胜于
to one's delight,无
to one's regret,无
to one's sorrow,无
to one's relief,无
to one's distress,无
to one's shame,自感惭愧地
to one's astonishment,使(某人)吃惊的是...
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to one's horror,无
be jealous of,妒嫉
to begin with,首先
leave sb. in the dust,[网络] 撇下某人或某物
leave sth. in the dust,[网络] 撇下某人或某物
be absorbed in,"全神贯注于, 专心于"
bring to mind,想起
call to mind,"na. 想起
"
be consistent with,与...一致
operate on sb.,对...施手术
attach ... to ...,"v. 连接在…上；归于
"
jump at,欣然接受
under the impression that, 错以为，依稀觉得
by reason of,"由于, 因为"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
out of the question,"不知底细
"
take ... for granted, 信以为然
be capable of,能够
be accustomed to,习惯于
set sth. on fire, 激起
arise from,"从…中产生,由…而引起"
arise out of,"由…而引起,由…产生,起因于"
except for,"除...以外
"
apart from,除了...之外
in contrast to,"与...形成对照, 而..."
in contrast with,"与...形成对照, 而..."
keep track of,了解
in fear of,"害怕,担心,为…提心吊胆"
persist in,"坚持, 固执于"
be bound up with,与...有密切关系
discharge from ...,"释放, 解雇, 使免除"
be confident of,确信...
in the form of,以…形式
of no account,不重要的
in advance,"预先
"
be occupied with,忙于…;专注于…
be true to,"信守,遵守,忠于"
proceed from,"从...出发, 出自..."
bear ... in mind,"na. 记住；铭记不忘；注意
"
keep ... in mind,"na. 记在心里；记住；注意
"
be free from,免于…
to the point,"中肯, 扼要"
play ... off against ...,完成同其他优胜者的平分比赛; (使)相互争斗以坐收渔利
be stuck in, 困于，停止不前，动弹不得
get into the habit of,养成...的习惯
be exclusive of ...,"除去,不包括…"
comment on ...,评论
respond to,"答复,响应,对…作出反应"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
at the cost of,以...为代价
on one's own account,"为自身利益, 靠自己
"
in hopes of,"怀着...的希望, 希望能..."
charge sb. with sth.,"na. 托付；使负…的罪名；使受…的责备
"
fall into the habit,无
fall into the habit of,沾染...的习惯
find fault with,"挑剔,指责,对…吹毛求疵"
in condition,"健康状况好, 保存得好"
out of condition,"健康状况不好, 保存得不好"
a string of,n. 一串的，一系列，一批; 一连串
shed light on,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
be in the right,站在正义一边
in the air,"在空中, 悬而未决, 在流传中, 不设防
"
with the exception of,"除...以外
"
expose ... to ...,"un. 暴露于
"
at the sight of,在看到…时
at the thought of,一想起
for short,"简称, 缩写"
at peace with,与…和平相处
be at peace with,"v. 和…和平相处
"
occupy oneself with,忙于…;专注于…
occupy oneself in,"从事于…,忙于…,专心于…"
up in the air,悬而未决
be tempted to do sth.,无
equivalent to, 等于，折合
be equivalent to,"[计] 等价的, 等效的, 等值的"
conceive of,想象
word for word,逐字地
be eager for,渴望
do away with,"废除, 弄死"
throw ... into ...,投身于
behind one's back,在某人的背后
compare ... to ..., 把…比作， 喻为; 与…相比
go short of,缺乏
at will,"随意, 任意"
be content with,以...为满足
beyond expression,无法表达
on a diet,"按规定进食,进规定的饮食"
in good condition,"情况良好
"
in bad condition,[经] 状态恶劣
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
make sense,有意义
in connection with,"与…有联系,与…有关,关于"
be in use,[网络] 在使用中；使用之中；投入使用
be used,[网络] 被使用；被用做；被动表示被使用
catch sight of,瞥见
catch the sight of,无
in dispute,在争论中
consult sb. on sth.,[网络] 商量
consult sb. about sth.,就…向(某人)请教〔询问〕
turn a blind eye to,熟视无睹
hunt for,搜寻
long for,渴望
be equipped with,"配备有,装备有…"
in response to,"回答..., 响应..., 对...有反应
"
in demand,"[经] 销路好, 有需要"
get the better of,"战胜, 在...中占上风"
give sb. an account of,"讲述,叙述,说明"
on faith,"不加怀疑地, 未经核实地"
beat ... at,大声敲(门等); 在(比赛)中击败(某人)
to the purpose,"与本题有关地, 得要领地, 合适地"
objection to,[网络] 反对；反对某事；对……反对
objection to doing sth.,无
abundant in,富于;很丰富
be abundant in,"富于,有很多"
there is no point in doing sth.,无
for a change,"为了改变一下, 为了换换口味"
in public,当众
in difficulty,处境困难
detach from,使从…分离(或分开、脱离、拆开)
beyond hope,没希望
have sb. by the throat,扼住喉咙；扼杀
throw light on,"照亮,阐明,使理解,启迪"
beyond reason,[法] 不合理
beyond all reason,不合理的; 不理智的
forge ahead,"迅勐发展,突飞勐进,稳步发展"
fall short of,"没有达到标准, 不够, 不足"
in relation to,"关于, 涉及"
with relation to,"关于, 涉及, 有关"
react on,起作用于
react upon,无
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
make out,"na. 理解；发现；起草；证明
"
confine to,"v. 限于
"
